item_id,task_type,difficulty,context,question,YOUR_ANSWER
REG_137,regulatory_interpretation,medium,"Regulation 13(e): individuals registered as investment advisers whose number of clients exceed three hundred at any point of time or the fee collected during the financial year exceeds three crore rupees, whichever is earlier shall — (i) immediately intimate the Administration and Supervisory Body and initiate the process of transition from individual to non-individual investment adviser; and (ii) apply for grant of in-principle approval for registration as non-individual investment adviser within 3 months from the date on which the threshold is reached.","Under SEBI IA Regulations, 2013, what dual threshold triggers the mandatory transition of an individual investment adviser to non-individual status, and what must the IA do upon breaching the threshold?","The dual threshold that triggers mandatory transition is: (i) the number of clients exceeds 300 at any point of time, OR (ii) the fee collected during the financial year exceeds Rs 3 crore — whichever occurs earlier. Upon breaching either threshold, the individual IA must: (i) immediately intimate the Administration and Supervisory Body and initiate the process of transition from individual to non-individual investment adviser; and (ii) apply for grant of in-principle approval for registration as a non-individual investment adviser within 3 months from the date on which the threshold is reached."
REG_113,regulatory_interpretation,medium,"Seventh Schedule — Restrictions on Investments. 1. A mutual fund scheme shall not invest more than 10% of its NAV in debt instruments comprising money market instruments and non-money market instruments issued by a single issuer which are rated not below investment grade by a credit rating agency authorised to carry out such activity under the Act. Such investment limit may be extended to 12% of the NAV of the scheme with the prior approval of the Board of Trustees and Board of Directors of the asset management company: Provided that such limit shall not be applicable for investments in Government Securities, treasury bills and triparty repo on Government securities or treasury bills.","Under the Seventh Schedule of SEBI (Mutual Funds) Regulations, what is the standard investment limit for debt instruments issued by a single issuer, and under what approval can it be extended to 12% of NAV?","The standard investment limit is 10% of the scheme's NAV in debt instruments (comprising both money market instruments and non-money market instruments) issued by a single issuer, provided such instruments are rated not below investment grade by an authorised credit rating agency. This limit may be extended to 12% of NAV with the prior approval of both the Board of Trustees AND the Board of Directors of the asset management company. The limit does not apply to investments in Government Securities, treasury bills, and triparty repo on Government securities or treasury bills."
REG_102,regulatory_interpretation,medium,"Payment of annual service fee. 12. A mutual fund shall pay before the 15th April each year a service fee as specified in the Second Schedule for every financial year from the year following the year of registration: Provided that the Board may, on being satisfied with the reasons for the delay permit the mutual fund to pay the service fee at any time before the expiry of two months from the commencement of the financial year to which such fee relates.","By what date must a mutual fund pay its annual service fee, and what is the maximum grace period SEBI may allow for a delayed payment?","A mutual fund must pay its annual service fee before the 15th April of each year (for the financial year following the year of registration). SEBI may, if satisfied with the reasons for delay, permit the mutual fund to pay the fee at any time before the expiry of two months from the commencement of the financial year to which such fee relates. Since the financial year commences on April 1, this grace period extends to the end of May (i.e., by May 31)."
REG_114,regulatory_interpretation,medium,Seventh Schedule — Restrictions on Investments. 9. No mutual fund [scheme] shall make any investment in— (a) any unlisted security of an associate or group company of the sponsor; or (b) any security issued by way of private placement by an associate or group company of the sponsor; or (c) the listed securities of group companies of the sponsor which is in excess of 25 per cent of the net assets.,What two categories of securities of associate or group companies of the sponsor are absolutely prohibited for mutual fund investment under the Seventh Schedule?,"Under paragraph 9 of the Seventh Schedule, two categories of securities are absolutely prohibited for mutual fund scheme investment: (a) any unlisted security of an associate or group company of the sponsor; and (b) any security issued by way of private placement by an associate or group company of the sponsor. (Note: Listed securities of group companies of the sponsor are not absolutely prohibited but are capped at 25% of net assets under clause (c).)"
REG_122,regulatory_interpretation,medium,Seventh Schedule — Restrictions on Investments. 13. A mutual fund scheme shall not invest — i. more than 10% of its NAV in the units of InvIT; and ii. more than 5% of its NAV in the units of InvIT issued by a single issuer. Provided that the limits mentioned in sub-clauses (i) and (ii) above shall not be applicable for investments in case of index fund or sector or industry specific scheme pertaining to REIT and InvIT.,What are the NAV-based investment limits for a mutual fund scheme in InvIT units — both the overall cap and the cap for units issued by a single InvIT issuer?,"Under paragraph 13 of the Seventh Schedule, a mutual fund scheme may not invest: (i) more than 10% of its NAV in the units of InvIT in aggregate (overall cap); and (ii) more than 5% of its NAV in the units of InvIT issued by any single InvIT issuer (per-issuer cap). Exception: Both limits are not applicable for investments by index funds or sector/industry specific schemes pertaining to REIT and InvIT."
REG_118,regulatory_interpretation,medium,"Seventh Schedule — Restrictions on Investments. 4. A scheme may invest in another scheme under the same asset management company or any other mutual fund without charging any fees, provided that aggregate inter-scheme investment made by all schemes under the same management or in schemes under the management of any other asset management company shall not exceed 5% of the net asset value of the mutual fund: Provided that this clause shall not apply to any fund of funds scheme.",What is the maximum aggregate inter-scheme investment that all schemes under one AMC's management may collectively make in other mutual funds?,"Under paragraph 4 of the Seventh Schedule, the aggregate inter-scheme investment made by all schemes under the same AMC management (or in schemes under the management of any other asset management company) shall not exceed 5% of the net asset value of the mutual fund. Such inter-scheme investments must be made without charging any fees. Exception: This restriction does not apply to any fund of funds scheme."
REG_059,regulatory_interpretation,medium,"""institutional investor"" means â€” (i) a qualified institutional buyer; or (ii) a family trust or an intermediary registered with the Board, having a net worth of more than five hundred crore rupees, as per the latest audited financial statements.","Under SEBI (InvIT) Regulations 2014 (as currently in force), what minimum net worth must a family trust or a Board-registered intermediary have to qualify as an institutional investor?","Under SEBI (InvIT) Regulations 2014, a family trust or an intermediary registered with the Board must have a net worth of MORE THAN Rs 500 crore, as per the latest audited financial statements, to qualify as an 'institutional investor'. (The other category of institutional investor under this definition is a qualified institutional buyer, for which no minimum net worth is separately specified here.)"
REG_159,regulatory_interpretation,medium,Regulation 13(1): Category I Alternative Investment Fund and Category II Alternative Investment Fund shall be close ended and the tenure of fund or scheme shall be determined at the time of application subject to sub-regulation (2) of this regulation. (2) Category I and II Alternative Investment Fund or schemes launched by such funds shall have a minimum tenure of three years. (3) Schemes of Category III Alternative Investment Fund may be open ended or close ended.,"What are the structural and tenure requirements applicable to Category I and II Alternative Investment Funds, and how do they differ from Category III AIFs?","Category I and II AIFs must be CLOSE ENDED; the tenure of the fund or scheme is determined at the time of application, subject to sub-regulation (2). Both Category I and II AIFs (or schemes launched by such funds) must have a MINIMUM TENURE OF THREE YEARS. Category III AIF schemes may be EITHER OPEN ENDED OR CLOSE ENDED — there is no structural restriction or minimum tenure requirement specified for Category III."
REG_120,regulatory_interpretation,medium,"Investment, borrowing, restriction, etc. 44. (2) The mutual fund shall not borrow except to meet temporary liquidity needs of the mutual funds for the purpose of repurchase, redemption of units or payment of interest or dividend to the unitholders: Provided that the mutual fund shall not borrow more than 20 per cent of the net asset of the scheme and the duration of such a borrowing shall not exceed a period of six months.","For what purpose may a mutual fund borrow under SEBI (Mutual Funds) Regulations, and what are the two quantitative limits on such borrowing?","A mutual fund may borrow only to meet TEMPORARY LIQUIDITY NEEDS for the purpose of repurchase, redemption of units, or payment of interest or dividend to unitholders. Borrowing for any other purpose is not permitted. The two quantitative limits are: (1) Quantum limit: the mutual fund shall not borrow more than 20% of the net asset of the scheme; and (2) Duration limit: the duration of such borrowing shall not exceed a period of six months."
REG_061,regulatory_interpretation,medium,"The trustee shall review the transactions carried out between the investment manager and its associates and where the investment manager has advised that there may be a conflict of interest, shall obtain confirmation from a practising chartered accountant or valuer, as applicable, that such transaction is on arm's length basis.","Under SEBI (InvIT) Regulations 2014, when a conflict of interest is flagged in a transaction between the investment manager and its associates, from whom must the trustee obtain confirmation that the transaction is at arm's length?","Under SEBI (InvIT) Regulations 2014, when the investment manager has advised that there may be a conflict of interest in a transaction between the investment manager and its associates, the trustee must review the transaction and obtain confirmation from a PRACTISING CHARTERED ACCOUNTANT OR VALUER, as applicable, that such transaction is on an arm's length basis."
REG_200,regulatory_interpretation,medium,"Regulation 22(2): Notwithstanding anything contained in sub-regulation (1), subject to the acquirer depositing in the escrow account cash of an amount equal to the entire consideration payable under the open offer assuming full acceptance of the open offer, the parties to such agreement may after the expiry of twenty-one working days from the date of detailed public statement, act upon the agreement and the acquirer may complete the acquisition.",Under what condition and after what period may an acquirer complete the underlying acquisition before the expiry of the offer period under Regulation 22(2)?,"Under Regulation 22(2), the acquirer may complete the underlying acquisition (and parties to the agreement may act upon it) after the expiry of TWENTY-ONE WORKING DAYS from the date of the detailed public statement, PROVIDED THAT the acquirer has deposited in the escrow account CASH of an amount equal to the ENTIRE CONSIDERATION payable under the open offer assuming full acceptance of the open offer. This is an exception to the general rule in sub-regulation (1) that prohibits acting on the agreement during the offer period."
REG_155,regulatory_interpretation,medium,"Regulation 10(d): the Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund and such interest shall not be through the waiver of management fees: Provided that for Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower.","What continuing interest is the Manager or Sponsor of an Alternative Investment Fund required to maintain under SEBI AIF Regulations, 2012? Does the requirement differ between Category I/II and Category III funds?","Under Regulation 10(d), the Manager or Sponsor must maintain a continuing interest in the AIF in the form of actual investment in the AIF (not through waiver of management fees). For Category I and II AIFs: the continuing interest must be not less than 2.5% of the corpus OR Rs 5 crore, WHICHEVER IS LOWER. For Category III AIF: the continuing interest must be not less than 5% of the corpus OR Rs 10 crore, WHICHEVER IS LOWER. Yes, the requirement differs — Category III requires a higher absolute and proportionate continuing interest than Category I/II."
REG_166,regulatory_interpretation,medium,Regulation 16(2)(a): at least seventy-five percent of the investable funds shall be invested in unlisted equity shares or equity linked instruments of a venture capital undertaking or in companies listed or proposed to be listed on a SME exchange or SME segment of an exchange: Provided that the investment conditions specified in clause (a) shall be achieved by the fund by the end of its life cycle.,"What minimum percentage of investable funds must a venture capital fund (which is a sub-category of Category I AIF) invest in qualifying instruments under SEBI AIF Regulations, 2012?","Under Regulation 16(2)(a), a venture capital fund (Category I AIF sub-category) must invest at least 75% of its investable funds in: unlisted equity shares or equity linked instruments of a venture capital undertaking, OR in companies listed or proposed to be listed on a SME exchange or SME segment of an exchange. This 75% investment condition must be achieved by the fund by the end of its life cycle."
REG_154,regulatory_interpretation,medium,"Regulation 10(c): the Alternative Investment Fund shall not accept from an investor, an investment of value less than one crore rupees: Provided that in case of investors who are employees or directors of the Alternative Investment Fund or employees or directors of the Manager, the minimum value of investment shall be twenty five lakh rupees: Provided further that this clause shall not apply to an accredited investor.","What is the minimum investment that an investor must make in an Alternative Investment Fund scheme under SEBI AIF Regulations, 2012? Are there any exceptions to this minimum?","The minimum investment per investor in an AIF scheme is Rs 1 CRORE. Exception 1 (reduced minimum): For investors who are employees or directors of the AIF, or employees or directors of the Manager, the minimum investment is Rs 25 LAKH. Exception 2 (full exemption): An ACCREDITED INVESTOR is fully exempt from this minimum investment requirement — the minimum threshold does not apply."
REG_191,regulatory_interpretation,medium,"Regulation 6A: Notwithstanding anything contained in these regulations, no person who is a wilful defaulter shall make a public announcement of an open offer for acquiring shares or enter into any transaction that would attract the obligation to make a public announcement of an open offer for acquiring shares under these regulations. Provided that this regulation shall not prohibit the wilful defaulter from making a competing offer upon any other person making an open offer for acquiring shares of the target company.","What does Regulation 6A of SEBI Takeovers Regulations 2011 prohibit, and what exception does it carve out for wilful defaulters?","Regulation 6A prohibits any person who is a WILFUL DEFAULTER from: (i) making a public announcement of an open offer for acquiring shares, or (ii) entering into any transaction that would attract the obligation to make such a public announcement of an open offer. Exception carved out: The regulation does not prohibit a wilful defaulter from making a COMPETING OFFER upon any OTHER person making an open offer for acquiring shares of the target company. In that specific scenario, the wilful defaulter may participate as a competing bidder."
REG_079,regulatory_interpretation,medium,"No company shall directly or indirectly purchase its own shares or other specified securities: (a) through any subsidiary company including its own subsidiary companies; (b) through any investment company or group of investment companies; or (c) if a default is made by the company in the repayment of deposits...Provided that the buy-back is not prohibited, if the default is remedied and a period of three years has lapsed after such default ceased to subsist.",A company defaulted on repayment of a term loan. The default was remedied. After how long can the company conduct a buy-back?,"Under the proviso to the relevant provision, a company that has defaulted on repayment may conduct a buy-back only if TWO CONDITIONS are jointly satisfied: (1) the default has been remedied, AND (2) a period of THREE YEARS has lapsed after such default ceased to subsist. Therefore, the company must wait three years from the date the default ceased to subsist before it can conduct a buy-back."
NUM_096,numerical_reasoning,hard,"Annex I: Illustration 3: Computation of maximum eligible dividend for FY 20X1-X2. Net profit (PAT) for FY 20X1-X2 (A): Rs1,500 crore. Net NPAs as on March 31, 20X2 (B): Rs300 crore. Adjusted PAT, i.e., (C) = (A) - 50% of (B): Rs1,350 crore. Tier 1 capital ratio as on March 31, 20X1 (D): 24.36% (falls in Bucket B10). 75% of PAT (E): Rs1,125 crore. Maximum payable as per Table (100% of 1,350) (F): Rs1,350 crore. Maximum Eligible Dividend (G = Lower of E or F): Rs1,125 crore. Interim dividend paid for FY 20X1-20X2 (H): Rs500 crore. As the bank has already paid interim dividend of Rs500 crore, the final dividend shall not be more than (G) - (H).","In Illustration 3, a bank has PAT of Rs1,500 crore, Net NPA of Rs300 crore, Tier 1 ratio of 24.36%, and has already paid interim dividend of Rs500 crore. What is the maximum final dividend it may pay?","From Illustration 3: Adjusted PAT (C) = Rs 1,500 crore minus 50% of Rs 300 crore = Rs 1,350 crore. 75% of PAT (E) = Rs 1,125 crore. Maximum payable per table at Bucket B10 (100% of Adjusted PAT) (F) = Rs 1,350 crore. Maximum Eligible Dividend (G) = Lower of E or F = Rs 1,125 crore. Less interim dividend already paid (H) = Rs 500 crore. Maximum FINAL dividend = G minus H = Rs 1,125 crore minus Rs 500 crore = Rs 625 crore."
NUM_110,numerical_reasoning,hard,"Regulation 15(7): An investment advisor shall not enter into transactions on its own account which is contrary to its advice given to clients for a period of fifteen days from the day of such advice. Provided that during the period of such fifteen days, if the investment adviser is of the opinion that the situation has changed, then it may enter into such a transaction on its own account after giving such revised assessment to the client at least 24 hours in advance of entering into such transaction.","An investment adviser issues a buy recommendation on Stock A to clients on January 10. On January 22, the adviser believes the situation has changed and wants to sell Stock A from its own account. Is January 22 within the 15-day prohibition window? If the adviser gives clients a revised assessment on January 22 at 3:00 PM, what is the earliest date and time at which the adviser can enter the contrary own-account sell transaction?","The 15-day prohibition runs from January 10 (Day 1) through January 24 (Day 15). January 22 is Day 13, which is within the 15-day prohibition window. Under the proviso to Regulation 15(7), since the adviser believes the situation has changed within the 15-day window, the adviser must give a revised assessment to the client at least 24 hours BEFORE entering the contrary own-account transaction. If the revised assessment is given on January 22 at 3:00 PM, then 24 hours later = January 23 at 3:00 PM. The earliest date and time the adviser can enter the contrary sell transaction is January 23 at 3:00 PM."
NUM_118,numerical_reasoning,hard,"Regulation 10(c): the Alternative Investment Fund shall not accept from an investor, an investment of value less than one crore rupees: Provided that in case of investors who are employees or directors of the Alternative Investment Fund or employees or directors of the Manager, the minimum value of investment shall be twenty five lakh rupees.","A Category II AIF has 4 investors: an external institutional investor, a director of the Manager, an employee of the AIF, and an accredited investor. Their proposed investments are Rs 75 lakh, Rs 20 lakh, Rs 30 lakh, and Rs 50 lakh respectively. Which investments, if any, fail to meet the minimum investment requirements under SEBI AIF Regulations, 2012?","Applicable minimum investment thresholds under Regulation 10(c): (i) General investors: Rs 1 crore; (ii) Employees/directors of the AIF or Manager: Rs 25 lakh; (iii) Accredited investors: exempt (no minimum). Assessment of proposed investments: (a) External institutional investor: proposed Rs 75 lakh vs minimum Rs 1 crore — FAILS (shortfall of Rs 25 lakh). (b) Director of the Manager: proposed Rs 20 lakh vs minimum Rs 25 lakh — FAILS (shortfall of Rs 5 lakh). (c) Employee of the AIF: proposed Rs 30 lakh vs minimum Rs 25 lakh — PASSES. (d) Accredited investor: proposed Rs 50 lakh, fully exempt from minimum — PASSES. Conclusion: The external institutional investor and the director of the Manager fail to meet the minimum investment requirements."
NUM_095,numerical_reasoning,hard,"Annex I: Illustration 1: Computation of maximum permissible dividend for FY 20X1-X2. Net profit (PAT) for FY 20X1-X2 (A): Rs17,000 crore. Net NPAs as on March 31, 20X2 (B): Rs6,500 crore. Adjusted PAT, i.e., (C) = (A) - 50% of (B): Rs13,750 crore. Tier 1 Capital ratio as on March 31, 20X1 (D): 11.72% (falls in Bucket B4). 75% of PAT (E): Rs12,750 crore. Max payable as per Table 1 (40% of 13,750) (F): Rs5,500 crore. Maximum Eligible Dividend (i.e., Lower of E or F): Rs5,500 crore.","In Illustration 1 of the RBI SFB Dividend Directions, 2026, a bank has PAT of Rs17,000 crore, Net NPA of Rs6,500 crore, and Tier 1 ratio of 11.72%. What is the maximum eligible dividend?","From Illustration 1: Adjusted PAT (C) = Rs 17,000 crore minus 50% of Rs 6,500 crore = Rs 13,750 crore. 75% of PAT (E) = Rs 12,750 crore. Maximum payable per Table 1 at Tier 1 ratio of 11.72% (Bucket B4, 40% of Adjusted PAT) (F) = Rs 5,500 crore. Maximum Eligible Dividend = Lower of E or F = Lower of Rs 12,750 crore and Rs 5,500 crore = Rs 5,500 crore."
NUM_122,numerical_reasoning,hard,Regulation 13(2): Category I and II Alternative Investment Fund or schemes launched by such funds shall have a minimum tenure of three years. Regulation 13(5): Extension of the tenure of the close ended Alternative Investment Fund may be permitted up to two years subject to approval of two-thirds of the unit holders by value of their investment in the Alternative Investment Fund: Provided that an Accredited Investors only fund may be permitted to extend its tenure up to five years.,A Category II AIF was registered with a scheme tenure of 5 years. The tenure has now expired and unit holders are considering an extension. (a) What is the maximum total tenure (including extension) for a regular Category II AIF? (b) What would it be if the fund were an Accredited Investors only fund?,"Under Regulation 13(2), Category I and II AIFs must have a minimum tenure of 3 years. Under Regulation 13(5), extension of tenure may be permitted for up to 2 years (regular fund) or up to 5 years (Accredited Investors only fund), subject to approval of two-thirds of unit holders by value. (a) Regular Category II AIF with initial 5-year tenure: maximum extension = 2 years; maximum TOTAL tenure = 5 + 2 = 7 years. (b) Accredited Investors only Category II AIF with initial 5-year tenure: maximum extension = 5 years; maximum TOTAL tenure = 5 + 5 = 10 years."
