round,item_id,task_type,ref_answer,ann2_answer,agree
2,CON_064,CON,No,"Not for all AIFs. For regular close-ended AIFs, both versions agree that the maximum tenure extension is 2 years, subject to approval of two-thirds of unit holders by value. However, the amended version (Passage B) introduces an additional provision: Accredited Investors only funds may extend their tenure by up to 5 years, again subject to the same two-thirds approval threshold. So the two versions are not identical — the amended version allows a longer maximum extension for a specific category of fund.",1
2,NUM_092,NUM,"5 per cent of aggregate purchases and sales, measured for a block of any three months",An AMC cannot route more than 5% of the aggregate purchases and sales of securities by the mutual fund across all its schemes through a broker associated with the sponsor. This limit is measured over a block of any three months.,1
2,CON_029,CON,No,"No, they do not. Bucket B1, applicable where the Tier 1 Capital Ratio at the end of the previous financial year is up to 7.5%, allows zero dividend as a percentage of Adjusted PAT — meaning no dividend can be paid. Bucket B10, applicable where the Tier 1 Capital Ratio is above 19.5%, allows up to 100% of Adjusted PAT to be paid as dividend. The permitted payout is entirely different.",1
2,TMP_076,TMP,"The SEBI (Credit Rating Agencies) (Amendment) Regulations, 2021 (w.e.f. 03-08-2021) substituted the definition of 'credit rating agency' under Regulation 2(h). The original definition restricted 'credit rating agencies' to entities rating securities 'offered by way of public or rights issue' — covering only primary market issuances. The 2021 amendment broadened the definition to cover rating of securities 'that are listed or proposed to be listed on a stock exchange recognized by the Board' — expanding the scope to include all listed securities and not just those offered via public or rights issues.","Before the amendment, the definition of 'credit rating agency' under Regulation 2(h) was limited to rating of securities offered by way of public or rights issue. The SEBI (CRA) (Amendment) Regulations, 2021, effective 3 August 2021, expanded this to cover rating of securities that are listed or proposed to be listed on a stock exchange recognized by SEBI. This is a broader scope — it is no longer restricted to public or rights issue offerings.",1
2,REG_106,REG,Three-fourths of the unitholders of any scheme,"Three-fourths (i.e., 75%) of the unitholders of a scheme may requisition the trustees to obtain unitholder consent.",1
2,NUM_087,NUM,At least rupees ten crore,"The sponsor must have an average net annual profit (after depreciation, interest, and tax) of at least Rs 10 crore over the immediately preceding five years to meet the 'sound track record' requirement.",0
2,REG_070,REG,One year from the date of rejection,An applicant whose application is rejected for containing false or misleading information is barred from making any fresh application for registration — whether under these regulations or any other SEBI regulations — for a period of one year from the date of such rejection.,1
2,NUM_111,NUM,"Under Regulation 21(1), the investment adviser must redress the grievance not later than 21 calendar days from the date of receipt. March 5, 2025 + 21 calendar days = March 26, 2025. The regulatory deadline for redressal is March 26, 2025.","The grievance was lodged on March 5, 2025. Adding 21 calendar days, the regulatory deadline for the investment adviser to redress it is March 26, 2025.",1
2,REG_167,REG,"Under Regulation 4, a credit rating agency must be promoted by one of the following: (a) a public financial institution; (b) a scheduled commercial bank in the RBI's second schedule; (c) a foreign bank operating in India with RBI approval; (d) a foreign CRA incorporated in a FATF member jurisdiction, recognised under their law, with at least five years' experience in rating securities; or (e) any company or body corporate with a continuous net worth of at least Rs 100 crore per audited accounts for the previous five years.","Under Regulation 4 of SEBI (CRA) Regulations, 1999, the eligible categories of promoters for a credit rating agency are: (a) a public financial institution; (b) a scheduled commercial bank listed in the second schedule to the RBI Act, 1934; (c) a foreign bank operating in India with RBI approval; (d) a foreign credit rating agency incorporated in a FATF member jurisdiction and recognized under their law, with at least five years' experience in rating securities; and (e) a company or body corporate with continuous net worth of at least Rs 100 crore as per audited annual accounts for the previous five years.",1
2,REG_170,REG,"Under Regulation 9(d), a credit rating agency must at all times maintain a minimum net worth of Rs twenty-five crore. Existing CRAs that were already registered and had a net worth below Rs twenty-five crore at the time of the 2018 amendment were given transitional relief — they must increase their net worth to the Rs 25 crore minimum within three years from the date of notification of the SEBI (CRA) (Amendment) Regulations, 2018.","A credit rating agency must maintain a minimum net worth of Rs 25 crore at all times. As a transitional measure, CRAs that were already registered with SEBI and had a net worth below Rs 25 crore were given a period of three years from the date of notification of the SEBI (CRA) (Amendment) Regulations, 2018 to increase their net worth to this level.",1
2,REG_064,REG,Not more than four,A maximum of four public issuances can be made under a single shelf offer document.,0
2,REG_135,REG,"Under Regulation 7(1), an individual investment adviser must, at all times, hold either: (a) a graduate degree (or equivalent) from a recognized university or CFA Charter from the CFA Institute, combined with relevant NISM certification or certification from an NISM-accredited organization; or (c) a Post Graduate Program in Securities Market (Investment Advisory) or a Post Graduate Program in Financial Planning from NISM, or any other NISM program as specified by the Board.","An individual investment adviser (or the principal officer of a non-individual IA, or persons associated with investment advice) must meet one of the following: (a) A graduate degree from a recognized university or institution (Indian or foreign), or a CFA Charter from the CFA Institute, along with relevant NISM certification or certification from an NISM-accredited body; or (c) A Post Graduate Program in Securities Market (Investment Advisory) or Financial Planning from NISM, or any other NISM program as specified by SEBI.",1
2,TMP_030,TMP,"Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.","The first LEI circular was issued on June 01, 2017, and it was superseded by the Master Direction on March 27, 2026. That is approximately 8 years and 9 months — or just under 9 years — between the two dates.",1
2,TMP_032,TMP,"The 2025 Directions (issued November 28, 2025) were in effect during FY 2025-26. The 2026 Directions come into effect only from FY 2026-27 (i.e., from April 1, 2026).","The 2025 Directions were in effect during FY 2025-26. The 2026 Directions explicitly state they come into effect from FY 2026-27, and the 2025 Directions are listed as repealed in Annex III of the 2026 Directions.",1
2,REG_172,REG,"Under Regulation 9(f), a CRA shall not carry out any activity other than the rating of securities that are listed or proposed to be listed on a stock exchange recognized by SEBI. Two exceptions apply: (1) the CRA may carry out any other activity as may be specified by the Board; and (2) the CRA may carry out rating of financial instruments under the purview of any other financial sector regulator or authority as specified by the Board.","A credit rating agency is restricted to rating securities that are listed or proposed to be listed on a SEBI-recognized stock exchange. It cannot engage in any other business activity. However, two exceptions exist: (1) SEBI may specifically permit other activities; and (2) CRAs may rate financial instruments that fall under the purview of other financial sector regulators or authorities, to the extent specified by SEBI.",1
2,TMP_043,TMP,Within five Mumbai business days from the date of the transaction.,"If the market participant is unable to obtain the UTI within the required reporting deadline for a cross-border transaction, they are allowed up to five Mumbai business days from the date of the transaction to obtain and submit the UTI to CCIL-TR.",1
2,TMP_048,TMP,27-9-2002,"Regulations 69 to 74 of the SEBI (Mutual Funds) Regulations, 1996 were omitted with effect from September 27, 2002.",0
2,NUM_076,NUM,"₹57,408 crore","The total aggregate face value of State Government securities offered across all State Governments in the revised auction announced on March 21, 2026 is Rs 57,408 crore.",0
2,REG_071,REG,"Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have been granted.","SEBI must dispose of a complete prior approval request within 60 days from the date of receipt. If SEBI fails to communicate its decision within this 60-day period, prior approval is deemed to have been granted automatically.",1
2,NUM_103,NUM,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on ownership of any company's paid up capital carrying voting rights.","No, they may not acquire the additional 1%. The regulation states that no mutual fund under all its schemes should own more than 10% of any company's paid-up capital carrying voting rights. Currently holding 9.5%, acquiring a further 1% would take the total to 10.5%, which exceeds the 10% cap. Therefore, the acquisition is not permitted.",1
2,CON_052,CON,No,"No, they do not agree. Passage A permits mutual fund schemes to hold unlisted equity shares or equity-related instruments up to 5% of NAV for open-ended schemes and up to 10% for close-ended schemes. Passage B, on the other hand, completely prohibits any investment in unlisted equity by requiring all such investments to be in listed or to-be-listed securities. The two passages are directly contradictory on this point.",1
2,REG_128,REG,Send written communication to each unit holder and issue an advertisement in a nationwide English daily and a regional language newspaper; and provide unit holders an option to exit at the prevailing NAV without any exit load,"Before changing any fundamental attributes of a mutual fund scheme, the AMC must: (1) send a written communication about the proposed change to each unit holder and issue an advertisement in one English daily with nationwide circulation, as well as in a newspaper in the language of the region where the mutual fund's head office is located; and (2) give unit holders the option to exit at the prevailing Net Asset Value without any exit load.",1
2,NUM_130,NUM,"The requirement under Regulation 4(e) is a continuous net worth of at least Rs 100 crore per audited annual accounts for the previous five years. The five years preceding December 2025 would be FY 2020-21 through FY 2024-25. Net worth history: FY 2020-21: Rs 95 crore (fails — below Rs 100 crore), FY 2021-22: Rs 102 crore, FY 2022-23: Rs 110 crore, FY 2023-24: Rs 108 crore, FY 2024-25: Rs 115 crore. Since FY 2020-21 (Rs 95 crore) is below the Rs 100 crore threshold, the 'continuous' net worth requirement is not met. The body corporate does not meet the eligibility criterion under Regulation 4(e).","No, it does not meet the eligibility criterion. Regulation 4(e) requires a continuous net worth of at least Rs 100 crore for each of the five years preceding the application. The body corporate's net worth for 2020-21 was Rs 95 crore, which is below the Rs 100 crore threshold. Since the requirement is for continuous net worth across all five preceding years, failing even one year disqualifies the applicant.",1
2,NUM_126,NUM,"The promoter must maintain at least 26% shareholding for a minimum of three years from the date of grant of registration. Three years from April 1, 2023 = April 1, 2026. June 15, 2026 is after April 1, 2026, so the lock-in period of three years has expired by then. After April 1, 2026, the promoter is no longer bound by the 3-year lock-in. However, reducing to 20% would breach the minimum 26% threshold if this obligation is ongoing beyond the three-year period (which the regulation's wording 'for a minimum period of three years' suggests is a lock-in, not a permanent requirement). The regulation specifies a minimum period of three years; after that, the 26% floor from Regulation 9(e) no longer applies as a mandatory minimum. Therefore, the promoter can reduce its shareholding to 20% on June 15, 2026.","No, the promoter cannot legally reduce its shareholding to 20% on June 15, 2026. Under Regulation 9(e), the promoter must maintain a minimum shareholding of 26% for at least three years from the date of grant of registration. The CRA was registered on April 1, 2023, and the three-year lock-in period ends on April 1, 2026. While the lock-in has technically expired by June 15, 2026, reducing the shareholding to 20% would fall below the required 26% minimum. The regulation mandates a minimum of 26% during the lock-in period — it does not speak to what happens after, but a drop to 20% during a period where the minimum must be maintained would be a violation if done before the period ends. Since June 15, 2026 is after April 1, 2026, the lock-in has expired — so structurally the restriction no longer applies after that date. However, the regulation only mandates 26% for the minimum three-year period; after that, no floor is specified in this provision. So technically, after April 1, 2026, the promoter may reduce its holding, and June 15, 2026 is past that date. The answer is: yes, it is legally permissible, since the three-year minimum period has already concluded by June 15, 2026.",1
2,TMP_050,TMP,Replaced the enumeration of specific advertising media with a broader definition covering all forms of communication that may influence investment decisions of investors,"The original definition of 'advertisement' was a detailed, media-specific list — it enumerated particular forms like publications, television, sound broadcasting, notices, and films. The SEBI (Mutual Funds) Amendment Regulations, 2012, effective 21 February 2012, replaced this with a broad, principles-based definition covering all forms of communication issued by or on behalf of the AMC/mutual fund that may influence investment decisions of any investor or prospective investor. The key shift was from a closed enumeration of media to a comprehensive, intent-based definition.",1
2,REG_101,REG,"No. No asset management company and no director (including independent director), officer or employee of an asset management company shall be eligible to be appointed as a trustee of any mutual fund.","No. Under Regulation 16(3) of SEBI (Mutual Funds) Regulations, 1996, no asset management company, and no director (including independent director), officer, or employee of an AMC, is eligible to be appointed as a trustee of any mutual fund.",1
2,REG_185,REG,25% or more of the voting rights in the target company (when combined with shares held by the acquirer and persons acting in concert).,"Under Regulation 3(1), the mandatory open offer obligation is triggered when an acquirer's shareholding or voting rights — together with those of persons acting in concert — reaches or exceeds 25% of the voting rights in the target company.",1
2,TMP_073,TMP,"The minimum net worth requirement was raised by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. The original 1999 regulations set a minimum of Rs five crore. The 2018 amendment increased this to Rs twenty-five crore — a five-fold increase of Rs twenty crore.","The minimum net worth requirement was raised on 30 May 2018, when the SEBI (CRA) (Amendment) Regulations, 2018 came into effect. The requirement was increased from Rs 5 crore to Rs 25 crore — a fivefold increase.",1
2,NUM_106,NUM,Six per cent of funds raised; the clause was omitted w.e.f. 16-4-2008,"Under the original Seventh Schedule, the maximum initial issue expenses for a mutual fund scheme were capped at 6% of the funds raised under that scheme. This provision was omitted by the SEBI (Mutual Funds) (Amendment) Regulations, 2008, with effect from 16 April 2008.",1
2,REG_163,REG,"Under Regulation 15(1)(d), Category III AIFs may invest not more than 10% of their investable funds in any single investee company (directly or through other AIF units). Large value funds for accredited investors in Category III may invest up to 20% of investable funds in a single investee company.","For regular Category III AIFs, the single-investee concentration limit is 10% of the investable funds (whether investing directly or through units of other AIFs). However, for large value funds for accredited investors within Category III, this limit is relaxed to 20% of the investable funds.",1
2,CON_039,CON,No,"No, they do not state the same amount. The original press release of March 20, 2026 stated that Uttarakhand's 18-year tenor offering was Rs 1,280 crore, while the revised press release of March 21, 2026 increased this to Rs 1,500 crore. The two documents differ on this figure.",1
2,TMP_035,TMP,"Two years plus up to six months extension, for a maximum of two and a half years from the commencement of these regulations.","The base period is two years from commencement of the regulations. SEBI may extend this by up to six months on sufficient cause. So the maximum total time available to furnish Form A information is two years and six months from the date of commencement of the SEBI (Intermediaries) Regulations, 2008 in relation to that intermediary.",1
2,REG_177,REG,"Under Regulation 21(1), a CRA must maintain all records for a minimum period of five years. The required records include: balance sheets, profit and loss accounts, auditor's reports, client agreements, information and correspondence from clients, ratings assigned (including upgrades and downgrades), rating notes and committee decisions, rating assignment letters, and fee particulars.","A credit rating agency must maintain records for a minimum period of five years. The records to be maintained include: balance sheets, profit and loss accounts, auditor's reports, agreements with each client, information supplied by clients, correspondence with clients, ratings assigned (including upgrades and downgrades), rating notes considered by the rating committee, records of rating committee decisions, letters assigning ratings, and particulars of fees charged.",1
2,REG_072,REG,"A photocopy of the certificate of registration, and the name and contact details of the compliance officer.","Every SEBI-registered intermediary must prominently display at all its offices, including branch offices: (1) a photocopy of its SEBI registration certificate; and (2) the name and contact details of the compliance officer, so investors know who to approach in case of a grievance.",1
2,REG_001,REG,At least fifteen crore rupees,"The issuer must have an average operating profit of at least Rs 15 crore, calculated on a restated and consolidated basis, during the preceding three years of twelve months each. Additionally, the issuer must have had operating profit in each of those three individual years — not just on average.",0
2,REG_161,REG,"Under Regulation 14, units of a close-ended AIF may be listed on a stock exchange subject to two conditions: (1) the minimum tradable lot must be Rs one crore; and (2) listing is permitted only after the final close of the fund or scheme. Listing is not permitted prior to the final close.",Units of a close-ended AIF may be listed on a stock exchange subject to two conditions: (1) the minimum tradable lot must be Rs 1 crore; and (2) listing is permitted only after the final close of the fund or scheme.,1
2,REG_091,REG,"January 01, 2027","The section on Unique Transaction Identifier (UTI) implementation under Section B of the RBI Master Direction on Unique Identifiers in Financial Markets 2026 comes into effect from January 01, 2027.",1
2,CON_003,CON,Yes,"Yes, the two passages prescribe different thresholds. Passage A sets the general rule: the minimum continuing interest for the Manager or Sponsor is 2.5% of the corpus or Rs 5 crore, whichever is lower. Passage B introduces a higher threshold specifically for Category III AIFs: the continuing interest must be not less than 5% of the corpus or Rs 10 crore, whichever is lower. So Category III AIFs face a stricter requirement compared to Category I and II AIFs.",1
2,CON_062,CON,No,"No, they do not impose the same threshold. The original definition required each investor (excluding certain exempted persons) to invest not less than Rs 70 crore. The amended definition, effective 19 November 2025, reduced this minimum investment threshold to Rs 25 crore per investor. So the two definitions differ significantly — the November 2025 amendment lowered the bar for what qualifies as a large value fund for accredited investors.",1
