id,task_type,difficulty,condition,question,ref_answer,prediction,correct
TMP_010,temporal_reasoning,hard,zero_shot,"After May 2021, which regulation number in which SEBI regulations defines the te","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018.",1
TMP_011,temporal_reasoning,hard,zero_shot,"Before September 2018, what phrase was used in the SEBI Takeover Regulations 201",Is made,'is made',1
NUM_073,numerical_reasoning,hard,zero_shot,"In Illustration 2, with Adjusted PAT of ₹38,000 crore and Bucket B5 (50% limit),","Maximum per Table 1: ₹19,000 crore (50% × ₹38,000). 75% of PAT: ₹30,375 crore (75% × ₹40,500). The Maximum Eligible Dividend is ₹19,000 crore, being the lower of the two.","Max payable as per Table 1 (50% of 38,000) (F): ₹19,000 crore.
75% of PAT (E): ₹30,375 crore.",1
NUM_086,numerical_reasoning,hard,zero_shot,A company has paid-up capital and free reserves of ₹500 crore before a buy-back.,Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).,"Maximum buy-back amount:
25% of ₹500 crore = 0.25 * 500 crore = ₹125 crore

Paid-up capital and free reserves after buy-back:
₹500 crore - ₹125 crore = ₹375 crore

Maximum total debt after buy-back:
2 * ₹375 crore = ₹750 crore

Final Answer:
Maximum buy-back amount: ₹125 crore
Maximum total debt aft",1
CON_040,contradiction_detection,hard,zero_shot,Does Passage B create an exception to the general rule in Passage A that every e,Yes,"Yes, Passage B creates an exception by allowing certain non-resident entities that are not legal entities to use the LEI code of their parent or management company, rather than requiring their own.",1
CON_041,contradiction_detection,hard,zero_shot,Do Chapters V and VI of the SEBI (Intermediaries) Regulations 2008 come into for,No,"No. Chapters V and VI come into force on the date of publication of the regulations, while other chapters come into force on dates appointed by the Board for different classes of intermediaries.",1
CON_045,contradiction_detection,hard,zero_shot,Do the two passages together indicate that open-market buy-back through stock ex,No,"Yes. Passage B explicitly states that a company may buy-back its shares from the open market through the stock exchange, while Passage A indicates this method will cease to be allowed from April 1, 2025, implying it is currently permitted.",0
TMP_039,temporal_reasoning,hard,zero_shot,"A counterparty entered into an OTC derivative transaction on December 15, 2026. ","No. The UTI requirements (Section B) come into effect from January 01, 2027, and apply only to transactions entered into on or after that date. A transaction on December 15, 2026 is not subject to UTI reporting.","No, because the transaction was entered into on December 15, 2026, and Section B on UTI comes into effect from January 01, 2027.",1
TMP_040,temporal_reasoning,hard,zero_shot,An intermediary's time-limited certificate expires in 18 months from the commenc,"The intermediary must apply at least three months before the earlier of: (a) expiry of the certificate (15 months from commencement), or (b) three months before two years from commencement (21 months). Since the certificate expires at 18 months, three months before that is 15 months from commencement — which is earlier than 21 months. So it must apply by 15 months from commencement.",Three months prior to the expiry of two years from the commencement of these regulations.,1
TMP_045,temporal_reasoning,hard,zero_shot,"In Illustration 3 of the RBI SFB Dividend Directions 2026, the bank paid interim","The constraint applies cumulatively across both payments. The Maximum Eligible Dividend (₹1,125 crore) is the total permitted across the full financial year. Since ₹500 crore has already been paid as interim dividend, the final dividend is capped at the remaining ₹625 crore (₹1,125 - ₹500).","The final dividend shall not be more than (G) - (H), where (G) is the Maximum Eligible Dividend and (H) is the interim dividend paid for FY 20X1-20X2. This implies the Maximum Eligible Dividend constraint applies cumulatively across both payments.",1
REG_004,regulatory_interpretation,medium,zero_shot,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion ",One-third,FAIL: Gemini retries exhausted,0
REG_005,regulatory_interpretation,medium,zero_shot,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contri",Three years from the date of allotment in the initial public offer,FAIL: Gemini retries exhausted,0
REG_008,regulatory_interpretation,medium,zero_shot,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,FAIL: Gemini retries exhausted,0
REG_009,regulatory_interpretation,medium,zero_shot,What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,FAIL: Gemini retries exhausted,0
REG_010,regulatory_interpretation,medium,zero_shot,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that t","Not less than five percent of the corpus or ten crore rupees, whichever is lower",FAIL: Gemini retries exhausted,0
REG_012,regulatory_interpretation,medium,zero_shot,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower",FAIL: Gemini retries exhausted,0
REG_016,regulatory_interpretation,medium,zero_shot,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage m",At least fifty percent,FAIL: Gemini retries exhausted,0
REG_022,regulatory_interpretation,medium,zero_shot,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue",A minimum period of eight years,FAIL: Gemini retries exhausted,0
REG_023,regulatory_interpretation,medium,zero_shot,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is t",Five per cent of the paid-up equity share capital,FAIL: Gemini retries exhausted,0
REG_024,regulatory_interpretation,medium,zero_shot,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareh",More than ten per cent of the paid-up share capital,FAIL: Gemini retries exhausted,0
NUM_001,numerical_reasoning,medium,zero_shot,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets ",Nine crore rupees (three crore rupees per year × three years),FAIL: Gemini retries exhausted,0
NUM_002,numerical_reasoning,medium,zero_shot,If the total portion available for allocation to qualified institutional buyers ,180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),FAIL: Gemini retries exhausted,0
NUM_003,numerical_reasoning,medium,zero_shot,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obli",100 crore rupees (5 crore net worth × 20 = 100 crore),FAIL: Gemini retries exhausted,0
NUM_006,numerical_reasoning,medium,zero_shot,For a listed entity whose audit committee has the minimum permissible number of ,"Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)",FAIL: Gemini retries exhausted,0
NUM_008,numerical_reasoning,medium,zero_shot,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in a",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),FAIL: Gemini retries exhausted,0
NUM_010,numerical_reasoning,medium,zero_shot,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeti",By 29 July of the same year (1 April + 120 days = 29 July),FAIL: Gemini retries exhausted,0
NUM_068,numerical_reasoning,medium,zero_shot,A Small Finance Bank has a Tier 1 Capital Ratio of 11.72% and an Adjusted PAT of,"₹5,500 crore. Calculation: Bank falls in Bucket B4 (above 11.5% and up to 13.5%), which allows 40% of Adjusted PAT. 40% × ₹13,750 = ₹5,500 crore.",FAIL: Gemini retries exhausted,0
NUM_069,numerical_reasoning,medium,zero_shot,"Under RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is the low","₹5,500 crore. This is the lower of 75% of PAT (₹12,750 crore) and the Table 1 limit (₹5,500 crore).",FAIL: Gemini retries exhausted,0
NUM_070,numerical_reasoning,medium,zero_shot,"In Illustration 1 of the RBI SFB Dividend Directions 2026, the Maximum Eligible ","32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%.",FAIL: Gemini retries exhausted,0
NUM_071,numerical_reasoning,medium,zero_shot,"In Illustration 3, a Small Finance Bank has Maximum Eligible Dividend of ₹1,125 ","₹625 crore. Calculation: Maximum Eligible Dividend (₹1,125 crore) minus interim dividend already paid (₹500 crore) = ₹625 crore.",FAIL: Gemini retries exhausted,0
CON_001,contradiction_detection,medium,zero_shot,Do the two passages prescribe different lock-in periods for minimum promoters' c,Yes,FAIL: Gemini retries exhausted,0
CON_002,contradiction_detection,medium,zero_shot,Do the two passages prescribe different lock-in durations for excess promoters' ,No,FAIL: Gemini retries exhausted,0
CON_006,contradiction_detection,medium,zero_shot,Do the two passages prescribe different disclosure timelines for companies versu,No,FAIL: Gemini retries exhausted,0
CON_009,contradiction_detection,medium,zero_shot,Do the two passages collectively indicate that the 50% monetary asset limit alwa,No,FAIL: Gemini retries exhausted,0
CON_012,contradiction_detection,medium,zero_shot,Do the two passages indicate that the same open offer trigger threshold applies ,No,FAIL: Gemini retries exhausted,0
CON_031,contradiction_detection,medium,zero_shot,Do the two passages prescribe the same maximum limit for all buy-back transactio,No,FAIL: Gemini retries exhausted,0
CON_032,contradiction_detection,medium,zero_shot,Are the two passages contradictory regarding RBI's authority over Small Finance ,No,FAIL: Gemini retries exhausted,0
CON_033,contradiction_detection,medium,zero_shot,Do both passages describe intermediaries who hold permanent certificates under S,No,FAIL: Gemini retries exhausted,0
CON_034,contradiction_detection,medium,zero_shot,"Does the GoI dated securities auction announced on March 28, 2026 use a uniform ",No,FAIL: Gemini retries exhausted,0
CON_036,contradiction_detection,medium,zero_shot,Do both passages identify different categories of profits ineligible for dividen,Yes,FAIL: Gemini retries exhausted,0
TMP_001,temporal_reasoning,medium,zero_shot,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is c","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023",FAIL: Gemini retries exhausted,0
TMP_004,temporal_reasoning,medium,zero_shot,Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulat,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations, 2021, effective from 6 December 2021",FAIL: Gemini retries exhausted,0
TMP_006,temporal_reasoning,medium,zero_shot,Which amendment to SEBI ICDR Regulations broadened the definition of 'associate',"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025",FAIL: Gemini retries exhausted,0
TMP_007,temporal_reasoning,medium,zero_shot,"Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LO","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008",FAIL: Gemini retries exhausted,0
TMP_008,temporal_reasoning,medium,zero_shot,"Under SEBI AIF Regulations 2012, how long could funds registered under the earli","Five years from the commencement of the SEBI (AIF) Regulations, 2012",FAIL: Gemini retries exhausted,0
TMP_009,temporal_reasoning,medium,zero_shot,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before th",With the Board (SEBI),FAIL: Gemini retries exhausted,0
TMP_014,temporal_reasoning,medium,zero_shot,What term was used in SEBI REIT Regulations 2014 before the 2016 amendment repla,Sponsor(s),FAIL: Gemini retries exhausted,0
TMP_016,temporal_reasoning,medium,zero_shot,In which year was the concept of 'fugitive economic offender' first incorporated,"2018, effective from 16 November 2018",FAIL: Gemini retries exhausted,0
TMP_017,temporal_reasoning,medium,zero_shot,"Under SEBI AIF Regulations, from which date could social impact funds start issu","25 July 2022, following the Third Amendment Regulations, 2022",FAIL: Gemini retries exhausted,0
TMP_029,temporal_reasoning,medium,zero_shot,Among the five circulars superseded by the RBI Master Direction on Unique Identi,"CO.FMRD.MIOD.No.8/11.01.057/2025-26 dated February 18, 2026, which is the most recent of the five superseded circulars.",FAIL: Gemini retries exhausted,0
