id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason,judge_input_truncated
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered material if it exceeds what threshold — Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower?","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower","The threshold is Rupees one thousand crore or ten per cent of the annual consolidated turnover, whichever is lower.",1,1,"The model prediction correctly states the threshold as Rupees one thousand crore or ten per cent of the annual consolidated turnover, whichever is lower, as per SEBI LODR Regulations 2015.",0
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company notify the stock exchange of trades by designated persons after receiving a disclosure?",Within two trading days,"The company must notify the stock exchange within two trading days after receiving the disclosure.

Answer: Two trading days.",1,1,The model prediction correctly states the required notification period as per SEBI PIT Regulations 2015.,0
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that must elapse before trades can commence under an approved trading plan?",At least sixty days,"The mandatory cooling-off period is at least sixty days before trades can commence under an approved trading plan.

Answer: At least sixty days.",1,1,The model prediction correctly states the mandatory cooling-off period as per SEBI PIT Regulations 2015.,0
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier","The absolute latest deadline for submitting a settlement application, counted from the expiry of the sixty-day window, is 120 days. 

Answer: 120 days.",0,1,The model prediction correctly states the final deadline as 120 days from the expiry of the sixty-day window.,0
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage must the settlement amount be increased if an applicant re-applies after rejection due to non-payment of the earlier determined settlement amount?",At least fifty percent,"The settlement amount must be increased by a minimum of fifty percent.

Answer: 50%",0,1,The model prediction correctly states the minimum percentage increase required under SEBI Settlement Proceedings Regulations 2018 for re-applying after rejection due to non-payment.,0
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-ended mutual fund scheme can charge investors?",Three per cent of the applicable net asset value,"The maximum exit load that an open-ended mutual fund scheme can charge investors is three per cent of the applicable net asset value. 

Answer: 3% of the applicable net asset value.",1,1,The model prediction correctly states the maximum exit load as three per cent of the applicable net asset value under SEBI Mutual Funds Regulations.,0
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a resolution to trigger the winding up of a mutual fund scheme?",Seventy-five per cent of the unit holders,75%,0,1,The model prediction matches the SEBI Mutual Funds Regulations stating that seventy-five per cent of the unit holders must pass a resolution to trigger the winding up of a mutual fund scheme.,0
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",50 crore,The minimum net worth requirement for a Professional Clearing Member is 50 crore.,1,1,The model prediction correctly states the minimum net worth requirement for a Professional Clearing Member under SEBI Stock Brokers Regulations 2026 as 50 crore.,0
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",At least twenty-one days,"The minimum notice period is 21 days. 

Answer: 21 days.",0,1,The model prediction correctly states the minimum notice period as per SEBI NCS Regulations 2021.,0
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange?",Five hundred crore rupees or more,"The minimum asset size required is five hundred crore rupees. 

Answer: Five hundred crore rupees.",0,1,The model prediction correctly identifies the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange under SEBI REIT Regulations 2014.,0
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,Eight years.,0,1,The model prediction matches the reference answer stating a minimum period of eight years.,0
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,"The maximum shareholding percentage is fifteen percent for specific entities like stock exchanges, depositories, banking companies, insurance companies, and public financial institutions.

Answer: 15%",0,0,"The model prediction states fifteen percent, whereas the correct answer according to SEBI regulations is five percent.",0
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,"The credit rating agency is prohibited from rating the issuer's securities if its shareholding exceeds 10% of the paid-up share capital.

Answer: 10%",0,1,The model prediction correctly states the threshold percentage as per SEBI Credit Rating Agencies Regulations 1999.,0
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",More than five per cent of the paid-up equity share capital,"The threshold shareholding in a depository that triggers the requirement for prior Board approval is more than five percent of the paid-up equity share capital.

Answer: Five percent.",1,1,"The model prediction correctly states the threshold shareholding as more than five percent, which matches the reference answer.",0
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets an eligible issuer must have cumulatively demonstrated across all three preceding years (treating each year's minimum separately)?",Nine crore rupees (three crore rupees per year × three years),"The minimum total net tangible assets required is calculated by adding the minimum for each of the three years. Each year must have at least ₹3 crore, so the total is 3 + 3 + 3 = ₹9 crore.

Answer: ₹9 crore.",0,1,The model correctly calculates the minimum total net tangible assets as per SEBI ICDR Regulations 2018.,0
NUM_002,numerical_reasoning,medium,"If the total portion available for allocation to qualified institutional buyers in a book-built IPO is 900 crore rupees, what is the maximum amount (in crore rupees) that can be allocated to anchor investors who are domestic mutual funds?",180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),"The maximum amount allocated to domestic mutual funds is calculated by first finding 60% of the QIB portion, which is 540 crore, then taking one-third of that amount.

Calculation:
- 60% of 900 crore = 540 crore (anchor investors)
- 1/3 of 540 crore = 180 crore (domestic mutual funds)

Answer: 180 c",1,1,The model prediction correctly calculates the maximum amount allocated to domestic mutual funds as 180 crore rupees.,0
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obligation a Self-Clearing Member can undertake, given its minimum net worth requirement?",100 crore rupees (5 crore net worth × 20 = 100 crore),"The maximum underwriting obligation for a Self-Clearing Member is calculated by multiplying the minimum net worth (5 crore) by twenty.

5 crore × 20 = 100 crore

Answer: 100 crore rupees.",1,1,The model correctly predicts the maximum underwriting obligation as 100 crore rupees by multiplying the minimum net worth (5 crore) by twenty.,0
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what is the minimum continuing interest the Manager or Sponsor must maintain — in crore rupees — as per SEBI AIF Regulations 2012?","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","The minimum continuing interest is calculated as 2.5% of the 20 crore corpus, which equals 0.5 crore rupees. Since this is lower than 5 crore, the answer is:

0.5 crore rupees.",1,1,"The model correctly calculated 2.5% of 20 crore rupees as 0.5 crore rupees, which is the minimum continuing interest as per SEBI AIF Regulations 2012.",0
NUM_005,numerical_reasoning,hard,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"The interest liability is calculated by multiplying the borrowed amount (20% of net assets) by the interest rate and the time period.

**Calculation:**
- Net assets: 500 crore rupees
- Maximum borrowing: 20% of 500 crore = 100 crore rupees
- Interest rate: 15% per annum
- Time period: 6 months = 0.5",1,1,The model prediction correctly calculates the interest liability as 7.5 crore rupees.,0
NUM_006,numerical_reasoning,medium,"For a listed entity whose audit committee has the minimum permissible number of members under SEBI LODR Regulations 2015, what is the minimum number of those members who must be independent directors?","Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","The minimum number of independent directors required on the audit committee is calculated by taking two-thirds of the minimum three members. 

Calculation: (2/3) × 3 = 2.

Answer: 2 independent directors.",1,1,The model correctly calculates two-thirds of the minimum three members as required by SEBI LODR Regulations 2015.,0
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum number of calendar days from the date of service of a show cause notice within which a settlement application can be filed (including the initial sixty-day window and the additional delayed period)?",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),"The total maximum number of calendar days from the date of service of the show cause notice within which a settlement application can be filed is 180 days.

180 calendar days",0,1,"The model prediction correctly states the total maximum number of calendar days as 180, which includes the initial 60-day window and the additional 120-day delayed period as per SEBI Settlement Procee",0
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in an open offer but then buys shares in the open market at Rs. 300 per share within the twenty-six-week post-tendering period, what additional amount per share must be paid to shareholders who accepted the open offer?",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),"The additional amount per share is calculated by subtracting the offer price from the higher price paid during the 26-week period.

**Calculation:**
Highest price paid during 26 weeks = ₹300  
Offer price = ₹250  
Additional amount per share = ₹300 - ₹250 = ₹50  

**Answer:** ₹50 per share",1,1,The model correctly calculates the additional amount per share as per SEBI Takeover Regulations 2011.,0
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, what is the latest calendar date on which the warrant holder can exercise the option to acquire equity shares, assuming the warrant exercise price is paid on the last permissible day?",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),"The latest calendar date by which the warrant holder can exercise the option is September 30, 2025.

Calculation:
- Warrant allotment date: January 1, 2024
- Warrant tenure: 18 months (ends on June 30, 2025)
- Exercise period after payment: 3 months from June 30, 2025
- Latest exercise date: Septemb",1,0,"The latest exercise date is calculated incorrectly; it should be 3 months after June 30, 2025, which is September 30, 2025, not September 30, 2024.",0
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeting on 1 April of a financial year, by what latest date must the second board meeting be held?",By 29 July of the same year (1 April + 120 days = 29 July),"The latest date for the second board meeting is July 30. 

Answer: July 30.",0,1,"The model prediction is correct as it matches the reference answer, which is derived from adding 120 days to 1 April.",0
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable funds of 500 crore rupees and invests the maximum permissible amount in a single investee company, how much can it invest in that company?",50 crore rupees (10% of 500 crore = 50 crore),"The maximum investment is calculated as 10% of 500 crore rupees.

10% of 500 crore = 0.10 × 500 crore = 50 crore rupees.

Answer: 50 crore rupees.",1,1,The model correctly applied the 10% threshold as per SEBI AIF Regulations 2012.,0
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the minimum number who must be independent directors?",Four independent directors (at least 50% of 8 = 4),"The minimum number of independent directors required is calculated by taking fifty percent of the total directors. 

Calculation: 50% of 8 directors = 0.5 * 8 = 4.

Answer: 4 independent directors.",1,1,The model correctly applied the rule stating that at least 50% of the board members must be independent directors.,0
TMP_001,temporal_reasoning,medium,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is currently in force — the one aligning with Companies Act 2013 sub-section (51) of section 2, or the earlier definition referring to the core management team excluding board members?","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023","The current definition of 'key managerial personnel' under the SEBI ICDR Regulations is the one substituted by the 2023 amendment, effective as of January 31, 2023, which replaced the earlier definition that referred to the core management team excluding board members.",0,1,"The model prediction correctly identifies the current definition of 'key managerial personnel' under SEBI ICDR Regulations as the one effective from January 31, 2023.",0
TMP_002,temporal_reasoning,easy,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later","The lock-in regime before 13 August 2021 required a minimum promoters' contribution to be locked in for three years from the date of commencement of commercial production or allotment, whichever was later. This was changed to eighteen months from the date of allotment in the initial public offer by ",1,1,"The model prediction correctly states the lock-in regime before 13 August 2021, which required a minimum promoters' contribution to be locked in for three years from the date of commencement of commer",0
TMP_003,temporal_reasoning,hard,"Under SEBI LODR Regulations 2015, which provisions came into force on the date of notification itself rather than after the ninety-day waiting period?",Sub-regulation (4) of regulation 23 and regulation 31A,"The provisions of sub-regulation (4) of regulation 23 and regulation 31A under the SEBI LODR Regulations 2015 came into force on the date of notification, September 2, 2015, rather than after the ninety-day period.",1,1,"The model prediction correctly identifies that sub-regulation (4) of regulation 23 and regulation 31A under the SEBI LODR Regulations 2015 came into force on the date of notification, September 2, 201",0
TMP_004,temporal_reasoning,medium,Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulations 2011 at the time those regulations came into force in October 2011?,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations, 2021, effective from 6 December 2021","No, the term 'Delisting Regulations' was not a defined term in the SEBI Takeover Regulations 2011 when they came into force in October 2011. The definition was inserted later, effective December 6, 2021.",1,1,The model correctly identified that 'Delisting Regulations' was not defined in the SEBI Takeover Regulations 2011 at the time of their enforcement in October 2011 and that the definition was inserted ,0
TMP_005,temporal_reasoning,easy,What was the name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019?,Institutional trading platform,"The name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019 was the ""institutional trading platform."" This was effective until the amendment on 5 April 2019, when it was renamed to the ""innovators growth platform."" 

Answer: Institutional Trading Platform.",1,1,"The model prediction correctly identifies the name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019 as the ""institutional trading platform.""",0
TMP_006,temporal_reasoning,medium,Which amendment to SEBI ICDR Regulations broadened the definition of 'associate' to also include entities qualifying as associates under applicable accounting standards?,"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","The SEBI (ICDR) (Amendment) Regulations, 2025, effective from March 8, 2025, broadened the definition of 'associate' to include entities under applicable accounting standards.",1,1,"The model prediction correctly identifies the SEBI (ICDR) (Amendment) Regulations, 2025, as the amendment that broadened the definition of 'associate'.",0
TMP_007,temporal_reasoning,medium,"Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LODR Regulations 2015 for the definition of 'non-convertible debt securities'?","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008","The SEBI LODR Regulations 2015 cross-referenced the SEBI (Issue and Listing of Debt Securities) Regulations, 2008 for the definition of 'non-convertible debt securities' before 7 September 2021.",1,1,"The model prediction correctly identifies that the SEBI LODR Regulations 2015 cross-referenced the SEBI (Issue and Listing of Debt Securities) Regulations, 2008 for the definition of 'non-convertible ",0
TMP_008,temporal_reasoning,medium,"Under SEBI AIF Regulations 2012, how long could funds registered under the earlier SEBI Venture Capital Funds Regulations, 1996 continue to be governed by those older regulations before being required to migrate?","Five years from the commencement of the SEBI (AIF) Regulations, 2012","Five years from the commencement of the SEBI (AIF) Regulations, 2012.",1,1,"The model prediction correctly states the five-year period as per SEBI AIF Regulations 2012 for funds registered under the older SEBI Venture Capital Funds Regulations, 1996.",0
TMP_009,temporal_reasoning,medium,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",With the Board (SEBI),"Before the 2025 amendment, the draft letter of offer was filed with the Board prior to 08.03.2025.",1,1,"The model prediction correctly states that the draft letter of offer was filed with the Board prior to 08.03.2025, which aligns with the SEBI ICDR Regulations before the 2025 amendment.",0
TMP_010,temporal_reasoning,hard,"After May 2021, which regulation number in which SEBI regulations defines the term 'main board' for the purposes of SEBI LODR Regulations 2015?","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","After May 2021, the term 'main board' is defined under regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018.",1,1,The model prediction correctly identifies the regulation number and the SEBI regulations that define the term 'main board' after May 2021.,0
TMP_011,temporal_reasoning,hard,"Before September 2018, what phrase was used in the SEBI Takeover Regulations 2011 in the definition of 'frequently traded shares' in place of 'is required to be made under these regulations'?",Is made,"Before September 2018, the phrase used was ""is made"".",1,1,"The phrase ""is made"" is paraphrased from ""is required to be made"" and maintains the original meaning.",0
TMP_012,temporal_reasoning,easy,The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act and year?,"The Securities and Exchange Board of India Act, 1992","The SEBI (Merchant Bankers) Regulations, 1992 were enacted under the SEBI Act, 1992.

Answer: The SEBI Act, 1992.",0,1,"The model prediction correctly identifies the SEBI Act under which the SEBI (Merchant Bankers) Regulations, 1992 were enacted.",0
TMP_013,temporal_reasoning,easy,"Which set of SEBI regulations originally established the regulatory framework for mutual funds in India that continues to govern mutual funds today, as reflected in the 2026 consolidated version?","The SEBI (Mutual Funds) Regulations, 1996",The SEBI (Mutual Funds) Regulations notified in 1996 originally established the regulatory framework for mutual funds in India.,1,1,"The SEBI (Mutual Funds) Regulations, 1996, is the correct set of regulations that established the regulatory framework for mutual funds in India.",0
TMP_014,temporal_reasoning,medium,What term was used in SEBI REIT Regulations 2014 before the 2016 amendment replaced it with the broader term 'sponsor group'?,Sponsor(s),"The term used before the 2016 amendment was ""sponsor(s)"". 

Answer: sponsor(s)",1,1,"The model correctly identified the term ""sponsor(s)"" as the one used before the 2016 amendment in SEBI REIT Regulations 2014.",0
TMP_015,temporal_reasoning,easy,Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) Regulations 2018?,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",The SEBI (ICDR) Regulations 2009 were enacted earlier than the SEBI (ICDR) Regulations 2018.,1,1,"The SEBI (ICDR) Regulations, 2009 were enacted earlier than the SEBI (ICDR) Regulations 2018.",0
TMP_016,temporal_reasoning,medium,In which year was the concept of 'fugitive economic offender' first incorporated into the SEBI LODR Regulations 2015?,"2018, effective from 16 November 2018",The concept of 'fugitive economic offender' was first incorporated into the SEBI LODR Regulations 2015 in 2018.,0,1,The model prediction correctly states that the concept of 'fugitive economic offender' was incorporated into the SEBI LODR Regulations 2015 in 2018.,0
TMP_017,temporal_reasoning,medium,"Under SEBI AIF Regulations, from which date could social impact funds start issuing 'social units' under the AIF regulatory framework?","25 July 2022, following the Third Amendment Regulations, 2022","July 25, 2022.",0,1,The model prediction matches the correct date for social impact funds to start issuing 'social units' under SEBI AIF Regulations.,0
REG_067,regulatory_interpretation,easy,Within how many days must a stock exchange forward a completed registration application to SEBI after receiving it?,Thirty days,30 days,1,1,The model prediction matches the reference answer of thirty days.,0
REG_068,regulatory_interpretation,easy,"Within how many days must an intermediary update material changes to the information it has furnished or uploaded under SEBI (Intermediaries) Regulations, 2008?",Fifteen days,15 days,1,1,The model prediction matches the reference answer of 15 days for updating material changes.,0
REG_069,regulatory_interpretation,easy,"What is the maximum time within which an intermediary must redress investor grievances under SEBI (Intermediaries) Regulations, 2008?",Forty-five days of receipt of the grievance,The maximum time within which an intermediary must redress investor grievances is forty-five days.,0,1,"The model prediction correctly states the maximum time as forty-five days, which matches the reference answer.",0
REG_070,regulatory_interpretation,easy,For how long is an applicant barred from making a fresh registration application if their application is rejected for containing false or misleading information?,One year from the date of rejection,One year.,0,1,The model prediction matches the reference answer's duration of barring an applicant from making a fresh registration application after a rejection due to false or misleading information.,0
REG_071,regulatory_interpretation,medium,"Under SEBI (Intermediaries) Regulations 2008, within how many days must SEBI dispose of a complete prior approval request for change in status or constitution? What is deemed to happen if SEBI fails to communicate its decision within this period?","Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have been granted.","The SEBI must dispose of a complete prior approval request within sixty days. If they fail to communicate their decision within this period, the approval is deemed granted. 

Answer: 60 days. If SEBI fails to communicate, approval is deemed granted.",1,1,The model prediction accurately reflects the requirement of sixty days for SEBI to dispose of a complete prior approval request and the consequence of approval being deemed granted if SEBI fails to co,0
REG_072,regulatory_interpretation,easy,"What two things must a SEBI-registered intermediary prominently display at all its offices, including branch offices?","A photocopy of the certificate of registration, and the name and contact details of the compliance officer.",The two things a SEBI-registered intermediary must prominently display are a photocopy of the certificate and the name and contact details of the compliance officer.,1,1,The model prediction correctly identifies the two requirements for display as per SEBI regulations.,0
REG_073,regulatory_interpretation,medium,Under what three circumstances can a permanent certificate granted to an intermediary under SEBI (Intermediaries) Regulations 2008 cease to be valid?,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with the regulations.","1. Surrendered by the intermediary  
2. Suspended  
3. Cancelled",1,1,The model prediction accurately reflects the three circumstances under which a permanent certificate can cease to be valid as per SEBI (Intermediaries) Regulations 2008.,0
REG_074,regulatory_interpretation,easy,"What minimum investment amount must an accredited investor commit to a portfolio manager in order to qualify as a 'large value accredited investor' under SEBI (Portfolio Managers) Regulations, 2020?",Ten crore rupees,"The minimum investment amount required is ten crore rupees, which is ₹100,000,000. 

Answer: ₹100,000,000 (ten crore rupees).",1,1,"The model prediction correctly states the minimum investment amount as ten crore rupees, which is equivalent to ₹100,000,000.",0
REG_075,regulatory_interpretation,easy,"What is the maximum permissible limit for any buy-back as a percentage of the aggregate of paid-up capital and free reserves, and on which financial statements is it based?","Twenty-five per cent, based on standalone or consolidated financial statements, whichever sets out a lower amount.","The maximum permissible limit for any buy-back is twenty-five per cent of the aggregate of paid-up capital and free reserves, based on the standalone or consolidated financial statements, whichever is lower. 

Answer: The maximum permissible limit is twenty-five per cent or less of the aggregate of ",1,1,"The model prediction correctly states the maximum permissible limit for buy-backs as twenty-five per cent of the aggregate of paid-up capital and free reserves, based on the standalone or consolidated",0
REG_076,regulatory_interpretation,easy,"What is the maximum debt-to-capital ratio (secured plus unsecured debts to paid-up capital and free reserves) permitted after a buy-back under SEBI (Buy-Back of Securities) Regulations, 2018?",2:1,The maximum debt-to-capital ratio permitted is 2:1.,0,1,The model prediction correctly states the maximum debt-to-capital ratio as per SEBI regulations.,0
REG_077,regulatory_interpretation,easy,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wait after the expiry of a preceding buy-back period before making another buy-back offer?",One year from the date of expiry of the buyback period of the preceding offer.,One year from the expiry date of the previous buy-back period.,1,1,The model prediction accurately reflects the SEBI regulation stating a one-year waiting period after the expiry of the previous buy-back period.,0
REG_078,regulatory_interpretation,medium,From which three sources may a company fund a buy-back of its shares under SEBI (Buy-Back of Securities) Regulations 2018? Is there any restriction on using proceeds of an earlier issue?,"Free reserves, securities premium account, or proceeds of issue of shares or specified securities. A company cannot use proceeds of an earlier issue of the same kind of shares or specified securities.","The three sources a company can use to fund a buy-back under SEBI (Buy-Back of Securities) Regulations 2018 are:

1. Free reserves
2. Securities premium account
3. Proceeds from the issue of any shares or other specified securities

There is a restriction: proceeds from an earlier issue of the same ",1,1,The model prediction accurately reflects the three sources for funding a buy-back as per SEBI (Buy-Back of Securities) Regulations 2018 and correctly states the restriction on using proceeds from an e,0
REG_079,regulatory_interpretation,medium,A company defaulted on repayment of a term loan. The default was remedied. After how long can the company conduct a buy-back?,After three years have lapsed since the default ceased to subsist.,"The company can conduct a buy-back immediately after remedying the default on the term loan because the three-year waiting period applies only to defaults on deposits, not term loans.

Answer: The company can conduct the buy-back immediately after remedying the default.",0,1,"The model correctly interprets that the three-year waiting period applies to defaults on deposits, not term loans, allowing immediate buy-back after remedying the default on a term loan.",0
REG_080,regulatory_interpretation,easy,"How does SEBI (Delisting of Equity Shares) Regulations, 2021 define 'compulsory delisting'?",Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.,"Compulsory delisting is defined as the delisting of equity shares of a company by a recognised stock exchange under Chapter V of the SEBI (Delisting of Equity Shares) Regulations, 2021.",1,1,"The model prediction accurately paraphrases the definition of 'compulsory delisting' as per SEBI (Delisting of Equity Shares) Regulations, 2021.",0
