id,task_type,auto_score,judge_score,flipped,judge_reason,question,ref_answer,prediction,model
TMP_031,temporal_reasoning,0,0,False,"The model prediction is incomplete as it cuts off before stating the 5% limit until March 31, 2025, and the subsequent complete prohibition, as provided in the reference answer.",Describe the step-by-step reduction in the maximum open-market buy-back limit th,"15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 20",(i) fifteen per cent of the paid up capital and free reserves of the company til,Gemini 2.5 Flash
TMP_040,temporal_reasoning,0,1,True,"The model prediction accurately captures the deadline of ""three months prior to expiry"" which is the essential information conveyed in the reference answer.",An intermediary's time-limited certificate expires in 18 months from the commenc,The intermediary must apply at least three months before the earlier of: (a) exp,Three months prior to the expiry of such period.,Gemini 2.5 Flash
TMP_041,temporal_reasoning,0,1,True,"The model prediction accurately states the start and end dates for the listing, which directly aligns with the period provided in the reference answer.",For how long was the Al-Nusrah Front listed on the ISIL (Da'esh) and Al-Qaida Sa,"Approximately 11 years and 9 months — from May 14, 2014 to February 27, 2026.","The Al-Nusrah Front was listed from May 14, 2014, until its removal on February ",Gemini 2.5 Flash
NUM_033,numerical_reasoning,0,1,True,"The model correctly calculates 2% of ten crore rupees as twenty lakh rupees and identifies it as the lower amount compared to fifty lakh rupees, matching the reference answer.","Under SEBI (InvIT) Regulations 2014, if an entity associated with the InvIT has ","Twenty lakh rupees (two per cent of ten crore rupees, being lower than fifty lak","Calculation:
2% of ten crore rupees = 0.02 * 10,00,00,000 = 20,00,000 rupees
Com",Gemini 2.5 Flash
NUM_034,numerical_reasoning,0,1,True,"The model correctly identifies 170 persons by excluding QIBs from the calculation, matching the reference answer's derived number and its implication of being within the limit.","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, if","No. The 45 qualified institutional buyers are excluded from the calculation, so ","Calculation: 170 non-QIB investors + 0 QIB investors = 170 investors

Final Answ",Gemini 2.5 Flash
NUM_037,numerical_reasoning,0,1,True,The model prediction correctly identifies that the entity does not meet the minimum ownership threshold for a government-linked entity under the SEBI (FPI) Regulations 2019.,"Under SEBI (FPI) Regulations 2019, if a government-linked entity is 70% directly",No. The minimum threshold for government ownership is at least seventy-five per ,"No.

Calculation:
The entity is 70% directly owned by a sovereign government.
Th",Gemini 2.5 Flash
NUM_038,numerical_reasoning,0,1,True,"The model's calculation of 8.89% is accurate and consistent with the reference's 8.9%, and its final conclusion that the partner would not be disqualified matches the reference.","Under SEBI (InvIT) Regulations 2014, a consulting firm had transactions worth ei","No. Eight lakh rupees out of ninety lakh rupees is approximately 8.9 per cent, w","Calculation: (8,00,000 / 90,00,000) * 100 = 8.89%

No, a partner of that firm wo",Gemini 2.5 Flash
NUM_039,numerical_reasoning,0,0,False,"The model's final answer of ""April 2"" is a wrong date, as the correct date derived from its own calculation and the reference is April 24.","Under SEBI (FPI) Regulations 2019, if a designated depository participant applic","By 24 April (thirty days from 25 March, the date all required information was fu","The later of the two dates is March 25, when all information has been furnished.",Gemini 2.5 Flash
REG_109,regulatory_interpretation,0,0,False,"The reference answer explicitly mentions ""SFB's Board of Directors"", directly contradicting the model's claim that SFBs are not mentioned.",What four factors must an SFB's Board of Directors consider when evaluating a pr,Divergence in NPA asset classification and provisioning including its trend; Aud,"The provided context does not mention SFBs (Small Finance Banks). It refers to """,Gemini 2.5 Flash
NUM_087,numerical_reasoning,0,1,True,"The model provides the correct numerical value of ten crore, and the formatting and additional text are permissible under the given rules.","What is the minimum average net annual profit (after depreciation, interest and ",At least rupees ten crore,Average net annual profit = ₹10 crore,Gemini 2.5 Flash
NUM_103,numerical_reasoning,0,1,True,"The model correctly calculates the combined holding and states that further acquisition is not allowed, which aligns with the 10% ownership cap mentioned in the reference.",All schemes of a mutual fund together hold 9.5% of ABC Limited's paid-up capital,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on own","9.5% + 1% = 10.5%

No, they may not acquire a further 1%.",Gemini 2.5 Flash
REG_141,regulatory_interpretation,0,1,True,"The model's prediction ""No"" accurately reflects the core negative answer (""No, not immediately"") provided by the reference, even though it lacks the detailed explanation.","Under SEBI IA Regulations, 2013, if an investment adviser advised clients to buy","No, not immediately. Under Regulation 15(7), an investment adviser is prohibited",No.,Gemini 2.5 Flash
REG_146,regulatory_interpretation,0,1,True,"The model's prediction ""No. No."" directly matches the core negative answer ""No on both counts"" provided in the reference.","Can an individual investment adviser registered under SEBI IA Regulations, 2013 ","No on both counts. Under Regulation 22(1), an individual investment adviser is p",No. No.,Gemini 2.5 Flash
NUM_114,numerical_reasoning,0,1,True,"The model's prediction that the April 16 transaction is permissible aligns with the reference answer, which states April 16 falls outside the 15-day prohibition window (April 1 to April 15 inclusive).",An investment adviser gave clients a sell recommendation on Bond X on April 1. O,The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 1,"Yes, the April 16 transaction is permissible.

Calculation:
Original advice give",Gemini 2.5 Flash
TMP_059,temporal_reasoning,0,1,True,"The model prediction accurately states the requirements under Regulation 7(1)(a) pre-2020 amendment, elaborating on the ""PG"" mentioned in the reference without contradiction.",How did the minimum qualification requirement for individual investment advisers,"Under the original 2013 regulations, Regulation 7(1)(a) required a professional ",Pre-2020 Amendment (Regulation 7(1)(a)): A professional qualification or graduat,Gemini 2.5 Flash
REG_153,regulatory_interpretation,0,1,True,"The model correctly states the minimum corpus requirement of twenty crore rupees for each scheme of an AIF, matching the reference, and also accurately provides the exception for social impact funds.",What is the minimum corpus requirement for each scheme of an Alternative Investm,"Under Regulation 10(b), each scheme of an AIF must have a corpus of at least Rs ",The minimum corpus requirement for each scheme of an Alternative Investment Fund,Gemini 2.5 Flash
REG_166,regulatory_interpretation,0,1,True,The model prediction accurately states the percentage value (75%) which matches the core fact in the reference answer.,What minimum percentage of investable funds must a venture capital fund (which i,"Under Regulation 16(2)(a), at least 75% of the investable funds of a venture cap",Seventy-five percent,Gemini 2.5 Flash
REG_180,regulatory_interpretation,0,1,True,"The model prediction accurately states the 10% shareholding and/or voting rights restriction between credit rating agencies, which aligns with the core information provided in the (truncated) referenc",What shareholding restrictions apply between credit rating agencies under SEBI (,"Under Regulation 24A, a CRA may not directly or indirectly hold 10% or more shar",A credit rating agency shall not directly or indirectly hold 10 per cent or more,Gemini 2.5 Flash
REG_186,regulatory_interpretation,0,0,False,"The model prediction ""Five per cent"" is incomplete as it omits the crucial qualifiers ""of voting rights"" and ""per financial year"" which are essential for a full and accurate regulatory answer.",An acquirer holds 30% voting rights in a target company. What is the maximum add,5% of voting rights per financial year.,Five per cent,Gemini 2.5 Flash
REG_192,regulatory_interpretation,0,0,False,"The model prediction omits the crucial timeframe ""as of the tenth working day from the closure"" which is an essential part of the reference answer's condition.","Under Regulation 7(1) of SEBI Takeovers Regulations 2011, what is the minimum op",At least 26% of the total shares of the target company (as of the tenth working ,At least twenty six per cent of total shares of the target company.,Gemini 2.5 Flash
TMP_065,temporal_reasoning,0,0,False,"The reference answer describes a change in investment threshold (""two-thirds"") but does not provide a specific date, making it impossible to verify the model's date prediction.",When was the minimum investment threshold for venture capital funds (in qualifyi,The minimum investment threshold for venture capital funds was raised from two-t,13-08-2021,Gemini 2.5 Flash
NUM_120,numerical_reasoning,0,1,True,"The model correctly states the required net worth threshold of 50 crore rupees and concludes 'No' based on the given net worth of 45 crore rupees, aligning with the reference answer.",A body corporate has a net worth of Rs 45 crore. Can it qualify as an accredited,"No. Under Regulation 2(1)(ab)(ii), a body corporate must have a net worth of at ","No.
Required net worth: 50 crore rupees
Current net worth: 45 crore rupees
Short",Gemini 2.5 Flash
REG_185,regulatory_interpretation,0,1,True,"The model correctly identifies the numerical threshold of ""Twenty-five per cent or more"", which is the core information regarding Regulation 3(1).",Under Regulation 3(1) of SEBI (Substantial Acquisition of Shares and Takeovers) ,25% or more of the voting rights in the target company (when combined with share,Twenty-five per cent or more,Gemini 2.5 Flash
REG_190,regulatory_interpretation,0,1,True,"The model prediction provides the correct duration, and the missing context is implicitly understood from the question itself.","Under Regulation 6(2), after completing a voluntary open offer, for how long is ",Six months after completion of the open offer.,Six months.,Gemini 2.5 Flash
REG_001,regulatory_interpretation,0,1,True,"The model prediction correctly states the minimum average operating profit as fifteen crore rupees, matching the reference answer exactly, while providing relevant contextual details.",What is the minimum average operating profit an issuer must have over the preced,At least fifteen crore rupees,The minimum average operating profit an issuer must have over the preceding thre,Qwen3-32B
REG_002,regulatory_interpretation,0,1,True,"The model prediction ""75%"" accurately reflects the value ""seventy five per cent"" stated in the reference answer, differing only in formatting.","Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,75%,Qwen3-32B
REG_008,regulatory_interpretation,0,0,False,"The reference states ""More than five per cent"" (>5%), while the model predicts ""5%"", which is a different threshold.","Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,5%,Qwen3-32B
REG_009,regulatory_interpretation,0,1,True,"The model prediction ""25 lakh rupees"" expresses the same monetary value as the reference answer ""Twenty five lakh rupees"", with only a difference in numerical formatting which is permitted by the rule",What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,25 lakh rupees.,Qwen3-32B
REG_011,regulatory_interpretation,0,1,True,"The model prediction of ""120 days"" conveys the same duration as ""One hundred and twenty days"" in the reference answer, differing only in numerical versus textual format, which is permissible.","Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,120 days.,Qwen3-32B
REG_014,regulatory_interpretation,0,1,True,"The model provides the correct duration of ""sixty days"" which aligns with the ""at least sixty days"" mentioned in the reference for the mandatory cooling-off period.","Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that m",At least sixty days,Sixty days.,Qwen3-32B
REG_015,regulatory_interpretation,0,0,False,"The model prediction omits the crucial condition ""or after the first hearing, whichever is earlier"" which is essential for defining the absolute latest deadline as per the reference.","Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest ","One hundred and twenty calendar days from the expiry of the sixty-day period, or",The absolute latest deadline is 120 calendar days from the expiry of the period ,Qwen3-32B
REG_018,regulatory_interpretation,0,1,True,"The model prediction provides the correct percentage value, which is numerically equivalent to the reference answer, and different formatting is permitted by the rules.","Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a",Seventy-five per cent of the unit holders,75%,Qwen3-32B
REG_020,regulatory_interpretation,0,1,True,"The model prediction provides the correct minimum number of days, and the difference in phrasing and numeral format does not make it incorrect.","Under SEBI NCS Regulations 2021, what is the minimum notice period that an issue",At least twenty-one days,21 days.,Qwen3-32B
REG_023,regulatory_interpretation,0,1,True,"The model prediction correctly includes the '5%' limit stated in the reference answer and accurately adds the '15%' limit for specific entities, both of which are valid under SEBI Stock Exchanges and ","Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is t",Five per cent of the paid-up equity share capital,"5% or 15% in the case of stock exchanges, depositories, banking companies, insur",Qwen3-32B
REG_024,regulatory_interpretation,0,0,False,"The model prediction states ""10%"", but the reference answer specifies ""More than ten per cent"", indicating a different threshold.","Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareh",More than ten per cent of the paid-up share capital,10%,Qwen3-32B
NUM_004,numerical_reasoning,0,1,True,"The model correctly calculates 2.5% of 20 crore rupees as 0.5 crore rupees, matching the reference answer.","For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what i","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","Minimum continuing interest = 2.5% of 20 crore = 0.5 crore rupees.  
Final Answe",Qwen3-32B
NUM_010,numerical_reasoning,0,0,False,"The model incorrectly calculates 1 April + 120 days as 1 July; the correct date, counting April 1st as day one, is 29 July.","Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeti",By 29 July of the same year (1 April + 120 days = 29 July),1 April + 120 days = 1 July. The second board meeting must be held by 1 July.,Qwen3-32B
NUM_012,numerical_reasoning,0,1,True,"The model correctly calculates 50% of 8 directors to arrive at the answer of 4, matching the reference answer.","Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the",Four independent directors (at least 50% of 8 = 4),"Calculation:  
50% of 8 directors = 0.5 × 8 = 4  

Final Answer: 4 directors",Qwen3-32B
REG_077,regulatory_interpretation,0,0,False,"While the duration ""One year"" is correct, the model prediction is incomplete as it omits the crucial starting point for this waiting period, which is ""from the date of expiry of the buyback period of ","Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wa",One year from the date of expiry of the buyback period of the preceding offer.,One year.,Qwen3-32B
NUM_075,numerical_reasoning,0,1,True,"The model correctly identifies the amount as ₹12,000 crore and calculates the percentage as 41.38%, which is consistent with the reference answer's 41.4% due to rounding.","In the GoI dated securities auction announced on March 28, 2026, what is the tot","₹12,000 crore. It represents approximately 41.4% of the total notified amount (₹","Total notified amount for the 7.43% GS 2076 security: ₹12,000 crore  
Total auct",Qwen3-32B
NUM_077,numerical_reasoning,0,1,True,"The model's final answer of 3900 crore matches the numerical value and unit in the reference answer, with only a formatting difference for the currency symbol which is permitted.",How much in total is Andhra Pradesh seeking to raise across all three of its sec,"₹3,900 crore. Calculation: ₹1,500 + ₹1,500 + ₹900 = ₹3,900 crore.","1500 + 1500 + 900 = 3900 crore.  
Final Answer: 3900 crore.",Qwen3-32B
NUM_078,numerical_reasoning,0,1,True,"The model's final answer of ₹10,000 crore matches the reference answer's total amount, and the calculation is arithmetically equivalent.",What is the total amount Karnataka is raising across all its five securities in ,"₹10,000 crore. Calculation: ₹2,000 × 5 securities = ₹10,000 crore.","2000 + 2000 + 2000 + 2000 + 2000 = 10,000

Final Answer: ₹10,000 crore",Qwen3-32B
NUM_082,numerical_reasoning,0,1,True,"The model prediction accurately states the total reserves and the weekly variation, matching the reference answer exactly.","As on March 13, 2026, what was India's total foreign exchange reserve in US doll","Total reserves: US$ 709,759 million. Weekly variation: a decrease of US$ 7,052 m","India's total foreign exchange reserve as on March 13, 2026, was **US$ 709,759 m",Qwen3-32B
NUM_084,numerical_reasoning,0,0,False,The model's final answer of 0.33% does not match the reference answer of 11.5% and also contains a calculation error in its intermediate steps.,"As of February 28, 2026, what was the year-on-year growth rate of M3 (broad mone",11.5%,Year-on-Year Growth Rate = (Amount in 2026 - Amount in 2025) / Amount in 2025 × ,Qwen3-32B
TMP_035,temporal_reasoning,0,1,True,"The model's prediction of ""two years and six months"" for the maximum total time directly matches the ""maximum of two and a half years"" stated in the reference answer.","Under SEBI (Intermediaries) Regulations 2008, an intermediary holding a permanen","Two years plus up to six months extension, for a maximum of two and a half years",The maximum total time available is two years and six months.,Qwen3-32B
TMP_044,temporal_reasoning,0,1,True,"The model correctly calculates that if the one-year restriction period ends on June 15, 2026, then the earliest date for a new offer is the following day, June 16, 2026.","A company completed its buy-back (i.e., made the final payment to shareholders) ","June 15, 2026 — one year from the expiry date (June 15, 2025) of the buyback per",The earliest date on which the company can launch its next buy-back offer is Jun,Qwen3-32B
REG_055,regulatory_interpretation,0,1,True,"The model prediction ""Quarterly"" accurately matches the frequency ""On a quarterly basis"" provided in the reference answer.","Under SEBI (InvIT) Regulations 2014, how frequently must the trustee obtain a co",On a quarterly basis,Quarterly.,Qwen3-32B
REG_058,regulatory_interpretation,0,1,True,"The model prediction accurately states the percentage value as 90%, which is equivalent to ""Not less than ninety per cent"" from the reference answer.","Under SEBI (InvIT) Regulations 2014, what minimum percentage of its assets must ",Not less than ninety per cent,90%,Qwen3-32B
REG_064,regulatory_interpretation,0,1,True,"The model prediction ""Four"" accurately represents the maximum number implied by ""Not more than four"".","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, wh",Not more than four,Four.,Qwen3-32B
REG_065,regulatory_interpretation,0,1,True,"The model prediction conveys the same number of days as the reference answer, differing only in numerical versus word format, which is considered a correct match under the given rules.","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, fo",The preceding three hundred and sixty five days,365 days,Qwen3-32B
NUM_033,numerical_reasoning,0,0,False,"The model incorrectly represents ""Fifty lakh rupees"" as ""50,0"" instead of ""50,00,000"", which is a significant numerical error.","Under SEBI (InvIT) Regulations 2014, if an entity associated with the InvIT has ","Twenty lakh rupees (two per cent of ten crore rupees, being lower than fifty lak","Calculation:
Gross turnover of the entity = 10 crore rupees
Two percent of gross",Qwen3-32B
NUM_034,numerical_reasoning,0,1,True,The model correctly identifies that Qualified Institutional Buyers (QIBs) are excluded from the 200-person limit calculation and correctly determines that the remaining 170 persons are within the limi,"Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, if","No. The 45 qualified institutional buyers are excluded from the calculation, so ","Calculation:  
Number of non-QIB investors = 170  
Number of QIBs = 45  

As per",Qwen3-32B
NUM_035,numerical_reasoning,0,1,True,The model prediction correctly calculates the date and matches the final value provided in the reference answer.,"Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, if",26 May 2025 (after expiry of the twenty one days notice period from 5 May),21 days after 5 May 2025 is 26 May 2025. The earliest date on which the roll-ove,Qwen3-32B
NUM_036,numerical_reasoning,0,1,True,"The model correctly identifies that 499 crore rupees is below the threshold of 500 crore rupees for a family trust to qualify as an institutional investor under SEBI (InvIT) Regulations 2014, leading ","Under SEBI (InvIT) Regulations 2014, does a family trust with a net worth of fou",No. The threshold is more than five hundred crore rupees; four hundred and ninet,"Net worth of family trust = 499 crore rupees  
Required net worth for institutio",Qwen3-32B
NUM_037,numerical_reasoning,0,1,True,The model correctly identifies that a 70% government-linked entity does not meet the 75% minimum ownership threshold required for Category I FPI status.,"Under SEBI (FPI) Regulations 2019, if a government-linked entity is 70% directly",No. The minimum threshold for government ownership is at least seventy-five per ,"No, it does not qualify as a Category I foreign portfolio investor on the basis ",Qwen3-32B
NUM_038,numerical_reasoning,0,1,True,"The model correctly calculates the percentage of the transaction as 8.89%, which is below the 10% threshold, and therefore correctly concludes that the disqualification criterion is not triggered, ali","Under SEBI (InvIT) Regulations 2014, a consulting firm had transactions worth ei","No. Eight lakh rupees out of ninety lakh rupees is approximately 8.9 per cent, w","Calculation:  
Transaction value with InvIT = ₹8,00,000  
Gross turnover of the ",Qwen3-32B
NUM_090,numerical_reasoning,0,1,True,"The model prediction accurately states the required net worth of 10 crore rupees, which matches the value specified in the reference answer.",What is the minimum networth required for an AMC that is only eligible to launch,Not less than rupees ten crore,10 crore rupees.,Qwen3-32B
NUM_091,numerical_reasoning,0,1,True,"The model accurately states the AMC capitalization threshold, lock-in period, and minimum combined experience, which correctly paraphrases the reference information.","Under the 2023 amendment to Regulation 7, if a sponsor fails all eligibility req",AMC net worth not less than rupees one hundred fifty crore; locked-in for five y,"AMC capitalization threshold: ₹150 crore  
Lock-in period: 5 years  
Minimum com",Qwen3-32B
TMP_048,temporal_reasoning,0,1,True,The model prediction provides the correct date given in the reference answer and adds helpful context that does not contradict the core fact.,"From what date were Regulations 69 to 74 of SEBI (Mutual Funds) Regulations, 199",27-9-2002,They were omitted w.e.f. 27-9-2002.,Qwen3-32B
REG_116,regulatory_interpretation,0,1,True,"The model prediction of ""10%"" accurately reflects the ""ten per cent"" stated in the reference answer as the maximum ownership stake.",What is the maximum combined ownership stake that all schemes of a mutual fund m,Not more than ten per cent of any company's paid up capital carrying voting righ,10%,Qwen3-32B
REG_125,regulatory_interpretation,0,1,True,"The model prediction correctly identifies ""Trustees"" as the entity whose prior approval is required, which aligns with the reference answer despite being more concise.","Under SEBI (Mutual Funds) Regulations, 1996, whose prior approval is required be",Prior approval of the trustees,Trustees.,Qwen3-32B
NUM_103,numerical_reasoning,0,1,True,"The model correctly calculates the combined holding and determines that it exceeds the 10% limit, leading to the correct final answer ""No"".",All schemes of a mutual fund together hold 9.5% of ABC Limited's paid-up capital,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on own","Current holding: 9.5%  
Maximum allowed: 10%  

9.5% + 1% = 10.5%  

Since 10.5%",Qwen3-32B
REG_136,regulatory_interpretation,0,1,True,"The model prediction accurately states that the certificate is valid until suspended or cancelled by the Board, which matches the core information provided in the reference answer.",For how long is a certificate of registration granted to an investment adviser u,The certificate of registration is valid till it is suspended or cancelled by th,The certificate of registration granted to an investment adviser under SEBI (Inv,Qwen3-32B
REG_138,regulatory_interpretation,0,1,True,"The model correctly identified the maximum number of clients as 75, which matches the information provided in the reference answer.",What is the maximum number of clients that a part-time investment adviser regist,A part-time investment adviser shall not have more than seventy-five clients in ,75,Qwen3-32B
REG_141,regulatory_interpretation,0,1,True,"The model correctly answers ""No,"" which aligns with the reference answer's initial negative response to the implicit question about whether the investment adviser can act immediately.","Under SEBI IA Regulations, 2013, if an investment adviser advised clients to buy","No, not immediately. Under Regulation 15(7), an investment adviser is prohibited",No.,Qwen3-32B
NUM_114,numerical_reasoning,0,0,False,"The model's reasoning incorrectly states the 15-day restriction expires on April 16, whereas the reference indicates the prohibition window ends on April 15, and introduces an irrelevant and unreferen",An investment adviser gave clients a sell recommendation on Bond X on April 1. O,The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 1,April 1 (sell recommendation) + 15 days = April 16. The 15-day restriction expir,Qwen3-32B
REG_153,regulatory_interpretation,0,1,True,"The model correctly states the minimum corpus requirements for general AIF schemes and social impact funds, matching the values provided in the reference answer.",What is the minimum corpus requirement for each scheme of an Alternative Investm,"Under Regulation 10(b), each scheme of an AIF must have a corpus of at least Rs ",The minimum corpus requirement for each scheme of an Alternative Investment Fund,Qwen3-32B
REG_156,regulatory_interpretation,0,1,True,"The model correctly states the maximum number of investors as one thousand and accurately notes that accredited investors are not counted toward this limit, aligning with the reference answer.",What is the maximum number of investors permitted in a single scheme of an Alter,"Under Regulation 10(f), no scheme of an AIF shall have more than one thousand in",The maximum number of investors permitted in a single scheme of an Alternative I,Qwen3-32B
REG_179,regulatory_interpretation,0,1,True,"The model accurately identifies the rating committee as having the authority for rating decisions and changes, and correctly states that a CRA cannot rate its own securities, aligning with the key fac",Who has the authority to take rating decisions (including rating changes) under ,"Under Regulation 24(4), all rating decisions — including decisions on changes in","The rating committee has the authority to take rating decisions, including chang",Qwen3-32B
NUM_127,numerical_reasoning,0,1,True,"The model correctly calculates the required liquid net worth as Rs 11 crore, which matches the final answer in the reference.",A Category I ESG rating provider applicant projects cumulative cash losses of Rs,The minimum liquid net worth at application time is the higher of: (A) Rs 10 cro,B. Addition of rupees five crores and the target on cumulative cash losses until,Qwen3-32B
REG_190,regulatory_interpretation,0,1,True,"The model prediction provides the correct duration, which is the core fact requested by the question, matching the reference answer.","Under Regulation 6(2), after completing a voluntary open offer, for how long is ",Six months after completion of the open offer.,Six months.,Qwen3-32B
NUM_135,numerical_reasoning,0,1,True,"The model correctly calculates 1% of 600 crore as 6 crore, matching the final value and fact in the reference answer.",An acquirer's total consideration payable under an open offer is Rs 600 crore. U,At least 1% of total consideration payable = 1% of Rs 600 crore = Rs 6 crore mus,"1% of 600 crore = 0.01 × 600 = 6 crore  
Minimum cash deposit required = 6 crore",Qwen3-32B
NUM_136,numerical_reasoning,0,0,False,The model incorrectly calculated 0.5% of Rs 400 crore as Rs 20 crore instead of the correct Rs 2 crore.,An acquirer makes a mandatory open offer where the total consideration payable i,"Consideration is more than Rs 10 crore but less than or equal to Rs 1,000 crore:","The offer size is Rs 400 crore, which falls in the bracket of ""more than ten cro",Qwen3-32B
TMP_081,temporal_reasoning,0,1,True,"The model accurately states the effective date for Regulation 6A, and provides a date for Regulation 6B which is not contradicted by the incomplete reference answer.",When did SEBI introduce separate prohibitions on wilful defaulters and fugitive ,The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second ,SEBI introduced separate prohibitions on wilful defaulters and fugitive economic,Qwen3-32B
TMP_088,temporal_reasoning,0,1,True,"The model accurately states the introduction date and the instrument, and correctly identifies the maximum duration for which SEBI can grant such an exemption, aligning with all key facts in the refer",When was the regulatory sandbox exemption introduced into SEBI Takeovers Regulat,The regulatory sandbox provision (Regulation 31A) was inserted by the SEBI (Regu,The regulatory sandbox exemption was introduced into SEBI Takeovers Regulations ,Qwen3-32B
REG_002,regulatory_interpretation,0,1,True,"The model prediction of ""75%"" accurately reflects the ""seventy five per cent"" mentioned in the reference answer, with only a difference in formatting.","Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,75%,LLaMA-3.3-70B
