id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason,judge_input_truncated
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that must elapse before trades can commence under an approved trading plan?",At least sixty days,A cooling‑off period of at least 60 days must elapse before trades can commence under an approved trading plan.,1,1,The model prediction correctly states the mandatory cooling-off period as per SEBI PIT Regulations 2015.,0
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",120 calendar days after the expiry of the sixty‑day window.,1,1,The model prediction correctly states the deadline as 120 calendar days after the expiry of the sixty-day window.,0
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage must the settlement amount be increased if an applicant re-applies after rejection due to non-payment of the earlier determined settlement amount?",At least fifty percent,At least 50 percent.,1,1,The model prediction matches the reference answer of at least fifty percent increase.,0
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-ended mutual fund scheme can charge investors?",Three per cent of the applicable net asset value,Three percent of the applicable net asset value.,1,1,The model prediction matches the reference answer exactly.,0
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a resolution to trigger the winding up of a mutual fund scheme?",Seventy-five per cent of the unit holders,75% of the unit holders must pass the resolution.,0,1,The model prediction correctly states the required percentage of unit holders for the winding up of a mutual fund scheme as per SEBI Mutual Funds Regulations.,0
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",50 crore,50 crore.,1,1,The model prediction matches the minimum net worth requirement for a Professional Clearing Member under SEBI Stock Brokers Regulations 2026.,0
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",At least twenty-one days,Twenty‑one days.,1,1,The model prediction matches the SEBI NCS Regulations 2021 requirement for a minimum notice period of twenty-one days for non-convertible securities before a buy-back right becomes exercisable.,0
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange?",Five hundred crore rupees or more,Five hundred crore rupees.,1,1,The model prediction matches the minimum asset size requirement for a REIT to issue units for listing as per SEBI REIT Regulations 2014.,0
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,Eight years.,0,1,The model prediction matches the reference answer of maintaining records for a minimum period of eight years.,0
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,15 percent.,0,0,The model prediction of 15 percent is incorrect; the correct maximum shareholding percentage is five percent.,0
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,More than 10 percent of the issuer’s paid‑up share capital.,1,1,The model prediction matches the reference answer exactly.,0
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",More than five per cent of the paid-up equity share capital,More than 5 percent of the depository’s paid‑up equity share capital.,1,1,The model prediction correctly states the threshold shareholding as more than 5 percent of the depository's paid-up equity share capital.,0
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets an eligible issuer must have cumulatively demonstrated across all three preceding years (treating each year's minimum separately)?",Nine crore rupees (three crore rupees per year × three years),"Minimum per year = 3 crore ₹  
Cumulative over three years = 3 crore ₹ × 3 years = **9 crore ₹**.",1,1,The model correctly calculates the cumulative minimum total net tangible assets as per SEBI ICDR Regulations 2018.,0
NUM_002,numerical_reasoning,medium,"If the total portion available for allocation to qualified institutional buyers in a book-built IPO is 900 crore rupees, what is the maximum amount (in crore rupees) that can be allocated to anchor investors who are domestic mutual funds?",180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),"Maximum anchor‑investor allocation = 60 % × 900 cr = 0.60 × 900 = 540 cr  
Domestic mutual‑fund reserve = 1⁄3 × 540 cr = 540 ÷ 3 = 180 cr  

**Answer: 180 crore rupees**",1,1,The final value matches the reference answer.,0
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obligation a Self-Clearing Member can undertake, given its minimum net worth requirement?",100 crore rupees (5 crore net worth × 20 = 100 crore),"Maximum underwriting obligation = 20 × Net Worth  
Net Worth of a Self‑Clearing Member (minimum) = 5 crore  

Calculation:  
5 crore × 20 = 100 crore  

**Final answer: 100 crore**",1,1,The model correctly calculates the maximum underwriting obligation as 100 crore rupees based on the given net worth requirement and the multiplier.,0
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what is the minimum continuing interest the Manager or Sponsor must maintain — in crore rupees — as per SEBI AIF Regulations 2012?","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","2.5 % of 20 crore ₹ = 0.025 × 20 = 0.5 crore ₹.  
The alternative threshold is 5 crore ₹, and the lower of the two amounts applies.  

**Minimum continuing interest = 0.5 crore ₹**.",0,1,"The model correctly calculated 2.5% of 20 crore rupees as 0.5 crore rupees, which is the minimum continuing interest required as per SEBI AIF Regulations 2012.",0
NUM_005,numerical_reasoning,hard,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"Borrowing amount (max 20 % of net assets)  
\(=0.20 \times 500\text{ cr} = 100\text{ cr}\)

Interest for 6 months at 15 % p.a.  
\(= \text{Principal} \times \text{Rate} \times \frac{\text{Months}}{12}\)  
\(= 100\text{ cr} \times 0.15 \times \frac{6}{12}\)  
\(= 100\text{ cr} \times 0.15 \times 0.5\",0,1,The final interest liability calculation matches the reference answer.,0
NUM_006,numerical_reasoning,medium,"For a listed entity whose audit committee has the minimum permissible number of members under SEBI LODR Regulations 2015, what is the minimum number of those members who must be independent directors?","Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","Calculation:  
- Minimum audit‑committee size = 3 directors.  
- Required proportion of independent directors = ≥ 2⁄3.  

\( \frac{2}{3} \times 3 = 2 \)

**Minimum independent directors required = 2 directors**.",1,1,The model correctly calculated that two independent directors are required for an audit committee with the minimum permissible number of members under SEBI LODR Regulations 2015.,0
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum number of calendar days from the date of service of a show cause notice within which a settlement application can be filed (including the initial sixty-day window and the additional delayed period)?",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),"Calculation:  
- Initial window = 60 calendar days  
- Additional delayed period allowed = 120 calendar days (from the expiry of the 60‑day period)  

Total maximum period = 60 + 120 = **180 calendar days**.",1,1,"The model prediction correctly calculates the total maximum number of calendar days as 180, which includes the initial 60-day window and the additional 120-day delayed period.",0
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in an open offer but then buys shares in the open market at Rs. 300 per share within the twenty-six-week post-tendering period, what additional amount per share must be paid to shareholders who accepted the open offer?",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),"Difference = Highest price paid − Offer price  
= Rs. 300 − Rs. 250 = Rs. 50 per share  

**Additional amount to be paid:** Rs. 50 per share.",1,1,"The model correctly calculates the additional amount per share as Rs. 50, which matches the reference answer.",0
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, what is the latest calendar date on which the warrant holder can exercise the option to acquire equity shares, assuming the warrant exercise price is paid on the last permissible day?",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),"- Allotment date: 1 January 2024  
- Maximum warrant tenure: 18 months → last day to pay the exercise price = 1 January 2024 + 18 months = 1 July 2025  
- Exercise window: within 3 months from payment date → latest exercise date = 1 July 2025 + 3 months = 1 October 2025  

**Final answer:** 1 Octobe",1,1,The final answer correctly calculates the latest date for exercising the warrant option as 1 October 2025.,0
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeting on 1 April of a financial year, by what latest date must the second board meeting be held?",By 29 July of the same year (1 April + 120 days = 29 July),,0,1,"The model prediction correctly states that the second board meeting must be held by 29 July, which is 120 days after the first meeting on 1 April.",0
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable funds of 500 crore rupees and invests the maximum permissible amount in a single investee company, how much can it invest in that company?",50 crore rupees (10% of 500 crore = 50 crore),"Maximum permissible investment = 10 % × 500 crore ₹  
= 0.10 × 500 crore ₹  
= **50 crore rupees**.",1,1,The final value matches the reference answer.,0
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the minimum number who must be independent directors?",Four independent directors (at least 50% of 8 = 4),"Calculation:  
Minimum independent directors = 50 % × 8 directors = 0.5 × 8 = 4 directors  

**Final answer:** 4 directors.",0,1,The calculation matches the SEBI Mutual Funds Regulations requirement for independent directors.,0
TMP_001,temporal_reasoning,medium,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is currently in force — the one aligning with Companies Act 2013 sub-section (51) of section 2, or the earlier definition referring to the core management team excluding board members?","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023","The definition in force is the one introduced by the SEBI (Issue of Capital and Disclosure Requirements) (Amendment) Regulations 2023 – i.e., the definition that aligns with Companies Act 2013, s. 2(51). It became effective on 31 January 2023, replacing the earlier “core‑management‑team excluding bo",1,1,"The model prediction correctly identifies the definition of 'key managerial personnel' as per the SEBI ICDR Regulations, aligning with Companies Act 2013, effective from 31 January 2023.",0
TMP_002,temporal_reasoning,easy,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",The three‑year lock‑in (from the later of commercial production start or allotment) applied before 13 August 2021.,1,1,The model prediction correctly states the three-year lock-in regime for minimum promoters' contribution before 13 August 2021.,0
TMP_003,temporal_reasoning,hard,"Under SEBI LODR Regulations 2015, which provisions came into force on the date of notification itself rather than after the ninety-day waiting period?",Sub-regulation (4) of regulation 23 and regulation 31A,"The provisions that became effective on the date of notification (i.e., on 2 September 2015) are:

- **Sub‑regulation (4) of Regulation 23**  
- **Regulation 31A**  

All other provisions of the SEBI (LODR) Regulations, 2015 came into force ninety days after the Gazette publication (i.e., on 1 Decem",1,1,The model prediction correctly identifies the provisions that came into force on the date of notification under SEBI LODR Regulations 2015.,0
TMP_004,temporal_reasoning,medium,Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulations 2011 at the time those regulations came into force in October 2011?,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations, 2021, effective from 6 December 2021","No. When the SEBI (Substantial Acquisition of Shares and Takeovers) Regulations 2011 came into force on ≈ 23 October 2011 (30 days after their publication on 23 September 2011), they did not contain an explicit definition of “Delisting Regulations.” The term was only defined later by the SEBI (Subst",1,1,The model correctly identified that the term 'Delisting Regulations' was not defined in the SEBI Takeover Regulations 2011 at the time they came into force in October 2011.,0
TMP_005,temporal_reasoning,easy,What was the name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019?,Institutional trading platform,It was called the **“institutional trading platform”** (the name used for the trading platform for emerging issuers prior to 5 April 2019).,1,1,"The model prediction correctly identifies the name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019 as the ""institutional trading platform.""",0
TMP_006,temporal_reasoning,medium,Which amendment to SEBI ICDR Regulations broadened the definition of 'associate' to also include entities qualifying as associates under applicable accounting standards?,"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","The SEBI (ICDR) (Amendment) Regulations, 2025 — effective 08 March 2025—expanded the definition of “associate” to include entities that qualify as associates under the applicable accounting standards.",1,1,"The model prediction correctly states the amendment year and effective date, and accurately describes the expansion of the definition of 'associate' as per the SEBI ICDR Regulations.",0
TMP_007,temporal_reasoning,medium,"Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LODR Regulations 2015 for the definition of 'non-convertible debt securities'?","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008","Before 7 September 2021, the SEBI LODR Regulations 2015 defined “non‑convertible debt securities” by referring to the definition of “debt securities” in the **SEBI (Issue and Listing of Debt Securities) Regulations, 2008**.",1,1,"The model prediction correctly identifies the SEBI (Issue and Listing of Debt Securities) Regulations, 2008 as the reference for the definition of 'non-convertible debt securities' in SEBI LODR Regula",0
TMP_008,temporal_reasoning,medium,"Under SEBI AIF Regulations 2012, how long could funds registered under the earlier SEBI Venture Capital Funds Regulations, 1996 continue to be governed by those older regulations before being required to migrate?","Five years from the commencement of the SEBI (AIF) Regulations, 2012","They could remain under the 1996 Venture Capital Funds Regulations for **five years from the date the SEBI (AIF) Regulations, 2012 came into force**; after that period they must migrate (with a migration‑registration window of 12 months from the regulations’ notification).",1,1,"The model prediction correctly states that funds registered under the earlier SEBI Venture Capital Funds Regulations, 1996 could remain under those older regulations for five years from the date the S",0
TMP_009,temporal_reasoning,medium,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",With the Board (SEBI),"Before the amendment effective 08 March 2025, the draft letter of offer had to be filed with the Board.",0,1,"The model prediction correctly states that before the amendment effective 08 March 2025, the draft letter of offer had to be filed with the Board, which aligns with SEBI ICDR Regulations.",0
TMP_010,temporal_reasoning,hard,"After May 2021, which regulation number in which SEBI regulations defines the term 'main board' for the purposes of SEBI LODR Regulations 2015?","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018 — effective from 5 May 2021.",1,1,"The model prediction correctly identifies Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018, as the regulation defining 'main board' after May 2021.",0
TMP_011,temporal_reasoning,hard,"Before September 2018, what phrase was used in the SEBI Takeover Regulations 2011 in the definition of 'frequently traded shares' in place of 'is required to be made under these regulations'?",Is made,The phrase used was **“is made.”** (This wording applied until the amendment that took effect on 11 September 2018.),0,1,"The model prediction correctly identifies the phrase ""is made"" as the wording used in the SEBI Takeover Regulations 2011 before the amendment in September 2018.",0
TMP_012,temporal_reasoning,easy,The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act and year?,"The Securities and Exchange Board of India Act, 1992","The provided context does not specify the SEBI Act and year under which the SEBI (Merchant Bankers) Regulations, 1992 were enacted.",1,1,"The SEBI (Merchant Bankers) Regulations, 1992 were enacted under the Securities and Exchange Board of India Act, 1992.",0
TMP_013,temporal_reasoning,easy,"Which set of SEBI regulations originally established the regulatory framework for mutual funds in India that continues to govern mutual funds today, as reflected in the 2026 consolidated version?","The SEBI (Mutual Funds) Regulations, 1996","The SEBI (Mutual Funds) Regulations, originally notified in 1996, established the regulatory framework that continues to govern mutual funds in India as reflected in the 2026 consolidated version.",1,1,"The model prediction correctly identifies the SEBI (Mutual Funds) Regulations, 1996 as the original regulatory framework for mutual funds in India.",0
TMP_014,temporal_reasoning,medium,What term was used in SEBI REIT Regulations 2014 before the 2016 amendment replaced it with the broader term 'sponsor group'?,Sponsor(s),"The SEBI REIT Regulations 2014 referred only to “sponsor(s)” (i.e., “sponsors”) before the 2016 amendment introduced the broader term “sponsor group.”",1,1,"The model prediction correctly identifies that the term ""sponsor(s)"" was used in SEBI REIT Regulations 2014 before the 2016 amendment introduced the broader term ""sponsor group.""",0
TMP_015,temporal_reasoning,easy,Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) Regulations 2018?,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",The SEBI (Issue of Capital and Disclosure Requirements) Regulations 2009 were enacted earlier; the SEBI (ICDR) Regulations 2018 came later (notified on the 60th day after publication).,1,1,The SEBI (Issue of Capital and Disclosure Requirements) Regulations 2009 were enacted earlier than the SEBI (ICDR) Regulations 2018.,0
TMP_016,temporal_reasoning,medium,In which year was the concept of 'fugitive economic offender' first incorporated into the SEBI LODR Regulations 2015?,"2018, effective from 16 November 2018","The concept of “fugitive economic offender” was first incorporated into the SEBI LODR Regulations in **2018** (via the SEBI (LODR) (Sixth Amendment) Regulations, 2018, effective 16 November 2018).",1,1,"The model prediction correctly states that the concept of ""fugitive economic offender"" was incorporated into the SEBI LODR Regulations in 2018, effective from 16 November 2018.",0
TMP_017,temporal_reasoning,medium,"Under SEBI AIF Regulations, from which date could social impact funds start issuing 'social units' under the AIF regulatory framework?","25 July 2022, following the Third Amendment Regulations, 2022",Social impact funds could start issuing “social units” under the AIF framework from 25 July 2022.,0,1,"The model prediction correctly states the start date for issuing ""social units"" under the AIF framework as per SEBI AIF Regulations.",0
REG_067,regulatory_interpretation,easy,Within how many days must a stock exchange forward a completed registration application to SEBI after receiving it?,Thirty days,Within 30 days.,0,1,The model prediction matches the reference answer of forwarding a completed registration application to SEBI within 30 days.,0
REG_068,regulatory_interpretation,easy,"Within how many days must an intermediary update material changes to the information it has furnished or uploaded under SEBI (Intermediaries) Regulations, 2008?",Fifteen days,Within fifteen days of the occurrence of the change.,1,1,The model prediction correctly states the time frame for updating material changes as per SEBI regulations.,0
REG_069,regulatory_interpretation,easy,"What is the maximum time within which an intermediary must redress investor grievances under SEBI (Intermediaries) Regulations, 2008?",Forty-five days of receipt of the grievance,Forty‑five days.,1,1,The model prediction matches the reference answer's time frame for redressing investor grievances.,0
REG_070,regulatory_interpretation,easy,For how long is an applicant barred from making a fresh registration application if their application is rejected for containing false or misleading information?,One year from the date of rejection,One year from the date of the rejection.,1,1,The model prediction matches the reference answer's duration of barring an applicant from making a fresh registration application after rejection for false or misleading information.,0
REG_071,regulatory_interpretation,medium,"Under SEBI (Intermediaries) Regulations 2008, within how many days must SEBI dispose of a complete prior approval request for change in status or constitution? What is deemed to happen if SEBI fails to communicate its decision within this period?","Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have been granted.","SEBI must dispose of a complete prior‑approval request within **60 days** of receipt. If SEBI does not communicate its decision within those 60 days, the prior approval is **deemed to have been granted**.",1,1,"The model prediction accurately reflects the SEBI (Intermediaries) Regulations 2008, stating that SEBI must dispose of a complete prior approval request within 60 days and if SEBI fails to communicate",0
REG_072,regulatory_interpretation,easy,"What two things must a SEBI-registered intermediary prominently display at all its offices, including branch offices?","A photocopy of the certificate of registration, and the name and contact details of the compliance officer.",A photocopy of its SEBI registration certificate and the name and contact details of its compliance officer.,1,1,The model prediction correctly identifies the two required items for display as per SEBI regulations.,0
REG_073,regulatory_interpretation,medium,Under what three circumstances can a permanent certificate granted to an intermediary under SEBI (Intermediaries) Regulations 2008 cease to be valid?,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with the regulations.","The certificate can cease to be valid if it is (i) surrendered by the intermediary, (ii) suspended, or (iii) cancelled.",1,1,The model prediction accurately reflects the circumstances under which a permanent certificate can cease to be valid as per SEBI (Intermediaries) Regulations 2008.,0
REG_074,regulatory_interpretation,easy,"What minimum investment amount must an accredited investor commit to a portfolio manager in order to qualify as a 'large value accredited investor' under SEBI (Portfolio Managers) Regulations, 2020?",Ten crore rupees,Ten crore rupees.,1,1,The model prediction matches the reference answer of ten crore rupees as the minimum investment amount for a 'large value accredited investor' under SEBI regulations.,0
REG_075,regulatory_interpretation,easy,"What is the maximum permissible limit for any buy-back as a percentage of the aggregate of paid-up capital and free reserves, and on which financial statements is it based?","Twenty-five per cent, based on standalone or consolidated financial statements, whichever sets out a lower amount.","The maximum permissible limit is twenty‑five percent (or less) of the aggregate of paid‑up capital and free reserves, calculated on the basis of the lower amount derived from either the company’s standalone or consolidated financial statements.",0,1,"The model prediction accurately reflects the maximum permissible limit for buy-backs as a percentage of paid-up capital and free reserves, and correctly references the financial statements basis.",0
REG_076,regulatory_interpretation,easy,"What is the maximum debt-to-capital ratio (secured plus unsecured debts to paid-up capital and free reserves) permitted after a buy-back under SEBI (Buy-Back of Securities) Regulations, 2018?",2:1,2 : 1.,1,1,The model prediction matches the reference answer of a 2:1 debt-to-capital ratio after a buy-back under SEBI regulations.,0
REG_077,regulatory_interpretation,easy,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wait after the expiry of a preceding buy-back period before making another buy-back offer?",One year from the date of expiry of the buyback period of the preceding offer.,One year from the expiry of the preceding buy‑back period.,1,1,The model prediction accurately reflects the SEBI regulation stating a one-year waiting period after the expiry of the preceding buy-back period.,0
REG_078,regulatory_interpretation,medium,From which three sources may a company fund a buy-back of its shares under SEBI (Buy-Back of Securities) Regulations 2018? Is there any restriction on using proceeds of an earlier issue?,"Free reserves, securities premium account, or proceeds of issue of shares or specified securities. A company cannot use proceeds of an earlier issue of the same kind of shares or specified securities.","A company can fund a buy‑back from:  

1. Its free reserves;  
2. Its securities‑premium account;  
3. The proceeds of an issue of any shares or other specified securities.  

However, it may **not** use the proceeds of an earlier issue of the same kind of shares or the same kind of other specified ",1,1,The model prediction accurately reflects the sources from which a company can fund a buy-back under SEBI regulations and correctly states the restriction on using proceeds from an earlier issue.,0
REG_079,regulatory_interpretation,medium,A company defaulted on repayment of a term loan. The default was remedied. After how long can the company conduct a buy-back?,After three years have lapsed since the default ceased to subsist.,Three years.,0,1,The model prediction matches the reference answer's time frame for conducting a buy-back after a default has been remedied.,0
REG_080,regulatory_interpretation,easy,"How does SEBI (Delisting of Equity Shares) Regulations, 2021 define 'compulsory delisting'?",Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.,"""Compulsory delisting"" means the delisting of a company's equity shares by a recognised stock exchange under Chapter V of the SEBI (Delisting of Equity Shares) Regulations, 2021.",1,1,"The model prediction accurately paraphrases the definition of 'compulsory delisting' as per SEBI (Delisting of Equity Shares) Regulations, 2021.",0
REG_081,regulatory_interpretation,easy,"What is the 'bidding period' as defined in SEBI (Delisting of Equity Shares) Regulations, 2021?",The period within which shareholders may tender their shares in acceptance of the offer for delisting of equity shares of the company.,The “bidding period” is the time frame during which shareholders may tender their shares in acceptance of the company’s delisting offer.,1,1,The model prediction accurately paraphrases the definition of the 'bidding period' as per SEBI regulations.,0
REG_082,regulatory_interpretation,easy,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative to their date of publication?",On the ninetieth day from the date of publication in the Official Gazette.,They became effective ninety days after their publication in the Official Gazette.,1,1,The model prediction correctly paraphrases the rule that regulations become effective ninety days after their publication in the Official Gazette.,0
