id,task_type,difficulty,question,ref_answer,prediction,correct,condition
CON_005,contradiction_detection,hard,Do the two passages impose different shareholding thresholds triggering mandator,No,"Yes. Passage A allows for a 15% threshold in specific cases for acquisitions in a recognised stock exchange, which is not mentioned for depositories in Passage B.",0,3shot
CON_006,contradiction_detection,medium,Do the two passages prescribe different disclosure timelines for companies versu,No,No. Both passages prescribe the same timeline of two trading days for notification.,1,3shot
CON_007,contradiction_detection,hard,Do the two passages contradict each other regarding whether a second settlement ,No,"No. Passage A prohibits a second application if the first was *withdrawn*, while Passage B allows consideration of a second application if the first was *rejected*.",1,3shot
CON_008,contradiction_detection,hard,Do the two passages prescribe different tests for disqualifying a custodian from,Yes,"Yes. Passage A's first test disqualifies a custodian if the sponsor holds 50% or more voting rights in it, while Passage B disqualifies if the sponsor or its associates are a director in the custodian.",1,3shot
CON_009,contradiction_detection,medium,Do the two passages collectively indicate that the 50% monetary asset limit alwa,No,No. Passage B states that the 50% limit on monetary assets is not applicable if the IPO is made entirely through an offer for sale.,1,3shot
CON_010,contradiction_detection,hard,Do the two passages impose the same advance notice period for different types of,No,"No. Passage A specifies a 21-day advance notice period, while Passage B specifies a one-month deadline for redemption from a past date, not an advance notice period.",1,3shot
CON_011,contradiction_detection,easy,Do the two passages prescribe different minimum corpus requirements for social i,Yes,"Yes. Passage A prescribes 5 crore for social impact fund schemes, while Passage B prescribes 20 crore for Alternative Investment Fund schemes.",1,3shot
CON_012,contradiction_detection,medium,Do the two passages indicate that the same open offer trigger threshold applies ,No,"No. Passage B specifies a different threshold of 49% for companies listed on the Innovators Growth Platform, changing the 25% mentioned in Passage A for such companies.",1,3shot
TMP_001,temporal_reasoning,medium,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is c","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023","The one aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023.",1,3shot
TMP_002,temporal_reasoning,easy,Which lock-in regime for minimum promoters' contribution applied before 13 Augus,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",three years,1,3shot
TMP_003,temporal_reasoning,hard,"Under SEBI LODR Regulations 2015, which provisions came into force on the date o",Sub-regulation (4) of regulation 23 and regulation 31A,"Sub-regulation (4) of regulation 23 and regulation 31A; these came into force on September 2, 2015.",1,3shot
TMP_004,temporal_reasoning,medium,Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulat,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations, 2021, effective from 6 December 2021","No, the term 'Delisting Regulations' was not a defined term in the SEBI Takeover Regulations 2011 at the time those regulations came into force in October 2011. It was inserted by an amendment effective December 6, 2021.",1,3shot
TMP_005,temporal_reasoning,easy,What was the name of the trading platform for emerging issuers under SEBI ICDR R,Institutional trading platform,institutional trading platform,1,3shot
TMP_006,temporal_reasoning,medium,Which amendment to SEBI ICDR Regulations broadened the definition of 'associate',"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","SEBI (ICDR) (Amendment) Regulations, 2025 (w.e.f. 08.03.2025)",1,3shot
TMP_007,temporal_reasoning,medium,"Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LO","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008","SEBI (Issue and Listing of Debt Securities) Regulations, 2008",1,3shot
TMP_008,temporal_reasoning,medium,"Under SEBI AIF Regulations 2012, how long could funds registered under the earli","Five years from the commencement of the SEBI (AIF) Regulations, 2012","Five years from the commencement of the SEBI (AIF) Regulations, 2012",1,3shot
TMP_009,temporal_reasoning,medium,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before th",With the Board (SEBI),the Board,1,3shot
TMP_010,temporal_reasoning,hard,"After May 2021, which regulation number in which SEBI regulations defines the te","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018",1,3shot
TMP_011,temporal_reasoning,hard,"Before September 2018, what phrase was used in the SEBI Takeover Regulations 201",Is made,'is made',1,3shot
TMP_012,temporal_reasoning,easy,The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act a,"The Securities and Exchange Board of India Act, 1992",The information is not provided in the context.,0,3shot
TMP_013,temporal_reasoning,easy,Which set of SEBI regulations originally established the regulatory framework fo,"The SEBI (Mutual Funds) Regulations, 1996","The SEBI (Mutual Funds) Regulations, 1996",1,3shot
TMP_014,temporal_reasoning,medium,What term was used in SEBI REIT Regulations 2014 before the 2016 amendment repla,Sponsor(s),sponsor(s),1,3shot
TMP_015,temporal_reasoning,easy,Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) ,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",SEBI (ICDR) Regulations 2009,1,3shot
TMP_016,temporal_reasoning,medium,In which year was the concept of 'fugitive economic offender' first incorporated,"2018, effective from 16 November 2018",2018,1,3shot
TMP_017,temporal_reasoning,medium,"Under SEBI AIF Regulations, from which date could social impact funds start issu","25 July 2022, following the Third Amendment Regulations, 2022",25.07.2022,0,3shot
REG_067,regulatory_interpretation,easy,Within how many days must a stock exchange forward a completed registration appl,Thirty days,Not later than thirty days,1,3shot
REG_068,regulatory_interpretation,easy,Within how many days must an intermediary update material changes to the informa,Fifteen days,Not later than fifteen days,1,3shot
REG_069,regulatory_interpretation,easy,What is the maximum time within which an intermediary must redress investor grie,Forty-five days of receipt of the grievance,Forty-five days,1,3shot
REG_070,regulatory_interpretation,easy,For how long is an applicant barred from making a fresh registration application,One year from the date of rejection,For a period of one year from the date of such rejection,1,3shot
REG_071,regulatory_interpretation,medium,"Under SEBI (Intermediaries) Regulations 2008, within how many days must SEBI dis","Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have been granted.",Sixty days; the prior approval shall be deemed to have been granted.,1,3shot
REG_072,regulatory_interpretation,easy,What two things must a SEBI-registered intermediary prominently display at all i,"A photocopy of the certificate of registration, and the name and contact details of the compliance officer.",A photocopy of the certificate and the name and contact details of the compliance officer.,1,3shot
REG_073,regulatory_interpretation,medium,Under what three circumstances can a permanent certificate granted to an interme,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with the regulations.",surrendered by the intermediary or suspended or cancelled,1,3shot
REG_074,regulatory_interpretation,easy,What minimum investment amount must an accredited investor commit to a portfolio,Ten crore rupees,Ten crore rupees,1,3shot
REG_075,regulatory_interpretation,easy,What is the maximum permissible limit for any buy-back as a percentage of the ag,"Twenty-five per cent, based on standalone or consolidated financial statements, whichever sets out a lower amount.","Twenty-five per cent or less, based on the standalone or consolidated financial statements of the company, whichever sets out a lower amount.",1,3shot
REG_076,regulatory_interpretation,easy,What is the maximum debt-to-capital ratio (secured plus unsecured debts to paid-,2:1,2:1,1,3shot
REG_077,regulatory_interpretation,easy,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wa",One year from the date of expiry of the buyback period of the preceding offer.,One year,1,3shot
REG_078,regulatory_interpretation,medium,From which three sources may a company fund a buy-back of its shares under SEBI ,"Free reserves, securities premium account, or proceeds of issue of shares or specified securities. A company cannot use proceeds of an earlier issue of the same kind of shares or specified securities.","A company may fund a buy-back of its shares from its free reserves, the securities premium account, or the proceeds of the issue of any shares or other specified securities. No such buy-back shall be made out of the proceeds of an earlier issue of the same kind of shares or same kind of other specif",1,3shot
REG_079,regulatory_interpretation,medium,A company defaulted on repayment of a term loan. The default was remedied. After,After three years have lapsed since the default ceased to subsist.,A period of three years has lapsed after such default ceased to subsist.,1,3shot
REG_080,regulatory_interpretation,easy,"How does SEBI (Delisting of Equity Shares) Regulations, 2021 define 'compulsory ",Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.,Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.,1,3shot
REG_081,regulatory_interpretation,easy,What is the 'bidding period' as defined in SEBI (Delisting of Equity Shares) Reg,The period within which shareholders may tender their shares in acceptance of the offer for delisting of equity shares of the company.,The period within which shareholders may tender their shares in acceptance of the offer for delisting of equity shares of the company made under these regulations.,1,3shot
REG_082,regulatory_interpretation,easy,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative",On the ninetieth day from the date of publication in the Official Gazette.,On the ninetieth day from the date of their publication in the Official Gazette,1,3shot
REG_083,regulatory_interpretation,easy,"Under SEBI (Research Analysts) Regulations 2014, who qualifies as an 'independen",A person whose only business activity is research analysis or preparation and/or publication of research report.,A person whose only business activity is research analysis or preparation and/or publication of research report,1,3shot
REG_084,regulatory_interpretation,easy,From which financial year do the Reserve Bank of India (Small Finance Banks - Pr,Financial Year 2026-27,Financial Year (FY) 2026-27,1,3shot
REG_085,regulatory_interpretation,easy,To which category of banks do the RBI (Small Finance Banks - Prudential Norms on,Small Finance Banks (SFBs),Small Finance Banks (SFBs),1,3shot
REG_086,regulatory_interpretation,easy,"Under the RBI SFB Dividend Directions 2026, what is the maximum aggregate divide",Not exceeding 75% of the PAT for the period for which the dividend is proposed.,75% of the PAT for the period for which the dividend is being proposed.,1,3shot
REG_087,regulatory_interpretation,medium,What four factors must the Board of Directors of a Small Finance Bank consider w,1. Divergence in NPA classification and provisioning as observed in RBI supervisory findings; 2. Auditors' Report including modified opinion or Emphasis of Matter; 3. Current and projected capital position versus regulatory capital requirement; 4. Long term growth plans.,"1. The divergence in asset classification and provisioning for Non-Performing Assets (NPAs), including its trend, as observed under supervisory findings of the Reserve Bank;
2. Auditors' Report to the financial statements, including modified opinion or Emphasis of Matter, for the financial year in w",1,3shot
REG_088,regulatory_interpretation,easy,"After declaring a dividend, within what time period must a Small Finance Bank su",Within a fortnight (two weeks) of the declaration of dividend.,Within a fortnight of declaration of dividend,1,3shot
REG_089,regulatory_interpretation,easy,"Under the RBI SFB Dividend Directions 2026, is a bank eligible to declare divide",No. A bank that is under any explicit restrictions for declaration of dividends from the Reserve Bank or any other authority is not eligible to declare dividends.,No,0,3shot
REG_090,regulatory_interpretation,medium,How is 'Adjusted Profit After Tax (PAT)' defined under the RBI SFB Dividend Dire,PAT of the financial year for which the dividend is proposed minus 50% of Net NPA as on March 31 of that financial year.,PAT of the financial year for which the dividend is proposed to be paid minus 50 per cent of Net NPA as on March 31 of the financial year for which the dividend is to be paid.,1,3shot
REG_091,regulatory_interpretation,easy,"Under the RBI Master Direction on Unique Identifiers in Financial Markets 2026, ","January 01, 2027","January 01, 2027",1,3shot
REG_092,regulatory_interpretation,easy,"Under the RBI Master Direction on Unique Identifiers 2026, are entities without ",No. Entities without an LEI code are not eligible to undertake transactions in the financial markets regulated by the Reserve Bank.,No,0,3shot
REG_093,regulatory_interpretation,medium,"For non-derivative foreign exchange transactions, at what minimum transaction am",USD one million or equivalent thereof in other currencies.,USD one million or equivalent thereof in other currencies,1,3shot
REG_094,regulatory_interpretation,easy,What is the minimum nominal amount for which Government of India dated securitie,"Minimum ₹10,000 (nominal), in multiples of ₹10,000 thereafter.","Rs. 10,000/- (nominal) and in multiples of Rs. 10,000/- thereafter.",1,3shot
NUM_067,numerical_reasoning,easy,"Using the formula for Adjusted PAT, calculate the Adjusted PAT for a Small Finan","₹13,750 crore. Calculation: ₹17,000 - (50% × ₹6,500) = ₹17,000 - ₹3,250 = ₹13,750 crore.","Adjusted PAT = ₹17,000 crore - 50% of ₹6,500 crore = ₹17,000 crore - ₹3,250 crore = ₹13,750 crore",1,3shot
NUM_068,numerical_reasoning,medium,A Small Finance Bank has a Tier 1 Capital Ratio of 11.72% and an Adjusted PAT of,"₹5,500 crore. Calculation: Bank falls in Bucket B4 (above 11.5% and up to 13.5%), which allows 40% of Adjusted PAT. 40% × ₹13,750 = ₹5,500 crore.","40% x ₹13,750 crore = ₹5,500 crore",1,3shot
NUM_069,numerical_reasoning,medium,"Under RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is the low","₹5,500 crore. This is the lower of 75% of PAT (₹12,750 crore) and the Table 1 limit (₹5,500 crore).","75% of PAT = 0.75 x ₹17,000 crore = ₹12,750 crore.
Lower of ₹12,750 crore (75% of PAT) and ₹5,500 crore (Table 1 limit) = ₹5,500 crore.",1,3shot
NUM_070,numerical_reasoning,medium,"In Illustration 1 of the RBI SFB Dividend Directions 2026, the Maximum Eligible ","32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%.","(₹5,500 crore / ₹17,000 crore) x 100 = 32.35%",1,3shot
NUM_071,numerical_reasoning,medium,"In Illustration 3, a Small Finance Bank has Maximum Eligible Dividend of ₹1,125 ","₹625 crore. Calculation: Maximum Eligible Dividend (₹1,125 crore) minus interim dividend already paid (₹500 crore) = ₹625 crore.","₹1,125 crore - ₹500 crore = ₹625 crore",1,3shot
NUM_072,numerical_reasoning,easy,"A Small Finance Bank has a PAT of ₹40,500 crore and Net NPA of ₹5,000 crore. Wha","₹38,000 crore. Calculation: ₹40,500 - (50% × ₹5,000) = ₹40,500 - ₹2,500 = ₹38,000 crore.","Adjusted PAT = ₹40,500 crore - 50% of ₹5,000 crore = ₹40,500 crore - ₹2,500 crore = ₹38,000 crore",1,3shot
NUM_073,numerical_reasoning,hard,"In Illustration 2, with Adjusted PAT of ₹38,000 crore and Bucket B5 (50% limit),","Maximum per Table 1: ₹19,000 crore (50% × ₹38,000). 75% of PAT: ₹30,375 crore (75% × ₹40,500). The Maximum Eligible Dividend is ₹19,000 crore, being the lower of the two.","Maximum dividend allowed per Table 1 = 50% x ₹38,000 crore = ₹19,000 crore. 75% of ₹40,500 crore = 0.75 x ₹40,500 crore = ₹30,375 crore.",1,3shot
NUM_074,numerical_reasoning,medium,"In the GoI dated securities auction announced on March 28, 2026, what is the max","₹33,000 crore. Calculation: Notified amount ₹29,000 crore + greenshoe of ₹2,000 crore per security × 2 securities = ₹29,000 + ₹4,000 = ₹33,000 crore.","₹29,000 crore (notified) + (2 securities x ₹2,000 crore each) = ₹29,000 crore + ₹4,000 crore = ₹33,000 crore",1,3shot
NUM_075,numerical_reasoning,medium,"In the GoI dated securities auction announced on March 28, 2026, what is the tot","₹12,000 crore. It represents approximately 41.4% of the total notified amount (₹12,000 ÷ ₹29,000 × 100 ≈ 41.4%).","Notified amount for 7.43% GS 2076 = ₹12,000 crore. Total auction amount = ₹17,000 crore + ₹12,000 crore = ₹29,000 crore. Fraction = ₹12,000 crore / ₹29,000 crore = 12/29.",0,3shot
NUM_076,numerical_reasoning,easy,What is the total aggregate face value amount offered by all State Governments i,"₹57,408 crore","₹57,408 Crore (Face Value)",1,3shot
NUM_077,numerical_reasoning,easy,How much in total is Andhra Pradesh seeking to raise across all three of its sec,"₹3,900 crore. Calculation: ₹1,500 + ₹1,500 + ₹900 = ₹3,900 crore.",1500 crore + 1500 crore + 900 crore = 3900 crore,1,3shot
NUM_078,numerical_reasoning,easy,What is the total amount Karnataka is raising across all its five securities in ,"₹10,000 crore. Calculation: ₹2,000 × 5 securities = ₹10,000 crore.","Answer: 5 x Rs. 2,000 crore = Rs. 10,000 crore",1,3shot
NUM_079,numerical_reasoning,easy,What is the total amount of Government of India dated securities to be issued du,"₹8,20,000 crore","Total: Rs. 8,20,000 crore",1,3shot
NUM_080,numerical_reasoning,easy,"In the GoI securities issuance calendar for H1 FY2026-27, what is the combined a","₹63,000 crore. Calculation: ₹29,000 (Week 1) + ₹34,000 (Week 2) = ₹63,000 crore.","₹29,000 crore + ₹34,000 crore = ₹63,000 crore",1,3shot
NUM_081,numerical_reasoning,easy,"In auction week 4 (April 20-24, 2026) of the GoI issuance calendar, what is the ","₹10,000 crore. Calculation: ₹5,000 crore (30-year regular) + ₹5,000 crore (30-year SGrB) = ₹10,000 crore.","₹5,000 crore + ₹5,000 crore = ₹10,000 crore",1,3shot
NUM_082,numerical_reasoning,easy,"As on March 13, 2026, what was India's total foreign exchange reserve in US doll","Total reserves: US$ 709,759 million. Weekly variation: a decrease of US$ 7,052 million.","US$ 709,759 million; US$ -7,052 million",1,3shot
NUM_083,numerical_reasoning,easy,What was the year-on-year growth rate of aggregate deposits of Scheduled Commerc,11.9%,11.9%,1,3shot
NUM_084,numerical_reasoning,medium,"As of February 28, 2026, what was the year-on-year growth rate of M3 (broad mone",11.5%,11.5%,1,3shot
NUM_085,numerical_reasoning,medium,"What was the value of India's gold reserves as on March 13, 2026 in US dollar te","Gold reserves as on March 13, 2026: US$ 130,681 million. Increase over the year: US$ 56,289 million.","US$ 130,681 million; US$ 56,289 million",1,3shot
NUM_086,numerical_reasoning,hard,A company has paid-up capital and free reserves of ₹500 crore before a buy-back.,Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).,"Maximum buy-back = 25% x ₹500 crore = ₹125 crore.
Paid-up capital and free reserves after buy-back = ₹500 crore - ₹125 crore = ₹375 crore.
Maximum total debt after buy-back = 2 x ₹375 crore = ₹750 crore.",1,3shot
CON_028,contradiction_detection,easy,Do the two press releases state the same aggregate amount for the State Governme,No,"Yes. The first press release states an aggregate amount of ₹55,688 Crore, while the second states an aggregate amount of ₹57,408 Crore.",0,3shot
CON_029,contradiction_detection,easy,Do Bucket B1 and Bucket B10 permit the same dividend payout as a percentage of A,No,"No. Bucket B1 permits 0% dividend payout, while Bucket B10 permits 100% dividend payout.",1,3shot
CON_030,contradiction_detection,easy,Do Section A and Section B of the RBI Master Direction on Unique Identifiers in ,No,"No. Section A comes into force with immediate effect, while Section B comes into effect from January 01, 2027.",1,3shot
CON_031,contradiction_detection,medium,Do the two passages prescribe the same maximum limit for all buy-back transactio,No,"No. Passage A sets a general maximum limit of 25%, while Passage B sets a more restrictive limit of less than 15% for a specific type of buy-back (open market through stock exchanges).",1,3shot
CON_032,contradiction_detection,medium,Are the two passages contradictory regarding RBI's authority over Small Finance ,No,"Yes. Passage A states a bank shall not be under explicit restrictions from the RBI, while Passage B states the RBI reserves the right to place restrictions.",0,3shot
CON_033,contradiction_detection,medium,Do both passages describe intermediaries who hold permanent certificates under S,No,"No. Passage A describes permanent certificates, while Passage B describes certificates granted for a specified period.",1,3shot
CON_034,contradiction_detection,medium,"Does the GoI dated securities auction announced on March 28, 2026 use a uniform ",No,"No. Passage A states that the auction will be conducted using a multiple price method, not a uniform price method.",1,3shot
CON_035,contradiction_detection,easy,Do both passages state the same percentage of the notified amount reserved for n,Yes,"No. Passage A specifies five percent, while Passage B specifies up to 5%, which implies a maximum rather than an exact fixed amount.",0,3shot
CON_036,contradiction_detection,medium,Do both passages identify different categories of profits ineligible for dividen,Yes,"Yes. Passage A identifies ""exceptional and / or extra-ordinary profits / income,"" while Passage B specifically identifies ""net unrealised gains arising on fair valuation of Level 3 financial instruments.""",1,3shot
CON_037,contradiction_detection,medium,Do the two passages together suggest that a company can use buy-back as a mechan,No,No. Passage B explicitly states that a company shall not buy-back its shares so as to delist them.,1,3shot
CON_038,contradiction_detection,medium,Does the repeal of the 2025 SFB Dividend Directions mean that all actions previo,No,"No. Passage A states that any action taken under the repealed directions shall continue to be governed by their provisions, notwithstanding the repeal.",1,3shot
CON_039,contradiction_detection,medium,Do the original and revised press releases state the same borrowing amount for U,No,"No. Passage A states 1500 crore, while Passage B states 1280 crore for the 18-year tenor securities.",1,3shot
