item_id,task_type,context,question,YOUR_ANSWER
TMP_074,temporal_reasoning,"Regulation 14(g) (original): the client shall agree to obtain a rating from at least two different rating agencies for any issue of debt securities whose size is equal to or exceeds, rupees one hundred crores. [Substituted by SEBI (CRA) (Second Amendment) Regulations, 2011, w.e.f. 27-12-2011]: the client shall obtain a rating for any issue of debt securities in accordance with the relevant regulations.","Under the original SEBI (CRA) Regulations, 1999, what was the mandatory dual-rating requirement for large debt issues, and when was it removed?",
NUM_133,numerical_reasoning,"Regulation 7(1): The open offer for acquiring shares to be made under regulation 3 and regulation 4 shall be for at least twenty six per cent of total shares of the target company, as of tenth working day from the closure of the tendering period.",A listed company has 50 crore shares outstanding. An acquirer acquires shares triggering a mandatory open offer under Regulation 3(1). What is the minimum number of shares for which the open offer must be made under Regulation 7(1)?,
CON_030,contradiction_detection,"Passage A:
Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect.

Passage B:
Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027.",Do Section A and Section B of the RBI Master Direction on Unique Identifiers in Financial Markets 2026 both come into force on the same date?,
CON_051,contradiction_detection,"Passage A:
The asset management company shall not undertake any other business activities except activities in the nature of portfolio management services, management and advisory services to offshore funds, pension funds, provident funds, venture capital funds, management of insurance funds, financial consultancy and exchange of research on commercial basis if any of such activities are not in conflict with the activities of the mutual fund.

Passage B:
The asset management company shall not undertake any business activities other than in the nature of management and advisory services provided to pooled assets including offshore funds, insurance funds, pension funds, provident funds, or such categories of foreign portfolio investor as may be specified by the Board, if any of such activities are not in conflict with the activities of the mutual fund.",Do Passage A and Passage B permit the same range of additional business activities for an AMC?,
REG_054,regulatory_interpretation,The trustee shall ensure that the investment manager convenes meetings of unit holders not less than once every year and the period between such meetings shall not exceed fifteen months.,"Under SEBI (Infrastructure Investment Trusts) Regulations 2014, what is the maximum permissible interval between two consecutive unit holders meetings?",
TMP_015,temporal_reasoning,"The SEBI (ICDR) Regulations 2018 superseded the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2009. The 2018 regulations were notified on the 60th day from publication. The definition of 'financial year' was inserted by the SEBI (ICDR) (Amendment) Regulations, 2025 w.e.f. 08.03.2025. Prior to this amendment, the ICDR Regulations 2018 did not contain an explicit definition of 'financial year' as a standalone defined term.",Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) Regulations 2018?,
NUM_112,numerical_reasoning,"Regulation 28A(1): The Board may, exempt any person or class of persons from the operation of all or any of the provisions of these regulations for a period as may be specified but not exceeding twelve months, for furthering innovation relating to testing new products, processes, services, business models, etc. in live environment of regulatory sandbox in the securities markets.","A fintech company seeks a regulatory sandbox exemption from SEBI under the SEBI (Investment Advisers) Regulations, 2013. SEBI grants an initial exemption of 8 months. If SEBI grants an extension, what is the maximum total duration of the regulatory sandbox exemption permissible under these regulations?",
CON_064,contradiction_detection,"Passage A:
Regulation 13(5) (pre-2021): Extension of the tenure of the close ended Alternative Investment Fund may be permitted up to two years subject to approval of two-thirds of the unit holders by value of their investment in the Alternative Investment Fund.

Passage B:
Regulation 13(5) (as amended): Extension of the tenure of the close ended Alternative Investment Fund may be permitted up to two years subject to approval of two-thirds of the unit holders by value of their investment in the Alternative Investment Fund: Provided that an Accredited Investors only fund may be permitted to extend its tenure up to five years subject to the approval of two-thirds of the unit holders by value of their investment in the Accredited Investors only fund.",Do these two versions of Regulation 13(5) prescribe the same maximum tenure extension period for all close-ended AIFs?,
NUM_092,numerical_reasoning,"Restrictions on business activities of the asset management company. 25. (7)(a) An asset management company shall not through any broker associated with the sponsor, purchase or sell securities, which is average of 5 per cent or more of the aggregate purchases and sale of securities made by the mutual fund in all its schemes: Provided that for the purpose of this sub-regulation, the aggregate purchase and sale of securities shall exclude sale and distribution of units issued by the mutual fund: Provided further that the aforesaid limit of 5 per cent shall apply for a block of any three months.","Under SEBI (Mutual Funds) Regulations, 1996, what is the maximum percentage of total mutual fund transactions that may be routed through a broker associated with the sponsor, and over what period is this limit measured?",
CON_029,contradiction_detection,"Passage A:
Bucket B1: Tier 1 Capital Ratio as at the end of previous FY: Up to 7.5% — Dividend allowed as a % of adjusted PAT for the period: 0.

Passage B:
Bucket B10: Tier 1 Capital Ratio as at the end of previous FY: Above 19.5% — Dividend allowed as a % of adjusted PAT for the period: 100.",Do Bucket B1 and Bucket B10 permit the same dividend payout as a percentage of Adjusted PAT under the RBI SFB Dividend Directions 2026?,
TMP_076,temporal_reasoning,"Regulation 2(h) — definition of 'credit rating agency' (pre-2021): rating of securities offered by way of public or rights issue. [Amended by SEBI (CRA) (Amendment) Regulations, 2021 w.e.f. 03-08-2021]: rating of securities that are listed or proposed to be listed on a stock exchange recognized by the Board.","What change did the SEBI (CRA) (Amendment) Regulations, 2021 make to the definition of 'credit rating agency' under Regulation 2(h)?",
REG_106,regulatory_interpretation,Rights and obligations of the trustees. 18. (15) The trustees shall obtain the consent of the unitholders— (a) whenever required to do so by the Board in the interest of the unitholders; or (b) whenever required to do so on the requisition made by three-fourths of the unitholders of any scheme; or (c) when the majority of the trustees decide to wind up a scheme or prematurely redeem the units of a close ended scheme.,"What proportion of unitholders of a scheme may requisition the trustees to obtain unitholder consent under SEBI (Mutual Funds) Regulations, 1996?",
NUM_087,numerical_reasoning,"Eligibility criteria. 7. Explanation: For the purposes of this clause 'sound track record' shall mean the sponsor should— (iv) have net profit after providing for depreciation, interest and tax in each of the immediately preceding five years; and (v) have average net annual profit after depreciation, interest and tax during the immediately preceding five years of at least rupees ten crore.","What is the minimum average net annual profit (after depreciation, interest and tax) that a sponsor must demonstrate over the immediately preceding five years to satisfy the sound track record requirement under SEBI (Mutual Funds) Regulations, 1996?",
REG_070,regulatory_interpretation,"Where an application is rejected for the reason that it contains false or misleading information, no such opportunity may be given and the applicant shall not make any application for grant of certificate under these regulations or any other regulations for a period of one year from the date of such rejection.",For how long is an applicant barred from making a fresh registration application if their application is rejected for containing false or misleading information?,
NUM_111,numerical_reasoning,Regulation 21(1): The Investment Adviser shall redress investor grievances promptly but not later than twenty-one calendar days from the date of receipt of the grievance.,"An investor lodges a grievance with an investment adviser on March 5, 2025. What is the regulatory deadline by which the investment adviser must redress the grievance under SEBI IA Regulations, 2013?",
REG_167,regulatory_interpretation,"Regulation 4: The Board shall not consider an application under regulation 3 unless the applicant is promoted by a person belonging to any of the following categories: (a) a public financial institution; (b) a scheduled commercial bank included in the second schedule to the RBI Act, 1934; (c) a foreign bank operating in India with the approval of the Reserve Bank of India; (d) a foreign credit rating agency incorporated in a Financial Action Task Force (FATF) member jurisdiction and recognised under their law, having a minimum of five years' experience in rating securities; (e) any company or body corporate having continuous net worth of minimum rupees one hundred crores as per audited annual accounts for the previous five years.","Who are the eligible categories of promoters for a credit rating agency under SEBI (CRA) Regulations, 1999?",
REG_170,regulatory_interpretation,"Regulation 9(d): the credit rating agency shall at all times maintain a minimum net worth of rupees twenty five crore. Provided that a credit rating agency already registered with the Board having a net worth less than rupees twenty five crores, shall increase its net worth to the specified amount within a period of three years from the date of notification of the SEBI (CRA) (Amendment) Regulations, 2018.","What ongoing net worth requirement must a credit rating agency maintain at all times under SEBI (CRA) Regulations, 1999? What transitional relief was provided for existing CRAs?",
REG_064,regulatory_interpretation,"Provided that where an issuer has filed a shelf offer document, not more than four public issuances shall be made through a single shelf offer document.","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, what is the maximum number of public issuances permitted under a single shelf offer document?",
REG_135,regulatory_interpretation,"Regulation 7(1): An individual investment adviser or a principal officer of a non-individual investment adviser registered as an investment adviser under these regulations or persons associated with investment advice, shall have the following minimum qualification, at all times — (a) A graduate degree or any equivalent educational qualification from a university or institution recognized by the Central Government or any State Government or a recognised foreign university or institution or association or CFA Charter from the CFA Institute, and relevant certification from NISM or from any other organization or institution accredited by NISM; or (c) A Post Graduate Program in the Securities Market (Investment Advisory) from NISM or a Post Graduate Program in Financial Planning from NISM or any other program of NISM as may be specified by the Board.","What are the minimum qualification requirements for an individual investment adviser under the SEBI (Investment Advisers) Regulations, 2013 (as currently amended)?",
TMP_030,temporal_reasoning,"List of circulars superseded: (1) FMRD.FMID No.14/11.01.007/2016-17 dated June 01, 2017; (2) dated November 29, 2018; (3) dated April 26, 2019; (4) dated March 27, 2020; (5) dated February 18, 2026. The Master Direction was issued March 27, 2026.","How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?",
TMP_032,temporal_reasoning,"Annex III — List of circulars repealed: DOR.ACC.REC.118/21-02-067/2025-26, dated November 28, 2025 — Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividends) Directions, 2025.

These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.",Which set of RBI directions on Small Finance Bank dividend norms was in effect during FY 2025-26 — the 2025 Directions or the 2026 Directions?,
REG_172,regulatory_interpretation,Regulation 9(f): a credit rating agency shall not carry out any activity other than the rating of securities that are listed or proposed to be listed on a stock exchange recognized by the Board. Nothing contained in these regulations shall preclude a credit rating agency from carrying out any other activity as may be specified by the Board or carrying out rating of financial instruments under the purview of any other financial sector regulator or authority as may be specified by the Board.,"What restrictions apply to the activities a credit rating agency may undertake under SEBI (CRA) Regulations, 1999?",
TMP_043,temporal_reasoning,"For transactions that are reportable in India and in a foreign jurisdiction and the foreign jurisdiction has a sooner reporting timeline, market participants may undertake reasonable efforts to ensure that the UTI is obtained and reported within the reporting deadline for the transaction. In case the market participant is unable to obtain the UTI within the reporting deadline, the market participant may obtain and submit the UTI to CCIL-TR at the earliest thereafter, but in any case, within five Mumbai business days from the date of the transaction.","Under the RBI Master Direction on UTI 2026, if a market participant cannot obtain the UTI in time for a cross-border transaction, what is the maximum additional time allowed to submit the UTI to CCIL-TR?",
TMP_048,temporal_reasoning,"Regulations 69, 70, 71, 72, 73 and 74 of the SEBI (Mutual Funds) Regulations, 1996, which dealt with enforcement and enquiry procedures, were omitted by the SEBI (Procedure for Holding Enquiry by Enquiry Officer and Imposing Penalty) Regulations, 2002, w.e.f. 27-9-2002.","From what date were Regulations 69 to 74 of SEBI (Mutual Funds) Regulations, 1996 omitted?",
NUM_076,numerical_reasoning,"The following State Governments have offered to sell stock by way of auction, for an aggregate amount of ₹57,408 Crore (Face Value).","What is the total aggregate face value amount offered by all State Governments in the revised State Government securities auction announced on March 21, 2026?",
REG_071,regulatory_interpretation,"A request for prior approval, under clause (a) of sub regulation (1) which is complete in all respects shall be disposed off by the Board within a period of sixty days from the date of receipt of such request and where the decision of the Board has not been communicated to the intermediary within the said period of sixty days, the prior approval shall be deemed to have been granted.","Under SEBI (Intermediaries) Regulations 2008, within how many days must SEBI dispose of a complete prior approval request for change in status or constitution? What is deemed to happen if SEBI fails to communicate its decision within this period?",
NUM_103,numerical_reasoning,"Seventh Schedule. 2. No mutual fund under all its schemes should own more than ten per cent of any company's paid up capital carrying voting rights or ten per cent of units of REITs issued by a single issuer, as the case may be.",All schemes of a mutual fund together hold 9.5% of ABC Limited's paid-up capital carrying voting rights. May they acquire a further 1%?,
CON_052,contradiction_detection,"Passage A:
A mutual fund scheme shall not invest more than 5% of its NAV in the unlisted equity shares or equity related instruments in case of open ended scheme and 10% of its NAV in case of close ended scheme.

Passage B:
All investments by a mutual fund scheme in equity shares and equity related instruments shall only be made provided such securities are listed or to be listed.",Do Passage A and Passage B permit mutual fund schemes to hold any unlisted equity instruments?,
REG_128,regulatory_interpretation,"Asset management company and its obligations. 25. (26) The asset management company shall ensure that no change in the fundamental attributes of any scheme or the trust, fees and expenses payable or any other change which would modify the scheme and affect the interest of unit holders, shall be carried out unless,— (i) a written communication about the proposed change is sent to each unit holder and an advertisement is issued in one English daily newspaper having nationwide circulation as well as in a newspaper published in the language of region where the Head Office of the mutual fund is situated; and (ii) the unit holders are given an option to exit at the prevailing Net Asset Value without any exit load.",What two conditions must an AMC satisfy before making any change to the fundamental attributes of a mutual fund scheme?,
NUM_130,numerical_reasoning,"Regulation 5(e): any company or body corporate, having continuous net worth of minimum rupees one hundred crores as per its audited annual accounts for the previous five years prior to filing of the application with the Board for the grant of certificate.",A body corporate files an application to promote a credit rating agency in December 2025. Its audited net worth for the preceding years was: 2020-21: Rs 95 crore; 2021-22: Rs 102 crore; 2022-23: Rs 110 crore; 2023-24: Rs 108 crore; 2024-25: Rs 115 crore. Does it meet the Regulation 4(e) promoter eligibility criterion?,
NUM_126,numerical_reasoning,"Regulation 9(e): the promoter of the credit rating agency, in terms of regulation 4, shall maintain a minimum shareholding of 26% in the credit rating agency for a minimum period of three years from the date of grant of registration by the Board.","A CRA's promoter holds 35% of the CRA's shares at the time of registration. The CRA was granted registration on April 1, 2023. Can the promoter legally reduce its shareholding to 20% on June 15, 2026?",
TMP_050,temporal_reasoning,"The original definition of 'advertisement' in the SEBI (Mutual Funds) Regulations, 1996 (clause 2(b)) enumerated specific advertising media: 'every form of advertising, whether in a publication, by display of notices, signs, labels or by means of circulars, catalogues or other documents, by an exhibition of pictures or photographic films, by way of sound broadcasting or television, or in any other manner.' This was substituted by the SEBI (Mutual Funds) (Amendment) Regulations, 2012 (w.e.f. 21-2-2012) with a broader definition: 'all forms of communication issued by or on behalf of the asset management company/mutual fund that may influence investment decisions of any investor/prospective investors.'","What key change did the SEBI (Mutual Funds) Amendment Regulations, 2012 make to the definition of 'advertisement'?",
REG_101,regulatory_interpretation,"Disqualification from being appointed as trustees. 16. (3) No asset management company and no director (including independent director), officer or employee of an asset management company shall be eligible to be appointed as a trustee of any mutual fund.","Under SEBI (Mutual Funds) Regulations, 1996, are directors, officers or employees of an AMC eligible to be appointed as trustees of any mutual fund?",
REG_185,regulatory_interpretation,Regulation 3(1): No acquirer shall acquire shares or voting rights in a target company which taken together with shares or voting rights held by him and by persons acting in concert entitle them to exercise twenty-five per cent or more of the voting rights in such target company unless the acquirer makes a public announcement of an open offer.,"Under Regulation 3(1) of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations 2011, what voting rights threshold triggers the mandatory open offer obligation?",
TMP_073,temporal_reasoning,"Regulation 5(c) (original): the applicant has a minimum net worth of rupees five crores. [Substituted by SEBI (CRA) (Amendment) Regulations, 2018, w.e.f. 30-05-2018]: the applicant has a minimum net worth of rupees twenty five crore.","When was the minimum net worth requirement for credit rating agency applicants under SEBI (CRA) Regulations, 1999 raised, and by how much was it increased?",
NUM_106,numerical_reasoning,"Seventh Schedule (historical). Clause 5 (now omitted): The initial issue expenses in respect of any scheme may not exceed six per cent of the funds raised under that scheme. (This clause was omitted by the SEBI (Mutual Funds) (Amendment) Regulations, 2008, w.e.f. 16-4-2008.)","What was the maximum initial issue expense ratio for a mutual fund scheme under the original Seventh Schedule, and when was this provision omitted?",
REG_163,regulatory_interpretation,"Regulation 15(1)(d): Category III Alternative Investment Funds shall invest not more than ten per cent of the investable funds in an Investee Company, directly or through investment in units of other Alternative Investment Funds and the large value funds for accredited investors of Category III Alternative Investment Funds may invest up to twenty per cent of the investable funds in an Investee Company, directly or through investment in units of other Alternative Investment Funds.","What is the single-investee concentration limit for Category III Alternative Investment Funds under SEBI AIF Regulations, 2012?",
CON_039,contradiction_detection,"Passage A:
Revised Press Release (March 21, 2026) — Uttarakhand: 1000 (09 year), 1000 (20 year), 1500 (18 year). Total Uttarakhand (revised): 3500 crore.

Passage B:
Original Press Release (March 20, 2026) — Uttarakhand: 1000 (09 year), 1000 (20 year), 1280 (18 year). Total Uttarakhand (original): 3280 crore.","Do the original and revised press releases state the same borrowing amount for Uttarakhand's 18-year tenor securities in the March 24, 2026 auction?",
TMP_035,temporal_reasoning,"Where a certificate has been granted to an intermediary on a permanent basis, the certificate may continue to be valid under these regulations subject to the condition that the intermediary shall, within two years of commencement of these regulations in relation to such intermediary, furnish the information in Form A to the Board and upload the information in Part I thereof on the website specified by the Board: Provided that the time specified in clause (b) may be extended by the Board up to a period of six months on sufficient reasons being shown by the intermediary.","Under SEBI (Intermediaries) Regulations 2008, an intermediary holding a permanent certificate at the time of commencement of these regulations must furnish Form A information within two years. What is the maximum total time available if SEBI grants an extension?",
REG_177,regulatory_interpretation,"Regulation 21(1): Every credit rating agency shall keep and maintain, for a minimum period of five years, the following books of accounts, records and documents: (a) copy of its balance sheet; (b) a copy of its profit and loss account; (c) a copy of the auditor's report; (d) a copy of the agreement entered into with each client; (e) information supplied by each client; (f) correspondence with each client; (g) ratings assigned, including upgradation and downgradation; (h) rating notes considered by the rating committee; (i) record of decisions of the rating committee; (j) letter assigning rating; (k) particulars of fees charged.","For how long and what types of records must a credit rating agency maintain under SEBI (CRA) Regulations, 1999?",
REG_072,regulatory_interpretation,Each intermediary shall prominently display a photocopy of the certificate at all its offices including branch offices. The intermediary shall also prominently display the name and contact details of the compliance officer to whom complaint may be made in the event of any investor grievance.,"What two things must a SEBI-registered intermediary prominently display at all its offices, including branch offices?",
REG_001,regulatory_interpretation,"An issuer shall be eligible to make an initial public offer only if: (a) it has net tangible assets of at least three crore rupees, calculated on a restated and consolidated basis, in each of the preceding three full years (of twelve months each), of which not more than fifty per cent. are held in monetary assets; (b) it has an average operating profit of at least fifteen crore rupees, calculated on a restated and consolidated basis, during the preceding three years (of twelve months each), with operating profit in each of these preceding three years; (c) it has a net worth of at least one crore rupees in each of the preceding three full years (of twelve months each), calculated on a restated and consolidated basis.","What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",
REG_161,regulatory_interpretation,Regulation 14(1): Units of close ended Alternative Investment Fund may be listed on stock exchange subject to a minimum tradable lot of one crore rupees. (2) Listing of Alternative Investment Fund units shall be permitted only after final close of the fund or scheme.,"What are the conditions under which the units of a close-ended AIF may be listed on a stock exchange under SEBI AIF Regulations, 2012?",
REG_091,regulatory_interpretation,"Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect. Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027.","Under the RBI Master Direction on Unique Identifiers in Financial Markets 2026, when does the section on Unique Transaction Identifier (UTI) implementation come into effect?",
CON_003,contradiction_detection,"Passage A:
The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund and such interest shall not be through the waiver of management fees.

Passage B:
Provided that for Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower.",Do the two passages prescribe different minimum continuing interest thresholds for Category I/II AIFs versus Category III AIFs under SEBI AIF Regulations 2012?,
CON_062,contradiction_detection,"Passage A:
Regulation 2(1)(pa) (before November 2025 amendment): 'large value fund for accredited investors' means an Alternative Investment Fund or scheme of an Alternative Investment Fund in which each investor (other than the Manager, Sponsor, employees or directors of the Alternative Investment Fund or employees or directors of the Manager) is an accredited investor and invests not less than seventy crore rupees.

Passage B:
Regulation 2(1)(pa) (as amended w.e.f. 19-11-2025): 'large value fund for accredited investors' means an Alternative Investment Fund or scheme of an Alternative Investment Fund in which each investor (other than the Manager, Sponsor, employees or directors of the Alternative Investment Fund or employees or directors of the Manager) is an accredited investor and invests not less than twenty-five crore rupees.",Does the original definition of 'large value fund for accredited investors' and the November 2025-amended definition impose the same minimum investment threshold per investor?,
