id,task_type,difficulty,source_regulation,context,question,your_answer,notes_if_ambiguous
REG_011,regulatory_interpretation,easy,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",The audit committee shall have minimum three directors as members. At least two-thirds of the members of audit committee shall be independent directors. All members of audit committee shall be financially literate and at least one member shall have accounting or related financial management expertise. The audit committee shall meet at least four times in a financial year and not more than one hundred and twenty days shall elapse between two consecutive meetings.,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between two consecutive audit committee meetings?",,
REG_012,regulatory_interpretation,medium,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","A transaction with a related party shall be considered material if the transaction(s) to be entered into individually or taken together with previous transactions during a financial year, exceeds Rupees one thousand crore or ten per cent. of the annual consolidated turnover of the listed entity as per the last audited financial statements of the listed entity, whichever is lower.","Under SEBI LODR Regulations 2015, a related party transaction is considered material if it exceeds what threshold — Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower?",,
REG_013,regulatory_interpretation,easy,"SEBI (Prohibition of Insider Trading) Regulations, 2015","Every company shall notify the particulars of trades by designated persons to the stock exchange on which the securities are listed within two trading days of receipt of the disclosure or becoming aware of the trade, as the case may be.","Under SEBI PIT Regulations 2015, within how many trading days must a company notify the stock exchange of trades by designated persons after receiving a disclosure?",,
REG_014,regulatory_interpretation,easy,"SEBI (Prohibition of Insider Trading) Regulations, 2015",The compliance officer shall approve or reject the trading plan within two trading days of the submission of the trading plan and communicate to the designated person. No trade shall be executed in terms of a trading plan until there is a cooling-off period of at least sixty days before the commencement of trades under such plan.,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that must elapse before trades can commence under an approved trading plan?",,
REG_015,regulatory_interpretation,hard,"SEBI (Settlement Proceedings) Regulations, 2018","An application in respect of any specified proceeding pending before the Board shall not be considered if it is made after sixty days from the date of service of the notice to show cause issued for initiation of such proceeding. Provided that no such delayed application shall be considered if the application is filed after one hundred and twenty calendar days from the expiry of the period specified in sub-regulation (1) or after the first hearing, whichever is earlier.","Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?",,
REG_016,regulatory_interpretation,medium,"SEBI (Settlement Proceedings) Regulations, 2018","An applicant who withdraws an application under sub-regulation (1) shall not be permitted to make another application in respect of the same default: Provided that in a case where an application was earlier rejected by the Board on the ground that the applicant did not remit the settlement amount within the period specified, such an application may be considered subject to an increase of atleast fifty percent over the settlement amount determined in accordance with Schedule-II of these Regulations.","Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage must the settlement amount be increased if an applicant re-applies after rejection due to non-payment of the earlier determined settlement amount?",,
REG_017,regulatory_interpretation,easy,"SEBI (Mutual Funds) Regulations, 1996 (as amended upto 2026)","The Board may issue observations, if any, within 21 working days from the date of filing of the scheme information document. The exit load of an open-ended mutual fund scheme shall not exceed three per cent of the applicable net asset value. Any exit load charged to the investors shall be credited to the respective scheme.","Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-ended mutual fund scheme can charge investors?",,
REG_018,regulatory_interpretation,easy,"SEBI (Mutual Funds) Regulations, 1996 (as amended upto 2026)","Where the mutual fund fails to receive the minimum subscription amount referred to in the offer document, the asset management company shall refund the subscription amount to the applicants without any exit load. If seventy-five per cent of the unit holders of a scheme pass a resolution for its winding up, the trustees shall wind up such scheme, and shall initiate the winding up process within forty-five calendar days from the date of publication of notice under sub-regulation.","Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a resolution to trigger the winding up of a mutual fund scheme?",,
REG_019,regulatory_interpretation,easy,"SEBI (Stock Brokers) Regulations, 2026",The trading member/clearing member/self-clearing member/professional clearing member shall comply with the following minimum net worth requirements: Trading Member — 1 crore; Self-Clearing Member — 5 crore; Clearing Member — 15 crore; Professional Clearing Member — 50 crore. The stock broker may act as an underwriter only out of its own net worth/funds and the underwriting obligation shall not exceed twenty times of the net worth.,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",,
REG_020,regulatory_interpretation,easy,"SEBI (Issue and Listing of Non-Convertible Securities) Regulations, 2021",The issuer shall send notice to all the eligible holders of such non-convertible securities and the debenture trustee at least twenty-one days before the date from which such right is exercisable. The period of exercise of the buy-back right shall not be less than three working days.,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",,
REG_021,regulatory_interpretation,easy,"SEBI (Real Estate Investment Trusts) Regulations, 2014",A REIT shall have a minimum asset size of five hundred crore rupees or more for the purpose of issuing units to at least two hundred investors so as to be listed on a recognised stock exchange. The net asset value or NAV means the value of the REIT assets reduced by the external debt divided by the number of outstanding units as on a particular date.,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange?",,
REG_022,regulatory_interpretation,medium,"SEBI (Registrars to an Issue and Share Transfer Agents) Regulations, 2025","Every registrar to an issue and share transfer agent shall maintain the records relating to each issue for a minimum period of eight years after completion of the issue. In the event of cancellation or surrender of the certificate of registration, the registrar shall ensure that all records are transferred to the respective issuer company or another registered share transfer agent within thirty days.","Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",,
REG_023,regulatory_interpretation,medium,"SEBI (Stock Exchanges and Clearing Corporations) Regulations, 2018","A recognised stock exchange shall not be eligible for recognition if any person, individually or together with persons acting in concert with such person, acquires or holds or controls more than five per cent of the paid-up equity share capital of the recognised stock exchange, unless the prior written approval of the Board has been obtained. Provided that the limit of five per cent shall be fifteen per cent in the case of stock exchanges, depositories, banking companies, insurance companies, and public financial institutions.","Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",,
REG_024,regulatory_interpretation,medium,"SEBI (Credit Rating Agencies) Regulations, 1999","No credit rating agency shall rate a security issued by its promoter. A credit rating agency which has a shareholding in the issuer of the security being rated, of more than ten per cent of the paid-up share capital of that issuer, shall not rate the security. A credit rating agency shall not employ a person who is a director or employee of the issuer whose security is being rated.","Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",,
REG_025,regulatory_interpretation,medium,"SEBI (Depositories and Participants) Regulations, 2018","A depository shall not be eligible to carry on its activities as a depository if any person, individually or together with persons acting in concert, holds or acquires more than five per cent of the paid-up equity share capital of such depository, unless the prior approval of the Board has been obtained for the same. A participant shall be a person registered as a participant under the Act.","Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",,
NUM_001,numerical_reasoning,medium,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","An issuer shall be eligible to make an initial public offer only if: (a) it has net tangible assets of at least three crore rupees, calculated on a restated and consolidated basis, in each of the preceding three full years; (b) it has an average operating profit of at least fifteen crore rupees during the preceding three years, with operating profit in each of these preceding three years; (c) it has a net worth of at least one crore rupees in each of the preceding three full years.","Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets an eligible issuer must have cumulatively demonstrated across all three preceding years (treating each year's minimum separately)?",,
NUM_002,numerical_reasoning,medium,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","In an issue made through the book building process, the issuer may allocate up to sixty per cent. of the portion available for allocation to qualified institutional buyers to anchor investors. One-third of the anchor investor portion shall be reserved for domestic mutual funds. The bidding for anchor investors shall open one day before the issue opening date.","If the total portion available for allocation to qualified institutional buyers in a book-built IPO is 900 crore rupees, what is the maximum amount (in crore rupees) that can be allocated to anchor investors who are domestic mutual funds?",,
NUM_003,numerical_reasoning,medium,"SEBI (Stock Brokers) Regulations, 2026",The stock broker may act as an underwriter only out of its own net worth/funds and the underwriting obligation shall not exceed twenty times of the net worth. Trading Member minimum net worth: 1 crore; Self-Clearing Member: 5 crore; Clearing Member: 15 crore; Professional Clearing Member: 50 crore.,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obligation a Self-Clearing Member can undertake, given its minimum net worth requirement?",,
NUM_004,numerical_reasoning,hard,"SEBI (Alternative Investment Funds) Regulations, 2012","The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower. For Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower. Each scheme of the Alternative Investment Fund shall have corpus of at least twenty crore rupees.","For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what is the minimum continuing interest the Manager or Sponsor must maintain — in crore rupees — as per SEBI AIF Regulations 2012?",,
NUM_005,numerical_reasoning,hard,"SEBI (Mutual Funds) Regulations, 1996 (as amended upto 2026)","The asset management company shall repay the amount at the rate of fifteen per cent per annum for the period of delay to the unitholders, as the case may be. Any borrowing by a scheme shall not exceed twenty per cent of the net assets of the scheme and the duration of such borrowing shall not exceed six months.","If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",,
NUM_006,numerical_reasoning,medium,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",The audit committee shall have minimum three directors as members. At least two-thirds of the members of audit committee shall be independent directors. The audit committee shall meet at least four times in a financial year and not more than one hundred and twenty days shall elapse between two consecutive meetings.,"For a listed entity whose audit committee has the minimum permissible number of members under SEBI LODR Regulations 2015, what is the minimum number of those members who must be independent directors?",,
NUM_007,numerical_reasoning,hard,"SEBI (Settlement Proceedings) Regulations, 2018","An application in respect of any specified proceeding pending before the Board shall not be considered if it is made after sixty days from the date of service of the notice to show cause. Where the application is filed after sixty calendar days from the expiry of the period specified in sub-regulation (1), the settlement amount determined in accordance with Schedule-II shall be increased. No such delayed application shall be considered if the application is filed after one hundred and twenty calendar days from the expiry of the sixty-day period.","Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum number of calendar days from the date of service of a show cause notice within which a settlement application can be filed (including the initial sixty-day window and the additional delayed period)?",,
NUM_008,numerical_reasoning,medium,"SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011","A share shall be deemed to be frequently traded if the traded turnover on any stock exchange during the twelve calendar months preceding the calendar month in which the public announcement is required to be made under these regulations, is at least ten per cent of the total number of shares of such class of the target company. Where the acquirer or persons acting in concert with him acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price, the acquirer shall pay to all shareholders who accepted the open offer, the difference between the highest price paid during the twenty-six weeks period and the offer price.","Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in an open offer but then buys shares in the open market at Rs. 300 per share within the twenty-six-week post-tendering period, what additional amount per share must be paid to shareholders who accepted the open offer?",,
NUM_009,numerical_reasoning,hard,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018",The tenure of warrants issued in an initial public offer shall not exceed eighteen months from the date of their allotment. The warrant holder shall exercise the option to acquire equity shares against each warrant within three months from the date of payment of warrant exercise price. At least twenty-five per cent. of the warrant consideration shall be paid upfront and disclosed in the offer document.,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, what is the latest calendar date on which the warrant holder can exercise the option to acquire equity shares, assuming the warrant exercise price is paid on the last permissible day?",,
NUM_010,numerical_reasoning,medium,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The maximum time gap of one hundred and twenty days between any two consecutive board meetings shall apply to listed entities. A listed entity whose paid-up share capital exceeds rupees ten crore or net worth exceeds rupees twenty-five crore, as at the end of the previous financial year, shall comply with the requirement of having at least one woman director on the board of directors.","Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeting on 1 April of a financial year, by what latest date must the second board meeting be held?",,
NUM_011,numerical_reasoning,easy,"SEBI (Alternative Investment Funds) Regulations, 2012","Category III Alternative Investment Funds shall invest not more than ten per cent of the investable funds in an Investee Company directly or through investment in units of other AIFs. The Alternative Investment Fund shall not accept from an investor, an investment of value less than one crore rupees. No scheme of the Alternative Investment Fund shall have more than one thousand investors.","Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable funds of 500 crore rupees and invests the maximum permissible amount in a single investee company, how much can it invest in that company?",,
NUM_012,numerical_reasoning,easy,"SEBI (Mutual Funds) Regulations, 1996 (as amended upto 2026)",The board of directors of asset management company must comprise at least fifty per cent of independent directors. The custodian in which fifty per cent or more of the directors represent the interest of the mutual fund shall not act as custodian for that mutual fund. An asset management company shall not invest more than ten per cent of the aggregate value of securities purchases or sales during any financial year through any single broker.,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the minimum number who must be independent directors?",,
CON_001,contradiction_detection,medium,"SEBI (ICDR) Regulations, 2008","[PASSAGE A]
The minimum promoters' contribution shall be locked in for a period of three years from the date of commencement of commercial production or date of allotment in the initial public offer, whichever is later.

[PASSAGE B]
The minimum promoters' contribution shall be locked in for a period of eighteen months from the date of allotment in the initial public offer. Provided that in case the majority of the issue proceeds excluding the portion of offer for sale is proposed to be utilized for capital expenditure, then the lock-in period shall be three years from the date of allotment in the initial public offer.",Do the two passages prescribe different lock-in periods for minimum promoters' contribution in the general (non-capital-expenditure) case?,,
CON_002,contradiction_detection,medium,SEBI ICDR 2018 — Promoters' contribution minimum,"[PASSAGE A]
Promoters' holding in excess of minimum promoters' contribution shall be locked-in for a period of six months from the date of allotment in the initial public offer.

[PASSAGE B]
The entire pre-issue capital held by persons other than the promoters shall be locked-in for a period of six months from the date of allotment in the initial public offer.",Do the two passages prescribe different lock-in durations for excess promoters' shares versus non-promoter pre-issue shares in an IPO?,,
CON_003,contradiction_detection,easy,SEBI AIF Regulations 2012 — Category I and II continuing interest,"[PASSAGE A]
The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund and such interest shall not be through the waiver of management fees.

[PASSAGE B]
Provided that for Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower.",Do the two passages prescribe different minimum continuing interest thresholds for Category I/II AIFs versus Category III AIFs under SEBI AIF Regulations 2012?,,
CON_004,contradiction_detection,easy,SEBI LODR 2015 — Board meeting frequency,"[PASSAGE A]
The maximum time gap of one hundred and twenty days between any two consecutive board meetings shall elapse.

[PASSAGE B]
The audit committee shall meet at least four times in a financial year and not more than one hundred and twenty days shall elapse between two consecutive meetings.",Do the two passages prescribe different maximum permissible gaps between consecutive meetings for the board and the audit committee respectively?,,
CON_005,contradiction_detection,hard,"SEBI (Stock Exchanges and Clearing Corporations) Regulations, 2018","[PASSAGE A]
A recognised stock exchange shall not be eligible for recognition if any person, individually or together with persons acting in concert with such person, acquires or holds or controls more than five per cent of the paid-up equity share capital of the recognised stock exchange without prior written approval of the Board. Provided that the limit of five per cent shall be fifteen per cent in the case of stock exchanges, depositories, banking companies, insurance companies, and public financial institutions.

[PASSAGE B]
A depository shall not be eligible to carry on its activities as a depository if any person, individually or together with persons acting in concert, holds or acquires more than five per cent of the paid-up equity share capital of such depository, unless the prior approval of the Board has been obtained for the same.",Do the two passages impose different shareholding thresholds triggering mandatory Board approval for acquisitions in recognised stock exchanges versus depositories?,,
CON_006,contradiction_detection,medium,SEBI PIT Regulations 2015 — Disclosure timing for designated persons,"[PASSAGE A]
Every company shall notify the particulars of trades by designated persons to the stock exchange on which the securities are listed within two trading days of receipt of the disclosure or becoming aware of the trade.

[PASSAGE B]
Every asset management company shall notify the particulars of such trades to the stock exchange on which the securities are listed in any other manner as may be specified by the Board within two trading days of receipt of the disclosure.",Do the two passages prescribe different disclosure timelines for companies versus asset management companies under SEBI PIT Regulations 2015?,,
CON_007,contradiction_detection,hard,SEBI Settlement Regulations 2018 — On-time application,"[PASSAGE A]
An application may be withdrawn at any time prior to the communication of the decision of the Board. An applicant who withdraws an application shall not be permitted to make another application in respect of the same default.

[PASSAGE B]
In a case where an application was earlier rejected by the Board on the ground that the applicant did not remit the settlement amount within the period specified, such an application may be considered subject to an increase of atleast fifty percent over the settlement amount determined in accordance with Schedule-II of these Regulations.",Do the two passages contradict each other regarding whether a second settlement application can ever be made for the same default?,,
CON_008,contradiction_detection,hard,SEBI Mutual Funds Regulations (2026 version) — Custodian independence,"[PASSAGE A]
Custodian in which the sponsor or its associates hold fifty per cent or more of the voting rights shall not act as a custodian for that mutual fund. A custodian in which fifty per cent or more of the directors represent the interest of the mutual fund shall not act as a custodian for that mutual fund.

[PASSAGE B]
No custodian in which a trustee company or asset management company or sponsor or any of their associates or any of the shareholders of the asset management company holding more than fifty per cent of the paid-up capital of the asset management company, is a director shall function as custodian of the mutual fund.",Do the two passages prescribe different tests for disqualifying a custodian from acting for a mutual fund based on its relationship with the sponsor?,,
CON_009,contradiction_detection,medium,SEBI ICDR 2018 — Net tangible assets monetary asset cap,"[PASSAGE A]
An issuer shall be eligible to make an initial public offer only if it has net tangible assets of at least three crore rupees, of which not more than fifty per cent. are held in monetary assets: Provided that if more than fifty per cent. of the net tangible assets are held in monetary assets, the issuer has utilised or made firm commitments to utilise such excess monetary assets in its business or project.

[PASSAGE B]
Provided further that the limit of fifty per cent. on monetary assets shall not be applicable in case the initial public offer is made entirely through an offer for sale.",Do the two passages collectively indicate that the 50% monetary asset limit always applies to every IPO regardless of its structure?,,
CON_010,contradiction_detection,hard,SEBI NCS Regulations 2021 — Debenture buy-back notice period,"[PASSAGE A]
The issuer shall send notice to all the eligible holders of such non-convertible securities and the debenture trustee at least twenty-one days before the date from which such right is exercisable.

[PASSAGE B]
Where the issuer is unable to obtain the assent of required number of shareholders, the issuer shall redeem that part of the instruments within one month from the last date of the redemption period.",Do the two passages impose the same advance notice period for different types of securities actions under SEBI regulations?,,
CON_011,contradiction_detection,easy,SEBI AIF Regulations 2012 — Social impact fund minimum corpus,"[PASSAGE A]
Each scheme of the social impact fund shall have a corpus of at least five crore rupees.

[PASSAGE B]
Each scheme of the Alternative Investment Fund shall have corpus of at least twenty crore rupees.",Do the two passages prescribe different minimum corpus requirements for social impact funds versus other AIF schemes?,,
CON_012,contradiction_detection,medium,SEBI Takeover Regulations 2011 — General open offer trigger (Regulation 3(1)),"[PASSAGE A]
No acquirer shall acquire shares or voting rights in a target company which taken together with shares held by him and persons acting in concert entitle them to exercise twenty-five per cent or more of the voting rights in such target company unless the acquirer makes a public announcement of an open offer.

[PASSAGE B]
For the purpose of this regulation, any reference to 'twenty-five per cent' in case of a target company which is listed on the Innovators Growth Platform shall be read as 'forty-nine per cent'.",Do the two passages indicate that the same open offer trigger threshold applies to all listed companies regardless of the platform on which they are listed?,,
TMP_001,temporal_reasoning,medium,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","These regulations may be called the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018. They shall come into force on the sixtieth day from the date of its publication in the Official Gazette. The definition of 'key managerial personnel' was substituted by the SEBI (Issue of Capital and Disclosure Requirements) (Amendment) Regulations, 2023, w.e.f. 31.01.2023. Prior to its substitution, 'key managerial personnel' referred to officers forming part of the core management team excluding board of directors.","Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is currently in force — the one aligning with Companies Act 2013 sub-section (51) of section 2, or the earlier definition referring to the core management team excluding board members?",,
TMP_002,temporal_reasoning,easy,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The minimum promoters' contribution lock-in was originally set at three years from the date of commencement of commercial production or allotment, whichever is later. This was subsequently substituted by the SEBI (Issue of Capital and Disclosure Requirements) (Third Amendment) Regulations, 2021, w.e.f. 13.08.2021, replacing the three-year lock-in with eighteen months from the date of allotment in the initial public offer (except where proceeds are used for capital expenditure).",Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,,
TMP_003,temporal_reasoning,hard,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The SEBI (LODR) Regulations, 2015 were published in the Official Gazette on 2nd September 2015, and shall come into force on the ninetieth day from the date of their publication: Provided that the provisions of sub-regulation (4) of regulation 23 and regulation 31A shall come into force on the date of notification of these regulations. The definition of 'mainstream media' was inserted by the SEBI (LODR) (Second Amendment) Regulations, 2023 w.e.f. 15.7.2023.","Under SEBI LODR Regulations 2015, which provisions came into force on the date of notification itself rather than after the ninety-day waiting period?",,
TMP_004,temporal_reasoning,medium,"SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011","These regulations shall come into force on the thirtieth day from the date of their publication in the Official Gazette and were published on 23rd September, 2011. The definition of 'Delisting Regulations' was inserted by the SEBI (Substantial Acquisition of Shares and Takeovers) (Third Amendment) Regulations, 2021, w.e.f. 6-12-2021. Previously, the regulations did not contain an explicit definition of 'Delisting Regulations' as a defined term.",Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulations 2011 at the time those regulations came into force in October 2011?,,
TMP_005,temporal_reasoning,easy,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The term 'innovators growth platform' was substituted by the SEBI (ICDR) (Second Amendment) Regulations, 2019, w.e.f 05.04.2019. Prior to its substitution, it was referred to as 'institutional trading platform' and was defined as the trading platform for listing and trading of specified securities of issuers that comply with the eligibility criteria specified in regulation 288. After the amendment, it is defined as the trading platform for listing and trading of specified securities of issuers that comply with the eligibility criteria specified in regulation 283.",What was the name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019?,,
TMP_006,temporal_reasoning,medium,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The definition of 'associate' in SEBI ICDR Regulations was substituted by the SEBI (ICDR) (Amendment) Regulations, 2025, w.e.f. 08.03.2025. Prior to its substitution, 'associate' was defined as 'a person which is an associate of the issuer and as defined under the Companies Act, 2013'. After the amendment, 'associate' means a person or any entity which is an associate under sub-section (6) of section 2 of the Companies Act, 2013 or under the applicable accounting standards.",Which amendment to SEBI ICDR Regulations broadened the definition of 'associate' to also include entities qualifying as associates under applicable accounting standards?,,
TMP_007,temporal_reasoning,medium,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The definition of 'non-convertible debt securities' in SEBI LODR Regulations was substituted by the SEBI (LODR) (Fifth Amendment) Regulations, 2021 w.e.f. 7.9.2021. Before substitution, clause (t) defined non-convertible debt securities as 'debt securities' as defined under the SEBI (Issue and Listing of Debt Securities) Regulations, 2008. After the amendment, it aligned with the definition under the SEBI (Issue and Listing of Non-Convertible Securities) Regulations, 2021.","Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LODR Regulations 2015 for the definition of 'non-convertible debt securities'?",,
