model,item_id,task_type,strict_correct,gemini_verdict,phi4_verdict,question,reference_answer,model_prediction,prediction_truncated,sample_group,stratum,human_verdict_CORRECT_or_INCORRECT,human_notes
Gemini 2.5 Pro,REG_124,regulatory_interpretation,0,0,1,What is the primary restriction on additional business activities an AMC may engage in under the post-2011 SEBI (Mutual Funds) Regulations?,"The AMC shall not undertake any business activities other than management and advisory services provided to pooled assets (including offshore funds, insurance funds, pension funds, provident funds, and certain foreign portfolio investors)",The additional business activities must not be in conflict with the activities of the mutual fund.,FALSE,disagreement,REG_disagreement,INCORRECT,
Gemini 2.5 Pro,NUM_114,numerical_reasoning,0,0,1,"An investment adviser gave clients a sell recommendation on Bond X on April 1. On April 14, the adviser issues a revised assessment to clients. On April 16, the adviser wants to buy Bond X for its own account (contrary to the original sell recommendation). Is the April 16 transaction permissible?","The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","Time elapsed between the revised assessment (April 14) and the proposed transaction (April 16) is 2 days. The regulation requires a minimum waiting period of 24 hours (1 day) after a revised assessment. Since 2 days is greater than the required 1 day, the transaction is permissible.",FALSE,disagreement,NUM_disagreement,CORRECT,
Gemini 2.5 Pro,TMP_069,temporal_reasoning,0,1,0,"When was the Corporate Debt Market Development Fund (CDMDF) category introduced under SEBI AIF Regulations, 2012?","The Corporate Debt Market Development Fund was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023, with effect from 15 June 2023. The CDMDF is defined as an Alternative Investment Fund set up and making investments in accordance with Chapter III-C of the AIF Regulations.",15-06-2023,FALSE,disagreement,TMP_disagreement,CORRECT,
Gemini 2.5 Pro,TMP_075,temporal_reasoning,0,0,1,"Describe the evolution of the certificate validity regime for credit rating agencies under SEBI (CRA) Regulations, 1999 from the original regulations through to the current position.","The evolution of certificate validity for CRAs under SEBI (CRA) Regulations, 1999 went through three stages: (1) Original (1999): The original regulation prescribed a fixed validity period of three years for the certificate of registration. (2) 2011 Amendment (w.e.f. 05-07-2011): SEBI (CRA) (Amendment) Regulations, 2011 introduced a two-stage regime — an 'initial registration' valid for five years, after which the CRA could apply for 'permanent registration' (application to be made three months before expiry of the initial certificate). (3) 2016 Amendment (w.e.f. 08-12-2016): The SEBI (Change in Conditions of Registration of Certain Intermediaries) (Amendment) Regulations, 2016 abolished both the initial/permanent registration distinction and all fixed validity periods — the certificate is now valid in perpetuity unless suspended or cancelled by SEBI.","Following the 2011 Amendment, an initial registration certificate was valid for 5 years, and an application for permanent registration was required 3 months before the initial certificate's expiry. Effective 08-12-2016, this was changed. The current regulation makes a certificate valid unless suspen",FALSE,disagreement,TMP_disagreement,CORRECT,
Gemini 2.5 Pro,TMP_077,temporal_reasoning,0,1,0,"When was the regulatory framework for ESG rating providers introduced under SEBI (CRA) Regulations, 1999?","The regulatory framework for ESG rating providers was introduced through the insertion of Chapter IVA (comprising Regulations 28A to 28I) by the Securities and Exchange Board of India (Credit Rating Agencies) (Amendment) Regulations, 2023, with effect from 4 July 2023. Prior to this amendment, SEBI (CRA) Regulations, 1999 contained no provisions specifically governing ESG rating providers.",w.e.f. 4.07.2023,FALSE,disagreement,TMP_disagreement,CORRECT,
Gemini 2.5 Pro,TMP_078,temporal_reasoning,0,1,0,"When was the 26% minimum promoter shareholding requirement for credit rating agencies introduced under SEBI (CRA) Regulations, 1999?","The requirement for a minimum promoter shareholding of 26% in a credit rating agency was introduced by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. Prior to this amendment, the SEBI (CRA) Regulations, 1999 did not prescribe any minimum shareholding requirement for promoters. The 2018 amendment inserted Regulation 5(l) (eligibility criterion) and Regulation 9(e) (ongoing condition of certificate) to impose this requirement.",30-05-2018,FALSE,disagreement,TMP_disagreement,CORRECT,
Gemini 2.5 Pro,TMP_079,temporal_reasoning,0,1,0,"When were the cross-shareholding restrictions between credit rating agencies first introduced in SEBI (CRA) Regulations, 1999?","The cross-shareholding restrictions between credit rating agencies (Regulation 24A) were first introduced by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. Prior to the 2018 amendment, the SEBI (CRA) Regulations, 1999 did not contain any specific prohibition on CRAs holding shares in other CRAs or shareholders of one CRA holding 10% or more in another CRA.",30-05-2018,FALSE,disagreement,TMP_disagreement,CORRECT,
Gemini 2.5 Pro,REG_192,regulatory_interpretation,0,0,1,"Under Regulation 7(1) of SEBI Takeovers Regulations 2011, what is the minimum open offer size for a mandatory open offer triggered under Regulations 3 or 4?",At least 26% of the total shares of the target company (as of the tenth working day from the closure of the tendering period).,At least twenty six per cent of total shares of the target company.,FALSE,disagreement,REG_disagreement,CORRECT,
Gemini 2.5 Pro,REG_202,regulatory_interpretation,0,0,1,"Under Regulation 26(2) of SEBI Takeovers Regulations 2011, what actions is the target company's board of directors prohibited from taking during the offer period without shareholder approval by postal ballot?","The board is prohibited from: (a) alienating material assets outside ordinary course of business; (b) effecting material borrowings outside ordinary course; (c) issuing unissued securities with voting rights; (d) implementing share buy-backs or changing capital structure; (e) entering into, amending or terminating material contracts outside ordinary course; and (f) accelerating any contingent vesting of rights such as ESOPs.","Without shareholder approval by a special resolution via postal ballot, the board of directors of the target company or any of its subsidiaries are prohibited from taking the following actions:

*   Alienate any material assets outside the ordinary course of business.
*   Effect any material borrowi",FALSE,disagreement,REG_disagreement,INCORRECT,
Gemini 2.5 Pro,TMP_087,temporal_reasoning,0,0,1,"What significant change did the SEBI Takeovers Amendment Regulations, 2025 make to who can conduct share valuations for open offers, and what transitional protection was provided for ongoing assignments?","The 2025 Amendment Regulations, effective January 3, 2026, replaced the requirement that valuations for infrequently traded shares (Regulation 8(2)(e) and 8(4)) and consideration shares (Regulation 9(5)) be done by the acquirer and the manager to the open offer (or an independent merchant banker/chartered accountant with 10 years' experience) with the requirement for an independent registered valuer as defined under section 247 of the Companies Act, 2013. A transition period of 9 months was provided for valuation assignments already underway before the amendment came into force.","The amendment required an 'independent registered valuer' to determine the price for infrequently traded shares, replacing the previous method where it was determined by 'the acquirer and the manager to the open offer'. A 9-month transition period was provided for ongoing valuation assignments.",FALSE,disagreement,TMP_disagreement,CORRECT,
Qwen3-32B,REG_008,regulatory_interpretation,0,0,1,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,FALSE,disagreement,REG_disagreement,INCORRECT,
Qwen3-32B,REG_015,regulatory_interpretation,0,0,1,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",The absolute latest deadline is 120 calendar days from the expiry of the period specified in sub-regulation (1).,FALSE,disagreement,REG_disagreement,INCORRECT,"Incomplete: omits the 'first hearing, whichever is earlier' condition."
Qwen3-32B,REG_024,regulatory_interpretation,0,0,1,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,10%,FALSE,disagreement,REG_disagreement,INCORRECT,"Wrong threshold: the restriction is triggered above 10%, not at exactly 10%."
Qwen3-32B,REG_077,regulatory_interpretation,0,0,1,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wait after the expiry of a preceding buy-back period before making another buy-back offer?",One year from the date of expiry of the buyback period of the preceding offer.,One year.,FALSE,disagreement,REG_disagreement,CORRECT,
Qwen3-32B,NUM_033,numerical_reasoning,0,0,1,"Under SEBI (InvIT) Regulations 2014, if an entity associated with the InvIT has a gross turnover of ten crore rupees, what is the maximum permissible pecuniary relationship an independent director candidate may have with it â€” applying the two per cent cap or the fifty lakh rupee cap?","Twenty lakh rupees (two per cent of ten crore rupees, being lower than fifty lakh rupees â€” the rule applies whichever is lower)","Calculation:
Gross turnover of the entity = 10 crore rupees
Two percent of gross turnover = 2% of 10,00,00,000 = 20,00,000 rupees

As per the given context, the maximum permissible pecuniary relationship is the lower of:
1. Two percent of gross turnover = 20,00,000 rupees
2. Fifty lakh rupees = 50,0",FALSE,disagreement,NUM_disagreement,CORRECT,
Qwen3-32B,NUM_114,numerical_reasoning,0,0,1,"An investment adviser gave clients a sell recommendation on Bond X on April 1. On April 14, the adviser issues a revised assessment to clients. On April 16, the adviser wants to buy Bond X for its own account (contrary to the original sell recommendation). Is the April 16 transaction permissible?","The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","April 1 (sell recommendation) + 15 days = April 16. The 15-day restriction expires on April 16. The adviser issued a revised assessment on April 14 and may enter into a transaction after 24 hours, i.e., April 15. The adviser may transact on April 16. 

Final Answer: Yes, the April 16 transaction is ",FALSE,disagreement,NUM_disagreement,CORRECT,
Qwen3-32B,TMP_081,temporal_reasoning,0,1,0,"When did SEBI introduce separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations, and what triggered these additions?","The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second Amendment Regulations, 2016, effective May 25, 2016, following Reserve Bank of India guidelines on wilful defaulters. The prohibition on fugitive economic offenders (Regulation 6B) was inserted by the Second Amendment Regulations, 2018, effective September 11, 2018, following the enactment of the Fugitive Economic Offenders Act, 2018.",SEBI introduced separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations through Regulation 6A (effective 25-05-2016) and Regulation 6B (effective 11-09-2018). These additions were triggered by the SEBI (Substantial Acquisition of ,FALSE,disagreement,TMP_disagreement,INCORRECT,Wrong triggers: the reference attributes the 2016 rule to RBI wilful-defaulter guidelines and the 2018 rule to the Fugitive Economic Offenders Act.
LLaMA-3.3-70B,REG_008,regulatory_interpretation,0,0,1,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,FALSE,disagreement,REG_disagreement,INCORRECT,"Wrong wording/value: the reference answer is 'more than five per cent,' not exactly 5%."
LLaMA-3.3-70B,REG_023,regulatory_interpretation,0,0,1,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,5%,FALSE,disagreement,REG_disagreement,CORRECT,
LLaMA-3.3-70B,REG_024,regulatory_interpretation,0,0,1,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,10%,FALSE,disagreement,REG_disagreement,INCORRECT,Wrong threshold: the reference is more than 10% of paid-up share capital.
LLaMA-3.3-70B,REG_077,regulatory_interpretation,0,0,1,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wait after the expiry of a preceding buy-back period before making another buy-back offer?",One year from the date of expiry of the buyback period of the preceding offer.,One year.,FALSE,disagreement,REG_disagreement,CORRECT,
LLaMA-3.3-70B,TMP_030,temporal_reasoning,0,0,1,"How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",9 years.,FALSE,disagreement,TMP_disagreement,CORRECT,
LLaMA-3.3-70B,NUM_033,numerical_reasoning,0,0,1,"Under SEBI (InvIT) Regulations 2014, if an entity associated with the InvIT has a gross turnover of ten crore rupees, what is the maximum permissible pecuniary relationship an independent director candidate may have with it â€” applying the two per cent cap or the fifty lakh rupee cap?","Twenty lakh rupees (two per cent of ten crore rupees, being lower than fifty lakh rupees â€” the rule applies whichever is lower)","2% of 10 crore rupees = 0.02 * 10,00,00,000 = 20,00,000 rupees. 
Since 20,00,000 rupees is greater than 50,00,000 rupees is not, 50 lakh rupees is the lower amount, but 20 lakh rupees is lower than 50",TRUE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3.3-70B,NUM_040,numerical_reasoning,0,0,1,"Under the original SEBI (Issue and Listing of Debt Securities by Municipalities) Regulations 2015 (as in force before the 2019 Amendment), if the issue closed on 1 January 2018, what was the latest date by which the trust deed had to be executed?",By 1 April 2018 (three months from the closure of the issue on 1 January 2018),"1 January 2018 + 3 months = 1 April 2018 
1 April 2018 (in months) = 3 months 
Latest date = 1 January 2018 + 3 months 
Latest date = 1 April 2018 
Answer: 1 April 2018 (in days) = 91 days 
Answer: 91",TRUE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3.3-70B,NUM_091,numerical_reasoning,0,0,1,"Under the 2023 amendment to Regulation 7, if a sponsor fails all eligibility requirements, what are the three key obligations: the AMC capitalization threshold, the lock-in period, and the minimum combined experience of the five senior officers?","AMC net worth not less than rupees one hundred fifty crore; locked-in for five years; total combined experience of CEO, COO, CRO, CCO and CIO of at least thirty years","1. AMC capitalization threshold: ₹150 crore
2. Lock-in period: 5 years
3. Minimum combined experience: 30 years",FALSE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3.3-70B,NUM_092,numerical_reasoning,0,0,1,"Under SEBI (Mutual Funds) Regulations, 1996, what is the maximum percentage of total mutual fund transactions that may be routed through a broker associated with the sponsor, and over what period is this limit measured?","5 per cent of aggregate purchases and sales, measured for a block of any three months",5% over a block of 3 months.,FALSE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3.3-70B,TMP_046,temporal_reasoning,0,0,1,What minimum proportion of independent trustees did SEBI (Mutual Funds) Regulations require before the 1998 amendment?,At least 50 per cent,At least 50% (before 12-1-1998).,FALSE,disagreement,TMP_disagreement,CORRECT,
LLaMA-3.3-70B,NUM_120,numerical_reasoning,0,0,1,"A body corporate has a net worth of Rs 45 crore. Can it qualify as an accredited investor under SEBI AIF Regulations, 2012? By how much does it fall short of the accredited investor threshold?","No. Under Regulation 2(1)(ab)(ii), a body corporate must have a net worth of at least Rs 50 crore to qualify as an accredited investor. With a net worth of Rs 45 crore, the body corporate falls short by Rs 5 crore (Rs 50 crore − Rs 45 crore = Rs 5 crore). It does not qualify as an accredited investor.",50 crore rupees - 45 crore rupees = 5 crore rupees.,FALSE,disagreement,NUM_disagreement,INCORRECT,Incomplete: gives the Rs 5 crore shortfall but does not answer that the body corporate does not qualify.
LLaMA-3.3-70B,TMP_073,temporal_reasoning,0,1,0,"When was the minimum net worth requirement for credit rating agency applicants under SEBI (CRA) Regulations, 1999 raised, and by how much was it increased?","The minimum net worth requirement was raised by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. The original 1999 regulations set a minimum of Rs five crore. The 2018 amendment increased this to Rs twenty-five crore — a five-fold increase of Rs twenty crore.","Raised on 30-05-2018, increased from 5 crores to 25 crores.",FALSE,disagreement,TMP_disagreement,CORRECT,
LLaMA-3.3-70B,TMP_081,temporal_reasoning,0,1,0,"When did SEBI introduce separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations, and what triggered these additions?","The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second Amendment Regulations, 2016, effective May 25, 2016, following Reserve Bank of India guidelines on wilful defaulters. The prohibition on fugitive economic offenders (Regulation 6B) was inserted by the Second Amendment Regulations, 2018, effective September 11, 2018, following the enactment of the Fugitive Economic Offenders Act, 2018.","Regulations 6A and 6B were introduced on 25-05-2016 and 11-09-2018, respectively, triggered by the SEBI (Substantial Acquisition of Shares and Takeovers) (Second Amendment) Regulations of 2016 and 201",TRUE,disagreement,TMP_disagreement,INCORRECT,"Wrong/incomplete triggers: the reference cites RBI wilful-defaulter guidelines and the Fugitive Economic Offenders Act, not just the SEBI amendment."
LLaMA-3.3-70B,TMP_088,temporal_reasoning,0,0,1,"When was the regulatory sandbox exemption introduced into SEBI Takeovers Regulations 2011, and what is the maximum duration for which SEBI can grant such an exemption?","The regulatory sandbox provision (Regulation 31A) was inserted by the SEBI (Regulatory Sandbox) (Amendment) Regulations, 2020, effective April 17, 2020. SEBI can grant exemptions from any provisions of the Takeovers Regulations for a period not exceeding 12 months, subject to such conditions as SEBI deems appropriate, to enable testing of new products, processes, services, or business models in a live environment.","17-04-2020, up to twelve months.",FALSE,disagreement,TMP_disagreement,CORRECT,
Llama 4 Scout 17B,REG_005,regulatory_interpretation,0,0,1,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",Three years from the date of allotment in the initial public offer,Three years.,FALSE,disagreement,REG_disagreement,CORRECT,
Llama 4 Scout 17B,REG_024,regulatory_interpretation,0,0,1,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,10%,FALSE,disagreement,REG_disagreement,INCORRECT,Wrong threshold: the reference is more than 10% of paid-up share capital.
Llama 4 Scout 17B,TMP_002,temporal_reasoning,0,0,1,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",Three years.,FALSE,disagreement,TMP_disagreement,CORRECT,
Llama 4 Scout 17B,REG_077,regulatory_interpretation,0,0,1,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wait after the expiry of a preceding buy-back period before making another buy-back offer?",One year from the date of expiry of the buyback period of the preceding offer.,One year.,FALSE,disagreement,REG_disagreement,CORRECT,
Llama 4 Scout 17B,REG_079,regulatory_interpretation,0,0,1,A company defaulted on repayment of a term loan. The default was remedied. After how long can the company conduct a buy-back?,After three years have lapsed since the default ceased to subsist.,three years.,FALSE,disagreement,REG_disagreement,CORRECT,
Llama 4 Scout 17B,TMP_044,temporal_reasoning,0,0,1,"A company completed its buy-back (i.e., made the final payment to shareholders) on June 15, 2025. What is the earliest date on which it can launch its next buy-back offer?","June 15, 2026 — one year from the expiry date (June 15, 2025) of the buyback period of the preceding offer.","June 16, 2026.",FALSE,disagreement,TMP_disagreement,INCORRECT,"Wrong date: one year from June 15, 2025 is June 15, 2026, not June 16, 2026."
Llama 4 Scout 17B,NUM_096,numerical_reasoning,0,1,0,"In Illustration 3, a bank has PAT of Rs1,500 crore, Net NPA of Rs300 crore, Tier 1 ratio of 24.36%, and has already paid interim dividend of Rs500 crore. What is the maximum final dividend it may pay?","Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)","Adjusted PAT (C) = 1500 - 0.5*300 = 1500 - 150 = 1350 crore.
75% of PAT (E) = 0.75 * 1500 = 1125 crore.
Maximum payable (F) = 1 * 1350 = 1350 crore.
Maximum Eligible Dividend (G) = Lower of E or F = Lower of 1125 or 1350 = 1125 crore.
Maximum final dividend = Maximum Eligible Dividend - Interim divi",FALSE,disagreement,NUM_disagreement,INCORRECT,"Incomplete: calculates the maximum eligible dividend as Rs 1,125 crore but does not finish the required subtraction of the Rs 500 crore interim dividend."
Llama 4 Scout 17B,NUM_113,numerical_reasoning,0,0,1,"An individual investment adviser collected fees of Rs 2.65 crore in the first eight months of the financial year. In the ninth month they collected Rs 0.22 crore and in the tenth month Rs 0.18 crore. At the end of which month is the fee-based transition threshold breached, and what is the total fee at that point?","Cumulative fees: After 8 months = Rs 2.65 crore. After month 9: 2.65 + 0.22 = Rs 2.87 crore (threshold of Rs 3 crore not yet breached). After month 10: 2.87 + 0.18 = Rs 3.05 crore (exceeds Rs 3 crore). The fee threshold is breached at the end of the 10th month, when total fees reach Rs 3.05 crore. Excess above threshold = Rs 3.05 − Rs 3.00 = Rs 0.05 crore.","## Step 1: Determine the initial fee collection and the threshold.
The individual investment adviser collected fees of Rs 2.65 crore in the first eight months. The threshold for transitioning from an individual to a non-individual investment adviser is Rs 3 crore.

## 2: Calculate the total fee coll",FALSE,disagreement,NUM_disagreement,INCORRECT,Incomplete: the response stops before giving the breach month and total fee; the correct result is month 10 and Rs 3.05 crore.
Llama 4 Scout 17B,NUM_114,numerical_reasoning,0,1,0,"An investment adviser gave clients a sell recommendation on Bond X on April 1. On April 14, the adviser issues a revised assessment to clients. On April 16, the adviser wants to buy Bond X for its own account (contrary to the original sell recommendation). Is the April 16 transaction permissible?","The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","15 days from April 1 is April 16. 
The revised assessment was given on April 14, which is within the 15-day period and at least 24 hours before April 16.

The answer is: Yes.",FALSE,disagreement,NUM_disagreement,CORRECT,
Llama 4 Scout 17B,TMP_059,temporal_reasoning,0,0,1,"How did the minimum qualification requirement for individual investment advisers under SEBI IA Regulations change with the 2020 amendment, and what further modification was made in 2025?","Under the original 2013 regulations, Regulation 7(1)(a) required a professional qualification or PG degree/diploma of minimum two years duration specifically in finance, accountancy, business management, commerce, economics, capital markets, banking, insurance, or actuarial science — or a CFA Charter. The SEBI (Investment Advisers) (Amendment) Regulations, 2020 (w.e.f. 30-09-2020) broadened this by permitting any professional qualification or graduate/post-graduate degree or diploma with no restriction on field of study, alongside NISM certification. The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) further updated Regulation 7(1)(a) to require only a graduate degree (any discipline) or CFA Charter plus relevant NISM certification — removing the old requirement for a finance-specific discipline or work experience.","Pre-2020, qualifications included: 
- Professional qualification or graduate degree or post-graduate degree/diploma (2 years) in specified fields (finance, accountancy, etc.) 
- Or, Post Graduate Program in Securities Market (Investment Advisory) from NISM (1 year)
- Or, CFA Charter from CFA Institu",FALSE,disagreement,TMP_disagreement,INCORRECT,Incomplete/incorrect 2025 treatment: it does not state the 2025 change to graduate degree or CFA Charter plus NISM certification.
Llama 4 Scout 17B,NUM_120,numerical_reasoning,0,0,1,"A body corporate has a net worth of Rs 45 crore. Can it qualify as an accredited investor under SEBI AIF Regulations, 2012? By how much does it fall short of the accredited investor threshold?","No. Under Regulation 2(1)(ab)(ii), a body corporate must have a net worth of at least Rs 50 crore to qualify as an accredited investor. With a net worth of Rs 45 crore, the body corporate falls short by Rs 5 crore (Rs 50 crore − Rs 45 crore = Rs 5 crore). It does not qualify as an accredited investor.","To determine if the body corporate qualifies as an accredited investor, compare its net worth to the threshold of 50 crore rupees.

Net worth of the body corporate = 45 crore rupees
Threshold for accreditation = 50 crore rupees

Shortfall = Threshold - Net worth = 50 crore rupees - 45 crore rupees =",FALSE,disagreement,NUM_disagreement,INCORRECT,Incomplete: the calculation is cut off before stating the Rs 5 crore shortfall and the resulting non-qualification.
Llama 4 Scout 17B,REG_190,regulatory_interpretation,0,0,1,"Under Regulation 6(2), after completing a voluntary open offer, for how long is the acquirer prohibited from acquiring further shares of the target company (other than through another voluntary open offer)?",Six months after completion of the open offer.,Six months.,FALSE,disagreement,REG_disagreement,CORRECT,
