source,title,date,url,filename,filepath,downloaded_at,category
SEBI,Revised Norms for appointment of an independent third-party reviewer/ certifier for green debt security,"Feb 27, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772193450819.pdf,"SEBI_Feb 27, 20_revised_norms_for_appointment_of_an_independent_third-p_010.pdf","data/raw/sebi\SEBI_Feb 27, 20_revised_norms_for_appointment_of_an_independent_third-p_010.pdf",2026-03-29 13:07:14,
SEBI,Ease of Doing Investment (EoDI)- Disclosure of registered name and registration number by SEBI regulated entities and their agents on Social Media Platforms (SMPs),"Feb 26, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772103201432.pdf,"SEBI_Feb 26, 20_ease_of_doing_investment_eodi-_disclosure_of_registered_011.pdf","data/raw/sebi\SEBI_Feb 26, 20_ease_of_doing_investment_eodi-_disclosure_of_registered_011.pdf",2026-03-29 13:07:19,
SEBI,Valuation of physical Gold and Silver held by mutual fund schemes,"Feb 26, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772102397057.pdf,"SEBI_Feb 26, 20_valuation_of_physical_gold_and_silver_held_by_mutual_fu_012.pdf","data/raw/sebi\SEBI_Feb 26, 20_valuation_of_physical_gold_and_silver_held_by_mutual_fu_012.pdf",2026-03-29 13:07:24,
SEBI,Categorization and Rationalization of Mutual Fund Schemes,"Feb 26, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772079826878.pdf,"SEBI_Feb 26, 20_categorization_and_rationalization_of_mutual_fund_schem_013.pdf","data/raw/sebi\SEBI_Feb 26, 20_categorization_and_rationalization_of_mutual_fund_schem_013.pdf",2026-03-29 13:07:36,
SEBI,Circular on Forms for registration of stock brokers and clearing members,"Feb 17, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1771327465440.pdf,"SEBI_Feb 17, 20_circular_on_forms_for_registration_of_stock_brokers_and_014.pdf","data/raw/sebi\SEBI_Feb 17, 20_circular_on_forms_for_registration_of_stock_brokers_and_014.pdf",2026-03-29 13:07:41,
SEBI,Capacity Planning and Real Time Performance Monitoring framework for Commodity Derivatives Segment of Market Infrastructure Institutions (MIIs),"Feb 11, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770810673597.pdf,"SEBI_Feb 11, 20_capacity_planning_and_real_time_performance_monitoring__015.pdf","data/raw/sebi\SEBI_Feb 11, 20_capacity_planning_and_real_time_performance_monitoring__015.pdf",2026-03-29 13:07:46,
SEBI,Obligations on CRAs while undertaking rating of financial instruments falling under the purview of any other Financial Sector Regulator,"Feb 10, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770724484942.pdf,"SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.pdf","data/raw/sebi\SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.pdf",2026-03-29 13:07:51,
SEBI,Reporting of value of units of Alternative Investment Funds (AIFs) to Depositories,"Feb 06, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770375004737.pdf,"SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.pdf","data/raw/sebi\SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.pdf",2026-03-29 13:07:56,
SEBI,Creation/Invocation of pledge of securities through depository system.,"Feb 05, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770291682029.pdf,"SEBI_Feb 05, 20_creationinvocation_of_pledge_of_securities_through_depo_018.pdf","data/raw/sebi\SEBI_Feb 05, 20_creationinvocation_of_pledge_of_securities_through_depo_018.pdf",2026-03-29 13:08:01,
SEBI,Review of Calendar Spread margin benefit in Single stock derivatives on expiry day,"Feb 05, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770288869049.pdf,"SEBI_Feb 05, 20_review_of_calendar_spread_margin_benefit_in_single_stoc_019.pdf","data/raw/sebi\SEBI_Feb 05, 20_review_of_calendar_spread_margin_benefit_in_single_stoc_019.pdf",2026-03-29 13:08:06,
SEBI,Revision of Order-to-Trade Ratio (OTR) framework,"Feb 04, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770204200812.pdf,"SEBI_Feb 04, 20_revision_of_order-to-trade_ratio_otr_framework_020.pdf","data/raw/sebi\SEBI_Feb 04, 20_revision_of_order-to-trade_ratio_otr_framework_020.pdf",2026-03-29 13:08:11,
SEBI,Ease of Doing Investment and Ease of Doing Business – Doing away with requirement of issuance of Letter of Confirmation (“LOC”) and to effect direct credit of securities in dematerialisation account of the investor,"Jan 30, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1769773760624.pdf,"SEBI_Jan 30, 20_ease_of_doing_investment_and_ease_of_doing_business_doi_021.pdf","data/raw/sebi\SEBI_Jan 30, 20_ease_of_doing_investment_and_ease_of_doing_business_doi_021.pdf",2026-03-29 13:08:16,
SEBI,Ease of Doing Investment – Special Window for Transfer and Dematerialisation of Physical Securities,"Jan 30, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1769772850270.pdf,"SEBI_Jan 30, 20_ease_of_doing_investment_special_window_for_transfer_an_022.pdf","data/raw/sebi\SEBI_Jan 30, 20_ease_of_doing_investment_special_window_for_transfer_an_022.pdf",2026-03-29 13:08:21,
SEBI,Introduction of Closing Auction Session (CAS) in the Equity Cash     Segment and certain modifications in the Pre-Open Auction Session,"Jan 16, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1768576287344.pdf,"SEBI_Jan 16, 20_introduction_of_closing_auction_session_cas_in_the_equi_023.pdf","data/raw/sebi\SEBI_Jan 16, 20_introduction_of_closing_auction_session_cas_in_the_equi_023.pdf",2026-03-29 13:08:26,
SEBI,Single Window Automatic and Generalised Access for Trusted Foreign Investors (SWAGAT-FI)” framework for FPIs and FVCIs,"Jan 16, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1768563562814.pdf,"SEBI_Jan 16, 20_single_window_automatic_and_generalised_access_for_trus_024.pdf","data/raw/sebi\SEBI_Jan 16, 20_single_window_automatic_and_generalised_access_for_trus_024.pdf",2026-03-29 13:08:32,
SEBI,"SEBI (Terms and Conditions of Service of Chairman and Members) Rules, 1992",1992,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2022/1667301264497.pdf,SEBI_1992_sebi_terms_and_conditions_of_service_of_chairman_and_me_025.pdf,data/raw/sebi\SEBI_1992_sebi_terms_and_conditions_of_service_of_chairman_and_me_025.pdf,2026-03-29 13:27:33,master_circular
SEBI,"Securities Contracts (Regulations) Rules, 1957 [Last amended on May 19, 2025]",1957,https://www.sebi.gov.in/sebi_data/attachdocs/may-2025/1747739899572.pdf,SEBI_1957_securities_contracts_regulations_rules_1957_last_amende_026.pdf,data/raw/sebi\SEBI_1957_securities_contracts_regulations_rules_1957_last_amende_026.pdf,2026-03-29 13:27:40,master_circular
SEBI,Commodity Derivatives Segment,"Mar 27, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774619992149.pdf,"SEBI_Mar 27, 20_commodity_derivatives_segment_027.pdf","data/raw/sebi\SEBI_Mar 27, 20_commodity_derivatives_segment_027.pdf",2026-03-29 13:27:47,order
SEBI,"Updates for Implementation of Section 51A of UAPA, 1967:  Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: amendment of 01 entry - 16324","Mar 26, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774612067861.pdf,"SEBI_Mar 26, 20_updates_for_implementation_of_section_51a_of_uapa_1967__028.pdf","data/raw/sebi\SEBI_Mar 26, 20_updates_for_implementation_of_section_51a_of_uapa_1967__028.pdf",2026-03-29 13:27:52,order
SEBI,"Updates for Implementation of Section 51A of UAPA, 1967:  Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: amendment of 01 entry - 16323","Mar 26, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774612118357.pdf,"SEBI_Mar 26, 20_updates_for_implementation_of_section_51a_of_uapa_1967__029.pdf","data/raw/sebi\SEBI_Mar 26, 20_updates_for_implementation_of_section_51a_of_uapa_1967__029.pdf",2026-03-29 13:27:57,order
SEBI,"Chairman, SEBI today launched an important investor protection measure in the form of Verified Label for stock trading apps of brokers registered with SEBI, on Google Play Store","Mar 25, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774448914437.pdf,"SEBI_Mar 25, 20_chairman_sebi_today_launched_an_important_investor_prot_030.pdf","data/raw/sebi\SEBI_Mar 25, 20_chairman_sebi_today_launched_an_important_investor_prot_030.pdf",2026-03-29 13:28:02,order
SEBI,Address by Chairman at launch of Verified App Label,"Mar 25, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774446998605.pdf,"SEBI_Mar 25, 20_address_by_chairman_at_launch_of_verified_app_label_031.pdf","data/raw/sebi\SEBI_Mar 25, 20_address_by_chairman_at_launch_of_verified_app_label_031.pdf",2026-03-29 13:28:07,order
SEBI,"Niveshak Shivir to be held on March 27, 2026 in the city of Bhubaneswar, Odisha","Mar 25, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774433817605.pdf,"SEBI_Mar 25, 20_niveshak_shivir_to_be_held_on_march_27_2026_in_the_city_032.pdf","data/raw/sebi\SEBI_Mar 25, 20_niveshak_shivir_to_be_held_on_march_27_2026_in_the_city_032.pdf",2026-03-29 13:28:11,order
SEBI,"Authorised Officer under Section 79(3)(b) of the Information Technology Act, 2000","Mar 24, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774352784959.pdf,"SEBI_Mar 24, 20_authorised_officer_under_section_793b_of_the_informatio_033.pdf","data/raw/sebi\SEBI_Mar 24, 20_authorised_officer_under_section_793b_of_the_informatio_033.pdf",2026-03-29 13:28:16,order
SEBI,"Key decisions taken in the SEBI Board Meeting dated 23rd March, 2026","Mar 23, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774268916433.pdf,"SEBI_Mar 23, 20_key_decisions_taken_in_the_sebi_board_meeting_dated_23r_034.pdf","data/raw/sebi\SEBI_Mar 23, 20_key_decisions_taken_in_the_sebi_board_meeting_dated_23r_034.pdf",2026-03-29 13:28:21,order
SEBI,"Status of SCORES complaints as on February 28, 2026","Mar 16, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773656469380.pdf,"SEBI_Mar 16, 20_status_of_scores_complaints_as_on_february_28_2026_035.pdf","data/raw/sebi\SEBI_Mar 16, 20_status_of_scores_complaints_as_on_february_28_2026_035.pdf",2026-03-29 13:28:27,order
SEBI,"Names of the companies/Intermediaries/MIIs having complaints pending for more than 3 months on SCORES as on February 28, 2026","Mar 16, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773656446835.pdf,"SEBI_Mar 16, 20_names_of_the_companiesintermediariesmiis_having_complai_036.pdf","data/raw/sebi\SEBI_Mar 16, 20_names_of_the_companiesintermediariesmiis_having_complai_036.pdf",2026-03-29 13:28:32,order
SEBI,Address by Chairman at ARIA Aspire 2026,"Mar 16, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773646328969.pdf,"SEBI_Mar 16, 20_address_by_chairman_at_aria_aspire_2026_037.pdf","data/raw/sebi\SEBI_Mar 16, 20_address_by_chairman_at_aria_aspire_2026_037.pdf",2026-03-29 13:28:36,order
SEBI,Address by Chairman SEBI at Moneycontrol Global Wealth Summit 2026,"Mar 14, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773471626886.pdf,"SEBI_Mar 14, 20_address_by_chairman_sebi_at_moneycontrol_global_wealth__038.pdf","data/raw/sebi\SEBI_Mar 14, 20_address_by_chairman_sebi_at_moneycontrol_global_wealth__038.pdf",2026-03-29 13:28:41,order
SEBI,"Dr. Sadanand S. Date takes charge as Executive Director, SEBI","Mar 13, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773409822331.pdf,"SEBI_Mar 13, 20_dr_sadanand_s_date_takes_charge_as_executive_director_s_039.pdf","data/raw/sebi\SEBI_Mar 13, 20_dr_sadanand_s_date_takes_charge_as_executive_director_s_039.pdf",2026-03-29 13:28:46,order
SEBI,Public Notice in the matter of CITRUS CHECK INNS LIMITED and ROYAL TWINKLE STAR CLUB PVT. LTD for refund.,"Mar 12, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773306719350.pdf,"SEBI_Mar 12, 20_public_notice_in_the_matter_of_citrus_check_inns_limite_040.pdf","data/raw/sebi\SEBI_Mar 12, 20_public_notice_in_the_matter_of_citrus_check_inns_limite_040.pdf",2026-03-29 13:28:51,order
SEBI,"Updates for Implementation of Section 51A of UAPA, 1967:  Updates to UNSC’s 1988 (2011) Sanctions List: amendment of 22 entries in the list","Mar 11, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773307761403.pdf,"SEBI_Mar 11, 20_updates_for_implementation_of_section_51a_of_uapa_1967__041.pdf","data/raw/sebi\SEBI_Mar 11, 20_updates_for_implementation_of_section_51a_of_uapa_1967__041.pdf",2026-03-29 13:28:56,order
SEBI,Ease of doing business - Roll out of NISM certification module for Persons Associated with Research Services – Sales and other non-core services,"Mar 11, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773234473571.pdf,"SEBI_Mar 11, 20_ease_of_doing_business_-_roll_out_of_nism_certification_042.pdf","data/raw/sebi\SEBI_Mar 11, 20_ease_of_doing_business_-_roll_out_of_nism_certification_042.pdf",2026-03-29 13:29:01,order
SEBI,"Address by Shri Tuhin Kanta Pandey, Chairman, SEBI  at the IVCA Conclave 2026","Mar 11, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773209918999.pdf,"SEBI_Mar 11, 20_address_by_shri_tuhin_kanta_pandey_chairman_sebi_at_the_043.pdf","data/raw/sebi\SEBI_Mar 11, 20_address_by_shri_tuhin_kanta_pandey_chairman_sebi_at_the_043.pdf",2026-03-29 13:29:06,order
SEBI,"Address by Shri Tuhin Kanta Pandey, Chairman, SEBI - ""30 years of the launch of the Nifty 50 Index""","Mar 09, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773064821292.pdf,"SEBI_Mar 09, 20_address_by_shri_tuhin_kanta_pandey_chairman_sebi_-_30_y_044.pdf","data/raw/sebi\SEBI_Mar 09, 20_address_by_shri_tuhin_kanta_pandey_chairman_sebi_-_30_y_044.pdf",2026-03-29 13:29:10,order
SEBI,"Updates for Implementation of Section 51A of UAPA, 1967:  Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: removal of 01 entry","Feb 27, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1772452593809.pdf,"SEBI_Feb 27, 20_updates_for_implementation_of_section_51a_of_uapa_1967__045.pdf","data/raw/sebi\SEBI_Feb 27, 20_updates_for_implementation_of_section_51a_of_uapa_1967__045.pdf",2026-03-29 13:29:16,order
SEBI,Caution to the Public regarding fake STT notices,"Feb 26, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772114137013.pdf,"SEBI_Feb 26, 20_caution_to_the_public_regarding_fake_stt_notices_046.pdf","data/raw/sebi\SEBI_Feb 26, 20_caution_to_the_public_regarding_fake_stt_notices_046.pdf",2026-03-29 13:29:20,order
SEBI,Caution to Investors on Stock Market Scams through  Account Handling Services,"Feb 26, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772113926582.pdf,"SEBI_Feb 26, 20_caution_to_investors_on_stock_market_scams_through_acco_047.pdf","data/raw/sebi\SEBI_Feb 26, 20_caution_to_investors_on_stock_market_scams_through_acco_047.pdf",2026-03-29 13:29:25,order
SEBI,Kotak Investor Conference - Chasing Growth 2026,"Feb 25, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772006418933.pdf,"SEBI_Feb 25, 20_kotak_investor_conference_-_chasing_growth_2026_048.pdf","data/raw/sebi\SEBI_Feb 25, 20_kotak_investor_conference_-_chasing_growth_2026_048.pdf",2026-03-29 13:29:30,order
SEBI,"Address by Shri Amarjeet Singh, WTM, SEBI at the SEBI PMS Conclave","Feb 23, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1772101557108.pdf,"SEBI_Feb 23, 20_address_by_shri_amarjeet_singh_wtm_sebi_at_the_sebi_pms_049.pdf","data/raw/sebi\SEBI_Feb 23, 20_address_by_shri_amarjeet_singh_wtm_sebi_at_the_sebi_pms_049.pdf",2026-03-29 13:29:35,order
SEBI,"Securities and Exchange Board of India (Mutual Funds) Regulations, 2026",2026,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1768987928534.pdf,SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.pdf,data/raw/sebi\SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.pdf,2026-03-29 13:29:46,informal_guidance
SEBI,"Securities and Exchange Board of India (Stock Brokers) Regulations, 2026",2026,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1767852346757.pdf,SEBI_2026_securities_and_exchange_board_of_india_stock_brokers_re_051.pdf,data/raw/sebi\SEBI_2026_securities_and_exchange_board_of_india_stock_brokers_re_051.pdf,2026-03-29 13:29:52,informal_guidance
SEBI,"Securities and Exchange Board of India (Procedure for making, amending and reviewing of Regulations) Regulations, 2025",2025,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2025/1739770105701.pdf,SEBI_2025_securities_and_exchange_board_of_india_procedure_for_ma_052.pdf,data/raw/sebi\SEBI_2025_securities_and_exchange_board_of_india_procedure_for_ma_052.pdf,2026-03-29 13:29:58,informal_guidance
SEBI,"Securities and Exchange Board of India (Registrars to an Issue and Share Transfer Agents) Regulations, 2025",2025,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2025/1766125665223.pdf,SEBI_2025_securities_and_exchange_board_of_india_registrars_to_an_053.pdf,data/raw/sebi\SEBI_2025_securities_and_exchange_board_of_india_registrars_to_an_053.pdf,2026-03-29 13:30:05,informal_guidance
SEBI,"Securities and Exchange Board of India (Index Providers) Regulations, 2024 [Last amended on November 28, 2024]",2024,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2024/1733301376948.pdf,SEBI_2024_securities_and_exchange_board_of_india_index_providers__054.pdf,data/raw/sebi\SEBI_2024_securities_and_exchange_board_of_india_index_providers__054.pdf,2026-03-29 13:30:10,informal_guidance
SEBI,"Securities and Exchange Board of India (Delisting of Equity Shares) Regulations, 2021 [Last amended on  September 3, 2025]",2021,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757507122446.pdf,SEBI_2021_securities_and_exchange_board_of_india_delisting_of_equ_055.pdf,data/raw/sebi\SEBI_2021_securities_and_exchange_board_of_india_delisting_of_equ_055.pdf,2026-03-29 13:30:15,informal_guidance
SEBI,"Securities and Exchange Board of India (Issue and Listing of Non-Convertible Securities) Regulations, 2021 [Last amended on January 21, 2026]",2021,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1769162648420.pdf,SEBI_2021_securities_and_exchange_board_of_india_issue_and_listin_056.pdf,data/raw/sebi\SEBI_2021_securities_and_exchange_board_of_india_issue_and_listin_056.pdf,2026-03-29 13:30:20,informal_guidance
SEBI,"Securities and Exchange Board of India (Share Based Employee Benefits and Sweat Equity) Regulations, 2021 [Last amended on December 4, 2025]",2021,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2025/1766568633261.pdf,SEBI_2021_securities_and_exchange_board_of_india_share_based_empl_057.pdf,data/raw/sebi\SEBI_2021_securities_and_exchange_board_of_india_share_based_empl_057.pdf,2026-03-29 13:30:25,informal_guidance
SEBI,"Securities and Exchange Board of India (Vault Managers) Regulations, 2021 [Last amended on February 10, 2025]",2021,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2025/1741062374048.pdf,SEBI_2021_securities_and_exchange_board_of_india_vault_managers_r_058.pdf,data/raw/sebi\SEBI_2021_securities_and_exchange_board_of_india_vault_managers_r_058.pdf,2026-03-29 13:30:30,informal_guidance
SEBI,"Securities and Exchange Board of India (Portfolio Managers) Regulations, 2020 [Last amended on September 03, 2025]",2020,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757580665392.pdf,SEBI_2020_securities_and_exchange_board_of_india_portfolio_manage_059.pdf,data/raw/sebi\SEBI_2020_securities_and_exchange_board_of_india_portfolio_manage_059.pdf,2026-03-29 13:30:35,informal_guidance
SEBI,"Securities and Exchange Board of India (Foreign Portfolio Investors) Regulations, 2019 [Last amended on December 3, 2025]",2019,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2025/1765192425627.pdf,SEBI_2019_securities_and_exchange_board_of_india_foreign_portfoli_060.pdf,data/raw/sebi\SEBI_2019_securities_and_exchange_board_of_india_foreign_portfoli_060.pdf,2026-03-29 13:30:41,informal_guidance
SEBI,"Securities and Exchange Board of India (Buy-back of Securities) Regulations 2018 [Last amended on November 28, 2024]",2018,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2024/1733976918722.pdf,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.pdf,data/raw/sebi\SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.pdf,2026-03-29 13:30:48,informal_guidance
SEBI,"Securities and Exchange Board of India (Depositories and Participants) Regulations 2018 [Last amended on November 22, 2025]",2018,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2025/1764930261886.pdf,SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.pdf,data/raw/sebi\SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.pdf,2026-03-29 13:30:56,informal_guidance
SEBI,"Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations 2018 [[Last amended on March 21, 2026]",2018,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774592300989.pdf,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.pdf,data/raw/sebi\SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.pdf,2026-03-29 13:31:07,informal_guidance
SEBI,"Securities and Exchange Board of India (Settlement Proceedings) Regulations, 2018 [Last amended on November 28, 2024]",2018,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2024/1733301438824.pdf,SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.pdf,data/raw/sebi\SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.pdf,2026-03-29 13:31:14,informal_guidance
SEBI,"Securities Contracts (Regulation) (Stock Exchanges and Clearing Corporations) Regulations, 2018 [Last amended on November 22, 2025]",2018,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2025/1765167625472.pdf,SEBI_2018_securities_contracts_regulation_stock_exchanges_and_cle_065.pdf,data/raw/sebi\SEBI_2018_securities_contracts_regulation_stock_exchanges_and_cle_065.pdf,2026-03-29 13:31:19,informal_guidance
SEBI,"Securities and Exchange Board of India (Issue and Listing of Municipal Debt Securities) Regulations, 2015 [Last amendment on August 18, 2023]",2015,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2023/1693815495648.pdf,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.pdf,data/raw/sebi\SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.pdf,2026-03-29 13:31:25,informal_guidance
