id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,One hundred and twenty days.,1,1,The model prediction matches the maximum permissible gap between two consecutive IPOs as per SEBI LODR Regulations 2015.
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, which","Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower.",1,1,The model prediction correctly states the threshold for related party transactions under SEBI LODR Regulations 2015.
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company not",Within two trading days,Two trading days.,1,1,The model prediction matches the SEBI PIT Regulations 2015 which stipulates that a company must not fail to disclose material information within two trading days.
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that m",At least sixty days,Sixty days.,0,1,The model prediction matches the mandatory cooling-off period under SEBI PIT Regulations 2015.
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest ","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",One hundred and twenty calendar days.,1,1,"The model prediction correctly identifies the latest deadline as one hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier."
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage m",At least fifty percent,Fifty percent.,1,1,The model prediction matches the minimum percentage required under SEBI Settlement Proceedings Regulations 2018.
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-",Three per cent of the applicable net asset value,Three per cent of the applicable net asset value.,1,1,The model prediction matches the SEBI Mutual Funds Regulations regarding the maximum exit load for open-ended mutual funds.
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a",Seventy-five per cent of the unit holders,Seventy-five per cent,1,1,The model prediction matches the SEBI Mutual Funds Regulations stating that seventy-five per cent of the unit holders must pass.
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth require",50 crore,50 crore,1,1,The model prediction matches the minimum net worth requirement under SEBI Stock Brokers Regulations 2026.
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issue",At least twenty-one days,Twenty-one days.,1,1,The model prediction matches the SEBI NCS Regulations 2021 which stipulates a minimum notice period of twenty-one days for an issue.
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a ",Five hundred crore rupees or more,Five hundred crore rupees or more.,1,1,The model prediction matches the minimum asset size requirement under SEBI REIT Regulations 2014.
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue",A minimum period of eight years,Eight years.,0,1,The model prediction matches the reference answer of a minimum period of eight years.
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is t",Five per cent of the paid-up equity share capital,Five per cent,1,1,The model prediction matches the reference answer exactly.
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareh",More than ten per cent of the paid-up share capital,Ten per cent,1,1,The model prediction matches the correct threshold as per SEBI Credit Rating Agencies Regulations 1999.
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold",More than five per cent of the paid-up equity share capital,Five per cent,1,1,The model prediction matches the threshold specified in SEBI Depositories and Participants Regulations 2018.
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets ",Nine crore rupees (three crore rupees per year × three years),Three crore rupees.,1,0,The model prediction of three crore rupees is incorrect; the correct minimum total net tangible assets under SEBI ICDR Regulations 2018 is nine crore rupees.
NUM_002,numerical_reasoning,medium,If the total portion available for allocation to qualified institutional buyers ,180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),One-third of 60% of 900 crore rupees is 200 crore rupees.,1,0,"The calculation provided by the model prediction is incorrect; it should be one-third of 60% of 900 crore rupees, which equals 180 crore rupees, not 200 crore rupees."
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obli",100 crore rupees (5 crore net worth × 20 = 100 crore),Twenty times of 5 crore = 100 crore.,0,1,"The model correctly calculates twenty times 5 crore as 100 crore, which matches the reference answer."
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what i","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)",5 crore rupees,1,0,The model prediction of 5 crore rupees is incorrect; the correct amount is 0.50 crore rupees (2.5% of 20 crore).
NUM_005,numerical_reasoning,hard,If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum ,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"₹75 crore.

Calculation: 20% of ₹500 crore = ₹100 crore. Interest = ₹100 crore * 15% * 6 months = ₹90 crore.",0,1,The final value of ₹75 crore matches the reference answer of ₹7.5 crore when considering the interest calculation.
NUM_006,numerical_reasoning,medium,For a listed entity whose audit committee has the minimum permissible number of ,"Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","At least two-thirds of the members must be independent directors. The minimum number of members is three. Therefore, the minimum number of independent directors is (2/3) * 3 = 2.",1,1,"The model correctly interprets the requirement that at least two-thirds of the members must be independent directors, which equates to a minimum of two independent directors for a committee with a min"
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum nu",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),120 days,1,0,The model prediction of 120 days does not match the total maximum period of 180 days as per SEBI Settlement Proceedings Regulations 2018.
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in a",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),Rs. 50 per share.,1,1,The model prediction correctly calculates the difference between the highest price and the offer price as per SEBI Takeover Regulations 2011.
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, wh",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),Sixteen months from 1 January 2024.,0,0,The model prediction does not match the correct final value or fact; it predicts 16 months from 1 January 2024 instead of the correct 18 months.
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeti",By 29 July of the same year (1 April + 120 days = 29 July),One hundred and twenty days.,0,1,"The model correctly predicts the deadline as 120 days after 1 April, which is 29 July."
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable fun",50 crore rupees (10% of 500 crore = 50 crore),10% of 500 crore rupees = 50 crore rupees.,1,1,The model prediction correctly calculates 10% of 500 crore rupees as 50 crore rupees.
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the",Four independent directors (at least 50% of 8 = 4),4,1,1,The model prediction matches the requirement of having at least 50% independent directors on the AMC's board as per SEBI Mutual Funds Regulations.
TMP_001,temporal_reasoning,medium,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is c","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023","The definition aligning with Companies Act 2013 sub-section (51) of section 2, w.e.f. 31.01.2023.",1,1,"The model prediction correctly identifies the definition of 'key managerial personnel' as per Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023."
TMP_002,temporal_reasoning,easy,Which lock-in regime for minimum promoters' contribution applied before 13 Augus,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",Three years.,0,1,The model prediction matches the lock-in regime for minimum promoters' contribution as stated in the reference answer.
TMP_003,temporal_reasoning,hard,"Under SEBI LODR Regulations 2015, which provisions came into force on the date o",Sub-regulation (4) of regulation 23 and regulation 31A,Sub-regulation (4) of regulation 23 and regulation 31A.,1,1,The model prediction correctly identifies the provisions that came into force under SEBI LODR Regulations 2015.
TMP_004,temporal_reasoning,medium,Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulat,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations, 2021, effective from 6 December 2021","No, the term 'Delisting Regulations' was not a defined term as of October 2011.",0,1,"The term 'Delisting Regulations' was not defined as of October 2011, as it was inserted by the Third Amendment Regulations, 2021."
TMP_005,temporal_reasoning,easy,What was the name of the trading platform for emerging issuers under SEBI ICDR R,Institutional trading platform,‘Institutional trading platform’,1,1,The model prediction 'Institutional trading platform' correctly identifies the name of the trading platform for emerging issuers under SEBI ICDR Regulation.
TMP_006,temporal_reasoning,medium,Which amendment to SEBI ICDR Regulations broadened the definition of 'associate',"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","SEBI (ICDR) (Amendment) Regulations, 2025, w.e.f. 08.03.2025.",1,1,The model prediction correctly identifies the SEBI ICDR Regulations amendment that broadened the definition of 'associate'.
TMP_007,temporal_reasoning,medium,"Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LO","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008","SEBI (Issue and Listing of Debt Securities) Regulations, 2008.",1,1,"The SEBI (Issue and Listing of Debt Securities) Regulations, 2008, were indeed in effect before 7 September 2021."
TMP_008,temporal_reasoning,medium,"Under SEBI AIF Regulations 2012, how long could funds registered under the earli","Five years from the commencement of the SEBI (AIF) Regulations, 2012","For a period of five years from the commencement of the SEBI (AIF) Regulations, 2012.",1,1,"The model prediction correctly states the duration as five years from the commencement of the SEBI (AIF) Regulations, 2012."
TMP_009,temporal_reasoning,medium,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before th",With the Board (SEBI),With the Board prior to 08.03.2025.,1,1,"The model prediction correctly states that the draft letter of offer must be filed with the Board (SEBI) prior to 08.03.2025, which aligns with the SEBI ICDR Regulations."
TMP_010,temporal_reasoning,hard,"After May 2021, which regulation number in which SEBI regulations defines the te","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018.",1,1,"The model prediction correctly identifies Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018."
TMP_011,temporal_reasoning,hard,"Before September 2018, what phrase was used in the SEBI Takeover Regulations 201",Is made,‘is made’,1,1,The phrase 'is made' correctly paraphrases the original regulatory rule without altering its meaning.
TMP_012,temporal_reasoning,easy,The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act a,"The Securities and Exchange Board of India Act, 1992","The SEBI (Merchant Bankers) Regulations, 1992 were among the earliest set of SEBI regulations.",1,1,"The model prediction correctly states that the SEBI (Merchant Bankers) Regulations, 1992 were among the earliest set of SEBI regulations."
TMP_013,temporal_reasoning,easy,Which set of SEBI regulations originally established the regulatory framework fo,"The SEBI (Mutual Funds) Regulations, 1996",The SEBI (Mutual Funds) Regulations were originally notified in 1996.,1,1,"The SEBI (Mutual Funds) Regulations were indeed originally notified in 1996, which matches the final value in the model prediction."
TMP_014,temporal_reasoning,medium,What term was used in SEBI REIT Regulations 2014 before the 2016 amendment repla,Sponsor(s),‘Sponsor(s)’.,1,1,The term 'Sponsor(s)' was used in SEBI REIT Regulations 2014 before the 2016 amendment replaced it.
TMP_015,temporal_reasoning,easy,Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) ,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",The SEBI (ICDR) Regulations 2009.,1,1,"The model prediction matches the reference answer, indicating the SEBI (ICDR) Regulations, 2009 was enacted earlier."
TMP_016,temporal_reasoning,medium,In which year was the concept of 'fugitive economic offender' first incorporated,"2018, effective from 16 November 2018",2018,1,1,The model prediction matches the reference answer's year.
TMP_017,temporal_reasoning,medium,"Under SEBI AIF Regulations, from which date could social impact funds start issu","25 July 2022, following the Third Amendment Regulations, 2022",25.07.2022,0,1,"The model prediction matches the correct date for the issuance of social impact funds under SEBI AIF Regulations as per the Third Amendment Regulations, 2022."
REG_067,regulatory_interpretation,easy,Within how many days must a stock exchange forward a completed registration appl,Thirty days,Thirty days.,1,1,The model prediction matches the reference answer of thirty days.
REG_068,regulatory_interpretation,easy,Within how many days must an intermediary update material changes to the informa,Fifteen days,Fifteen days.,1,1,The model prediction matches the reference answer of updating material changes within fifteen days.
REG_069,regulatory_interpretation,easy,What is the maximum time within which an intermediary must redress investor grie,Forty-five days of receipt of the grievance,Forty-five days.,1,1,The model prediction matches the reference answer's time frame for redressing investor grievances.
REG_070,regulatory_interpretation,easy,For how long is an applicant barred from making a fresh registration application,One year from the date of rejection,One year.,0,1,The model prediction matches the reference answer's duration of barring an applicant from making a fresh registration application.
REG_071,regulatory_interpretation,medium,"Under SEBI (Intermediaries) Regulations 2008, within how many days must SEBI dis","Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have been granted.",Sixty days. The prior approval shall be deemed to have been granted.,1,1,The model prediction correctly states the time frame within which SEBI must act as per SEBI (Intermediaries) Regulations 2008.
REG_072,regulatory_interpretation,easy,What two things must a SEBI-registered intermediary prominently display at all i,"A photocopy of the certificate of registration, and the name and contact details of the compliance officer.",A photocopy of the certificate and the name and contact details of the compliance officer.,1,1,The model prediction correctly identifies the two required items for display by a SEBI-registered intermediary.
REG_073,regulatory_interpretation,medium,Under what three circumstances can a permanent certificate granted to an interme,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with the regulations.","Surrendered by the intermediary, suspended, or cancelled.",1,1,"The model prediction correctly identifies the circumstances under which a permanent certificate can be surrendered, suspended, or cancelled."
REG_074,regulatory_interpretation,easy,What minimum investment amount must an accredited investor commit to a portfolio,Ten crore rupees,Ten crore rupees.,1,1,The model prediction matches the reference answer of the minimum investment amount for an accredited investor.
REG_075,regulatory_interpretation,easy,What is the maximum permissible limit for any buy-back as a percentage of the ag,"Twenty-five per cent, based on standalone or consolidated financial statements, whichever sets out a lower amount.","Twenty-five per cent or less, based on standalone or consolidated financial statements, whichever sets out a lower amount.",1,1,"The model prediction accurately reflects the maximum permissible limit for any buy-back as a percentage of the aggregate funds raised, as specified in the reference answer."
REG_076,regulatory_interpretation,easy,What is the maximum debt-to-capital ratio (secured plus unsecured debts to paid-,2:1,2:1,1,1,The model prediction matches the reference answer's maximum debt-to-capital ratio.
REG_077,regulatory_interpretation,easy,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wa",One year from the date of expiry of the buyback period of the preceding offer.,One year.,0,1,The model prediction matches the regulation stating that a company must wait for one year from the date of expiry of the buyback period of the preceding offer.
REG_078,regulatory_interpretation,medium,From which three sources may a company fund a buy-back of its shares under SEBI ,"Free reserves, securities premium account, or proceeds of issue of shares or specified securities. A company cannot use proceeds of an earlier issue o","Its free reserves; the securities premium account; or the proceeds of the issue of any shares or other specified securities. Yes, there is a restriction on using proceeds of an earlier issue of the same kind of shares or same kind of other specified securities.",1,1,"The model prediction accurately reflects the three sources from which a company may fund a buy-back of its shares under SEBI, and it correctly notes the restriction on using proceeds from an earlier i"
REG_079,regulatory_interpretation,medium,A company defaulted on repayment of a term loan. The default was remedied. After,After three years have lapsed since the default ceased to subsist.,Three years.,0,1,The model prediction matches the reference answer's time frame for default remediation.
REG_080,regulatory_interpretation,easy,"How does SEBI (Delisting of Equity Shares) Regulations, 2021 define 'compulsory ",Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.,Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.,1,1,"The model prediction accurately reflects the definition of 'compulsory delisting' as per SEBI (Delisting of Equity Shares) Regulations, 2021."
REG_081,regulatory_interpretation,easy,What is the 'bidding period' as defined in SEBI (Delisting of Equity Shares) Reg,The period within which shareholders may tender their shares in acceptance of the offer for delisting of equity shares of the company.,The period within which shareholders may tender their shares in acceptance of the offer for delisting of equity shares of the company.,1,1,The model prediction accurately paraphrases the definition of 'bidding period' as per SEBI regulations.
REG_082,regulatory_interpretation,easy,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative",On the ninetieth day from the date of publication in the Official Gazette.,Ninety-third day from the date of publication in the Official Gazette.,1,1,The model prediction is within the 1% rounding threshold of the correct answer.
REG_083,regulatory_interpretation,easy,"Under SEBI (Research Analysts) Regulations 2014, who qualifies as an 'independen",A person whose only business activity is research analysis or preparation and/or publication of research report.,A person whose only business activity is research analysis or preparation and/or publication of research report.,1,1,The model prediction accurately reflects the definition of an independent research analyst as per SEBI (Research Analysts) Regulations 2014.
REG_084,regulatory_interpretation,easy,From which financial year do the Reserve Bank of India (Small Finance Banks - Pr,Financial Year 2026-27,FY 2026-27,1,1,The model prediction matches the reference answer for the financial year in which Small Finance Banks are expected to start operations as per the Reserve Bank of India's guidelines.
REG_085,regulatory_interpretation,easy,To which category of banks do the RBI (Small Finance Banks - Prudential Norms on,Small Finance Banks (SFBs),Small Finance Banks.,1,1,The model prediction correctly identifies Small Finance Banks as the category of banks to which the RBI applies Prudential Norms.
REG_086,regulatory_interpretation,easy,"Under the RBI SFB Dividend Directions 2026, what is the maximum aggregate divide",Not exceeding 75% of the PAT for the period for which the dividend is proposed.,75% of the PAT for the period.,1,1,The model prediction matches the reference answer's maximum aggregate dividend limit as per RBI SFB Dividend Directions 2026.
REG_087,regulatory_interpretation,medium,What four factors must the Board of Directors of a Small Finance Bank consider w,1. Divergence in NPA classification and provisioning as observed in RBI supervisory findings; 2. Auditors' Report including modified opinion or Emphas,"The divergence in asset classification and provisioning for NPAs, Auditors’ Report, current and projected capital position vis-a-vis applicable regulatory capital requirement, and long-term growth plans.",1,1,"The model prediction correctly identifies the four factors that the Board of Directors of a Small Finance Bank must consider, aligning with the reference answer's focus on NPA classification, auditors"
REG_088,regulatory_interpretation,easy,"After declaring a dividend, within what time period must a Small Finance Bank su",Within a fortnight (two weeks) of the declaration of dividend.,Within a fortnight.,0,1,The model prediction matches the reference answer's time period requirement for declaring a dividend after a Small Finance Bank.
REG_089,regulatory_interpretation,easy,"Under the RBI SFB Dividend Directions 2026, is a bank eligible to declare divide",No. A bank that is under any explicit restrictions for declaration of dividends from the Reserve Bank or any other authority is not eligible to declar,No.,1,1,"The model correctly predicts that a bank under restrictions is not eligible to declare dividends, aligning with the RBI SFB Dividend Directions 2026."
REG_090,regulatory_interpretation,medium,How is 'Adjusted Profit After Tax (PAT)' defined under the RBI SFB Dividend Dire,PAT of the financial year for which the dividend is proposed minus 50% of Net NPA as on March 31 of that financial year.,PAT of the financial year for which the dividend is proposed to be paid minus 50 per cent of Net NPA as on March 31 of the financial year for which the dividend is to be paid.,1,1,The model prediction correctly paraphrases the reference definition of 'Adjusted Profit After Tax (PAT)' under the RBI SFB Dividend Directive.
REG_091,regulatory_interpretation,easy,"Under the RBI Master Direction on Unique Identifiers in Financial Markets 2026, ","January 01, 2027","January 01, 2027.",1,1,The model prediction matches the reference answer's final value or fact.
REG_092,regulatory_interpretation,easy,"Under the RBI Master Direction on Unique Identifiers 2026, are entities without ",No. Entities without an LEI code are not eligible to undertake transactions in the financial markets regulated by the Reserve Bank.,No.,1,1,"The model correctly predicts that entities without an LEI code are not eligible to undertake transactions in the financial markets regulated by the Reserve Bank, as per the RBI Master Direction on Uni"
REG_093,regulatory_interpretation,medium,"For non-derivative foreign exchange transactions, at what minimum transaction am",USD one million or equivalent thereof in other currencies.,USD one million or equivalent thereof in other currencies.,1,1,The model prediction matches the reference answer's minimum transaction threshold for non-derivative foreign exchange transactions.
REG_094,regulatory_interpretation,easy,What is the minimum nominal amount for which Government of India dated securitie,"Minimum ₹10,000 (nominal), in multiples of ₹10,000 thereafter.","Rs. 10,000/- and in multiples of Rs. 10,000/- thereafter.",1,1,"The model prediction correctly states the minimum nominal amount for Government of India dated securities as Rs. 10,000/- and in multiples of Rs. 10,000/- thereafter, which matches the reference answe"
NUM_067,numerical_reasoning,easy,"Using the formula for Adjusted PAT, calculate the Adjusted PAT for a Small Finan","₹13,750 crore. Calculation: ₹17,000 - (50% × ₹6,500) = ₹17,000 - ₹3,250 = ₹13,750 crore.","C = A - 50% of B
C = ₹17,000 crore - 50% of ₹6,500 crore
C = ₹17,000 crore - ₹3,250 crore
C = ₹13,750 crore",1,1,The model prediction correctly applies the formula for Adjusted PAT as per the given reference answer.
NUM_068,numerical_reasoning,medium,A Small Finance Bank has a Tier 1 Capital Ratio of 11.72% and an Adjusted PAT of,"₹5,500 crore. Calculation: Bank falls in Bucket B4 (above 11.5% and up to 13.5%), which allows 40% of Adjusted PAT. 40% × ₹13,750 = ₹5,500 crore.","₹5,500 crore",0,1,"The model prediction matches the reference answer of ₹5,500 crore."
NUM_069,numerical_reasoning,medium,"Under RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is the low","₹5,500 crore. This is the lower of 75% of PAT (₹12,750 crore) and the Table 1 limit (₹5,500 crore).","₹5,500",1,1,The model prediction matches the lower limit of 75% of PAT and the Table 1 limit as per RBI SFB Dividend Directions 2026.
NUM_070,numerical_reasoning,medium,"In Illustration 1 of the RBI SFB Dividend Directions 2026, the Maximum Eligible ","32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%.",32.35%,0,1,The model prediction matches the reference calculation.
NUM_071,numerical_reasoning,medium,"In Illustration 3, a Small Finance Bank has Maximum Eligible Dividend of ₹1,125 ","₹625 crore. Calculation: Maximum Eligible Dividend (₹1,125 crore) minus interim dividend already paid (₹500 crore) = ₹625 crore.","1,125 - 500 = 625 crore",1,1,The model correctly calculated the difference between the Maximum Eligible Dividend and the interim dividend already paid.
NUM_072,numerical_reasoning,easy,"A Small Finance Bank has a PAT of ₹40,500 crore and Net NPA of ₹5,000 crore. Wha","₹38,000 crore. Calculation: ₹40,500 - (50% × ₹5,000) = ₹40,500 - ₹2,500 = ₹38,000 crore.","38,000 crore",0,1,The model prediction matches the reference calculation.
NUM_073,numerical_reasoning,hard,"In Illustration 2, with Adjusted PAT of ₹38,000 crore and Bucket B5 (50% limit),","Maximum per Table 1: ₹19,000 crore (50% × ₹38,000). 75% of PAT: ₹30,375 crore (75% × ₹40,500). The Maximum Eligible Dividend is ₹19,000 crore, being t","₹19,000 and ₹30,375 crore.",0,1,The model prediction matches the reference answer's final values for the maximum per Table 1 and 75% of PAT.
NUM_074,numerical_reasoning,medium,"In the GoI dated securities auction announced on March 28, 2026, what is the max","₹33,000 crore. Calculation: Notified amount ₹29,000 crore + greenshoe of ₹2,000 crore per security × 2 securities = ₹29,000 + ₹4,000 = ₹33,000 crore.","₹31,000 crore. 

₹29,000 crore (initial sale) + ₹2,000 crore (GS 2040) + ₹2,000 crore (GS 2076) = ₹31,000 crore",0,0,"The calculation of the greenshoe option was incorrect; it should be ₹2,000 crore per security × 2 securities = ₹4,000 crore, not ₹2,000 crore × 2 = ₹4,000 crore."
NUM_075,numerical_reasoning,medium,"In the GoI dated securities auction announced on March 28, 2026, what is the tot","₹12,000 crore. It represents approximately 41.4% of the total notified amount (₹12,000 ÷ ₹29,000 × 100 ≈ 41.4%).","₹12,000 crore, representing 60% of the total auction amount.",0,0,The percentage of the total auction amount is incorrect.
NUM_076,numerical_reasoning,easy,What is the total aggregate face value amount offered by all State Governments i,"₹57,408 crore","₹57,408 Crore",1,1,The model prediction matches the reference answer in value and formatting.
NUM_077,numerical_reasoning,easy,How much in total is Andhra Pradesh seeking to raise across all three of its sec,"₹3,900 crore. Calculation: ₹1,500 + ₹1,500 + ₹900 = ₹3,900 crore.",1500 + 1500 + 900 = 3900 crore,0,1,The model prediction correctly calculates the total amount Andhra Pradesh is seeking to raise across all three securities.
NUM_078,numerical_reasoning,easy,What is the total amount Karnataka is raising across all its five securities in ,"₹10,000 crore. Calculation: ₹2,000 × 5 securities = ₹10,000 crore.","2000 (05 year) + 2000 (08 year) + 2000 (10 year and 06 months) + 2000 (11 year and 06 months) + 2000 (15 year) = $10,000,000",0,0,The calculation method used by the model prediction is incorrect; it adds up the amounts instead of multiplying the amount per security by the number of securities.
NUM_079,numerical_reasoning,easy,What is the total amount of Government of India dated securities to be issued du,"₹8,20,000 crore","8,20,000 crore",1,1,The model prediction matches the reference answer in value and formatting.
NUM_080,numerical_reasoning,easy,"In the GoI securities issuance calendar for H1 FY2026-27, what is the combined a","₹63,000 crore. Calculation: ₹29,000 (Week 1) + ₹34,000 (Week 2) = ₹63,000 crore.","₹63,000 crore.

₹29,000 crore + ₹34,000 crore = ₹63,000 crore",1,1,The final value matches the reference answer after summing the two amounts.
NUM_081,numerical_reasoning,easy,"In auction week 4 (April 20-24, 2026) of the GoI issuance calendar, what is the ","₹10,000 crore. Calculation: ₹5,000 crore (30-year regular) + ₹5,000 crore (30-year SGrB) = ₹10,000 crore.","₹10,000 crore",1,1,"The model prediction matches the reference answer of ₹10,000 crore."
