id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,Not more than one hundred and twenty days.,1,1,The model prediction correctly paraphrases the maximum permissible gap between two consecutive dates as per SEBI LODR Regulations 2015.
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate",Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity a,"Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower.",1,1,The model prediction correctly states the threshold for related party transactions under SEBI LODR Regulations 2015.
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company not",Within two trading days,Two trading days.,1,1,The model prediction matches the SEBI PIT Regulations 2015 which stipulates that a company must not fail to disclose material information within two trading days.
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that m",At least sixty days,Sixty days.,0,1,The model prediction matches the mandatory cooling-off period under SEBI PIT Regulations 2015.
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest ","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hea",One hundred and twenty calendar days.,1,1,"The model prediction correctly states the final value as ""One hundred and twenty calendar days,"" which matches the reference answer's final fact."
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage m",At least fifty percent,Atleast fifty percent.,1,1,The model prediction matches the correct minimum percentage as per SEBI Settlement Proceedings Regulations 2018.
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-",Three per cent of the applicable net asset value,Three percent of the applicable net asset value.,1,1,The model prediction matches the SEBI Mutual Funds Regulations regarding the maximum exit load for open-ended mutual funds.
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a",Seventy-five per cent of the unit holders,Seventy-five per cent.,1,1,The model prediction matches the SEBI Mutual Funds Regulations stating that seventy-five per cent of the unit holders must pass a certain threshold.
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth require",50 crore,50 crore.,1,1,The model prediction matches the minimum net worth requirement under SEBI Stock Brokers Regulations 2026.
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issue",At least twenty-one days,Twenty-one days.,1,1,The model prediction matches the SEBI NCS Regulations 2021 which stipulates a minimum notice period of twenty-one days for an issue.
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a ",Five hundred crore rupees or more,Five hundred crore rupees or more.,1,1,The model prediction matches the minimum asset size requirement under SEBI REIT Regulations 2014.
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue",A minimum period of eight years,Eight years.,0,1,The model prediction matches the reference answer of a minimum period of eight years.
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is t",Five per cent of the paid-up equity share capital,15%,0,1,The model prediction of 15% is within 1% of the correct value of 5% as per SEBI regulations.
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareh",More than ten per cent of the paid-up share capital,Ten per cent.,0,1,The model prediction matches the correct threshold as per SEBI Credit Rating Agencies Regulations 1999.
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold",More than five per cent of the paid-up equity share capital,Five per cent.,1,1,The model prediction matches the threshold specified in SEBI Depositories and Participants Regulations 2018.
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets ",Nine crore rupees (three crore rupees per year × three years),3 crore rupees * 3 years = 9 crore rupees,1,1,The model prediction correctly calculates the minimum total net tangible assets as per SEBI ICDR Regulations 2018.
NUM_002,numerical_reasoning,medium,If the total portion available for allocation to qualified institutional buyers ,180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for dome,"60% of 900 = 0.6 x 900 = 540

One-third of this amount is reserved for domestic mutual funds, so:

1/3 x 540 = 180",1,1,The model correctly calculates 60% of 900 as 540 and then correctly finds one-third of 540 as 180.
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obli",100 crore rupees (5 crore net worth × 20 = 100 crore),20 times of the net worth = 20 × 5 crore = 100 crore.,1,1,"The model prediction correctly calculates the maximum underwriting obligation as 20 times the net worth, which equals 100 crore."
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what i","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","Calculation:

Corpus = 20 crore rupees
Minimum continuing interest = whichever is lower between 2.5% of corpus and 5 crore rupees

2.5% of 20 crore rupees = 0.50 crore rupees (since 2.5% of 20,000,000",1,1,"The model correctly calculated 2.5% of 20 crore rupees as 0.50 crore rupees, which is lower than the 5 crore rupees threshold."
NUM_005,numerical_reasoning,hard,If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum ,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 cr,"20% of 500 crore = 0.2 x 500,000,000 = 100,000,000
Interest liability = Principal x Rate x Time
= 100,000,000 x 15/100 x 6/12
= 7,500,000",0,1,The model correctly calculates the interest liability as 7.5 crore rupees.
NUM_006,numerical_reasoning,medium,For a listed entity whose audit committee has the minimum permissible number of ,"Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","Minimum number of members = 3
At least two-thirds of the members shall be independent directors.

Calculation:
Two-thirds of 3 = (2/3) × 3 = 2

Answer: 2 independent directors.",1,1,The model correctly identified that two-thirds of 3 members equals 2 independent directors.
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum nu",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),60 + 60 = 120,1,0,The model prediction incorrectly adds 60 days twice instead of correctly adding 60 days initial window and 120 days additional delayed period to get 180 days total.
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in a",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),Rs. 300 (highest price) - Rs. 250 (offer price) = Rs. 50,1,1,The model correctly calculates the difference between the highest price and the offer price as per SEBI Takeover Regulations 2011.
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, wh",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3,"June 30, 2025",0,0,"The model prediction does not match the correct final value or fact; the correct final date should be 1 October 2025, not June 30, 2025."
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeti",By 29 July of the same year (1 April + 120 days = 29 July),120 days,1,1,"The model correctly predicts the deadline for holding the first board meeting under SEBI LODR Regulations 2015, which is 120 days after the listing date."
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable fun",50 crore rupees (10% of 500 crore = 50 crore),10% of ₹500 crore = ₹50 crore,1,1,The model prediction correctly calculates 10% of ₹500 crore as ₹50 crore.
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the",Four independent directors (at least 50% of 8 = 4),50% of 8 = 4,1,1,"The model correctly calculated 50% of 8 directors as 4, which matches the requirement for the number of independent directors under SEBI Mutual Funds Regulations."
TMP_001,temporal_reasoning,medium,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is c","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.",The current definition of 'key managerial personnel' under SEBI ICDR Regulations is the one aligning with Companies Act 2013 sub-section (51) of section 2.,1,1,The model prediction correctly identifies the definition of 'key managerial personnel' under SEBI ICDR Regulations as aligning with Companies Act 2013 sub-section (51) of section 2.
TMP_002,temporal_reasoning,easy,Which lock-in regime for minimum promoters' contribution applied before 13 Augus,"Three years from the date of commencement of commercial production or date of allotment, whichever i",Three years.,0,1,The model prediction matches the reference answer's lock-in period for minimum promoters' contribution.
TMP_003,temporal_reasoning,hard,"Under SEBI LODR Regulations 2015, which provisions came into force on the date o",Sub-regulation (4) of regulation 23 and regulation 31A,The provisions of sub-regulation (4) of regulation 23 and regulation 31A.,1,1,The model prediction correctly identifies the provisions that came into force under SEBI LODR Regulations 2015.
TMP_004,temporal_reasoning,medium,Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulat,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations,",No.,0,1,The model correctly identified that 'Delisting Regulations' was not a defined term in the original SEBI Takeover Regulations but was inserted by the Third Amendment Regulations.
TMP_005,temporal_reasoning,easy,What was the name of the trading platform for emerging issuers under SEBI ICDR R,Institutional trading platform,Institutional trading platform.,1,1,"The reference answer ""Institutional trading platform"" is a paraphrased version of the correct term ""SEBI ICDR R platform"" for emerging issuers."
TMP_006,temporal_reasoning,medium,Which amendment to SEBI ICDR Regulations broadened the definition of 'associate',"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","SEBI (ICDR) (Amendment) Regulations, 2025.",1,1,The model prediction correctly identifies the SEBI ICDR Regulations amendment that broadened the definition of 'associate'.
TMP_007,temporal_reasoning,medium,"Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LO","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008","SEBI (Issue and Listing of Debt Securities) Regulations, 2008.",1,1,"The SEBI (Issue and Listing of Debt Securities) Regulations, 2008, were indeed in effect before 7 September 2021."
TMP_008,temporal_reasoning,medium,"Under SEBI AIF Regulations 2012, how long could funds registered under the earli","Five years from the commencement of the SEBI (AIF) Regulations, 2012","Five years from the commencement of the SEBI (AIF) Regulations, 2012.",1,1,"The model prediction correctly states the duration as five years from the commencement of the SEBI (AIF) Regulations, 2012."
TMP_009,temporal_reasoning,medium,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before th",With the Board (SEBI),The draft letter of offer was required to be filed with the Board prior to 08.03.2025.,1,1,The final value matches the requirement that the draft letter of offer was to be filed with the Board (SEBI) prior to 08.03.2025.
TMP_010,temporal_reasoning,hard,"After May 2021, which regulation number in which SEBI regulations defines the te","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018.",1,1,"The model prediction correctly identifies Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018."
TMP_011,temporal_reasoning,hard,"Before September 2018, what phrase was used in the SEBI Takeover Regulations 201",Is made,"""is made""",1,1,"The phrase ""is made"" correctly paraphrases the original phrase ""is made"" from the SEBI Takeover Regulations 201."
TMP_012,temporal_reasoning,easy,The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act a,"The Securities and Exchange Board of India Act, 1992","The SEBI (Merchant Bankers) Regulations, 1992 were enacted under the SEBI Act, 1988.",0,0,"The SEBI (Merchant Bankers) Regulations, 1992 were enacted under the SEBI Act, 1992, not 1988."
TMP_013,temporal_reasoning,easy,Which set of SEBI regulations originally established the regulatory framework fo,"The SEBI (Mutual Funds) Regulations, 1996",The SEBI (Mutual Funds) Regulations notified in 1996.,1,1,"The SEBI (Mutual Funds) Regulations, 1996, established the regulatory framework for mutual funds in India."
TMP_014,temporal_reasoning,medium,What term was used in SEBI REIT Regulations 2014 before the 2016 amendment repla,Sponsor(s),Sponsor(s),1,1,"The term ""Sponsor(s)"" was indeed used in SEBI REIT Regulations 2014 before the 2016 amendment."
TMP_015,temporal_reasoning,easy,Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) ,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",The SEBI (ICDR) Regulations 2009 were enacted earlier.,1,1,"The model prediction correctly identifies that the SEBI (ICDR) Regulations, 2009 were enacted earlier."
TMP_016,temporal_reasoning,medium,In which year was the concept of 'fugitive economic offender' first incorporated,"2018, effective from 16 November 2018",2018,1,1,The model prediction matches the reference answer's year.
TMP_017,temporal_reasoning,medium,"Under SEBI AIF Regulations, from which date could social impact funds start issu","25 July 2022, following the Third Amendment Regulations, 2022",25.07.2022,0,1,"The model prediction matches the correct date for the issuance of social impact funds under SEBI AIF Regulations as per the Third Amendment Regulations, 2022."
REG_067,regulatory_interpretation,easy,Within how many days must a stock exchange forward a completed registration appl,Thirty days,Thirty days.,1,1,The model prediction matches the reference answer of thirty days.
REG_068,regulatory_interpretation,easy,Within how many days must an intermediary update material changes to the informa,Fifteen days,Fifteen days.,1,1,The model prediction matches the reference answer of updating material changes within fifteen days.
REG_069,regulatory_interpretation,easy,What is the maximum time within which an intermediary must redress investor grie,Forty-five days of receipt of the grievance,Forty-five days.,1,1,The model prediction matches the reference answer's time frame for redressing investor grievances.
REG_070,regulatory_interpretation,easy,For how long is an applicant barred from making a fresh registration application,One year from the date of rejection,One year.,0,1,The model prediction matches the reference answer's duration of barring an applicant from making a fresh registration application.
REG_071,regulatory_interpretation,medium,"Under SEBI (Intermediaries) Regulations 2008, within how many days must SEBI dis","Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have b","Sixty days. If not communicated, the prior approval shall be deemed to have been granted.",1,1,The model prediction correctly states the time frame of sixty days as per SEBI (Intermediaries) Regulations 2008.
REG_072,regulatory_interpretation,easy,What two things must a SEBI-registered intermediary prominently display at all i,"A photocopy of the certificate of registration, and the name and contact details of the compliance o",Photocopy of the certificate and name and contact details of the compliance officer.,1,1,The model prediction correctly identifies the two requirements for a SEBI-registered intermediary to display: a photocopy of the certificate of registration and the name and contact details of the com
REG_073,regulatory_interpretation,medium,Under what three circumstances can a permanent certificate granted to an interme,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with","Surrendered, Suspended, Cancelled.",1,1,"The model prediction correctly identifies the circumstances under which a permanent certificate can be surrendered, suspended, or cancelled."
REG_074,regulatory_interpretation,easy,What minimum investment amount must an accredited investor commit to a portfolio,Ten crore rupees,Ten crore rupees.,1,1,The model prediction matches the reference answer of the minimum investment amount for an accredited investor.
REG_075,regulatory_interpretation,easy,What is the maximum permissible limit for any buy-back as a percentage of the ag,"Twenty-five per cent, based on standalone or consolidated financial statements, whichever sets out a","Twenty-five per cent. Based on standalone or consolidated financial statements, whichever sets out a lower amount.",1,1,"The model prediction correctly states the maximum permissible limit for any buy-back as a percentage of the aggregate funds raised, which is twenty-five per cent, based on standalone or consolidated f"
REG_076,regulatory_interpretation,easy,What is the maximum debt-to-capital ratio (secured plus unsecured debts to paid-,2:1,2:1,1,1,The model prediction matches the reference answer's maximum debt-to-capital ratio.
REG_077,regulatory_interpretation,easy,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wa",One year from the date of expiry of the buyback period of the preceding offer.,One year.,0,1,The model prediction matches the regulation stating that a company must wait for one year from the date of expiry of the buyback period of the preceding offer.
REG_078,regulatory_interpretation,medium,From which three sources may a company fund a buy-back of its shares under SEBI ,"Free reserves, securities premium account, or proceeds of issue of shares or specified securities. A","A company may fund a buy-back from free reserves, securities premium account, or the proceeds of the issue of any shares or other specified securities. There is a restriction on using proceeds of an e",1,1,The model prediction accurately reflects the sources from which a company may fund a buy-back of its shares as per SEBI regulations.
REG_079,regulatory_interpretation,medium,A company defaulted on repayment of a term loan. The default was remedied. After,After three years have lapsed since the default ceased to subsist.,Three years.,0,1,The model prediction matches the reference answer's time frame for default remediation.
REG_080,regulatory_interpretation,easy,"How does SEBI (Delisting of Equity Shares) Regulations, 2021 define 'compulsory ",Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regu,"""delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.""",1,1,"The model prediction accurately paraphrases the definition of 'compulsory delisting' as per SEBI (Delisting of Equity Shares) Regulations, 2021."
REG_081,regulatory_interpretation,easy,What is the 'bidding period' as defined in SEBI (Delisting of Equity Shares) Reg,The period within which shareholders may tender their shares in acceptance of the offer for delistin,"The ""bidding period"" means the period within which shareholders may tender their shares in acceptance of the offer for delisting of equity shares of the company.",1,1,The model prediction accurately paraphrases the definition of the 'bidding period' as per SEBI regulations.
REG_082,regulatory_interpretation,easy,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative",On the ninetieth day from the date of publication in the Official Gazette.,Ninety days.,0,1,"The model prediction correctly states the time frame for the SEBI (Research Analysts) Regulations, 2014 to come into force."
REG_083,regulatory_interpretation,easy,"Under SEBI (Research Analysts) Regulations 2014, who qualifies as an 'independen",A person whose only business activity is research analysis or preparation and/or publication of rese,A person whose only business activity is research analysis or preparation and/or publication of research report.,1,1,The model prediction accurately paraphrases the definition of an independent research analyst as per SEBI (Research Analysts) Regulations 2014.
REG_084,regulatory_interpretation,easy,From which financial year do the Reserve Bank of India (Small Finance Banks - Pr,Financial Year 2026-27,Financial Year (FY) 2026-27.,1,1,The model prediction matches the reference answer for the financial year in which Small Finance Banks are expected to start operations as per the Reserve Bank of India's guidelines.
REG_085,regulatory_interpretation,easy,To which category of banks do the RBI (Small Finance Banks - Prudential Norms on,Small Finance Banks (SFBs),To Small Finance Banks.,1,1,The model prediction correctly identifies the category of banks as Small Finance Banks as per the RBI's Prudential Norms.
REG_086,regulatory_interpretation,easy,"Under the RBI SFB Dividend Directions 2026, what is the maximum aggregate divide",Not exceeding 75% of the PAT for the period for which the dividend is proposed.,75% of PAT.,1,1,The model prediction matches the reference answer's maximum aggregate dividend limit as per RBI SFB Dividend Directions 2026.
REG_087,regulatory_interpretation,medium,What four factors must the Board of Directors of a Small Finance Bank consider w,1. Divergence in NPA classification and provisioning as observed in RBI supervisory findings; 2. Aud,"(1) Divergence in asset classification and provisioning for NPAs, including trend; (2) Auditors' Report to financial statements; (3) Current and projected capital position vis-a-vis regulatory capital",1,1,"The model prediction correctly identifies the four factors that the Board of Directors of a Small Finance Bank must consider, aligning with the reference answer's focus on NPA classification, auditors"
REG_088,regulatory_interpretation,easy,"After declaring a dividend, within what time period must a Small Finance Bank su",Within a fortnight (two weeks) of the declaration of dividend.,A fortnight.,0,1,The model prediction matches the reference answer's time period requirement for declaring a dividend after a Small Finance Bank.
REG_089,regulatory_interpretation,easy,"Under the RBI SFB Dividend Directions 2026, is a bank eligible to declare divide",No. A bank that is under any explicit restrictions for declaration of dividends from the Reserve Ban,No.,1,1,"The model correctly predicts that a bank under explicit restrictions is not eligible to declare dividends, aligning with the RBI SFB Dividend Directions 2026."
REG_090,regulatory_interpretation,medium,How is 'Adjusted Profit After Tax (PAT)' defined under the RBI SFB Dividend Dire,PAT of the financial year for which the dividend is proposed minus 50% of Net NPA as on March 31 of ,PAT of the financial year for which the dividend is proposed to be paid minus 50 per cent of Net NPA as on March 31 of the financial year for which the dividend is to be paid.,1,1,The model prediction correctly paraphrases the reference definition of 'Adjusted Profit After Tax (PAT)' under the RBI SFB Dividend Directive.
REG_091,regulatory_interpretation,easy,"Under the RBI Master Direction on Unique Identifiers in Financial Markets 2026, ","January 01, 2027","January 01, 2027.",1,1,The model prediction matches the reference answer's final value or fact.
REG_092,regulatory_interpretation,easy,"Under the RBI Master Direction on Unique Identifiers 2026, are entities without ",No. Entities without an LEI code are not eligible to undertake transactions in the financial markets,No.,1,1,The model correctly predicts that entities without an LEI code are not eligible to undertake transactions in the financial markets as per the RBI Master Direction on Unique Identifiers 2026.
REG_093,regulatory_interpretation,medium,"For non-derivative foreign exchange transactions, at what minimum transaction am",USD one million or equivalent thereof in other currencies.,USD one million or equivalent.,1,1,The model prediction matches the reference answer's minimum transaction amount.
REG_094,regulatory_interpretation,easy,What is the minimum nominal amount for which Government of India dated securitie,"Minimum ₹10,000 (nominal), in multiples of ₹10,000 thereafter.","Rs. 10,000/- (nominal), and in multiples of Rs. 10,000/- thereafter.",1,1,The model prediction correctly states the minimum nominal amount for Government of India dated securities as per the reference answer.
NUM_067,numerical_reasoning,easy,"Using the formula for Adjusted PAT, calculate the Adjusted PAT for a Small Finan","₹13,750 crore. Calculation: ₹17,000 - (50% × ₹6,500) = ₹17,000 - ₹3,250 = ₹13,750 crore.","₹17,000 - 50% of ₹6,500 = ₹17,000 - ₹3,250 = ₹13,750 crore",1,1,"The model prediction correctly applies the formula for Adjusted PAT, yielding the same final value as the reference answer."
NUM_068,numerical_reasoning,medium,A Small Finance Bank has a Tier 1 Capital Ratio of 11.72% and an Adjusted PAT of,"₹5,500 crore. Calculation: Bank falls in Bucket B4 (above 11.5% and up to 13.5%), which allows 40% o","40% of ₹13,750 = ₹5,500",1,1,"The model prediction correctly calculates 40% of ₹13,750, which equals ₹5,500, matching the reference answer."
NUM_069,numerical_reasoning,medium,"Under RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is the low","₹5,500 crore. This is the lower of 75% of PAT (₹12,750 crore) and the Table 1 limit (₹5,500 crore).","E = 0.75 × 17,000 = 12,750
F = 5,500
Maximum Eligible Dividend (MED) = Lower of E or F = 5,500",0,0,"The calculation of E is incorrect; it should be 75% of PAT, not 75% of 17,000."
NUM_070,numerical_reasoning,medium,"In Illustration 1 of the RBI SFB Dividend Directions 2026, the Maximum Eligible ","32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%.",32.35%,0,1,The model prediction matches the reference calculation.
NUM_071,numerical_reasoning,medium,"In Illustration 3, a Small Finance Bank has Maximum Eligible Dividend of ₹1,125 ","₹625 crore. Calculation: Maximum Eligible Dividend (₹1,125 crore) minus interim dividend already pai",G - H = 1125 - 500 = 625,0,1,"The calculation correctly reflects the difference between the Maximum Eligible Dividend and the interim dividend paid, aligning with the reference answer."
NUM_072,numerical_reasoning,easy,"A Small Finance Bank has a PAT of ₹40,500 crore and Net NPA of ₹5,000 crore. Wha","₹38,000 crore. Calculation: ₹40,500 - (50% × ₹5,000) = ₹40,500 - ₹2,500 = ₹38,000 crore.","38,000 crore",0,1,The model prediction matches the reference calculation.
NUM_073,numerical_reasoning,hard,"In Illustration 2, with Adjusted PAT of ₹38,000 crore and Bucket B5 (50% limit),","Maximum per Table 1: ₹19,000 crore (50% × ₹38,000). 75% of PAT: ₹30,375 crore (75% × ₹40,500). The M","Maximum dividend allowed: ₹19,000
75% of PAT: ₹30,375",1,1,"The model prediction correctly identifies the maximum dividend allowed as ₹19,000 and 75% of PAT as ₹30,375, which aligns with the reference answer."
NUM_074,numerical_reasoning,medium,"In the GoI dated securities auction announced on March 28, 2026, what is the max","₹33,000 crore. Calculation: Notified amount ₹29,000 crore + greenshoe of ₹2,000 crore per security ×","17,000 + 2,000 = 19,000 (for 6.68% GS 2040 Jul 07, 2040)
12,000 + 2,000 = 14,000 (for 7.43% GS 2076 Jan 19, 2076)
Total: 19,000 + 14,000 = ₹33,000 crore",0,0,The model prediction incorrectly calculates the total amount by summing individual securities instead of correctly adding the notified amount and greenshoe option.
NUM_075,numerical_reasoning,medium,"In the GoI dated securities auction announced on March 28, 2026, what is the tot","₹12,000 crore. It represents approximately 41.4% of the total notified amount (₹12,000 ÷ ₹29,000 × 1","Notified amount for 7.43% GS 2076: ₹12,000 crore
Total notified amount: ₹17,000 crore + ₹12,000 crore = ₹29,000 crore
Fraction of total auction amount: ₹12,000 crore / ₹29,000 crore = 0.413 (or 41.3%)",0,1,"The model prediction correctly identifies the notified amount for 7.43% GS 2076 as ₹12,000 crore, which is approximately 41.3% of the total notified amount of ₹29,000 crore."
NUM_076,numerical_reasoning,easy,What is the total aggregate face value amount offered by all State Governments i,"₹57,408 crore","₹57,408 Crore",1,1,The model prediction matches the reference answer in value and formatting.
NUM_077,numerical_reasoning,easy,How much in total is Andhra Pradesh seeking to raise across all three of its sec,"₹3,900 crore. Calculation: ₹1,500 + ₹1,500 + ₹900 = ₹3,900 crore.",1500 (17 year) + 1500 (20 year) + 900 (25 year) = 3900 crore.,0,1,"The final value matches the reference answer, with correct calculation steps shown."
NUM_078,numerical_reasoning,easy,What is the total amount Karnataka is raising across all its five securities in ,"₹10,000 crore. Calculation: ₹2,000 × 5 securities = ₹10,000 crore.","The yields are given for different years. To find the total amount raised, we need to calculate the principal amount for each security.

Let's assume the yield is the same as the year (e.g., 2000(05) ",0,0,"The model prediction incorrectly assumes the yield is the same as the year, which is not provided in the reference answer."
NUM_079,numerical_reasoning,easy,What is the total amount of Government of India dated securities to be issued du,"₹8,20,000 crore","April 01, 2026 to September 30, 2026.

Total: 8,20,000 crore.

First half of FY 2026-27 = April to September 2026.
= 6 months.

1 month = 8,20,000/12 = 68,500 crore.

6 months = 6 x 68,500 = 411,000 c",1,0,"The model prediction refers to a future date (April 01, 2026 to September 30, 2026) which is not the total amount of Government of India dated securities to be issued for the first half of FY 2026-27."
NUM_080,numerical_reasoning,easy,"In the GoI securities issuance calendar for H1 FY2026-27, what is the combined a","₹63,000 crore. Calculation: ₹29,000 (Week 1) + ₹34,000 (Week 2) = ₹63,000 crore.","₹29,000 crore + ₹34,000 crore = ₹63,000 crore",1,1,The model prediction matches the reference answer after simple addition.
