item_idx,model,task_type,condition,reference,prediction,is_correct,retrieved_sources
10,Gemini 2.5 Flash,regulatory_interpretation,RAG,"No, not immediately. Under Regulation 15(7), an investment adviser is prohibited from entering transactions on its own account contrary to client advice for 15 days from the day of advice. Even if the situation has changed within those 15 days, the adviser cannot act immediately — it must first give a revised assessment to clients at least 24 hours in advance before entering the contrary own-account transaction. So the adviser must provide the revised assessment and then wait at least 24 hours before selling from its own account.","No, the adviser cannot immediately sell the stock from its own account. While the adviser may enter into a contrary transaction if the situation has changed within the 15-day period, they must first g",1,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
11,Gemini 2.5 Flash,regulatory_interpretation,RAG,"A practising chartered accountant or valuer, as applicable","Based on the retrieved regulatory text, there is no information specifying from whom the trustee must obtain confirmation that a transaction between the investment manager and its associates is at arm",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt', 'SEBI_2014_securities_and_exchange_board_of_india_real_estate_inve_069.txt']"
12,Gemini 2.5 Flash,regulatory_interpretation,RAG,1. Divergence in NPA classification and provisioning as observed in RBI supervisory findings; 2. Auditors' Report including modified opinion or Emphasis of Matter; 3. Current and projected capital position versus regulatory capital requirement; 4. Long term growth plans.,"Based on the provided retrieved context, the specific factors the Board of Directors of a Small Finance Bank must consider when evaluating a dividend proposal are not detailed. The document only lists",0,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_RBI-DOR-20_rbidor2025-2026233doraccrecno43221020672025-26_019.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
13,Gemini 2.5 Flash,regulatory_interpretation,RAG,USD one million or equivalent thereof in other currencies.,"For users/clients undertaking non-derivative foreign exchange transactions, the LEI code is applicable only for transactions involving an amount equivalent to or exceeding USD one million or its equiv",1,"['RBI_Master Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt', 'RBI_Master Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt', 'RBI_RBI releas_rbi_releases_master_direction_on_unique_identifiers_in__037.txt']"
14,Gemini 2.5 Flash,regulatory_interpretation,RAG,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with the regulations.","A permanent certificate granted to an intermediary shall cease to be valid if it is surrendered by the intermediary, or suspended, or cancelled in accordance with these regulations.",1,"['SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt', 'SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt', 'SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.txt']"
15,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Not less than five percent of the corpus or ten crore rupees, whichever is lower","The retrieved text states that the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower. However, the provided regulatory text does not specify",1,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt']"
16,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 16(a), an investment adviser must obtain: (i) age; (ii) investment objectives including the time horizon and purpose of investment; (iii) income details; (iv) existing investments and assets; (v) risk appetite and risk tolerance; and (vi) liability and borrowing details.",An investment adviser must obtain client's age; investment objectives including time for investment and purposes; income details; existing investments/assets; risk appetite/tolerance; and liability/bo,0,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_Mar 16, 20_address_by_chairman_at_aria_aspire_2026_037.txt']"
17,Gemini 2.5 Flash,regulatory_interpretation,RAG,Within thirty days,"The provided text states that a refusal to grant registration ""shall be communicated by the Board within thirty days of such refusal to the applicant."" However, it also indicates that this sub-regulat",1,"['SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_2004_securities_and_exchange_board_of_india_self_regulatory__079.txt']"
18,Gemini 2.5 Flash,regulatory_interpretation,RAG,More than five per cent of the paid-up equity share capital,Acquiring equity shares or voting rights in a depository that entitles the person(s) to exercise voting rights of two percent up to five percent triggers the requirement to seek approval of the Board.,0,"['SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt', 'SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt', 'SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt']"
19,Gemini 2.5 Flash,regulatory_interpretation,RAG,"No. Under Regulation 28C, no person may act as an ESG rating provider without obtaining a certificate from the Board. Existing ESG rating providers operating before the regulation came into force were provided a transitional period of six months (or such other period as specified by the Board) to continue operations. If they filed an application for registration within the six-month period, they could continue until the disposal of their application.","Based on the retrieved text, an entity must obtain a certificate of registration from the Board to act as an ESG rating provider. The provided regulatory text does not specify any transitional period ",0,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
20,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 16(2)(a), at least 75% of the investable funds of a venture capital fund must be invested in unlisted equity shares or equity-linked instruments of a venture capital undertaking, or in companies listed or proposed to be listed on an SME exchange or SME segment of an exchange. This 75% threshold must be achieved by the fund by the end of its life cycle.",At least seventy-five percent of the investable funds shall be invested in unlisted equity shares or equity-linked instruments of a venture capital undertaking or in companies listed or proposed to be,1,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2000_securities_and_exchange_board_of_india_foreign_venture__083.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt']"
21,Gemini 2.5 Flash,regulatory_interpretation,RAG,The shares must: (a) be listed and frequently traded; (b) have been listed for at least 2 years before the date of public announcement; (c) the issuer must have redressed at least 95% of investor complaints in the preceding calendar quarter; (d) the issuer must have materially complied with listing regulations for at least 2 years preceding the public announcement; (e) impact of auditors' qualifications must not exceed 5% of net profit or loss after tax for three preceding financial years; and (f) SEBI must not have issued any direction restricting the issuer's access to capital markets or issuance of fresh shares.,"The listed shares offered as non-cash consideration must be listed and frequently traded, and have been listed for at least two years preceding the public announcement. The issuer must have redressed ",1,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt']"
22,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 9(2), any material alteration to the fund strategy requires the consent of at least two-thirds of unit holders by value of their investment in the Alternative Investment Fund.","Based on the provided text, there is no information regarding the level of investor consent required to make a material alteration to an Alternative Investment Fund's strategy under SEBI AIF Regulatio",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
23,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have been granted.","SEBI must dispose of a complete prior approval request for change in status or constitution within sixty days. If SEBI's decision is not communicated within this sixty-day period, the prior approval s",1,"['SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt']"
24,Gemini 2.5 Flash,regulatory_interpretation,RAG,Not less than fifty one per cent of the equity share capital or interest,The provided regulatory text does not specify the minimum equity interest an InvIT must hold or propose to hold in a holding company (holdco) for it to qualify as such.,0,"['SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt', 'SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt', 'SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt']"
25,Gemini 2.5 Flash,regulatory_interpretation,RAG,A person whose only business activity is research analysis or preparation and/or publication of research report.,"The provided regulatory text does not define an ""independent research analyst"". It only mentions the term in relation to something being ""dependent on"" an independent research analyst.",0,"['SEBI_2014_securities_and_exchange_board_of_india_research_analyst_070.txt', 'SEBI_2014_securities_and_exchange_board_of_india_research_analyst_070.txt', 'SEBI_2014_securities_and_exchange_board_of_india_research_analyst_070.txt']"
26,Gemini 2.5 Flash,regulatory_interpretation,RAG,"A part-time investment adviser shall not have more than seventy-five clients in total at any point in time, as provided under Regulation 13(h).","The provided regulatory text does not specify the maximum number of clients that a part-time investment adviser registered under SEBI IA Regulations, 2013 is permitted to have. The text does not menti",0,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
27,Gemini 2.5 Flash,regulatory_interpretation,RAG,At least twenty-one days,The issuer must send a notice regarding the recall or redemption of non-convertible securities at least twenty-one days before the date from which such right is exercisable. This notice must be sent t,1,"['SEBI_2021_securities_and_exchange_board_of_india_issue_and_listin_056.txt', 'SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
28,Gemini 2.5 Flash,regulatory_interpretation,RAG,Three per cent of the applicable net asset value,"The provided regulatory text does not specify the maximum exit load that an open-ended mutual fund scheme can charge investors. While it mentions ""Credit of exit load to sch,"" it does not define any l",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
29,Gemini 2.5 Flash,regulatory_interpretation,RAG,The bank must be in compliance with the applicable regulatory capital requirement as at the end of the previous financial year and shall continue to be in compliance as at the end of the financial year during which the dividend is proposed to be paid; and the regulatory capital shall not fall below the applicable requirement even after payment of dividend.,The bank must have been in compliance with the applicable regulatory capital requirement at the end of the previous financial year and must continue to be in compliance at the end of the financial yea,1,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
30,Gemini 2.5 Flash,numerical_reasoning,RAG,At least rupees ten crore,"The sponsor must have an average net annual profit after depreciation, interest and tax of at least rupees ten crore during the immediately preceding five years.",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt']"
31,Gemini 2.5 Flash,numerical_reasoning,RAG,"₹3,900 crore. Calculation: ₹1,500 + ₹1,500 + ₹900 = ₹3,900 crore.","The provided regulatory text does not contain any information regarding the amount Andhra Pradesh is seeking to raise in the revised State Government auction of March 21, 2026.",0,"['RBI_Auction of_auction_of_state_government_securities_revised_044.txt', 'RBI_Auction of_auction_of_state_government_securities_revised_071.txt', 'RBI_Auction of_auction_of_state_government_securities_072.txt']"
32,Gemini 2.5 Flash,numerical_reasoning,RAG,25 per cent of the net assets,"A mutual fund scheme may invest a maximum of twenty five per cent of its net assets in listed securities of the sponsor or its associate or group company. Such investments, made within this limit, are",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt']"
33,Gemini 2.5 Flash,numerical_reasoning,RAG,"The placement memorandum must be filed at least 30 days prior to the launch. Launch date: October 15, 2025. Subtracting 30 days: October 15 − 30 days = September 15, 2025. The placement memorandum must be filed by September 15, 2025 at the latest.",The provided regulatory text specifies that a placement memorandum shall be filed by a **mutual fund** with the Board at least seven days prior to the launch of its scheme. The text does not provide a,0,"['SEBI_Mar 23, 20_key_decisions_taken_in_the_sebi_board_meeting_dated_23r_034.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
34,Gemini 2.5 Flash,numerical_reasoning,RAG,Nine crore rupees (three crore rupees per year × three years),"An eligible issuer must have net tangible assets of at least three crore rupees in each of the preceding three full years. Based on this, the minimum total net tangible assets cumulatively demonstrate",0,"['SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
35,Gemini 2.5 Flash,numerical_reasoning,RAG,"₹10,000 crore. Calculation: ₹5,000 crore (30-year regular) + ₹5,000 crore (30-year SGrB) = ₹10,000 crore.","The provided text does not contain information for auction week 4 (April 20-24, 2026). Therefore, the combined amount for the two 30-year instruments cannot be determined from the given context.",0,"['RBI_Issuance C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt', 'RBI_Issuance C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt', 'RBI_Issuance C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt']"
36,Gemini 2.5 Flash,numerical_reasoning,RAG,By 1 April 2018 (three months from the closure of the issue on 1 January 2018),The provided regulatory text does not contain information about the latest date by which a trust deed had to be executed under the SEBI (Issue and Listing of Debt Securities by Municipalities) Regulat,0,"['SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.txt', 'SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.txt', 'SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt']"
37,Gemini 2.5 Flash,numerical_reasoning,RAG,"The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","The provided regulatory text does not contain any provisions that explicitly prohibit or permit an investment adviser from buying Bond X for its own account on April 16, contrary to an earlier sell re",0,"['SEBI_2015_securities_and_exchange_board_of_india_prohibition_of_i_068.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
38,Gemini 2.5 Flash,numerical_reasoning,RAG,50 crore rupees (10% of 500 crore = 50 crore),A Category III Alternative Investment Fund scheme with investable funds of 500 crore rupees can invest a maximum of 50 crore rupees in a single investee company. This is calculated as ten percent of i,1,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt']"
39,Gemini 2.5 Flash,numerical_reasoning,RAG,"AMC net worth not less than rupees one hundred fifty crore; locked-in for five years; total combined experience of CEO, COO, CRO, CCO and CIO of at least thirty years","If a sponsor fails eligibility requirements, the asset management company must be capitalized to a net worth of not less than rupees one hundred fifty crore, and the initial shareholding of at least r",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1992_securities_and_exchange_board_of_india_merchant_bankers_090.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
40,Gemini 2.5 Flash,numerical_reasoning,RAG,"The requirement under Regulation 4(e) is a continuous net worth of at least Rs 100 crore per audited annual accounts for the previous five years. The five years preceding December 2025 would be FY 2020-21 through FY 2024-25. Net worth history: FY 2020-21: Rs 95 crore (fails — below Rs 100 crore), FY 2021-22: Rs 102 crore, FY 2022-23: Rs 110 crore, FY 2023-24: Rs 108 crore, FY 2024-25: Rs 115 crore. Since FY 2020-21 (Rs 95 crore) is below the Rs 100 crore threshold, the 'continuous' net worth requirement is not met. The body corporate does not meet the eligibility criterion under Regulation 4(e).","Yes, the applicant meets the financial soundness criterion under Regulation 4(e) as its audited net worth from 2020-21 to 2024-25 (ranging from Rs 95 crore to Rs 115 crore) is consistently above the m",0,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_2018_securities_contracts_regulation_stock_exchanges_and_cle_065.txt', 'SEBI_1999_securities_and_exchange_board_of_india_collective_inves_084.txt']"
41,Gemini 2.5 Flash,numerical_reasoning,RAG,No. The threshold is more than five hundred crore rupees; four hundred and ninety nine crore rupees falls below this threshold,"The provided regulatory text does not define ""institutional investor"" or specify the criteria for a family trust to qualify as one. Therefore, it is not possible to determine if a family trust with a ",0,"['SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt', 'SEBI_1996_securities_and_exchange_board_of_india_custodian_regula_086.txt', 'SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt']"
42,Gemini 2.5 Flash,numerical_reasoning,RAG,"Consideration is more than Rs 10 crore but less than or equal to Rs 1,000 crore: fee = 0.5% of offer size = 0.5% × Rs 400 crore = Rs 2 crore.","The non-refundable fee payable to SEBI for an open offer with a consideration of Rs 400 crore under Regulation 16(1) is 0.5 per cent of the offer size. This calculates to two crore rupees (Rs. 2,00,00",0,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2021_securities_and_exchange_board_of_india_issue_and_listin_056.txt', 'SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt']"
43,Gemini 2.5 Flash,numerical_reasoning,RAG,"Proposed total: 68 + 8 = 76 clients. The regulatory limit under Regulation 13(h) is 75 clients. Excess: 76 − 75 = 1 client. The adviser would exceed the limit by 1. Therefore, only 7 of the 8 planned new clients can be legitimately onboarded (68 + 7 = 75 = limit). The 8th client cannot be onboarded.","Based on the provided regulatory text, there is no information regarding a regulatory limit on the number of clients an investment adviser can have. Therefore, it is not possible to determine if the a",0,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
44,Gemini 2.5 Flash,numerical_reasoning,RAG,"₹13,750 crore. Calculation: ₹17,000 - (50% × ₹6,500) = ₹17,000 - ₹3,250 = ₹13,750 crore.","The Adjusted PAT is calculated as ₹17,000 crore minus 50% of ₹6,500 crore. Therefore, the Adjusted PAT is ₹13,750 crore.",0,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt']"
45,Gemini 2.5 Flash,numerical_reasoning,RAG,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"The provided regulatory text does not contain information regarding the maximum permissible borrowing amount, maximum permissible borrowing duration, or the calculation of interest liability for borro",0,"['SEBI_Feb 26, 20_categorization_and_rationalization_of_mutual_fund_schem_013.txt', 'SEBI_Feb 26, 20_categorization_and_rationalization_of_mutual_fund_schem_013.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
46,Gemini 2.5 Flash,numerical_reasoning,RAG,"Maximum per Table 1: ₹19,000 crore (50% × ₹38,000). 75% of PAT: ₹30,375 crore (75% × ₹40,500). The Maximum Eligible Dividend is ₹19,000 crore, being the lower of the two.","In Illustration 2, the maximum dividend allowed as per Table 1 is ₹19,000 crore (50% of ₹38,000 crore), and 75% of PAT (₹40,500 crore) is ₹30,375 crore.",0,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_RBI-2025-2_rbi2025-2026232dorcaprecno42221010022025-26_020.txt']"
47,Gemini 2.5 Flash,numerical_reasoning,RAG,11.9%,"The provided regulatory text does not contain information regarding the aggregate deposits of Scheduled Commercial Banks or data to calculate their year-on-year growth rate as of February 28, 2026.",0,"['RBI_Money Mark_money_market_operations_as_on_march_23_2026_056.txt', 'RBI_Money Mark_money_market_operations_as_on_march_24_2026_050.txt', 'RBI_Money Mark_money_market_operations_as_on_march_26_2026_041.txt']"
48,Gemini 2.5 Flash,numerical_reasoning,RAG,"Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)",The maximum final dividend the bank may pay is ₹625 crore.,0,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt']"
