item_id,task_type,difficulty,document(s),cluster_id
CON_068,contradiction_detection,hard,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt;SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
CON_069,contradiction_detection,hard,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt;SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
CON_070,contradiction_detection,medium,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt;SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
CON_071,contradiction_detection,medium,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt;SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
CON_072,contradiction_detection,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt;SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
CON_073,contradiction_detection,hard,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt;SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
CON_074,contradiction_detection,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt;SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
CON_075,contradiction_detection,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt;SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
CON_076,contradiction_detection,hard,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt;SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
CON_077,contradiction_detection,hard,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt;SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_001,numerical_reasoning,medium,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
NUM_002,numerical_reasoning,medium,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
NUM_003,numerical_reasoning,medium,SEBI_2026_securities_and_exchange_board_of_india_stock_brokers_re_051.txt,26
NUM_004,numerical_reasoning,hard,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_005,numerical_reasoning,hard,SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt,7
NUM_006,numerical_reasoning,medium,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,17
NUM_007,numerical_reasoning,hard,SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt,22
NUM_008,numerical_reasoning,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_009,numerical_reasoning,hard,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
NUM_010,numerical_reasoning,medium,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,17
NUM_011,numerical_reasoning,easy,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_012,numerical_reasoning,easy,SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt,7
NUM_033,numerical_reasoning,medium,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
NUM_034,numerical_reasoning,medium,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt,16
NUM_035,numerical_reasoning,medium,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt,16
NUM_036,numerical_reasoning,easy,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
NUM_037,numerical_reasoning,easy,SEBI_2019_securities_and_exchange_board_of_india_foreign_portfoli_060.txt,23
NUM_038,numerical_reasoning,medium,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
NUM_039,numerical_reasoning,medium,SEBI_2019_securities_and_exchange_board_of_india_foreign_portfoli_060.txt,23
NUM_040,numerical_reasoning,easy,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt,16
NUM_067,numerical_reasoning,easy,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_068,numerical_reasoning,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_069,numerical_reasoning,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_070,numerical_reasoning,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_071,numerical_reasoning,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_072,numerical_reasoning,easy,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_073,numerical_reasoning,hard,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_074,numerical_reasoning,medium,RBI_Auction_of_auction_of_government_of_india_dated_securities_028.txt,0
NUM_075,numerical_reasoning,medium,RBI_Auction_of_auction_of_government_of_india_dated_securities_028.txt,0
NUM_076,numerical_reasoning,easy,RBI_Auction_of_auction_of_state_government_securities_revised_071.txt,1
NUM_077,numerical_reasoning,easy,RBI_Auction_of_auction_of_state_government_securities_revised_071.txt,1
NUM_078,numerical_reasoning,easy,RBI_Auction_of_auction_of_state_government_securities_revised_071.txt,1
NUM_079,numerical_reasoning,easy,RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt,0
NUM_080,numerical_reasoning,easy,RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt,0
NUM_081,numerical_reasoning,easy,RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt,0
NUM_082,numerical_reasoning,easy,RBI_Reserve_Ba_reserve_bank_of_india_bulletin_weekly_statistical_suppl_078.txt,4
NUM_083,numerical_reasoning,easy,RBI_Reserve_Ba_reserve_bank_of_india_bulletin_weekly_statistical_suppl_078.txt,4
NUM_084,numerical_reasoning,medium,RBI_Reserve_Ba_reserve_bank_of_india_bulletin_weekly_statistical_suppl_078.txt,4
NUM_085,numerical_reasoning,medium,RBI_Reserve_Ba_reserve_bank_of_india_bulletin_weekly_statistical_suppl_078.txt,4
NUM_086,numerical_reasoning,hard,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
NUM_087,numerical_reasoning,easy,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_088,numerical_reasoning,easy,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_089,numerical_reasoning,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_090,numerical_reasoning,easy,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_091,numerical_reasoning,hard,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_092,numerical_reasoning,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_093,numerical_reasoning,easy,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_094,numerical_reasoning,easy,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_095,numerical_reasoning,hard,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_096,numerical_reasoning,hard,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_097,numerical_reasoning,hard,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_098,numerical_reasoning,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
NUM_099,numerical_reasoning,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_100,numerical_reasoning,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_101,numerical_reasoning,easy,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_102,numerical_reasoning,easy,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_103,numerical_reasoning,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_104,numerical_reasoning,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_105,numerical_reasoning,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_106,numerical_reasoning,hard,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
NUM_107,numerical_reasoning,medium,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_108,numerical_reasoning,easy,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_109,numerical_reasoning,medium,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_110,numerical_reasoning,hard,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_111,numerical_reasoning,easy,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_112,numerical_reasoning,easy,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_113,numerical_reasoning,medium,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_114,numerical_reasoning,hard,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
NUM_115,numerical_reasoning,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_116,numerical_reasoning,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_117,numerical_reasoning,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_118,numerical_reasoning,hard,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_119,numerical_reasoning,easy,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_120,numerical_reasoning,easy,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_121,numerical_reasoning,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_122,numerical_reasoning,hard,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
NUM_123,numerical_reasoning,easy,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_124,numerical_reasoning,medium,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_125,numerical_reasoning,easy,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_126,numerical_reasoning,hard,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_127,numerical_reasoning,medium,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_128,numerical_reasoning,medium,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_129,numerical_reasoning,medium,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_130,numerical_reasoning,hard,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
NUM_131,numerical_reasoning,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_132,numerical_reasoning,easy,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_133,numerical_reasoning,easy,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_134,numerical_reasoning,hard,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_135,numerical_reasoning,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_136,numerical_reasoning,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_137,numerical_reasoning,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
NUM_138,numerical_reasoning,easy,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
REG_001,regulatory_interpretation,easy,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
REG_002,regulatory_interpretation,easy,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
REG_003,regulatory_interpretation,easy,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
REG_004,regulatory_interpretation,medium,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
REG_005,regulatory_interpretation,medium,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
REG_006,regulatory_interpretation,easy,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
REG_007,regulatory_interpretation,easy,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
REG_008,regulatory_interpretation,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
REG_009,regulatory_interpretation,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
REG_010,regulatory_interpretation,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
REG_011,regulatory_interpretation,easy,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,17
REG_012,regulatory_interpretation,medium,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,17
REG_013,regulatory_interpretation,easy,SEBI_2015_securities_and_exchange_board_of_india_prohibition_of_i_068.txt,18
REG_014,regulatory_interpretation,easy,SEBI_2015_securities_and_exchange_board_of_india_prohibition_of_i_068.txt,18
REG_015,regulatory_interpretation,hard,SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt,22
REG_016,regulatory_interpretation,medium,SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt,22
REG_017,regulatory_interpretation,easy,SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt,7
REG_018,regulatory_interpretation,easy,SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt,7
REG_019,regulatory_interpretation,easy,SEBI_2026_securities_and_exchange_board_of_india_stock_brokers_re_051.txt,26
REG_020,regulatory_interpretation,easy,SEBI_2021_securities_and_exchange_board_of_india_issue_and_listin_056.txt,21
REG_021,regulatory_interpretation,easy,SEBI_2014_securities_and_exchange_board_of_india_real_estate_inve_069.txt,14
REG_022,regulatory_interpretation,medium,SEBI_2025_securities_and_exchange_board_of_india_registrars_to_an_053.txt,25
REG_023,regulatory_interpretation,medium,SEBI_2018_securities_contracts_regulation_stock_exchanges_and_cle_065.txt,20
REG_024,regulatory_interpretation,medium,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
REG_025,regulatory_interpretation,medium,SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt,20
REG_054,regulatory_interpretation,easy,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_055,regulatory_interpretation,easy,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_056,regulatory_interpretation,easy,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_057,regulatory_interpretation,easy,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_058,regulatory_interpretation,easy,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_059,regulatory_interpretation,medium,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_060,regulatory_interpretation,medium,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_061,regulatory_interpretation,medium,SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt,13
REG_062,regulatory_interpretation,easy,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt,16
REG_063,regulatory_interpretation,easy,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt,16
REG_064,regulatory_interpretation,easy,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt,16
REG_065,regulatory_interpretation,easy,SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt,16
REG_066,regulatory_interpretation,easy,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
REG_067,regulatory_interpretation,easy,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
REG_068,regulatory_interpretation,easy,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
REG_069,regulatory_interpretation,easy,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
REG_070,regulatory_interpretation,easy,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
REG_071,regulatory_interpretation,medium,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
REG_072,regulatory_interpretation,easy,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
REG_073,regulatory_interpretation,medium,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
REG_074,regulatory_interpretation,easy,SEBI_2020_securities_and_exchange_board_of_india_portfolio_manage_059.txt,24
REG_075,regulatory_interpretation,easy,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
REG_076,regulatory_interpretation,easy,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
REG_077,regulatory_interpretation,easy,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
REG_078,regulatory_interpretation,medium,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
REG_079,regulatory_interpretation,medium,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
REG_080,regulatory_interpretation,easy,SEBI_2021_securities_and_exchange_board_of_india_delisting_of_equ_055.txt,19
REG_081,regulatory_interpretation,easy,SEBI_2021_securities_and_exchange_board_of_india_delisting_of_equ_055.txt,19
