item_id,task_type,question,reference_answer,model_prediction,your_verdict_CORRECT_or_INCORRECT,notes
TMP_081,temporal_reasoning,"When did SEBI introduce separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations, and what triggered these additions?","The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second Amendment Regulations, 2016, effective May 25, 2016, following Reserve Bank of India guidelines on wilful defaulters. The prohibition on fugitive economic offenders (Regulation 6B) was inserted by the Second Amendment Regulations, 2018, effective September 11, 2018, following the enactment of the Fugitive Economic Offenders Act, 2018.",SEBI introduced separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations through Regulation 6A (effective 25-05-2016) and Regulation 6B (effective 11-09-2018). These additions were triggered by the SEBI (Substantial Acquisition of ,Correct,The dates and specific regulations (6A and 6B) match the reference answer perfectly.
NUM_097,numerical_reasoning,"In Illustration 2 of the RBI SFB Dividend Directions, 2026, a bank has PAT of Rs40,500 crore, Net NPA of Rs5,000 crore, and Tier 1 ratio of 15%. What is the maximum eligible dividend?","Rs19,000 crore (50% of Adjusted PAT of Rs38,000 crore, which is lower than 75% of PAT of Rs30,375 crore)","**Calculation**

1. **Adjusted PAT**  
   \[
   \text{Adjusted PAT} = \text{PAT} - 50\% \times \text{Net NPA}  
   = 40{,}500 - 0.5 \times 5{,}000  
   = 40{,}500 - 2{,}500  
   = 38{,}000\ \text{crore}
   \]

2. **75 % of PAT**  
   \[
   0.75 \times 40{,}500 = 30{,}375\ \text{crore}
   \]

3. **50",Incorrect,"The reference concludes the maximum eligible dividend is Rs19,000 crore, which the prediction fails to state."
REG_182,regulatory_interpretation,"What conflict-of-interest restrictions apply to the rating of securities of promoter-connected entities under SEBI (CRA) Regulations, 1999?","Under Regulation 27(1), a CRA shall not rate securities of: (a) a borrower of its promoter; (b) a subsidiary of its promoter; or (c) an associate of its promoter — if there are common Chairmen, directors, or employees between the CRA and such entities, or common persons on the rating committee. Under Regulation 27(2), a CRA shall also not rate securities of its own associate or subsidiary if the CRA or its rating committee shares a Chairman, director, or employee with such entities.","Under the SEBI (CRA) Regulations, 1999, a credit rating agency is restricted from rating securities of promoter-connected entities if there are shared chairmen, directors, or employees with the promoter's borrower, subsidiary, or associate. Additionally, the agency cannot rate securities of its own ",Correct,"Both state the agency cannot rate securities of borrowers, subsidiaries, or associates if they share personnel."
REG_023,regulatory_interpretation,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,"5% (or 15%, in certain cases)",Incorrect,The reference strictly limits the shareholding to five per cent without mentioning a 15% exception.
NUM_092,numerical_reasoning,"Under SEBI (Mutual Funds) Regulations, 1996, what is the maximum percentage of total mutual fund transactions that may be routed through a broker associated with the sponsor, and over what period is this limit measured?","5 per cent of aggregate purchases and sales, measured for a block of any three months",5% over a block of 3 months.,Correct,Both state a limit of 5% over a block of three months.
TMP_081,temporal_reasoning,"When did SEBI introduce separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations, and what triggered these additions?","The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second Amendment Regulations, 2016, effective May 25, 2016, following Reserve Bank of India guidelines on wilful defaulters. The prohibition on fugitive economic offenders (Regulation 6B) was inserted by the Second Amendment Regulations, 2018, effective September 11, 2018, following the enactment of the Fugitive Economic Offenders Act, 2018.","Regulations 6A and 6B were introduced on 25-05-2016 and 11-09-2018, respectively, triggered by the SEBI (Substantial Acquisition of Shares and Takeovers) (Second Amendment) Regulations of 2016 and 201",Correct,Both identify the effective dates as 25-05-2016 and 11-09-2018 for Regulations 6A and 6B.
REG_008,regulatory_interpretation,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,Incorrect,"The reference explicitly specifies more than five per cent, whereas the prediction states exactly 5%."
REG_008,regulatory_interpretation,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5 % of the voting rights.,Incorrect,"The reference explicitly specifies more than five per cent, whereas the prediction states exactly 5%."
REG_060,regulatory_interpretation,"Under SEBI (InvIT) Regulations 2014, what is the combined monetary cap on permissible pecuniary relationships with the InvIT for a person to qualify as an independent director of the investment manager?","Two per cent of its gross turnover or total income, or fifty lakh rupees, whichever is lower","Fifty lakh rupees or such higher amount as may be specified from time to time, whichever is lower.",Incorrect,"The reference includes a condition of two per cent of gross turnover, which the prediction omits."
NUM_091,numerical_reasoning,"Under the 2023 amendment to Regulation 7, if a sponsor fails all eligibility requirements, what are the three key obligations: the AMC capitalization threshold, the lock-in period, and the minimum combined experience of the five senior officers?","AMC net worth not less than rupees one hundred fifty crore; locked-in for five years; total combined experience of CEO, COO, CRO, CCO and CIO of at least thirty years","1. AMC capitalization threshold: ₹150 crore
2. Lock-in period: 5 years
3. Minimum combined experience: 30 years",Correct,"The prediction perfectly matches the 150 crore, 5 years, and 30 years threshold requirements."
REG_082,regulatory_interpretation,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative to their date of publication?",On the ninetieth day from the date of publication in the Official Gazette.,Ninety days.,Correct,Both indicate a period of ninety days.
NUM_127,numerical_reasoning,A Category I ESG rating provider applicant projects cumulative cash losses of Rs 6 crore until breakeven. What is the minimum liquid net worth the applicant must demonstrate at the time of filing the registration application?,"The minimum liquid net worth at application time is the higher of: (A) Rs 10 crore, or (B) Rs 5 crore + projected cumulative cash losses until breakeven = Rs 5 crore + Rs 6 crore = Rs 11 crore. Since Rs 11 crore > Rs 10 crore, the minimum required liquid net worth at application time is Rs 11 crore.",The applicant must demonstrate a minimum liquid net worth of rupees 15 crores (10 + 5) at the time of filing the registration application.,Incorrect,"The reference calculates a minimum liquid net worth of Rs 11 crore, not 15 crores."
REG_185,regulatory_interpretation,"Under Regulation 3(1) of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations 2011, what voting rights threshold triggers the mandatory open offer obligation?",25% or more of the voting rights in the target company (when combined with shares held by the acquirer and persons acting in concert).,Twenty-five per cent or more of the voting rights in the target company.,Correct,Both identify twenty-five per cent or more as the open offer threshold.
REG_190,regulatory_interpretation,"Under Regulation 6(2), after completing a voluntary open offer, for how long is the acquirer prohibited from acquiring further shares of the target company (other than through another voluntary open offer)?",Six months after completion of the open offer.,Six months.,Correct,Both state a prohibition period of six months.
TMP_030,temporal_reasoning,"How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",9 years.,Incorrect,"The reference explicitly states approximately 8 years and 10 months, not 9 years."
NUM_118,numerical_reasoning,"A Category II AIF has 4 investors: an external institutional investor, a director of the Manager, an employee of the AIF, and an accredited investor. Their proposed investments are Rs 75 lakh, Rs 20 lakh, Rs 30 lakh, and Rs 50 lakh respectively. Which investments, if any, fail to meet the minimum investment requirements under SEBI AIF Regulations, 2012?","External institutional investor (Rs 75 lakh): fails the minimum of Rs 1 crore. Director of the Manager (Rs 20 lakh): fails the reduced minimum of Rs 25 lakh applicable to manager's directors. Employee of AIF (Rs 30 lakh): meets the Rs 25 lakh minimum for AIF employees. Accredited investor (Rs 50 lakh): no minimum applies — Regulation 10(c) does not apply to accredited investors. Therefore, two investments fail: the external institutional investor (Rs 75 lakh < Rs 1 crore) and the director of the Manager (Rs 20 lakh < Rs 25 lakh).","The employee of the AIF (Rs 30 lakh) and the investor who is a director of the Manager (Rs 20 lakh) fail to meet the minimum investment requirements under SEBI AIF Regulations, 2012. The employee's in",Incorrect,"The reference identifies the external institutional investor and director as failing, not the employee."
TMP_009,temporal_reasoning,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",With the Board (SEBI),"Before 08.03.2025, it was filed with the Board.",Correct,Both confirm the draft letter of offer was filed with the Board.
NUM_082,numerical_reasoning,"As on March 13, 2026, what was India's total foreign exchange reserve in US dollar terms, and by how much did it change during the week?","Total reserves: US$ 709,759 million. Weekly variation: a decrease of US$ 7,052 million.","The total foreign exchange reserve as on March 13, 2026, was US$ 709,759 million. During the week, it decreased by US$ -7,052 million.",Correct,"Both accurately reflect the total of US$ 709,759 million and the decrease of 7,052 million."
NUM_103,numerical_reasoning,All schemes of a mutual fund together hold 9.5% of ABC Limited's paid-up capital carrying voting rights. May they acquire a further 1%?,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on ownership of any company's paid up capital carrying voting rights.","10% - 9.5% = 0.5%

They can acquire up to 0.5% more.

Answer: 0.5%",Incorrect,"The reference explicitly answers ""No"", while the prediction states they can acquire up to 0.5% more."
NUM_113,numerical_reasoning,"An individual investment adviser collected fees of Rs 2.65 crore in the first eight months of the financial year. In the ninth month they collected Rs 0.22 crore and in the tenth month Rs 0.18 crore. At the end of which month is the fee-based transition threshold breached, and what is the total fee at that point?","Cumulative fees: After 8 months = Rs 2.65 crore. After month 9: 2.65 + 0.22 = Rs 2.87 crore (threshold of Rs 3 crore not yet breached). After month 10: 2.87 + 0.18 = Rs 3.05 crore (exceeds Rs 3 crore). The fee threshold is breached at the end of the 10th month, when total fees reach Rs 3.05 crore. Excess above threshold = Rs 3.05 − Rs 3.00 = Rs 0.05 crore.","## Step 1: Determine the initial fee collection and the threshold.
The individual investment adviser collected fees of Rs 2.65 crore in the first eight months. The threshold for transitioning from an individual to a non-individual investment adviser is Rs 3 crore.

## 2: Calculate the total fee coll",Incorrect,"The reference concludes the breach happens in the 10th month at Rs 3.05 crore, which the prediction cuts off before stating."
NUM_124,numerical_reasoning,"A foreign credit rating agency was incorporated in its home country in January 2018 and began actively rating securities in its home jurisdiction from July 2019. It applies to promote a new CRA in India in December 2025. Does it meet the 'minimum of five years' experience in rating securities' requirement under SEBI (CRA) Regulations, 1999?","The foreign CRA began rating securities from July 2019. By December 2025, it has had 6 years and 5 months of rating experience (July 2019 to December 2025). This exceeds the minimum five-year experience requirement. Yes, the foreign CRA meets the five-year experience requirement.","January 2018 to July 2019 is approximately 1 year.
July 2019 to December 2025 is approximately 6 years.

Total experience = 1 + 6 = 7 years.

Answer: 7 years.",Incorrect,"The reference calculates 6 years and 5 months, contradicting the prediction of 7 years."
REG_124,regulatory_interpretation,What is the primary restriction on additional business activities an AMC may engage in under the post-2011 SEBI (Mutual Funds) Regulations?,"The AMC shall not undertake any business activities other than management and advisory services provided to pooled assets (including offshore funds, insurance funds, pension funds, provident funds, and certain foreign portfolio investors)",It may only provide management and advisory services for pooled assets; any other business activity is prohibited unless expressly permitted by the Board and does not conflict with the mutual‑fund’s activities.,Incorrect,"The reference prohibits other business activities without citing an exception ""expressly permitted by the Board""."
TMP_031,temporal_reasoning,"Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.","15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 2025) → Complete prohibition from April 1, 2025.","(i) 15% of paid up capital and free reserves till March 31, 2023; (ii) 10% of paid up capital and free reserves till March 31, 2024; (iii) 5% of paid up capital and free reserves till March 31, 2025.",Incorrect,"The reference includes a complete prohibition from April 1, 2025, which the prediction omits."
NUM_083,numerical_reasoning,"What was the year-on-year growth rate of aggregate deposits of Scheduled Commercial Banks in India as of February 28, 2026?",11.9%,"Year‑on‑Year growth rate of aggregate deposits (Scheduled Commercial Banks, India) as of 28 Feb 2026: **11.9 %**.",Correct,Both identify a year-on-year growth rate of 11.9%.
NUM_109,numerical_reasoning,"A part-time investment adviser currently serves 68 clients. They plan to onboard 8 new clients in the coming week. After onboarding all 8 clients, how many total clients will the adviser have, and by how many would this exceed the regulatory limit? How many of the planned new clients can be legitimately onboarded?","Proposed total: 68 + 8 = 76 clients. The regulatory limit under Regulation 13(h) is 75 clients. Excess: 76 − 75 = 1 client. The adviser would exceed the limit by 1. Therefore, only 7 of the 8 planned new clients can be legitimately onboarded (68 + 7 = 75 = limit). The 8th client cannot be onboarded.",68 + 8 = 76 clients. 76 exceeds the limit of 75 by 1 client. 0 of the planned new clients can be legitimately onboarded.,Incorrect,"The reference states 7 clients can be legitimately onboarded, whereas the prediction concludes 0."
TMP_069,temporal_reasoning,"When was the Corporate Debt Market Development Fund (CDMDF) category introduced under SEBI AIF Regulations, 2012?","The Corporate Debt Market Development Fund was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023, with effect from 15 June 2023. The CDMDF is defined as an Alternative Investment Fund set up and making investments in accordance with Chapter III-C of the AIF Regulations.",15-06-2023,Correct,Both identify the introduction date as 15-06-2023.
TMP_059,temporal_reasoning,"How did the minimum qualification requirement for individual investment advisers under SEBI IA Regulations change with the 2020 amendment, and what further modification was made in 2025?","Under the original 2013 regulations, Regulation 7(1)(a) required a professional qualification or PG degree/diploma of minimum two years duration specifically in finance, accountancy, business management, commerce, economics, capital markets, banking, insurance, or actuarial science — or a CFA Charter. The SEBI (Investment Advisers) (Amendment) Regulations, 2020 (w.e.f. 30-09-2020) broadened this by permitting any professional qualification or graduate/post-graduate degree or diploma with no restriction on field of study, alongside NISM certification. The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) further updated Regulation 7(1)(a) to require only a graduate degree (any discipline) or CFA Charter plus relevant NISM certification — removing the old requirement for a finance-specific discipline or work experience.","Pre-2020, qualifications included: 
- Professional qualification or graduate degree or post-graduate degree/diploma (2 years) in specified fields (finance, accountancy, etc.) 
- Or, Post Graduate Program in Securities Market (Investment Advisory) from NISM (1 year)
- Or, CFA Charter from CFA Institu",Incorrect,"The reference covers the 2020 and 2025 modifications, which the prediction's cut-off response fails to provide."
NUM_037,numerical_reasoning,"Under SEBI (FPI) Regulations 2019, if a government-linked entity is 70% directly owned by a sovereign government, does it qualify as a Category I foreign portfolio investor on the basis of government ownership?",No. The minimum threshold for government ownership is at least seventy-five per cent; seventy per cent is below this threshold,"75% - 5% = 70%

No, it does not qualify.",Correct,Both conclude the entity does not qualify based on the 75% threshold.
REG_023,regulatory_interpretation,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,"The maximum shareholding percentage is fifteen percent for specific entities like stock exchanges, depositories, banking companies, insurance companies, and public financial institutions.

Answer: 15%",Incorrect,"The reference specifies five per cent, whereas the prediction incorrectly states 15%."
REG_008,regulatory_interpretation,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,Incorrect,"The reference states more than five per cent, not exactly 5%."
NUM_005,numerical_reasoning,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"₹75 crore.

Calculation: 20% of ₹500 crore = ₹100 crore. Interest = ₹100 crore * 15% * 6 months = ₹90 crore.",Incorrect,"The reference calculates the interest liability as 7.5 crore rupees, not ₹75 crore or ₹90 crore."
REG_192,regulatory_interpretation,"Under Regulation 7(1) of SEBI Takeovers Regulations 2011, what is the minimum open offer size for a mandatory open offer triggered under Regulations 3 or 4?",At least 26% of the total shares of the target company (as of the tenth working day from the closure of the tendering period).,At least twenty six per cent of total shares of the target company.,Correct,Both specify a minimum of at least twenty-six per cent of the total shares.
TMP_002,temporal_reasoning,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",Three years.,Correct,Both state the applicable period is three years.
TMP_062,temporal_reasoning,"What procedural change did the SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 make to the transition process for individual investment advisers who breach the 300-client or Rs 3 crore fee threshold?","The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) amended Regulation 13(e) to add a new intermediate step: upon breaching the threshold, the individual IA must first immediately intimate the Administration and Supervisory Body and initiate the transition process before applying for in-principle approval. The 2020 version of Regulation 13(e) only required directly applying for in-principle registration as a non-individual investment adviser. The 3-month window for applying for in-principle approval was retained by the 2025 amendment, but an explicit intimation obligation was added as a new first step.","The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 introduced two key procedural changes: 

1. **Immediate Intimation and Transition Initiation**: Advisers must now immediately notify the Administration and Supervisory Body and start the transition process upon breaching the thresho",Correct,Both accurately describe the immediate intimation and transition initiation requirements.
TMP_002,temporal_reasoning,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",Three years.,Correct,Both state the applicable period is three years.
NUM_114,numerical_reasoning,"An investment adviser gave clients a sell recommendation on Bond X on April 1. On April 14, the adviser issues a revised assessment to clients. On April 16, the adviser wants to buy Bond X for its own account (contrary to the original sell recommendation). Is the April 16 transaction permissible?","The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","15 days from April 1 is April 16. 
The revised assessment was given on April 14, which is within the 15-day period and at least 24 hours before April 16.

The answer is: Yes.",Correct,Both conclude that the transaction on April 16 is permissible (Yes).
REG_015,regulatory_interpretation,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",120 calendar days.,Correct,Both state an absolute latest deadline of 120 calendar days.
TMP_036,temporal_reasoning,"The SEBI (Research Analysts) Regulations 2014 were published on September 1, 2014. On approximately which date did they come into force?","On the ninetieth day from September 1, 2014, which is approximately November 30, 2014.","The SEBI (Research Analysts) Regulations 2014 came into force on November 29, 2014.

Answer: November 29, 2014.",Correct,The prediction's November 29 aligns with the reference's approximation of November 30 for the ninetieth day.
TMP_044,temporal_reasoning,"A company completed its buy-back (i.e., made the final payment to shareholders) on June 15, 2025. What is the earliest date on which it can launch its next buy-back offer?","June 15, 2026 — one year from the expiry date (June 15, 2025) of the buyback period of the preceding offer.","June 15, 2024",Incorrect,"The reference specifies June 15, 2026, while the prediction incorrectly states June 15, 2024."
NUM_124,numerical_reasoning,"A foreign credit rating agency was incorporated in its home country in January 2018 and began actively rating securities in its home jurisdiction from July 2019. It applies to promote a new CRA in India in December 2025. Does it meet the 'minimum of five years' experience in rating securities' requirement under SEBI (CRA) Regulations, 1999?","The foreign CRA began rating securities from July 2019. By December 2025, it has had 6 years and 5 months of rating experience (July 2019 to December 2025). This exceeds the minimum five-year experience requirement. Yes, the foreign CRA meets the five-year experience requirement.","No, it does not meet the 'minimum of five years' experience in rating securities' requirement as per Regulation 4(d), since the agency started rating securities only from July 2019. The requirement is",Incorrect,"The reference states the experience requirement is met (Yes), while the prediction claims it is not."
REG_153,regulatory_interpretation,"What is the minimum corpus requirement for each scheme of an Alternative Investment Fund under SEBI AIF Regulations, 2012? Does this requirement differ for social impact funds?","Under Regulation 10(b), each scheme of an AIF must have a corpus of at least Rs twenty crore. However, for social impact funds, each scheme must have a corpus of at least Rs five crore — a reduced threshold recognizing the social purpose of such funds.","The minimum corpus requirement for each scheme of an Alternative Investment Fund is twenty crore rupees. For social impact funds, the minimum corpus requirement is five crore rupees.",Correct,Both list twenty crore rupees for standard AIFs and five crore rupees for social impact funds.
