item_id,task_type,question,reference_answer,model_prediction,your_verdict_CORRECT_or_INCORRECT,notes
NUM_086,numerical_reasoning,"A company has paid-up capital and free reserves of ₹500 crore before a buy-back. What is the maximum amount it can buy back, and what is the maximum total debt it can carry after the buy-back?",Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).,"Maximum buy-back: 25% × ₹500 crore = ₹125 crore
Maximum total debt: 2:1 ratio means total debt should be ≤ 2 × ₹500 crore = ₹1000 crore. Since paid-up capital and free reserves are ₹500 crore, maximum",incorrect,"The buy-back amount Rs125 crore matches, but the reference maximum debt after buy-back is Rs750 crore; the prediction gives Rs1,000 crore."
NUM_038,numerical_reasoning,"Under SEBI (InvIT) Regulations 2014, a consulting firm had transactions worth eight lakh rupees with the InvIT in FY2023, and its gross turnover for that year was ninety lakh rupees. Would a partner of that firm be disqualified from acting as an independent director of the investment manager for FY2026?","No. Eight lakh rupees out of ninety lakh rupees is approximately 8.9 per cent, which is below the ten per cent threshold; the disqualification criterion is not triggered","Yes, the partner would be disqualified due to transactions amounting to more than 10% (8 lakh rupees out of 90 lakh rupees) of the gross turnover of the consulting firm in FY2023.",incorrect,"The reference says no: Rs8 lakh is about 8.9% of Rs90 lakh, below 10%; the prediction incorrectly says the partner is disqualified."
TMP_084,temporal_reasoning,How did the SEBI Takeovers Regulations provisions on combined open offer and delisting evolve from 2013 to 2021?,"In 2013, a basic Regulation 5A was inserted allowing an acquirer making an open offer to also delist under the Delisting Regulations, 2009, with specific disclosure conditions. In December 2021, the Third Amendment Regulations substituted the old Regulation 5A with a comprehensive new framework referencing the updated Delisting Regulations, 2021. The new Regulation 5A introduced: (a) detailed conditions for acquirer eligibility; (b) a two-payment structure (indicative price if delisting threshold met, open offer price if not); (c) a two-attempt delisting structure; and (d) updated timelines for withdrawal announcements.","- 2013: SEBI (Listing of Specified Securities on IT Platform) Regulations inserted Regulation 5A – “The acquirer may delist the company in accordance with the SEBI (Delisting of Equity Shares) Regulations, 2009.”  
- 6-12-2021: SEBI (SAST) (Third Amendment) Regulations, 2021 substituted that Regulat",incorrect,"The prediction identifies the 2013 insertion and the 2021 substitution, but it is cut off before giving the substantive 2021 framework described in the reference."
NUM_136,numerical_reasoning,An acquirer makes a mandatory open offer where the total consideration payable is Rs 400 crore. What is the non-refundable fee payable to SEBI under Regulation 16(1) at the time of filing the draft letter of offer?,"Consideration is more than Rs 10 crore but less than or equal to Rs 1,000 crore: fee = 0.5% of offer size = 0.5% × Rs 400 crore = Rs 2 crore.","0.5% of the offer size. 

Calculation: 0.5% of Rs 400 crore = Rs 2 crore.

Answer: Rs 2,00,00,000",correct,"The prediction gives 0.5% of Rs400 crore = Rs2 crore, exactly matching the reference."
REG_023,regulatory_interpretation,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,Five per cent,correct,"The prediction gives five per cent, matching the reference."
TMP_081,temporal_reasoning,"When did SEBI introduce separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations, and what triggered these additions?","The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second Amendment Regulations, 2016, effective May 25, 2016, following Reserve Bank of India guidelines on wilful defaulters. The prohibition on fugitive economic offenders (Regulation 6B) was inserted by the Second Amendment Regulations, 2018, effective September 11, 2018, following the enactment of the Fugitive Economic Offenders Act, 2018.",SEBI introduced separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations through Regulation 6A (effective 25-05-2016) and Regulation 6B (effective 11-09-2018). These additions were triggered by the SEBI (Substantial Acquisition of ,incorrect,"The prediction gives the two effective dates but is cut off before fully stating the triggers, while the reference requires the RBI wilful-defaulter guidelines and the 2018 Fugitive Economic Offenders Act as triggers."
NUM_097,numerical_reasoning,"In Illustration 2 of the RBI SFB Dividend Directions, 2026, a bank has PAT of Rs40,500 crore, Net NPA of Rs5,000 crore, and Tier 1 ratio of 15%. What is the maximum eligible dividend?","Rs19,000 crore (50% of Adjusted PAT of Rs38,000 crore, which is lower than 75% of PAT of Rs30,375 crore)","**Calculation**

1. **Adjusted PAT**  
   \[
   \text{Adjusted PAT} = \text{PAT} - 50\% \times \text{Net NPA}  
   = 40{,}500 - 0.5 \times 5{,}000  
   = 40{,}500 - 2{,}500  
   = 38{,}000\ \text{crore}
   \]

2. **75 % of PAT**  
   \[
   0.75 \times 40{,}500 = 30{,}375\ \text{crore}
   \]

3. **50",incorrect,"The prediction correctly calculates adjusted PAT of Rs38,000 crore and 75% of PAT as Rs30,375 crore, but it is cut off before stating the maximum eligible dividend of Rs19,000 crore."
REG_182,regulatory_interpretation,"What conflict-of-interest restrictions apply to the rating of securities of promoter-connected entities under SEBI (CRA) Regulations, 1999?","Under Regulation 27(1), a CRA shall not rate securities of: (a) a borrower of its promoter; (b) a subsidiary of its promoter; or (c) an associate of its promoter — if there are common Chairmen, directors, or employees between the CRA and such entities, or common persons on the rating committee. Under Regulation 27(2), a CRA shall also not rate securities of its own associate or subsidiary if the CRA or its rating committee shares a Chairman, director, or employee with such entities.","Under the SEBI (CRA) Regulations, 1999, a credit rating agency is restricted from rating securities of promoter-connected entities if there are shared chairmen, directors, or employees with the promoter's borrower, subsidiary, or associate. Additionally, the agency cannot rate securities of its own ",incorrect,The prediction starts the promoter-connected restriction but is cut off before stating the separate restriction covering the CRA's own associate or subsidiary under Regulation 27(2).
REG_023,regulatory_interpretation,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,"5% (or 15%, in certain cases)",incorrect,"The reference is five per cent; the prediction gives 15% for certain entities, which does not match the reference."
NUM_092,numerical_reasoning,"Under SEBI (Mutual Funds) Regulations, 1996, what is the maximum percentage of total mutual fund transactions that may be routed through a broker associated with the sponsor, and over what period is this limit measured?","5 per cent of aggregate purchases and sales, measured for a block of any three months",5% over a block of 3 months.,correct,The prediction matches the reference: 5% of aggregate purchases and sales over a block of any three months.
TMP_081,temporal_reasoning,"When did SEBI introduce separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations, and what triggered these additions?","The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second Amendment Regulations, 2016, effective May 25, 2016, following Reserve Bank of India guidelines on wilful defaulters. The prohibition on fugitive economic offenders (Regulation 6B) was inserted by the Second Amendment Regulations, 2018, effective September 11, 2018, following the enactment of the Fugitive Economic Offenders Act, 2018.","Regulations 6A and 6B were introduced on 25-05-2016 and 11-09-2018, respectively, triggered by the SEBI (Substantial Acquisition of Shares and Takeovers) (Second Amendment) Regulations of 2016 and 201",incorrect,The prediction includes the effective dates but is cut off before fully stating the two triggers required by the reference.
REG_008,regulatory_interpretation,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,incorrect,The reference threshold is more than five per cent of the voting rights; the prediction says exactly 5%.
REG_008,regulatory_interpretation,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5 % of the voting rights.,incorrect,"The reference threshold is more than five per cent of the voting rights; the prediction says 5%, missing 'more than'."
REG_060,regulatory_interpretation,"Under SEBI (InvIT) Regulations 2014, what is the combined monetary cap on permissible pecuniary relationships with the InvIT for a person to qualify as an independent director of the investment manager?","Two per cent of its gross turnover or total income, or fifty lakh rupees, whichever is lower","Fifty lakh rupees or such higher amount as may be specified from time to time, whichever is lower.",incorrect,"The reference combines a 2% cap on gross turnover or total income with a Rs50 lakh cap, using the lower amount; the prediction omits the 2% component."
NUM_091,numerical_reasoning,"Under the 2023 amendment to Regulation 7, if a sponsor fails all eligibility requirements, what are the three key obligations: the AMC capitalization threshold, the lock-in period, and the minimum combined experience of the five senior officers?","AMC net worth not less than rupees one hundred fifty crore; locked-in for five years; total combined experience of CEO, COO, CRO, CCO and CIO of at least thirty years","1. AMC capitalization threshold: ₹150 crore
2. Lock-in period: 5 years
3. Minimum combined experience: 30 years",correct,"All three figures match the reference: Rs150 crore net worth, five-year lock-in, and 30 years of combined experience."
REG_082,regulatory_interpretation,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative to their date of publication?",On the ninetieth day from the date of publication in the Official Gazette.,Ninety days.,correct,"The prediction says ninety days, matching the reference's ninetieth day from publication."
NUM_127,numerical_reasoning,A Category I ESG rating provider applicant projects cumulative cash losses of Rs 6 crore until breakeven. What is the minimum liquid net worth the applicant must demonstrate at the time of filing the registration application?,"The minimum liquid net worth at application time is the higher of: (A) Rs 10 crore, or (B) Rs 5 crore + projected cumulative cash losses until breakeven = Rs 5 crore + Rs 6 crore = Rs 11 crore. Since Rs 11 crore > Rs 10 crore, the minimum required liquid net worth at application time is Rs 11 crore.",The applicant must demonstrate a minimum liquid net worth of rupees 15 crores (10 + 5) at the time of filing the registration application.,incorrect,The reference requires Rs11 crore; the prediction says Rs15 crore.
REG_185,regulatory_interpretation,"Under Regulation 3(1) of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations 2011, what voting rights threshold triggers the mandatory open offer obligation?",25% or more of the voting rights in the target company (when combined with shares held by the acquirer and persons acting in concert).,Twenty-five per cent or more of the voting rights in the target company.,correct,"The prediction gives 25% or more of the voting rights, matching the reference threshold."
REG_190,regulatory_interpretation,"Under Regulation 6(2), after completing a voluntary open offer, for how long is the acquirer prohibited from acquiring further shares of the target company (other than through another voluntary open offer)?",Six months after completion of the open offer.,Six months.,correct,"The prediction says six months, matching the reference."
TMP_030,temporal_reasoning,"How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",9 years.,correct,"The reference is approximately 8 years and 10 months, which is approximately 9 years as stated in the prediction."
NUM_118,numerical_reasoning,"A Category II AIF has 4 investors: an external institutional investor, a director of the Manager, an employee of the AIF, and an accredited investor. Their proposed investments are Rs 75 lakh, Rs 20 lakh, Rs 30 lakh, and Rs 50 lakh respectively. Which investments, if any, fail to meet the minimum investment requirements under SEBI AIF Regulations, 2012?","External institutional investor (Rs 75 lakh): fails the minimum of Rs 1 crore. Director of the Manager (Rs 20 lakh): fails the reduced minimum of Rs 25 lakh applicable to manager's directors. Employee of AIF (Rs 30 lakh): meets the Rs 25 lakh minimum for AIF employees. Accredited investor (Rs 50 lakh): no minimum applies — Regulation 10(c) does not apply to accredited investors. Therefore, two investments fail: the external institutional investor (Rs 75 lakh < Rs 1 crore) and the director of the Manager (Rs 20 lakh < Rs 25 lakh).","The employee of the AIF (Rs 30 lakh) and the investor who is a director of the Manager (Rs 20 lakh) fail to meet the minimum investment requirements under SEBI AIF Regulations, 2012. The employee's in",incorrect,"The reference says the external institutional investor and the Manager's director fail; the prediction instead says the AIF employee and Manager's director fail, misidentifying one of the two failed investments."
TMP_009,temporal_reasoning,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",With the Board (SEBI),"Before 08.03.2025, it was filed with the Board.",correct,"The prediction says the draft letter of offer was filed with the Board, matching the reference."
NUM_082,numerical_reasoning,"As on March 13, 2026, what was India's total foreign exchange reserve in US dollar terms, and by how much did it change during the week?","Total reserves: US$ 709,759 million. Weekly variation: a decrease of US$ 7,052 million.","The total foreign exchange reserve as on March 13, 2026, was US$ 709,759 million. During the week, it decreased by US$ -7,052 million.",incorrect,"The reserve total matches, but the reference says a decrease of US$7,052 million; 'decreased by -7,052 million' gives the wrong sign."
NUM_103,numerical_reasoning,All schemes of a mutual fund together hold 9.5% of ABC Limited's paid-up capital carrying voting rights. May they acquire a further 1%?,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on ownership of any company's paid up capital carrying voting rights.","10% - 9.5% = 0.5%

They can acquire up to 0.5% more.

Answer: 0.5%",incorrect,"The reference says the proposed combined holding would be 10.5%, exceeding the 10% cap; the prediction incorrectly treats the additional 0.5% as allowable."
NUM_113,numerical_reasoning,"An individual investment adviser collected fees of Rs 2.65 crore in the first eight months of the financial year. In the ninth month they collected Rs 0.22 crore and in the tenth month Rs 0.18 crore. At the end of which month is the fee-based transition threshold breached, and what is the total fee at that point?","Cumulative fees: After 8 months = Rs 2.65 crore. After month 9: 2.65 + 0.22 = Rs 2.87 crore (threshold of Rs 3 crore not yet breached). After month 10: 2.87 + 0.18 = Rs 3.05 crore (exceeds Rs 3 crore). The fee threshold is breached at the end of the 10th month, when total fees reach Rs 3.05 crore. Excess above threshold = Rs 3.05 − Rs 3.00 = Rs 0.05 crore.","## Step 1: Determine the initial fee collection and the threshold.
The individual investment adviser collected fees of Rs 2.65 crore in the first eight months. The threshold for transitioning from an individual to a non-individual investment adviser is Rs 3 crore.

## 2: Calculate the total fee coll",incorrect,The prediction is cut off before stating the required result: the threshold is breached at the end of month 10 at Rs3.05 crore.
NUM_124,numerical_reasoning,"A foreign credit rating agency was incorporated in its home country in January 2018 and began actively rating securities in its home jurisdiction from July 2019. It applies to promote a new CRA in India in December 2025. Does it meet the 'minimum of five years' experience in rating securities' requirement under SEBI (CRA) Regulations, 1999?","The foreign CRA began rating securities from July 2019. By December 2025, it has had 6 years and 5 months of rating experience (July 2019 to December 2025). This exceeds the minimum five-year experience requirement. Yes, the foreign CRA meets the five-year experience requirement.","January 2018 to July 2019 is approximately 1 year.
July 2019 to December 2025 is approximately 6 years.

Total experience = 1 + 6 = 7 years.

Answer: 7 years.",incorrect,The reference counts rating experience from July 2019 to December 2025 as 6 years 5 months; the prediction incorrectly adds the pre-rating period and gives 7 years.
REG_124,regulatory_interpretation,What is the primary restriction on additional business activities an AMC may engage in under the post-2011 SEBI (Mutual Funds) Regulations?,"The AMC shall not undertake any business activities other than management and advisory services provided to pooled assets (including offshore funds, insurance funds, pension funds, provident funds, and certain foreign portfolio investors)",It may only provide management and advisory services for pooled assets; any other business activity is prohibited unless expressly permitted by the Board and does not conflict with the mutual‑fund’s activities.,incorrect,The reference states that no other business activities may be undertaken; the prediction adds an exception for activities expressly permitted by the Board that is not in the reference.
TMP_031,temporal_reasoning,"Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.","15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 2025) → Complete prohibition from April 1, 2025.","(i) 15% of paid up capital and free reserves till March 31, 2023; (ii) 10% of paid up capital and free reserves till March 31, 2024; (iii) 5% of paid up capital and free reserves till March 31, 2025.",incorrect,"The prediction gives the 15%, 10%, and 5% stages but omits the final complete prohibition from 1 April 2025 stated in the reference."
NUM_083,numerical_reasoning,"What was the year-on-year growth rate of aggregate deposits of Scheduled Commercial Banks in India as of February 28, 2026?",11.9%,"Year‑on‑Year growth rate of aggregate deposits (Scheduled Commercial Banks, India) as of 28 Feb 2026: **11.9 %**.",correct,"The prediction gives 11.9%, exactly matching the reference."
NUM_109,numerical_reasoning,"A part-time investment adviser currently serves 68 clients. They plan to onboard 8 new clients in the coming week. After onboarding all 8 clients, how many total clients will the adviser have, and by how many would this exceed the regulatory limit? How many of the planned new clients can be legitimately onboarded?","Proposed total: 68 + 8 = 76 clients. The regulatory limit under Regulation 13(h) is 75 clients. Excess: 76 − 75 = 1 client. The adviser would exceed the limit by 1. Therefore, only 7 of the 8 planned new clients can be legitimately onboarded (68 + 7 = 75 = limit). The 8th client cannot be onboarded.",68 + 8 = 76 clients. 76 exceeds the limit of 75 by 1 client. 0 of the planned new clients can be legitimately onboarded.,incorrect,The reference says 7 of the 8 new clients can be onboarded; the prediction incorrectly says 0 can be onboarded.
TMP_069,temporal_reasoning,"When was the Corporate Debt Market Development Fund (CDMDF) category introduced under SEBI AIF Regulations, 2012?","The Corporate Debt Market Development Fund was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023, with effect from 15 June 2023. The CDMDF is defined as an Alternative Investment Fund set up and making investments in accordance with Chapter III-C of the AIF Regulations.",15-06-2023,correct,"The prediction gives 15 June 2023, matching the reference's effective date."
TMP_059,temporal_reasoning,"How did the minimum qualification requirement for individual investment advisers under SEBI IA Regulations change with the 2020 amendment, and what further modification was made in 2025?","Under the original 2013 regulations, Regulation 7(1)(a) required a professional qualification or PG degree/diploma of minimum two years duration specifically in finance, accountancy, business management, commerce, economics, capital markets, banking, insurance, or actuarial science — or a CFA Charter. The SEBI (Investment Advisers) (Amendment) Regulations, 2020 (w.e.f. 30-09-2020) broadened this by permitting any professional qualification or graduate/post-graduate degree or diploma with no restriction on field of study, alongside NISM certification. The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) further updated Regulation 7(1)(a) to require only a graduate degree (any discipline) or CFA Charter plus relevant NISM certification — removing the old requirement for a finance-specific discipline or work experience.","Pre-2020, qualifications included: 
- Professional qualification or graduate degree or post-graduate degree/diploma (2 years) in specified fields (finance, accountancy, etc.) 
- Or, Post Graduate Program in Securities Market (Investment Advisory) from NISM (1 year)
- Or, CFA Charter from CFA Institu",incorrect,The prediction only covers the pre-2020 qualifications and is cut off before explaining the 2020 broadening and the further 2025 change required by the reference.
NUM_037,numerical_reasoning,"Under SEBI (FPI) Regulations 2019, if a government-linked entity is 70% directly owned by a sovereign government, does it qualify as a Category I foreign portfolio investor on the basis of government ownership?",No. The minimum threshold for government ownership is at least seventy-five per cent; seventy per cent is below this threshold,"75% - 5% = 70%

No, it does not qualify.",correct,The prediction correctly concludes that 70% does not qualify because the reference requires at least 75%.
REG_023,regulatory_interpretation,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,"The maximum shareholding percentage is fifteen percent for specific entities like stock exchanges, depositories, banking companies, insurance companies, and public financial institutions.

Answer: 15%",incorrect,The reference answer is five per cent; the prediction gives 15%.
REG_008,regulatory_interpretation,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,incorrect,The reference threshold is more than five per cent of the voting rights; the prediction says 5%.
NUM_005,numerical_reasoning,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"₹75 crore.

Calculation: 20% of ₹500 crore = ₹100 crore. Interest = ₹100 crore * 15% * 6 months = ₹90 crore.",incorrect,The reference interest liability is Rs7.5 crore; the prediction gives Rs75 crore and uses an incorrect six-month calculation.
REG_192,regulatory_interpretation,"Under Regulation 7(1) of SEBI Takeovers Regulations 2011, what is the minimum open offer size for a mandatory open offer triggered under Regulations 3 or 4?",At least 26% of the total shares of the target company (as of the tenth working day from the closure of the tendering period).,At least twenty six per cent of total shares of the target company.,correct,"The prediction gives at least 26% of the target company's total shares, matching the reference's minimum open-offer size."
TMP_002,temporal_reasoning,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",Three years.,correct,"The prediction says three years, matching the reference lock-in regime."
TMP_062,temporal_reasoning,"What procedural change did the SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 make to the transition process for individual investment advisers who breach the 300-client or Rs 3 crore fee threshold?","The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) amended Regulation 13(e) to add a new intermediate step: upon breaching the threshold, the individual IA must first immediately intimate the Administration and Supervisory Body and initiate the transition process before applying for in-principle approval. The 2020 version of Regulation 13(e) only required directly applying for in-principle registration as a non-individual investment adviser. The 3-month window for applying for in-principle approval was retained by the 2025 amendment, but an explicit intimation obligation was added as a new first step.","The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 introduced two key procedural changes: 

1. **Immediate Intimation and Transition Initiation**: Advisers must now immediately notify the Administration and Supervisory Body and start the transition process upon breaching the thresho",incorrect,"The prediction is cut off after the new immediate-intimation/transition step and does not provide the full procedural change described in the reference, including the retained three-month window."
TMP_002,temporal_reasoning,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",Three years.,correct,"The prediction says three years, matching the reference lock-in regime."
NUM_114,numerical_reasoning,"An investment adviser gave clients a sell recommendation on Bond X on April 1. On April 14, the adviser issues a revised assessment to clients. On April 16, the adviser wants to buy Bond X for its own account (contrary to the original sell recommendation). Is the April 16 transaction permissible?","The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","15 days from April 1 is April 16. 
The revised assessment was given on April 14, which is within the 15-day period and at least 24 hours before April 16.

The answer is: Yes.",incorrect,"Although the prediction concludes 'Yes', its stated reason is inconsistent with the reference: the 15-day prohibition runs through April 15, so the April 16 trade is permitted because the prohibition has already expired."
REG_015,regulatory_interpretation,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",120 calendar days.,correct,"The prediction says 120 calendar days, matching the reference."
TMP_036,temporal_reasoning,"The SEBI (Research Analysts) Regulations 2014 were published on September 1, 2014. On approximately which date did they come into force?","On the ninetieth day from September 1, 2014, which is approximately November 30, 2014.","The SEBI (Research Analysts) Regulations 2014 came into force on November 29, 2014.

Answer: November 29, 2014.",incorrect,"The reference gives approximately November 30, 2014; the prediction gives November 29, 2014."
TMP_044,temporal_reasoning,"A company completed its buy-back (i.e., made the final payment to shareholders) on June 15, 2025. What is the earliest date on which it can launch its next buy-back offer?","June 15, 2026 — one year from the expiry date (June 15, 2025) of the buyback period of the preceding offer.","June 15, 2024",incorrect,"The reference earliest date is June 15, 2026; the prediction gives June 15, 2024."
