id,task_type,source,document,regulation,context,question,answer,answer_type,difficulty,document_a,document_b,regulation_a,regulation_b,context_a,context_b,explanation,num_dates,amendment_count,circular_refs,context_len,num_years,complexity_score,complexity_tier
TMP_011,temporal_reasoning,SEBI,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,"SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011","The SEBI Takeover Regulations 2011 came into force on the thirtieth day from the date of their publication on 23 September 2011. The phrase 'is required to be made under these regulations' in the definition of 'frequently traded shares' was substituted by the SEBI (Substantial Acquisition of Shares and Takeovers) (Second Amendment) Regulations, 2018, w.e.f. 11-09-2018. Prior to this amendment, the phrase read as 'is made'.","Before September 2018, what phrase was used in the SEBI Takeover Regulations 2011 in the definition of 'frequently traded shares' in place of 'is required to be made under these regulations'?",Is made,extractive,hard,,,,,,,,5,3,0,66,2,0.8,High
TMP_012,temporal_reasoning,SEBI,SEBI_1992_securities_and_exchange_board_of_india_merchant_bankers_090.txt,"SEBI (Merchant Bankers) Regulations, 1992","The SEBI (Merchant Bankers) Regulations, 1992 were among the earliest set of SEBI regulations, establishing the regulatory framework for merchant banking in India. The definition of 'principal officer' was amended to require that such person shall have at least five years of experience in merchant banking activities. The definition of 'certificate' was also amended to remove the category classification from the phrase 'certificate of registration', changing it from 'certificate of category registration' to 'certificate of registration'.",The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act and year?,"The Securities and Exchange Board of India Act, 1992",extractive,easy,,,,,,,,1,2,0,76,1,0.377,Medium
TMP_013,temporal_reasoning,SEBI,SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt,"SEBI (Mutual Funds) Regulations, 1996 (as amended upto 2026)","The SEBI (Mutual Funds) Regulations were originally notified in 1996. The definition of 'NAV' or 'Net Asset Value' was introduced as a defined term as part of later amendments. The definition of 'exit load' was inserted to mean the charge or fee levied by the mutual fund at the time of redemption or switch. The definition of 'total expense ratio' was also introduced, defined as the ratio of total of all expenses charged to the investors of a scheme to its daily net assets.","Which set of SEBI regulations originally established the regulatory framework for mutual funds in India that continues to govern mutual funds today, as reflected in the 2026 consolidated version?","The SEBI (Mutual Funds) Regulations, 1996",extractive,easy,,,,,,,,2,1,0,84,2,0.353,Medium
TMP_014,temporal_reasoning,SEBI,SEBI_2014_securities_and_exchange_board_of_india_real_estate_inve_069.txt,"SEBI (Real Estate Investment Trusts) Regulations, 2014","The term 'sponsor group' was substituted for 'sponsor(s)' by the SEBI (Real Estate Investment Trusts) (Amendment) Regulations, 2016. Prior to this amendment, the relevant provisions referred only to 'sponsors'. The term 'inducted sponsor' was inserted by a subsequent amendment and means any person who has been inducted as a sponsor of the REIT after its initial registration. The term 're-designated sponsor' was further added in a later amendment.",What term was used in SEBI REIT Regulations 2014 before the 2016 amendment replaced it with the broader term 'sponsor group'?,Sponsor(s),extractive,medium,,,,,,,,2,7,0,68,2,0.62,High
TMP_015,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The SEBI (ICDR) Regulations 2018 superseded the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2009. The 2018 regulations were notified on the 60th day from publication. The definition of 'financial year' was inserted by the SEBI (ICDR) (Amendment) Regulations, 2025 w.e.f. 08.03.2025. Prior to this amendment, the ICDR Regulations 2018 did not contain an explicit definition of 'financial year' as a standalone defined term.",Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) Regulations 2018?,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",extractive,easy,,,,,,,,3,3,0,65,3,0.73,High
TMP_016,temporal_reasoning,SEBI,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The SEBI LODR Regulations, 2015 were published on 2 September 2015. The provision regarding 'fugitive economic offender' was inserted by the SEBI (LODR) (Sixth Amendment) Regulations, 2018, w.e.f. 16.11.2018, following the enactment of the Fugitive Economic Offenders Act, 2018. Prior to November 2018, the LODR Regulations did not contain any reference to fugitive economic offenders.",In which year was the concept of 'fugitive economic offender' first incorporated into the SEBI LODR Regulations 2015?,"2018, effective from 16 November 2018",extractive,medium,,,,,,,,4,1,0,55,2,0.473,Medium
TMP_017,temporal_reasoning,SEBI,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,"SEBI (Alternative Investment Funds) Regulations, 2012","The SEBI (AIF) Regulations, 2012 were the first set of regulations governing the alternative investment fund industry in India in a consolidated manner. The provision permitting social impact funds to issue 'social units' and to raise funds from social investors was inserted by the SEBI (Alternative Investment Funds) (Third Amendment) Regulations, 2022, w.e.f 25.07.2022. Before July 2022, social impact funds could not issue social units under the AIF Regulations.","Under SEBI AIF Regulations, from which date could social impact funds start issuing 'social units' under the AIF regulatory framework?","25 July 2022, following the Third Amendment Regulations, 2022",extractive,medium,,,,,,,,3,1,0,69,2,0.413,Medium
TMP_028,temporal_reasoning,RBI,RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt,,"Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect. Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027. The Master Direction was issued on March 27, 2026.",Which was implemented first under the RBI Master Direction on Unique Identifiers in Financial Markets 2026 — the LEI framework or the UTI framework?,"The LEI framework (Section A) was implemented first, coming into force with immediate effect from March 27, 2026. The UTI framework (Section B) comes into effect later, on January 01, 2027.",extractive,easy,,,,,,,,3,0,2,48,2,0.32,Medium
TMP_029,temporal_reasoning,RBI,RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt,,"List of circulars superseded vide Master Direction - Reserve Bank of India (Unique Identifiers in Financial Markets) Directions, 2026: (1) FMRD.FMID No.14/11.01.007/2016-17 dated June 01, 2017; (2) FMRD.FMID.No.10/11.01.007/2018-19 dated November 29, 2018; (3) FMRD.FMID.No.15/11.01.007/2018-19 dated April 26, 2019; (4) FMRD.FMID.No.24/11.01.007/2019-20 dated March 27, 2020; (5) CO.FMRD.MIOD.No.8/11.01.057/2025-26 dated February 18, 2026.","Among the five circulars superseded by the RBI Master Direction on Unique Identifiers 2026, which was the most recently issued before the Master Direction?","CO.FMRD.MIOD.No.8/11.01.057/2025-26 dated February 18, 2026, which is the most recent of the five superseded circulars.",extractive,medium,,,,,,,,7,2,3,50,7,0.827,High
TMP_030,temporal_reasoning,RBI,RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt,,"List of circulars superseded: (1) FMRD.FMID No.14/11.01.007/2016-17 dated June 01, 2017; (2) dated November 29, 2018; (3) dated April 26, 2019; (4) dated March 27, 2020; (5) dated February 18, 2026. The Master Direction was issued March 27, 2026.","How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",calculated,medium,,,,,,,,6,1,3,39,6,0.693,High
TMP_031,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,,"buy-back from the open market through stock exchanges, based on the standalone or consolidated financial statements of the company, whichever sets out a lower amount, shall be less than: (i) fifteen per cent of the paid up capital and free reserves of the company till March 31, 2023; (ii) ten per cent of the paid up capital and free reserves of the company till March 31, 2024; (iii) five per cent of the paid up capital and free reserves of the company till March 31, 2025. Provided further that buy-back from the open market through the stock exchange shall not be allowed with effect from April 1, 2025.","Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.","15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 2025) → Complete prohibition from April 1, 2025.",extractive,medium,,,,,,,,3,1,0,108,3,0.463,Medium
TMP_032,temporal_reasoning,RBI,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,,"Annex III — List of circulars repealed: DOR.ACC.REC.118/21-02-067/2025-26, dated November 28, 2025 — Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividends) Directions, 2025.

These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.",Which set of RBI directions on Small Finance Bank dividend norms was in effect during FY 2025-26 — the 2025 Directions or the 2026 Directions?,"The 2025 Directions (issued November 28, 2025) were in effect during FY 2025-26. The 2026 Directions come into effect only from FY 2026-27 (i.e., from April 1, 2026).",extractive,medium,,,,,,,,3,0,0,62,2,0.28,Medium
TMP_033,temporal_reasoning,RBI,RBI_Auction_of_auction_of_government_of_india_dated_securities_028.txt,,"Government of India (GoI) has announced the sale of two dated securities. GoI specific Notification: F.No.4(1)-B(W&M)/2026 dated March 28, 2026. Auction Date: April 02, 2026 (Thursday). Settlement Date: April 06, 2026 (Monday). When Issued trading period: March 30, 2026 - April 02, 2026.","In chronological order, what are the key dates in the lifecycle of the GoI dated securities auction announced on March 28, 2026?","March 28 (announcement), March 30 – April 02 ('When Issued' trading period), April 02 (auction day, bids submitted), April 06 (settlement, payment by successful bidders).",extractive,medium,,,,,,,,1,0,1,43,1,0.13,Low
TMP_034,temporal_reasoning,RBI,RBI_Auction_of_auction_of_state_government_securities_revised_071.txt,,"Press Release dated March 21, 2026 — Auction of State Government Securities (Revised). The auction will be conducted on the Reserve Bank of India Core Banking Solution (E-Kuber) system on March 24, 2026 (Tuesday). Payment by successful bidders will be made during banking hours on March 25, 2026 (Wednesday).","For the State Government securities auction covered in this revised press release, what is the sequence of key events from the announcement to settlement?","March 21, 2026 (revised press release issued) → March 24, 2026 (auction conducted on E-Kuber) → March 25, 2026 (payment by successful bidders).",extractive,easy,,,,,,,,1,0,0,49,1,0.11,Low
TMP_035,temporal_reasoning,SEBI,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,,"Where a certificate has been granted to an intermediary on a permanent basis, the certificate may continue to be valid under these regulations subject to the condition that the intermediary shall, within two years of commencement of these regulations in relation to such intermediary, furnish the information in Form A to the Board and upload the information in Part I thereof on the website specified by the Board: Provided that the time specified in clause (b) may be extended by the Board up to a period of six months on sufficient reasons being shown by the intermediary.","Under SEBI (Intermediaries) Regulations 2008, an intermediary holding a permanent certificate at the time of commencement of these regulations must furnish Form A information within two years. What is the maximum total time available if SEBI grants an extension?","Two years plus up to six months extension, for a maximum of two and a half years from the commencement of these regulations.",extractive,medium,,,,,,,,1,0,0,97,1,0.11,Low
TMP_036,temporal_reasoning,SEBI,SEBI_2014_securities_and_exchange_board_of_india_research_analyst_070.txt,,"These regulations may be called the Securities and Exchange Board of India (Research Analysts) Regulations, 2014. These regulations shall come into force on the ninetieth day from the date of their publication in the Official Gazette. The regulations were published on September 1, 2014.","The SEBI (Research Analysts) Regulations 2014 were published on September 1, 2014. On approximately which date did they come into force?","On the ninetieth day from September 1, 2014, which is approximately November 30, 2014.",calculated,medium,,,,,,,,1,0,0,44,1,0.11,Low
TMP_037,temporal_reasoning,RBI,RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt,,"Calendar for Issuance of Government of India Dated Securities (April 01, 2026 to September 30, 2026). Auction Week 4 (April 20-24, 2026): ₹32,000 crore — (i) 3 Year for ₹11,000 crore (ii) 7 Year for ₹11,000 crore (iii) 30 Year for ₹5,000 crore (iv) 30 Year SGrB for ₹5,000 crore. Switch auctions will be conducted on the third Monday of every month.","In the GoI securities issuance calendar for H1 FY2026-27, which is the first auction week that includes Sovereign Green Bonds (SGrBs), and what amount is allocated for them?","Auction Week 4 (April 20-24, 2026) is the first week to include Sovereign Green Bonds, with ₹5,000 crore allocated for the 30-year SGrB.",extractive,medium,,,,,,,,1,0,0,62,1,0.11,Low
TMP_038,temporal_reasoning,RBI,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,,"These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.

Annex III: Circular repealed — DOR.ACC.REC.118/21-02-067/2025-26 dated November 28, 2025.","The RBI SFB Dividend Directions 2026 were issued on March 10, 2026 but take effect from FY 2026-27. Were the 2025 Directions (repealed circular dated November 28, 2025) issued before or after the 2026 Directions were issued?","The 2025 Directions were issued before the 2026 Directions — on November 28, 2025, compared to March 10, 2026 for the 2026 Directions.",extractive,easy,,,,,,,,3,0,2,43,2,0.32,Medium
TMP_039,temporal_reasoning,RBI,RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt,,"UTI shall be generated / reported for all transactions in OTC derivatives market undertaken in terms of the Governing Directions. The directions shall be applicable to OTC derivative transactions entered into on or after the date the directions come into effect. Section B on UTI shall come into effect from January 01, 2027.","A counterparty entered into an OTC derivative transaction on December 15, 2026. Is this transaction subject to the UTI reporting requirements under the RBI Master Direction on Unique Identifiers 2026?","No. The UTI requirements (Section B) come into effect from January 01, 2027, and apply only to transactions entered into on or after that date. A transaction on December 15, 2026 is not subject to UTI reporting.",extractive,hard,,,,,,,,2,0,1,53,2,0.24,Medium
TMP_040,temporal_reasoning,SEBI,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,,"Where the certificate was granted for a specified period, an application for grant of certificate under sub-regulation (1) shall be made by the intermediary at least three months prior to the expiry of such period or three months prior to expiry of two years from the commencement of these regulations in relation to such intermediary, whichever is earlier and if the intermediary fails to do so, it shall cease to act as an intermediary on and from the expiry of the aforementioned period.","An intermediary's time-limited certificate expires in 18 months from the commencement of the SEBI (Intermediaries) Regulations 2008. Under this provision, when is the earliest date by which it must apply for renewal?","The intermediary must apply at least three months before the earlier of: (a) expiry of the certificate (15 months from commencement), or (b) three months before two years from commencement (21 months). Since the certificate expires at 18 months, three months before that is 15 months from commencement — which is earlier than 21 months. So it must apply by 15 months from commencement.",extractive,hard,,,,,,,,1,0,1,83,1,0.13,Low
TMP_041,temporal_reasoning,RBI,RBI_RBI-2025-2_rbi2025-2026225doramlrec41514060012025-26_027.txt,,"The Security Council Committee pursuant to resolutions 1267 (1999), 1989 (2011) and 2253 (2015) concerning ISIL (Da'esh), Al Qaida and associated individuals...removed the entry below from the ISIL (Da'esh) and Al Qaida Sanctions List. The entity Al-Nusrah Front was Listed on: 14 May 2014 (amended on 7 Jun. 2017, 5 Jun. 2018, 15 Nov. 2021). The UNSC press release SC/16306 was dated February 27, 2026.","For how long was the Al-Nusrah Front listed on the ISIL (Da'esh) and Al-Qaida Sanctions List before it was removed per the UNSC press release of February 27, 2026?","Approximately 11 years and 9 months — from May 14, 2014 to February 27, 2026.",calculated,medium,,,,,,,,11,1,0,65,9,0.633,High
TMP_042,temporal_reasoning,RBI,RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt,,"Reserve Bank of India will also be conducting switches of dated securities through auction on the third Monday of every month or at more frequent intervals. In case the third Monday is a holiday, switch auction will be conducted on the fourth Monday of the month.","Under the RBI GoI issuance calendar for H1 FY2026-27, if the third Monday of a month is a public holiday, on which day is the switch auction conducted instead?",On the fourth Monday of that month.,extractive,easy,,,,,,,,0,0,0,46,0,0.0,Low
TMP_043,temporal_reasoning,RBI,RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt,,"For transactions that are reportable in India and in a foreign jurisdiction and the foreign jurisdiction has a sooner reporting timeline, market participants may undertake reasonable efforts to ensure that the UTI is obtained and reported within the reporting deadline for the transaction. In case the market participant is unable to obtain the UTI within the reporting deadline, the market participant may obtain and submit the UTI to CCIL-TR at the earliest thereafter, but in any case, within five Mumbai business days from the date of the transaction.","Under the RBI Master Direction on UTI 2026, if a market participant cannot obtain the UTI in time for a cross-border transaction, what is the maximum additional time allowed to submit the UTI to CCIL-TR?",Within five Mumbai business days from the date of the transaction.,extractive,easy,,,,,,,,1,0,1,88,1,0.13,Low
TMP_044,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,,"A company shall not make any offer of buy-back within a period of one year reckoned from the date of expiry of buyback period of the preceding offer of buy-back, if any. The buy-back period means the period between the date of board of directors resolution or date of declaration of results of the postal ballot for special resolution, as the case may be, to authorize buyback of shares and the date on which payment of consideration to shareholders who have accepted the buyback offer is made.","A company completed its buy-back (i.e., made the final payment to shareholders) on June 15, 2025. What is the earliest date on which it can launch its next buy-back offer?","June 15, 2026 — one year from the expiry date (June 15, 2025) of the buyback period of the preceding offer.",calculated,medium,,,,,,,,1,0,0,87,1,0.11,Low
TMP_045,temporal_reasoning,RBI,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,,"Illustration 3: Net profit (PAT) for FY 20X1-X2 (A): ₹1,500 crore. Interim dividend paid for FY 20X1-20X2 (H): ₹500 crore. Maximum Eligible Dividend (G): ₹1,125 crore. As the bank has already paid interim dividend of ₹500 crore, the final dividend shall not be more than (G) - (H).","In Illustration 3 of the RBI SFB Dividend Directions 2026, the bank paid interim dividend during FY 20X1-X2 before declaring the final dividend. What does this sequencing imply about when the Maximum Eligible Dividend constraint applies — at the time of the interim dividend, or cumulatively across both payments?","The constraint applies cumulatively across both payments. The Maximum Eligible Dividend (₹1,125 crore) is the total permitted across the full financial year. Since ₹500 crore has already been paid as interim dividend, the final dividend is capped at the remaining ₹625 crore (₹1,125 - ₹500).",extractive,hard,,,,,,,,1,0,0,48,1,0.11,Low
TMP_046,temporal_reasoning,SEBI,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,"SEBI (Mutual Funds) Regulations, 1996","The original SEBI (Mutual Funds) Regulations, 1996 provided that 'At least 50% of the trustees shall be independent persons and no such trustee shall be an associate or a subsidiary or associated in any manner with the sponsor.' This provision was substituted by the SEBI (Mutual Funds) (Amendment) Regulations, 1998 (w.e.f. 12-1-1998), which raised the requirement: 'Two-thirds of the trustees shall be independent persons and shall not be associated with the sponsors or be associated with them in any manner whatsoever.'",What minimum proportion of independent trustees did SEBI (Mutual Funds) Regulations require before the 1998 amendment?,At least 50 per cent,extractive,easy,,,,,,,,3,3,0,81,2,0.68,High
TMP_047,temporal_reasoning,SEBI,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,"SEBI (Mutual Funds) Regulations, 1996","Under the SEBI (Mutual Funds) Regulations, 1996, the minimum networth requirement for an asset management company was originally set at rupees ten crore. The SEBI (Mutual Funds) (Amendment) Regulations, 2014 (w.e.f. 06-05-2014) substituted this threshold with 'rupees fifty crore', raising the minimum networth requirement substantially. Existing AMCs that did not meet this higher threshold were given three years from the date of notification of the 2014 amendment to increase their networth to the revised limit.","What minimum AMC networth was introduced by the SEBI (Mutual Funds) Amendment Regulations, 2014, replacing the original threshold?",Rupees fifty crore (replacing the original requirement of rupees ten crore),extractive,medium,,,,,,,,3,4,1,75,2,0.7,High
TMP_048,temporal_reasoning,SEBI,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,"SEBI (Mutual Funds) Regulations, 1996","Regulations 69, 70, 71, 72, 73 and 74 of the SEBI (Mutual Funds) Regulations, 1996, which dealt with enforcement and enquiry procedures, were omitted by the SEBI (Procedure for Holding Enquiry by Enquiry Officer and Imposing Penalty) Regulations, 2002, w.e.f. 27-9-2002.","From what date were Regulations 69 to 74 of SEBI (Mutual Funds) Regulations, 1996 omitted?",27-9-2002,extractive,hard,,,,,,,,3,0,0,41,2,0.28,Medium
