id,task_type,difficulty,answer
REG_154,regulatory_interpretation,medium,"Under Regulation 10(c), the minimum investment by any investor in an AIF scheme is Rs one crore. Two exceptions apply: (1) employees or directors of the AIF, or employees or directors of the Manager, have a reduced minimum of Rs twenty-five lakh; (2) the minimum investment requirement does not apply at all to accredited investors."
REG_073,regulatory_interpretation,medium,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with the regulations."
REG_195,regulatory_interpretation,hard,The shares must: (a) be listed and frequently traded; (b) have been listed for at least 2 years before the date of public announcement; (c) the issuer must have redressed at least 95% of investor complaints in the preceding calendar quarter; (d) the issuer must have materially complied with listing regulations for at least 2 years preceding the public announcement; (e) impact of auditors' qualifications must not exceed 5% of net profit or loss after tax for three preceding financial years; and (f) SEBI must not have issued any direction restricting the issuer's access to capital markets or issuance of fresh shares.
REG_141,regulatory_interpretation,hard,"No, not immediately. Under Regulation 15(7), an investment adviser is prohibited from entering transactions on its own account contrary to client advice for 15 days from the day of advice. Even if the situation has changed within those 15 days, the adviser cannot act immediately — it must first give a revised assessment to clients at least 24 hours in advance before entering the contrary own-account transaction. So the adviser must provide the revised assessment and then wait at least 24 hours before selling from its own account."
REG_180,regulatory_interpretation,hard,"Under Regulation 24A, a CRA may not directly or indirectly hold 10% or more shareholding or voting rights in any other CRA, and may not have board representation in any other CRA. Additionally, any shareholder holding 10% or more in one CRA may not hold 10% or more (directly or indirectly) in any other CRA. There is an exemption: these cross-shareholding restrictions do not apply to holdings by Pension Funds, Insurance Schemes, and Mutual Fund Schemes."
REG_015,regulatory_interpretation,hard,"One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier"
REG_184,regulatory_interpretation,hard,"Under Regulation 28E(m)(iv), a Category I ESG rating provider must maintain a minimum liquid net worth of Rs 5 crore at all times on an ongoing basis. At the time of making the application for registration, the applicant must have a minimum liquid net worth equal to the higher of: (A) Rs 10 crore, or (B) Rs 5 crore plus the applicant's own projected target of cumulative cash losses until its targeted breakeven date."
REG_147,regulatory_interpretation,hard,"Under Regulation 22A, implementation services may be provided subject to four conditions: (1) No consideration (commission, referral fees, or any indirect benefit) shall be received by the investment adviser or its group or family at any level for the implementation service; (2) Implementation services must be provided only through direct schemes/products in the securities market; (3) No implementation fees shall be charged from the client by the investment adviser, its group, or family; (4) The client is not under any obligation to avail the implementation services offered by the adviser."
REG_202,regulatory_interpretation,hard,"The board is prohibited from: (a) alienating material assets outside ordinary course of business; (b) effecting material borrowings outside ordinary course; (c) issuing unissued securities with voting rights; (d) implementing share buy-backs or changing capital structure; (e) entering into, amending or terminating material contracts outside ordinary course; and (f) accelerating any contingent vesting of rights such as ESOPs."
REG_175,regulatory_interpretation,hard,"Under Regulation 16(2), if a client fails to cooperate, the CRA must still carry out the review on the basis of best available information (or as specified by the Board), and must disclose to investors that the rating is based on best available information due to lack of client cooperation. Under Regulation 16(3), a CRA may not withdraw a rating so long as the obligations under the rated security are outstanding — withdrawal is only permitted if the rated company is wound up, or merged/amalgamated with another company (or as otherwise specified by the Board)."
REG_165,regulatory_interpretation,hard,"Under Regulation 16(1)(c), Category I AIFs shall not borrow funds or engage in leverage for investment purposes. The only permitted borrowing is for temporary funding requirements and day-to-day operational requirements, subject to three cumulative conditions: (1) borrowing shall not be for more than thirty days at a time; (2) borrowing shall not occur on more than four occasions in a year; and (3) borrowing shall not exceed ten percent of the investable funds."
REG_182,regulatory_interpretation,hard,"Under Regulation 27(1), a CRA shall not rate securities of: (a) a borrower of its promoter; (b) a subsidiary of its promoter; or (c) an associate of its promoter — if there are common Chairmen, directors, or employees between the CRA and such entities, or common persons on the rating committee. Under Regulation 27(2), a CRA shall also not rate securities of its own associate or subsidiary if the CRA or its rating committee shares a Chairman, director, or employee with such entities."
NUM_104,numerical_reasoning,medium,"Rs100 crore (5% of Rs2,000 crore)"
NUM_085,numerical_reasoning,medium,"Gold reserves as on March 13, 2026: US$ 130,681 million. Increase over the year: US$ 56,289 million."
NUM_070,numerical_reasoning,medium,"32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%."
NUM_105,numerical_reasoning,medium,Rs80 crore (10% of Rs800 crore NAV)
NUM_008,numerical_reasoning,medium,Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference)
NUM_004,numerical_reasoning,hard,"0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)"
NUM_005,numerical_reasoning,hard,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore)
NUM_096,numerical_reasoning,hard,"Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)"
NUM_086,numerical_reasoning,hard,Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).
NUM_009,numerical_reasoning,hard,1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025)
NUM_132,numerical_reasoning,easy,5% of 10 crore = 50 lakh shares.
NUM_087,numerical_reasoning,easy,At least rupees ten crore
NUM_112,numerical_reasoning,easy,"Under Regulation 28A(1), a regulatory sandbox exemption may be granted for a period not exceeding twelve months. Regardless of extensions, the total exemption duration cannot exceed 12 months. Even though an initial 8-month exemption was granted, the maximum total duration permissible is 12 months. Any extension beyond the initial 8 months can be for at most 4 more months."
NUM_090,numerical_reasoning,easy,Not less than rupees ten crore
NUM_080,numerical_reasoning,easy,"₹63,000 crore. Calculation: ₹29,000 (Week 1) + ₹34,000 (Week 2) = ₹63,000 crore."
CON_074,contradiction_detection,medium,No
CON_052,contradiction_detection,medium,No
CON_039,contradiction_detection,medium,No
CON_062,contradiction_detection,medium,No
CON_034,contradiction_detection,medium,No
CON_066,contradiction_detection,easy,No
CON_047,contradiction_detection,easy,No
CON_003,contradiction_detection,easy,Yes
CON_043,contradiction_detection,easy,No
CON_030,contradiction_detection,easy,No
CON_005,contradiction_detection,hard,No
CON_073,contradiction_detection,hard,No
CON_068,contradiction_detection,hard,No
CON_007,contradiction_detection,hard,No
CON_050,contradiction_detection,hard,No
TMP_055,temporal_reasoning,medium,"No. The original Regulation 45 absolutely prohibited the use of scheme funds in option trading, short selling, or carry forward transactions."
TMP_033,temporal_reasoning,medium,"March 28 (announcement), March 30 – April 02 ('When Issued' trading period), April 02 (auction day, bids submitted), April 06 (settlement, payment by successful bidders)."
TMP_017,temporal_reasoning,medium,"25 July 2022, following the Third Amendment Regulations, 2022"
TMP_059,temporal_reasoning,medium,"Under the original 2013 regulations, Regulation 7(1)(a) required a professional qualification or PG degree/diploma of minimum two years duration specifically in finance, accountancy, business management, commerce, economics, capital markets, banking, insurance, or actuarial science — or a CFA Charter. The SEBI (Investment Advisers) (Amendment) Regulations, 2020 (w.e.f. 30-09-2020) broadened this by permitting any professional qualification or graduate/post-graduate degree or diploma with no restriction on field of study, alongside NISM certification. The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) further updated Regulation 7(1)(a) to require only a graduate degree (any discipline) or CFA Charter plus relevant NISM certification — removing the old requirement for a finance-specific discipline or work experience."
TMP_008,temporal_reasoning,medium,"Five years from the commencement of the SEBI (AIF) Regulations, 2012"
TMP_087,temporal_reasoning,medium,"The 2025 Amendment Regulations, effective January 3, 2026, replaced the requirement that valuations for infrequently traded shares (Regulation 8(2)(e) and 8(4)) and consideration shares (Regulation 9(5)) be done by the acquirer and the manager to the open offer (or an independent merchant banker/chartered accountant with 10 years' experience) with the requirement for an independent registered valuer as defined under section 247 of the Companies Act, 2013. A transition period of 9 months was provided for valuation assignments already underway before the amendment came into force."
TMP_047,temporal_reasoning,medium,Rupees fifty crore (replacing the original requirement of rupees ten crore)
TMP_083,temporal_reasoning,medium,"The Amendment Regulations, 2021, effective May 5, 2021, inserted Regulations 3(5) and 6(4) providing that the 25% mandatory open offer threshold reads as 49% for IGP-listed entities. Simultaneously, the same amendment renamed 'institutional trading platform' to 'Innovators Growth Platform' throughout the regulations."
TMP_066,temporal_reasoning,medium,"The concept of 'large value fund for accredited investors' was first introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Third Amendment) Regulations, 2021, with effect from 3 August 2021. The original minimum investment per qualifying investor was not less than Rs seventy crore. This threshold was later reduced to Rs twenty-five crore by the SEBI (AIF) (Third Amendment) Regulations, 2025, w.e.f. 19-11-2025."
TMP_014,temporal_reasoning,medium,Sponsor(s)
TMP_002,temporal_reasoning,easy,"Three years from the date of commencement of commercial production or date of allotment, whichever is later"
TMP_077,temporal_reasoning,easy,"The regulatory framework for ESG rating providers was introduced through the insertion of Chapter IVA (comprising Regulations 28A to 28I) by the Securities and Exchange Board of India (Credit Rating Agencies) (Amendment) Regulations, 2023, with effect from 4 July 2023. Prior to this amendment, SEBI (CRA) Regulations, 1999 contained no provisions specifically governing ESG rating providers."
TMP_069,temporal_reasoning,easy,"The Corporate Debt Market Development Fund was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023, with effect from 15 June 2023. The CDMDF is defined as an Alternative Investment Fund set up and making investments in accordance with Chapter III-C of the AIF Regulations."
TMP_005,temporal_reasoning,easy,Institutional trading platform
TMP_042,temporal_reasoning,easy,On the fourth Monday of that month.
TMP_028,temporal_reasoning,easy,"The LEI framework (Section A) was implemented first, coming into force with immediate effect from March 27, 2026. The UTI framework (Section B) comes into effect later, on January 01, 2027."
TMP_057,temporal_reasoning,easy,"Under the original 2013 regulations, a certificate of registration was valid for a period of five years from the date of its issue and required renewal thereafter. This was changed to perpetual validity (valid till suspended or cancelled by the Board) by the Securities and Exchange Board of India (Change in Conditions of Registration of Certain Intermediaries) (Amendment) Regulations, 2016, which came into force on 8 December 2016."
TMP_013,temporal_reasoning,easy,"The SEBI (Mutual Funds) Regulations, 1996"
TMP_078,temporal_reasoning,easy,"The requirement for a minimum promoter shareholding of 26% in a credit rating agency was introduced by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. Prior to this amendment, the SEBI (CRA) Regulations, 1999 did not prescribe any minimum shareholding requirement for promoters. The 2018 amendment inserted Regulation 5(l) (eligibility criterion) and Regulation 9(e) (ongoing condition of certificate) to impose this requirement."
TMP_073,temporal_reasoning,easy,"The minimum net worth requirement was raised by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. The original 1999 regulations set a minimum of Rs five crore. The 2018 amendment increased this to Rs twenty-five crore — a five-fold increase of Rs twenty crore."
TMP_003,temporal_reasoning,hard,Sub-regulation (4) of regulation 23 and regulation 31A
TMP_010,temporal_reasoning,hard,"Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018"
TMP_045,temporal_reasoning,hard,"The constraint applies cumulatively across both payments. The Maximum Eligible Dividend (₹1,125 crore) is the total permitted across the full financial year. Since ₹500 crore has already been paid as interim dividend, the final dividend is capped at the remaining ₹625 crore (₹1,125 - ₹500)."
TMP_085,temporal_reasoning,hard,"The original exemption in Regulation 29(4) covered only scheduled commercial banks and public financial institutions acting as pledgees in ordinary business. The Third Amendment Regulations, 2018, effective December 31, 2018, expanded this to also include housing finance companies (registered with NHB, deposit-taking or with asset size of Rs 500 crore or more) and systemically important non-banking financial companies. The expansion recognised the growing role of these institutions as lenders against pledged shares."
TMP_084,temporal_reasoning,hard,"In 2013, a basic Regulation 5A was inserted allowing an acquirer making an open offer to also delist under the Delisting Regulations, 2009, with specific disclosure conditions. In December 2021, the Third Amendment Regulations substituted the old Regulation 5A with a comprehensive new framework referencing the updated Delisting Regulations, 2021. The new Regulation 5A introduced: (a) detailed conditions for acquirer eligibility; (b) a two-payment structure (indicative price if delisting threshold met, open offer price if not); (c) a two-attempt delisting structure; and (d) updated timelines for withdrawal announcements."
TMP_068,temporal_reasoning,hard,"The SEBI (Alternative Investment Funds) (Amendment) Regulations, 2020 (w.e.f. 19-10-2020) substituted Regulation 4(g) to replace the experience-based standard with a certification-based standard. The original requirement was for at least one key personnel to have not less than five years of experience in managing pools of capital or securities plus a relevant professional qualification. The 2020 amendment replaced this with two separate requirements: (i) at least one key personnel must hold a relevant SEBI-specified certification (not a minimum years-of-experience requirement), and (ii) at least one key personnel must hold a finance-related professional qualification or CFA Charter. The same person may fulfill both requirements. The key significance is the shift from experience as the primary criterion to certification as the primary requirement."
TMP_054,temporal_reasoning,hard,Regulation 47
TMP_056,temporal_reasoning,hard,"Transactions entered on or after January 15, 1998"
TMP_011,temporal_reasoning,hard,Is made
TMP_086,temporal_reasoning,hard,"Regulation 30, which required every person holding 25% or more of voting rights and all promoters to disclose their aggregate shareholding as of March 31 each financial year (within 7 working days from year-end), was omitted by the Second Amendment Regulations, 2021, with effect from April 1, 2022. This was part of a broader overhaul of disclosure obligations, including changes to Regulation 29. The annual continual disclosure was likely subsumed into or replaced by disclosure requirements under the Listing Obligations and Disclosure Requirements Regulations, 2015."
