row_number,id,task_type,difficulty,context,question,reference_answer,is_correct__YES_or_NO,notes_if_NO
11,REG_102,regulatory_interpretation,medium,"Payment of annual service fee. 12. A mutual fund shall pay before the 15th April each year a service fee as specified in the Second Schedule for every financial year from the year following the year of registration: Provided that the Board may, on being satisfied with the reasons for the delay permit the mutual fund to pay the service fee at any time before the expiry of two months from the commencement of the financial year to which such fee relates.","By what date must a mutual fund pay its annual service fee, and what is the maximum grace period SEBI may allow for a delayed payment?",Before the 15th April each year; the Board may allow payment up to two months from commencement of the financial year,,
12,REG_004,regulatory_interpretation,medium,"In an issue made through the book building process, the issuer may allocate up to sixty per cent. of the portion available for allocation to qualified institutional buyers to anchor investors in accordance with these regulations. One-third of the anchor investor portion shall be reserved for domestic mutual funds.","Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",One-third,,
13,REG_160,regulatory_interpretation,medium,Regulation 13(5): Extension of the tenure of the close ended Alternative Investment Fund may be permitted up to two years subject to approval of two-thirds of the unit holders by value of their investment in the Alternative Investment Fund: Provided that an Accredited Investors only fund may be permitted to extend its tenure up to five years subject to the approval of two-thirds of the unit holders by value of their investment in the Accredited Investors only fund.,"Under SEBI AIF Regulations, 2012, by how many years can the tenure of a close-ended AIF be extended, and what investor approval is required? Is there a special provision for Accredited Investors only funds?","Under Regulation 13(5), the tenure of a close-ended AIF may be extended by up to two years, subject to the approval of two-thirds of unit holders by value of their investment. For Accredited Investors only funds, there is a special provision — their tenure may be extended by up to five years (instead of two), subject to the same approval threshold of two-thirds of unit holders by value.",,
14,REG_010,regulatory_interpretation,medium,"The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund and such interest shall not be through the waiver of management fees: Provided that for Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower.","Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund?","Not less than five percent of the corpus or ten crore rupees, whichever is lower",,
15,REG_167,regulatory_interpretation,medium,"Regulation 4: The Board shall not consider an application under regulation 3 unless the applicant is promoted by a person belonging to any of the following categories: (a) a public financial institution; (b) a scheduled commercial bank included in the second schedule to the RBI Act, 1934; (c) a foreign bank operating in India with the approval of the Reserve Bank of India; (d) a foreign credit rating agency incorporated in a Financial Action Task Force (FATF) member jurisdiction and recognised under their law, having a minimum of five years' experience in rating securities; (e) any company or body corporate having continuous net worth of minimum rupees one hundred crores as per audited annua","Who are the eligible categories of promoters for a credit rating agency under SEBI (CRA) Regulations, 1999?","Under Regulation 4, a credit rating agency must be promoted by one of the following: (a) a public financial institution; (b) a scheduled commercial bank in the RBI's second schedule; (c) a foreign bank operating in India with RBI approval; (d) a foreign CRA incorporated in a FATF member jurisdiction, recognised under their law, with at least five years' experience in rating securities; or (e) any company or body corporate with a continuous net worth of at least Rs 100 crore per audited accounts for the previous five years.",,
16,REG_059,regulatory_interpretation,medium,"""institutional investor"" means â€” (i) a qualified institutional buyer; or (ii) a family trust or an intermediary registered with the Board, having a net worth of more than five hundred crore rupees, as per the latest audited financial statements.","Under SEBI (InvIT) Regulations 2014 (as currently in force), what minimum net worth must a family trust or a Board-registered intermediary have to qualify as an institutional investor?","More than five hundred crore rupees, as per the latest audited financial statements",,
17,REG_025,regulatory_interpretation,medium,"A depository shall not be eligible to carry on its activities as a depository if any person, individually or together with persons acting in concert, holds or acquires more than five per cent of the paid-up equity share capital of such depository, unless the prior approval of the Board has been obtained for the same. A participant shall be a person registered as a participant under the Act.","Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",More than five per cent of the paid-up equity share capital,,
18,REG_124,regulatory_interpretation,medium,"Restrictions on business activities of the asset management company. 24. The asset management company shall...not undertake any business activities other than in the nature of management and advisory services provided to pooled assets including offshore funds, insurance funds, pension funds, provident funds, or such categories of foreign portfolio investor subject to such conditions, as may be specified by the Board, if any of such activities are not in conflict with the activities of the mutual fund.",What is the primary restriction on additional business activities an AMC may engage in under the post-2011 SEBI (Mutual Funds) Regulations?,"The AMC shall not undertake any business activities other than management and advisory services provided to pooled assets (including offshore funds, insurance funds, pension funds, provident funds, and certain foreign portfolio investors)",,
19,REG_154,regulatory_interpretation,medium,"Regulation 10(c): the Alternative Investment Fund shall not accept from an investor, an investment of value less than one crore rupees: Provided that in case of investors who are employees or directors of the Alternative Investment Fund or employees or directors of the Manager, the minimum value of investment shall be twenty five lakh rupees: Provided further that this clause shall not apply to an accredited investor.","What is the minimum investment that an investor must make in an Alternative Investment Fund scheme under SEBI AIF Regulations, 2012? Are there any exceptions to this minimum?","Under Regulation 10(c), the minimum investment by any investor in an AIF scheme is Rs one crore. Two exceptions apply: (1) employees or directors of the AIF, or employees or directors of the Manager, have a reduced minimum of Rs twenty-five lakh; (2) the minimum investment requirement does not apply at all to accredited investors.",,
20,REG_073,regulatory_interpretation,medium,"Subject to compliance with the provisions of the Act, these regulations and the relevant regulations, the certificate granted to an intermediary shall be permanent unless surrendered by the intermediary or suspended or cancelled in accordance with these regulations.",Under what three circumstances can a permanent certificate granted to an intermediary under SEBI (Intermediaries) Regulations 2008 cease to be valid?,"If the certificate is surrendered by the intermediary, or suspended, or cancelled in accordance with the regulations.",,
21,REG_195,regulatory_interpretation,hard,"Regulation 9(2): For purposes of payment by way of listed shares, the shares sought to be issued or exchanged shall conform to the following: (a) listed and frequently traded; (b) listed for at least two years preceding the date of public announcement; (c) issuer has redressed at least 95% of complaints received from investors in the preceding calendar quarter; (d) issuer has been in material compliance with listing regulations for at least two years immediately preceding the date of public announcement; (e) impact of auditors' qualifications does not exceed 5% of net profit or loss after tax for three immediately preceding financial years; (f) SEBI has not issued directions against the issu",What conditions must listed shares offered as non-cash consideration in an open offer satisfy under Regulation 9(2) of SEBI Takeovers Regulations 2011?,The shares must: (a) be listed and frequently traded; (b) have been listed for at least 2 years before the date of public announcement; (c) the issuer must have redressed at least 95% of investor complaints in the preceding calendar quarter; (d) the issuer must have materially complied with listing regulations for at least 2 years preceding the public announcement; (e) impact of auditors' qualifications must not exceed 5% of net profit or loss after tax for three preceding financial years; and (f) SEBI must not have issued any direction restricting the issuer's access to capital markets or issuance of fresh shares.,,
22,REG_141,regulatory_interpretation,hard,"Regulation 15(7): An investment advisor shall not enter into transactions on its own account which is contrary to its advice given to clients for a period of fifteen days from the day of such advice. Provided that during the period of such fifteen days, if the investment adviser is of the opinion that the situation has changed, then it may enter into such a transaction on its own account after giving such revised assessment to the client at least 24 hours in advance of entering into such transaction.","Under SEBI IA Regulations, 2013, if an investment adviser advised clients to buy a stock on a certain date but subsequently believes the situation has changed within 10 days, can the adviser immediately sell the same stock from its own account?","No, not immediately. Under Regulation 15(7), an investment adviser is prohibited from entering transactions on its own account contrary to client advice for 15 days from the day of advice. Even if the situation has changed within those 15 days, the adviser cannot act immediately — it must first give a revised assessment to clients at least 24 hours in advance before entering the contrary own-account transaction. So the adviser must provide the revised assessment and then wait at least 24 hours before selling from its own account.",,
23,REG_180,regulatory_interpretation,hard,"Regulation 24A(1): A credit rating agency shall not: (a) directly or indirectly, hold 10 per cent or more shareholding and/or voting rights in any other credit rating agency, or (b) have representation on the Board of any other credit rating agency. (2) A shareholder holding 10 per cent or more shares and/or voting rights in a credit rating agency shall not hold 10 per cent or more shares and/or voting rights, directly or indirectly, in any other credit rating agency. Provided that the said restriction shall not apply to holdings by Pension Funds, Insurance Schemes and Mutual Fund Schemes.","What shareholding restrictions apply between credit rating agencies under SEBI (CRA) Regulations, 1999? Are there any exemptions?","Under Regulation 24A, a CRA may not directly or indirectly hold 10% or more shareholding or voting rights in any other CRA, and may not have board representation in any other CRA. Additionally, any shareholder holding 10% or more in one CRA may not hold 10% or more (directly or indirectly) in any other CRA. There is an exemption: these cross-shareholding restrictions do not apply to holdings by Pension Funds, Insurance Schemes, and Mutual Fund Schemes.",,
24,REG_015,regulatory_interpretation,hard,"An application in respect of any specified proceeding pending before the Board shall not be considered if it is made after sixty days from the date of service of the notice to show cause issued for initiation of such proceeding. Provided that no such delayed application shall be considered if the application is filed after one hundred and twenty calendar days from the expiry of the period specified in sub-regulation (1) or after the first hearing, whichever is earlier.","Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",,
25,REG_184,regulatory_interpretation,hard,"Regulation 28E(m)(iv): [Category I ESG rating provider] the applicant shall maintain a minimum liquid net worth of rupees five crores at all times: Provided that at the time of making the application, the applicant shall have a minimum liquid net worth of the higher of, A. rupees ten crores, or B. addition of rupees five crores and the target on cumulative cash losses until breakeven.","What are the ongoing and application-time liquid net worth requirements for a Category I ESG rating provider under SEBI (CRA) Regulations, 1999?","Under Regulation 28E(m)(iv), a Category I ESG rating provider must maintain a minimum liquid net worth of Rs 5 crore at all times on an ongoing basis. At the time of making the application for registration, the applicant must have a minimum liquid net worth equal to the higher of: (A) Rs 10 crore, or (B) Rs 5 crore plus the applicant's own projected target of cumulative cash losses until its targeted breakeven date.",,
26,REG_147,regulatory_interpretation,hard,"Regulation 22A: (1) Investment adviser may provide implementation services to the advisory clients in securities market: Provided that investment advisers shall ensure that no consideration including any commission or referral fees, whether embedded or indirect or otherwise, by whatever name called is received; directly or indirectly, at investment adviser's group or family level for the said service. (2) Investment adviser shall provide implementation services to its advisory clients only through direct schemes/products in the securities market. (3) Investment adviser or group or family of investment adviser shall not charge any implementation fees from the client. (4) The client shall not ","Under SEBI IA Regulations, 2013, what are the four key conditions governing an investment adviser's provision of implementation services to advisory clients?","Under Regulation 22A, implementation services may be provided subject to four conditions: (1) No consideration (commission, referral fees, or any indirect benefit) shall be received by the investment adviser or its group or family at any level for the implementation service; (2) Implementation services must be provided only through direct schemes/products in the securities market; (3) No implementation fees shall be charged from the client by the investment adviser, its group, or family; (4) The client is not under any obligation to avail the implementation services offered by the adviser.",,
27,REG_202,regulatory_interpretation,hard,"Regulation 26(2): During the offer period, unless the approval of shareholders of the target company by way of a special resolution by postal ballot is obtained, the board of directors of either the target company or any of its subsidiaries shall not: (a) alienate any material assets outside ordinary course of business; (b) effect any material borrowings outside ordinary course of business; (c) issue or allot any authorised but unissued securities entitling voting rights; (d) implement any buy-back or effect capital structure changes; (e) enter into, amend or terminate material contracts outside ordinary course; (f) accelerate any contingent vesting of rights including ESOPs.","Under Regulation 26(2) of SEBI Takeovers Regulations 2011, what actions is the target company's board of directors prohibited from taking during the offer period without shareholder approval by postal ballot?","The board is prohibited from: (a) alienating material assets outside ordinary course of business; (b) effecting material borrowings outside ordinary course; (c) issuing unissued securities with voting rights; (d) implementing share buy-backs or changing capital structure; (e) entering into, amending or terminating material contracts outside ordinary course; and (f) accelerating any contingent vesting of rights such as ESOPs.",,
28,REG_175,regulatory_interpretation,hard,"Regulation 16(2): If the client does not co-operate with the credit rating agency so as to enable the credit rating agency to comply with its obligations under regulation 15, the credit rating agency shall carry out the review on the basis of the best available information or in the manner as specified by the Board from time to time. Provided that if owing to such lack of co-operation, a rating has been based on the best available information, the credit rating agency shall disclose to the investors the fact that the rating is so based. (3) A credit rating agency shall not withdraw a rating so long as the obligations under the security rated by it are outstanding, except where the company wh","What must a credit rating agency do if a client fails to cooperate during the rating review process under SEBI (CRA) Regulations, 1999? Can a CRA withdraw a rating while the security's obligations are outstanding?","Under Regulation 16(2), if a client fails to cooperate, the CRA must still carry out the review on the basis of best available information (or as specified by the Board), and must disclose to investors that the rating is based on best available information due to lack of client cooperation. Under Regulation 16(3), a CRA may not withdraw a rating so long as the obligations under the rated security are outstanding — withdrawal is only permitted if the rated company is wound up, or merged/amalgamated with another company (or as otherwise specified by the Board).",,
29,REG_165,regulatory_interpretation,hard,"Regulation 16(1)(c): Category I Alternative Investment Funds shall not borrow funds directly or indirectly or engage in any leverage for the purpose of making investments or otherwise, except for borrowing funds to meet temporary funding requirements and day-to-day operational requirements for not more than thirty days, on not more than four occasions in a year and not more than ten percent of the investable funds.","Under what conditions may a Category I Alternative Investment Fund borrow funds under SEBI AIF Regulations, 2012? What are the specific restrictions on such borrowing?","Under Regulation 16(1)(c), Category I AIFs shall not borrow funds or engage in leverage for investment purposes. The only permitted borrowing is for temporary funding requirements and day-to-day operational requirements, subject to three cumulative conditions: (1) borrowing shall not be for more than thirty days at a time; (2) borrowing shall not occur on more than four occasions in a year; and (3) borrowing shall not exceed ten percent of the investable funds.",,
30,REG_182,regulatory_interpretation,hard,"Regulation 27(1): No credit rating agency shall rate a security issued by an entity which is — (a) a borrower of its promoter; or (b) a subsidiary of its promoter; or (c) an associate of its promoter, if there are common Chairman, Directors between credit rating agency and these entities, or common employees, or common Chairman, Directors, Employees on the rating committee. (2) No credit rating agency shall rate a security issued by its associate or subsidiary, if the credit rating agency or its rating committee has a Chairman, director or employee who is also a Chairman, director or employee of any such entity.","What conflict-of-interest restrictions apply to the rating of securities of promoter-connected entities under SEBI (CRA) Regulations, 1999?","Under Regulation 27(1), a CRA shall not rate securities of: (a) a borrower of its promoter; (b) a subsidiary of its promoter; or (c) an associate of its promoter — if there are common Chairmen, directors, or employees between the CRA and such entities, or common persons on the rating committee. Under Regulation 27(2), a CRA shall also not rate securities of its own associate or subsidiary if the CRA or its rating committee shares a Chairman, director, or employee with such entities.",,
31,NUM_104,numerical_reasoning,medium,"Seventh Schedule. 4. A scheme may invest in another scheme under the same asset management company or any other mutual fund without charging any fees, provided that aggregate inter-scheme investment made by all schemes under the same management or in schemes under the management of any other asset management company shall not exceed 5% of the net asset value of the mutual fund.","The total NAV of all schemes managed by an AMC is Rs2,000 crore. What is the maximum aggregate investment these schemes may collectively make in other mutual fund schemes?","Rs100 crore (5% of Rs2,000 crore)",,
32,NUM_085,numerical_reasoning,medium,"Foreign Exchange Reserves: Gold — As on Mar. 13, 2026: ₹12,08,169 crore / US$ 130,681 million. Variation over Year: ₹5,60,895 crore / US$ 56,289 million.","What was the value of India's gold reserves as on March 13, 2026 in US dollar terms, and what was the increase over the year?","Gold reserves as on March 13, 2026: US$ 130,681 million. Increase over the year: US$ 56,289 million.",,
33,NUM_070,numerical_reasoning,medium,"Illustration 1: Net profit (PAT) for FY 20X1-X2 (A): ₹17,000 crore. Maximum Eligible Dividend (i.e., Lower of E or F): 5,500. Maximum Eligible Dividend as percentage of PAT: 32.35%.","In Illustration 1 of the RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is ₹5,500 crore and the PAT is ₹17,000 crore. What is the Maximum Eligible Dividend as a percentage of PAT?","32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%.",,
34,NUM_105,numerical_reasoning,medium,"Seventh Schedule. 10. No mutual fund scheme shall invest more than 10 per cent of its NAV in the equity shares or equity related instruments of any entity: Provided that, the limit of 10 per cent shall not be applicable for investments in case of index fund or exchange traded fund or sector or industry specific scheme.","A mutual fund scheme (non-index, non-ETF) has NAV of Rs800 crore. What is the maximum investment it may make in equity shares of any single entity?",Rs80 crore (10% of Rs800 crore NAV),,
35,NUM_008,numerical_reasoning,medium,"A share shall be deemed to be frequently traded if the traded turnover on any stock exchange during the twelve calendar months preceding the calendar month in which the public announcement is required to be made under these regulations, is at least ten per cent of the total number of shares of such class of the target company. Where the acquirer or persons acting in concert with him acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price, the acquirer shall pay to all shareholders who accepted the open offer, the difference between the highest price paid during the twenty-six weeks period and the offer pric","Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in an open offer but then buys shares in the open market at Rs. 300 per share within the twenty-six-week post-tendering period, what additional amount per share must be paid to shareholders who accepted the open offer?",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),,
36,NUM_004,numerical_reasoning,hard,"The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower. For Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower. Each scheme of the Alternative Investment Fund shall have corpus of at least twenty crore rupees.","For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what is the minimum continuing interest the Manager or Sponsor must maintain — in crore rupees — as per SEBI AIF Regulations 2012?","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)",,
37,NUM_005,numerical_reasoning,hard,"The asset management company shall repay the amount at the rate of fifteen per cent per annum for the period of delay to the unitholders, as the case may be. Any borrowing by a scheme shall not exceed twenty per cent of the net assets of the scheme and the duration of such borrowing shall not exceed six months.","If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),,
38,NUM_096,numerical_reasoning,hard,"Annex I: Illustration 3: Computation of maximum eligible dividend for FY 20X1-X2. Net profit (PAT) for FY 20X1-X2 (A): Rs1,500 crore. Net NPAs as on March 31, 20X2 (B): Rs300 crore. Adjusted PAT, i.e., (C) = (A) - 50% of (B): Rs1,350 crore. Tier 1 capital ratio as on March 31, 20X1 (D): 24.36% (falls in Bucket B10). 75% of PAT (E): Rs1,125 crore. Maximum payable as per Table (100% of 1,350) (F): Rs1,350 crore. Maximum Eligible Dividend (G = Lower of E or F): Rs1,125 crore. Interim dividend paid for FY 20X1-20X2 (H): Rs500 crore. As the bank has already paid interim dividend of Rs500 crore, the final dividend shall not be more than (G) - (H).","In Illustration 3, a bank has PAT of Rs1,500 crore, Net NPA of Rs300 crore, Tier 1 ratio of 24.36%, and has already paid interim dividend of Rs500 crore. What is the maximum final dividend it may pay?","Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)",,
39,NUM_086,numerical_reasoning,hard,The maximum limit of any buy-back shall be twenty-five per cent or less of the aggregate of paid-up capital and free reserves of the company. The ratio of the aggregate of secured and unsecured debts owed by the company to the paid-up capital and free reserves after buy-back shall be less than or equal to 2:1.,"A company has paid-up capital and free reserves of ₹500 crore before a buy-back. What is the maximum amount it can buy back, and what is the maximum total debt it can carry after the buy-back?",Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).,,
40,NUM_009,numerical_reasoning,hard,The tenure of warrants issued in an initial public offer shall not exceed eighteen months from the date of their allotment. The warrant holder shall exercise the option to acquire equity shares against each warrant within three months from the date of payment of warrant exercise price. At least twenty-five per cent. of the warrant consideration shall be paid upfront and disclosed in the offer document.,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, what is the latest calendar date on which the warrant holder can exercise the option to acquire equity shares, assuming the warrant exercise price is paid on the last permissible day?",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),,
41,NUM_132,numerical_reasoning,easy,"Regulation 3(2): No acquirer who together with persons acting in concert holds 25% or more but less than the maximum permissible non-public shareholding, shall acquire within any financial year additional shares or voting rights entitling them to exercise more than five per cent of the voting rights, unless an open offer is made.",An acquirer holds 28% voting rights in a listed company with 10 crore total shares outstanding. What is the maximum number of additional shares they can acquire in financial year 2024-25 without triggering a mandatory open offer under Regulation 3(2)?,5% of 10 crore = 50 lakh shares.,,
42,NUM_087,numerical_reasoning,easy,"Eligibility criteria. 7. Explanation: For the purposes of this clause 'sound track record' shall mean the sponsor should— (iv) have net profit after providing for depreciation, interest and tax in each of the immediately preceding five years; and (v) have average net annual profit after depreciation, interest and tax during the immediately preceding five years of at least rupees ten crore.","What is the minimum average net annual profit (after depreciation, interest and tax) that a sponsor must demonstrate over the immediately preceding five years to satisfy the sound track record requirement under SEBI (Mutual Funds) Regulations, 1996?",At least rupees ten crore,,
43,NUM_112,numerical_reasoning,easy,"Regulation 28A(1): The Board may, exempt any person or class of persons from the operation of all or any of the provisions of these regulations for a period as may be specified but not exceeding twelve months, for furthering innovation relating to testing new products, processes, services, business models, etc. in live environment of regulatory sandbox in the securities markets.","A fintech company seeks a regulatory sandbox exemption from SEBI under the SEBI (Investment Advisers) Regulations, 2013. SEBI grants an initial exemption of 8 months. If SEBI grants an extension, what is the maximum total duration of the regulatory sandbox exemption permissible under these regulations?","Under Regulation 28A(1), a regulatory sandbox exemption may be granted for a period not exceeding twelve months. Regardless of extensions, the total exemption duration cannot exceed 12 months. Even though an initial 8-month exemption was granted, the maximum total duration permissible is 12 months. Any extension beyond the initial 8 months can be for at most 4 more months.",,
44,NUM_090,numerical_reasoning,easy,"Eligibility criteria for appointment of asset management company. 21. (1)(f) Provided further that an asset management company of a mutual fund eligible to launch only infrastructure debt fund schemes, shall have a networth of not less than rupees ten crore.",What is the minimum networth required for an AMC that is only eligible to launch infrastructure debt fund schemes?,Not less than rupees ten crore,,
45,NUM_080,numerical_reasoning,easy,"Auction Week 1 (April 01-03, 2026): ₹29,000 crore — (i) 15 Year for ₹17,000 crore (ii) 50 Year for ₹12,000 crore.
Auction Week 2 (April 06-10, 2026): ₹34,000 crore — (i) 10 Year for ₹34,000 crore.","In the GoI securities issuance calendar for H1 FY2026-27, what is the combined amount to be auctioned in the first two auction weeks (April 01-03 and April 06-10, 2026)?","₹63,000 crore. Calculation: ₹29,000 (Week 1) + ₹34,000 (Week 2) = ₹63,000 crore.",,
46,CON_074,contradiction_detection,medium,"PASSAGE A:
Regulation 7(1): The open offer for acquiring shares to be made by the acquirer and persons acting in concert under regulation 3 and regulation 4 shall be for at least twenty six per cent of total shares of the target company.

PASSAGE B:
Regulation 7(2): The open offer made under regulation 6 (voluntary offer) shall be for acquisition of at least such number of shares as would entitle the holder thereof to exercise an additional ten per cent of the voting rights in the target company.",Is there a contradiction between Regulation 7(1) and Regulation 7(2) about the minimum open offer size under SEBI Takeovers Regulations 2011?,No,,
47,CON_052,contradiction_detection,medium,"PASSAGE A:
A mutual fund scheme shall not invest more than 5% of its NAV in the unlisted equity shares or equity related instruments in case of open ended scheme and 10% of its NAV in case of close ended scheme.

PASSAGE B:
All investments by a mutual fund scheme in equity shares and equity related instruments shall only be made provided such securities are listed or to be listed.",Do Passage A and Passage B permit mutual fund schemes to hold any unlisted equity instruments?,No,,
48,CON_039,contradiction_detection,medium,"PASSAGE A:
Revised Press Release (March 21, 2026) — Uttarakhand: 1000 (09 year), 1000 (20 year), 1500 (18 year). Total Uttarakhand (revised): 3500 crore.

PASSAGE B:
Original Press Release (March 20, 2026) — Uttarakhand: 1000 (09 year), 1000 (20 year), 1280 (18 year). Total Uttarakhand (original): 3280 crore.","Do the original and revised press releases state the same borrowing amount for Uttarakhand's 18-year tenor securities in the March 24, 2026 auction?",No,,
